'n	ə AL n AG
warteschlange	v BC a AL ʁ AJ t AC ə AL ʃ AJ l AE a AL ŋ AG ə AL
warteschleife	v BC a AL ʁ AJ t AC ə AL ʃ AJ l AE a AL ɪ̯ AB f BC ə AL
wartestellung	v BC a AL ʁ AJ t AC ə AL ʃ AJ t AC ɛ AL l AE ʊ AN ŋ AG
warum	v BC aː AM ʁ AJ ʊ AN m AF
warze	v BC aː AM t AC s AJ ə AL
warzenschwein	v BC a AL ʁ AJ t AC s AJ n̩ BH ʃ AJ v BC a AL ɪ̯ AB n AG
warzig	v BC a AL ʁ AJ t AC s AJ ɪ AL ç
was	v BC a AL s AJ
waschbecken	v BC a AL ʃ AJ b AH ɛ AL k AC ə AL n AG
waschbär	v BC a AL ʃ AJ b AH ɛː AM ɐ̯
waschen	v BC a AL ʃ AJ ə AL n AG
waschküche	v BC a AL ʃ AJ k AC ʏ AN ç ə AL
waschlappen	v BC a AL ʃ AJ l AE a AL p AH n̩ BH
waschmaschine	v BC a AL ʃ AJ m AF a AL ʃ AJ iː AM n AG ə AL
waschnuss	v BC a AL ʃ AJ n AG ʊ AN s AJ
waschschüssel	v BC a AL ʃ AJ ʃ AJ ʏ AN s AJ l̩ BI
waschstrasse	v BC a AL ʃ AJ ʃ AJ t AC ʀ BB aː AM s AJ ə AL
waschung	v BC a AL ʃ AJ ʊ AN ŋ AG
washington	v BC ɔ AN ʃ AJ ɪ AL ŋ AG t AC n̩ BH
wasser	v BC a AL s AJ ɐ AN
wasserabweisend	v BC a AL s AJ ɐ AN ʔ AK a AL p AH v BC a AL ɪ̯ AB z AJ n̩ BH t AC
wasseramsel	v BC a AL s AJ ɐ AN ʔ AK a AL m AF z AJ ə AL l AE
wasserarm	v BC a AL s AJ ɐ AN ʔ AK a AL ʁ AJ m AF
wasserball	v BC a AL s AJ ɐ AN b AH a AL l AE
wasserbecken	v BC a AL s AJ ɐ AN b AH ɛ AL k AC n̩ BH
wasserbehälter	v BC a AL s AJ ɐ AN b AH ə AL h AA ɛ AL l AE t AC ɐ AN
wasserbett	v BC a AL s AJ ɐ AN b AH ɛ AL t AC
wasserbär	v BC a AL s AJ ɐ AN b AH ɛː AM ɐ̯
wasserbüffel	v BC a AL s AJ ɐ AN b AH ʏ AN f BC ə AL l AE
wasserdruck	v BC a AL s AJ ɐ AN d AC ʁ AJ ʊ AN k AC
wasserdurchlässig	v BC a AL s AJ ɐ AN d AC ʊ AN ʁ AJ ç l AE ɛ AL s AJ ɪ AL ç
wasserenthärtung	v BC a AL s AJ ɐ AN ʔ AK ɛ AL n AG t AC h AA ɛ AL ʁ AJ t AC ʊ AN ŋ AG
wasserfahrzeug	v BC a AL s AJ ɐ AN f BC aː AM ɐ̯ t AC s AJ ɔ AN ɪ̯ AB k AC
wasserfall	v BC a AL s AJ ɐ AN f BC a AL l AE
wasserfarbe	v BC a AL s AJ ɐ AN f BC a AL ʁ AJ b AH ə AL
wasserfass	v BC a AL s AJ ɐ AN f BC a AL s AJ
wasserfest	v BC a AL s AJ ɐ AN f BC ɛ AL s AJ t AC
wasserflasche	v BC a AL s AJ ɐ AN f BC l AE a AL ʃ AJ ə AL
wasserglas	v BC a AL s AJ ɐ AN ɡ AC l AE aː AM s AJ
wassergraben	v BC a AL s AJ ɐ AN ɡ AC ʁ AJ aː AM b AH n̩ BH
wassergüte	v BC a AL s AJ ɐ AN ɡ AC yː BA t AC ə AL
wasserhahn	v BC a AL s AJ ɐ AN h AA aː AM n AG
wasserhund	v BC a AL s AJ ɐ AN h AA ʊ AN n AG t AC
wasserhunde	v BC a AL s AJ ɐ AN h AA ʊ AN n AG d AC ə AL
wasserhärte	v BC a AL s AJ ɐ AN h AA ɛ AL ʁ AJ t AC ə AL
wasserkanister	v BC a AL s AJ ɐ AN k AC a AL n AG ɪ AL s AJ t AC ɐ AN
wasserkessel	v BC a AL s AJ ɐ AN k AC ɛ AL s AJ l̩ BI
wasserklosett	v BC a AL s AJ ɐ AN k AC l AE o AN z AJ ɛ AL t AC
wasserkocher	v BC a AL s AJ ɐ AN k AC ɔ AN χ AJ ɐ AN
wasserkraft	v BC a AL s AJ ɐ AN k AC ʁ AJ a AL f BC t AC
wasserkunst	v BC a AL s AJ ɐ AN k AC ʊ AN n AG s AJ t AC
wasserkühlung	v BC a AL s AJ ɐ AN k AC yː BA l AE ʊ AN ŋ AG
wasserlauf	v BC a AL s AJ ɐ AN l AE a AL ʊ̯ BF f BC
wasserleitung	v BC a AL s AJ ɐ AN l AE a AL ɪ̯ AB t AC ʊ AN ŋ AG
wasserläufer	v BC a AL s AJ ɐ AN l AE ɔ AN ɪ̯ AB f BC ɐ AN
wassermangel	v BC a AL s AJ ɐ AN m AF a AL ŋ AG l̩ BI
wassermelone	v BC a AL s AJ ɐ AN m AF e AL l AE oː BA n AG ə AL
wassermühle	v BC a AL s AJ ɐ AN m AF yː BA l AE ə AL
wassern	v BC a AL s AJ ɐ AN n AG
wasserpfeife	v BC a AL s AJ ɐ AN p AH f BC a AL ɪ̯ AB f BC ə AL
wasserpolacke	v BC a AL s AJ ɐ AN p AH o AN l AE a AL k AC ə AL
wasserquelle	v BC a AL s AJ ɐ AN k AC v BC ɛ AL l AE ə AL
wasserrad	v BC a AL s AJ ɐ AN ʁ AJ aː AM t AC
wasserreich	v BC a AL s AJ ɐ AN ʀ BB a AL ɪ̯ AB ç
wasserscheu	v BC a AL s AJ ɐ AN ʃ AJ ɔ AN ɪ̯ AB
wasserstand	v BC a AL s AJ ɐ AN ʃ AJ t AC a AL n AG t AC
wasserstoff	v BC a AL s AJ ɐ AN ʃ AJ t AC ɔ AN f BC
wasserstoffhaltig	v BC a AL s AJ ɐ AN ʃ AJ t AC ɔ AN f BC h AA a AL l AE t AC ɪ AL ç
wasserstoffähnlich	v BC a AL s AJ ɐ AN ʃ AJ t AC ɔ AN f BC ɛː AM n AG l AE ɪ AL ç
wassersucht	v BC a AL s AJ ɐ AN z AJ ʊ AN x AJ t AC
wassertemperatur	v BC a AL s AJ ɐ AN t AC ɛ AL m AF p AH ə AL ʁ AJ a AL t AC uː BA ɐ̯
wassertiefe	v BC a AL s AJ ɐ AN t AC iː AM f BC ə AL
wassertreter	v BC a AL s AJ ɐ AN t AC ʁ AJ eː AM t AC ɐ AN
wasseruhr	v BC a AL s AJ ɐ AN ʔ AK uː BA ɐ̯
wasserundurchlässig	v BC a AL s AJ ɐ AN ʔ AK ʊ AN n AG d AC ʊ AN ʁ AJ ç l AE ɛ AL s AJ ɪ AL ç
wasserverschmutzung	v BC a AL s AJ ɐ AN f BC ɛ AL ɐ̯ ʃ AJ m AF ʊ AN t AC s AJ ʊ AN ŋ AG
wasserweg	v BC a AL s AJ ɐ AN v BC eː AM k AC
wasserwerk	v BC a AL s AJ ɐ AN v BC ɛ AL ʁ AJ k AC
wasserzähler	v BC a AL s AJ ɐ AN t AC s AJ ɛː AM l AE ɐ AN
wat	v BC a AL t AC
wate	v BC aː AM t AC ə AL
waten	v BC aː AM t AC ə AL n AG
waterloo	v BC ɔː BA t AC ə AL r BB l AE uː BA
watt	v BC a AL t AC
watte	v BC a AL t AC ə AL
watten	v BC a AL t AC n̩ BH
wattenmeer	v BC a AL t AC n̩ BH m AF eː AM ɐ̯
wattig	v BC a AL t AC ɪ AL ç
wau	v BC a AL ʊ̯ BF
wc	v BC eː AM t AC s AJ eː AM
wcs	v BC eː AM t AC s AJ eː AM s AJ
web	v BC ɛ AL p AH
weben	v BC eː AM b AH ə AL n AG
weber	v BC eː AM b AH ɐ AN
weberin	v BC eː AM b AH ɐ AN ʁ AJ ɪ AL n AG
webs	v BC ɛ AL p AH s AJ
webseite	v BC ɛ AL p AH z AJ a AL ɪ̯ AB t AC ə AL
website	v BC ɛ AL p AH s AJ a AL ɪ̯ AB t AC
webstuhl	v BC eː AM p AH ʃ AJ t AC uː BA l AE
webweit	v BC ɛ AL p AH v BC a AL ɪ̯ AB t AC
wechsel	v BC ɛ AL k AC s AJ ə AL l AE
wechselbalg	v BC ɛ AL k AC s AJ ə AL l AE b AH a AL l AE k AC
wechselgeld	v BC ɛ AL k AC s AJ l̩ BI ɡ AC ɛ AL l AE t AC
wechselhaft	v BC ɛ AL k AC s AJ l̩ BI h AA a AL f BC t AC
wechselrichter	v BC ɛ AL k AC s AJ l̩ BI r BB ɪ AL ç t AC ɐ AN
wechsels	v BC ɛ AL k AC s AJ ə AL l AE s AJ
wechselschlag	v BC ɛ AL k AC s AJ ə AL l AE ʃ AJ l AE aː AM k AC
wechselseitig	v BC ɛ AL k AC s AJ ə AL l AE z AJ a AL ɪ̯ AB t AC ɪ AL ç
wechselstrom	v BC ɛ AL k AC s AJ l̩ BI ʃ AJ t AC ʁ AJ oː BA m AF
wechselständig	v BC ɛ AL k AC s AJ ə AL l AE ʃ AJ t AC ɛ AL n AG d AC ɪ AL ç
wechselvoll	v BC ɛ AL k AC s AJ l̩ BI f BC ɔ AN l AE
weck	v BC ɛ AL k AC
wecken	v BC ɛ AL k AC ə AL n AG
wecker	v BC ɛ AL k AC ɐ AN
weckruf	v BC ɛ AL k AC ʁ AJ uː BA f BC
wedel	v BC eː AM d AC l̩ BI
wedeln	v BC eː AM d AC l̩ BI n AG
weder	v BC eː AM d AC ɐ AN
wedisch	v BC eː AM d AC ɪ AL ʃ AJ
weg	v BC ɛ AL ç
wegbefördern	v BC ɛ AL k AC b AH ə AL f BC œ AN ʁ AJ d AC ɐ AN n AG
wegbereiter	v BC eː AM k AC b AH ə AL ʁ AJ a AL ɪ̯ AB t AC ɐ AN
wegbereiterin	v BC eː AM k AC b AH ə AL ʁ AJ a AL ɪ̯ AB t AC ə AL ʁ AJ ɪ AL n AG
wegbeschreibung	v BC eː AM k AC b AH ə AL ʃ AJ ʁ AJ a AL ɪ̯ AB b AH ʊ AN ŋ AG
wegbleiben	v BC ɛ AL k AC b AH l AE a AL ɪ̯ AB b AH ə AL n AG
wegblicken	v BC ɛ AL k AC b AH l AE ɪ AL k AC ə AL n AG
wegbrechen	v BC ɛ AL k AC b AH ʁ AJ ɛ AL ç n̩ BH
wegdrängen	v BC ɛ AL k AC d AC ʁ AJ ɛ AL ŋ AG ə AL n AG
wegen	v BC eː AM ɡ AC ə AL n AG
wegerich	v BC eː AM ɡ AC ə AL ʁ AJ ɪ AL ç
wegfallen	v BC ɛ AL k AC f BC a AL l AE ə AL n AG
wegführen	v BC ɛ AL k AC f BC yː BA ʁ AJ ə AL n AG
weggabelung	v BC eː AM k AC ɡ AC aː AM b AH ə AL l AE ʊ AN ŋ AG
weggang	v BC ɛ AL k AC ɡ AC a AL ŋ AG
weggefährte	v BC eː AM k AC ɡ AC ə AL f BC ɛː AM ɐ̯ t AC ə AL
weggehen	v BC ɛ AL k AC ɡ AC eː AM ə AL n AG
weggenosse	v BC eː AM k AC ɡ AC ə AL n AG ɔ AN s AJ ə AL
weggeworfener	v BC ɛ AL k AC ɡ AC ə AL v BC ɔ AN ʁ AJ f BC ə AL n AG ɐ AN
wegkommen	v BC ɛ AL k AC k AC ɔ AN m AF ə AL n AG
weglassen	v BC ɛ AL k AC l AE a AL s AJ n̩ BH
weglaufen	v BC ɛ AL k AC l AE a AL ʊ̯ BF f BC ə AL n AG
wegmachen	v BC ɛ AL k AC m AF a AL χ AJ n̩ BH
wegnahme	v BC ɛ AL k AC n AG aː AM m AF ə AL
wegnehmen	v BC ɛ AL k AC n AG eː AM m AF ə AL n AG
wegpusten	v BC ɛ AL k AC p AH uː BA s AJ t AC ə AL n AG
wegreissen	v BC ɛ AL k AC ʁ AJ a AL ɪ̯ AB s AJ n̩ BH
wegsam	v BC eː AM k AC z AJ aː AM m AF
wegschicken	v BC ɛ AL k AC ʃ AJ ɪ AL k AC n̩ BH
wegschieben	v BC ɛ AL k AC ʃ AJ iː AM b AH n̩ BH
wegschmeissen	v BC ɛ AL k AC ʃ AJ m AF a AL ɪ̯ AB s AJ ə AL n AG
wegschwimmen	v BC ɛ AL k AC ʃ AJ v BC ɪ AL m AF ə AL n AG
wegsperren	v BC ɛ AL k AC ʃ AJ p AH ɛ AL ʁ AJ ə AL n AG
wegsterben	v BC ɛ AL k AC ʃ AJ t AC ɛ AL ʁ AJ b AH n̩ BH
wegtragen	v BC ɛ AL k AC t AC ʁ AJ aː AM ɡ AC n̩ BH
wegwaschen	v BC ɛ AL k AC v BC a AL ʃ AJ ə AL n AG
wegwenden	v BC ɛ AL k AC v BC ɛ AL n AG d AC n̩ BH
wegwerfbehälter	v BC ɛ AL k AC v BC ɛ AL ʁ AJ f BC b AH ə AL h AA ɛ AL l AE t AC ɐ AN
wegwerfbesteck	v BC ɛ AL k AC v BC ɛ AL ʁ AJ f BC b AH ə AL ʃ AJ t AC ɛ AL k AC
wegwerfen	v BC ɛ AL k AC v BC ɛ AL ɐ̯ f BC n̩ BH
wegwerffeuerzeug	v BC ɛ AL k AC v BC ɛ AL ʁ AJ f BC f BC ɔ AN ɪ̯ AB ɐ AN t AC s AJ ɔ AN ɪ̯ AB k AC
wegwerfflasche	v BC ɛ AL k AC v BC ɛ AL ʁ AJ f BC f BC ɔ AN ɪ̯ AB ɐ AN t AC s AJ ɔ AN ɪ̯ AB k AC
wegwerfgeschirr	v BC ɛ AL k AC v BC ɛ AL ʁ AJ f BC ɡ AC ə AL ʃ AJ ɪ AL ʁ AJ
wegwerfgesellschaft	v BC ɛ AL k AC v BC ɛ AL ʁ AJ f BC ɡ AC ə AL z AJ ɛ AL l AE ʃ AJ a AL f BC t AC
wegwerfglas	v BC ɛ AL k AC v BC ɛ AL ʁ AJ f BC ɡ AC l AE aː AM s AJ
wegwerfpackung	v BC ɛ AL k AC v BC ɛ AL ʁ AJ f BC p AH a AL k AC ʊ AN ŋ AG
wegwerfrasierer	v BC ɛ AL k AC v BC ɛ AL ʁ AJ f BC ʁ AJ a AL z AJ iː AM ʁ AJ ɐ AN
wegwerfspritze	v BC ɛ AL k AC v BC ɛ AL ʁ AJ f BC ʃ AJ p AH ʁ AJ ɪ AL t AC s AJ ə AL
wegwerfverpackung	v BC ɛ AL k AC v BC ɛ AL ʁ AJ f BC f BC ɛ AL ɐ̯ p AH a AL k AC ʊ AN ŋ AG
wegwollen	v BC ɛ AL k AC v BC ɔ AN l AE ə AL n AG
wegzehrung	v BC eː AM k AC t AC s AJ eː AM ʀ BB u AN ŋ AG
wegzoll	v BC eː AM k AC t AC s AJ ɔ AN l AE
weh	v BC eː AM
wehe	v BC eː AM ə AL
wehen	v BC eː AM ə AL n AG
wehmut	v BC eː AM m AF uː BA t AC
wehmütig	v BC eː AM m AF yː BA t AC ɪ AL ç
wehr	v BC eː AM ɐ̯
wehrdienst	v BC eː AM ɐ̯ d AC iː AM n AG s AJ t AC
wehrdiensttauglich	v BC eː AM ɐ̯ d AC iː AM n AG s AJ t AC t AC a AL ʊ̯ BF k AC l AE ɪ AL ç
wehrdienstuntauglich	v BC eː AM ɐ̯ d AC iː AM n AG s AJ t AC ʊ AN n AG t AC a AL ʊ̯ BF k AC l AE ɪ AL ç
wehren	v BC eː AM ʀ BB ə AL n AG
wehrfähig	v BC eː AM ɐ̯ f BC ɛː AM ɪ AL ç
wehrig	v BC eː AM ʀ BB ɪ AL ç
wehrlos	v BC eː AM ɐ̯ l AE oː BA s AJ
wehrmacht	v BC eː AM ʀ BB m AF a AL x AJ t AC
wehrpflichtig	v BC eː AM ɐ̯ p AH f BC l AE ɪ AL ç t AC ɪ AL ç
wehrt	v BC eː AM r BB t AC
weib	v BC a AL ɪ̯ AB p AH
weibchen	v BC a AL ɪ̯ AB p AH ç ə AL n AG
weiberfastnacht	v BC a AL ɪ̯ AB b AH ɐ AN f BC a AL s AJ t AC n AG a AL χ AJ t AC
weiberfastnächte	v BC a AL ɪ̯ AB b AH ɐ AN f BC a AL s AJ t AC n AG ɛ AL ç t AC ə AL
weibisch	v BC a AL ɪ̯ AB b AH ɪ AL ʃ AJ
weiblein	v BC a AL ɪ̯ AB p AH l AE a AL ɪ̯ AB n AG
weiblich	v BC a AL ɪ̯ AB p AH l AE ɪ AL ç
weiblichkeit	v BC a AL ɪ̯ AB p AH l AE ɪ AL ç k AC a AL ɪ̯ AB t AC
weibsbild	v BC a AL ɪ̯ AB p AH s AJ b AH ɪ AL l AE t AC
weibsperson	v BC a AL ɪ̯ AB p AH s AJ p AH ɛ AL ʁ AJ z AJ oː BA n AG
weich	v BC a AL ɪ̯ AB ç
weichbild	v BC a AL ɪ̯ AB ç b AH ɪ AL l AE t AC
weiche	v BC a AL ɪ̯ AB ç ə AL
weichen	v BC a AL ɪ̯ AB ç ə AL n AG
weichheit	v BC a AL ɪ̯ AB ç h AA a AL ɪ̯ AB t AC
weichherzig	v BC a AL ɪ̯ AB ç h AA ɛ AL ʁ AJ t AC s AJ ɪ AL ç
weichholz	v BC a AL ɪ̯ AB ç h AA ɔ AN l AE t AC s AJ
weichklopfen	v BC a AL ɪ̯ AB ç k AC l AE ɔ AN p AH f BC n̩ BH
weichkochen	v BC a AL ɪ̯ AB ç k AC ɔ AN x AJ n̩ BH
weichkäse	v BC a AL ɪ̯ AB ç k AC ɛː AM z AJ ə AL
weichsel	v BC a AL ɪ̯ AB k AC s AJ ə AL l AE
weichspüler	v BC a AL ɪ̯ AB ç ʃ AJ p AH yː BA l AE ɐ AN
weichtier	v BC a AL ɪ̯ AB ç t AC iː AM ɐ̯
weide	v BC a AL ɪ̯ AB d AC ə AL
weiden	v BC a AL ɪ̯ AB d AC n̩ BH
weidenbaum	v BC a AL ɪ̯ AB d AC n̩ BH b AH a AL ʊ̯ BF m AF
weidlich	v BC a AL ɪ̯ AB t AC l AE ɪ AL ç
weidmann	v BC a AL ɪ̯ AB t AC m AF a AL n AG
weidwund	v BC a AL ɪ̯ AB t AC v BC ʊ AN n AG t AC
weigand	v BC a AL ɪ̯ AB ɡ AC a AL n AG t AC
weihe	v BC a AL ɪ̯ AB ə AL
weihen	v BC a AL ɪ̯ AB ə AL n AG
weiher	v BC a AL ɪ̯ AB ɐ AN
weihnacht	v BC a AL ɪ̯ AB n AG a AL x AJ t AC
weihnachten	v BC a AL ɪ̯ AB n AG a AL x AJ t AC ə AL n AG
weihnachtlich	v BC a AL ɪ̯ AB n AG a AL x AJ t AC l AE ɪ AL ç
weihnachtsabend	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ ʔ AK aː AM b AH ə AL n AG t AC
weihnachtsabende	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ ʔ AK aː AM b AH n̩ BH d AC ə AL
weihnachtsabends	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ ʔ AK aː AM b AH n̩ BH t AC s AJ
weihnachtsbaum	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ b AH a AL ʊ̯ BF m AF
weihnachtsbaumkerze	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ b AH a AL ʊ̯ BF m AF k AC ɛ AL ʁ AJ t AC s AJ ə AL
weihnachtsbaumkugel	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ b AH a AL ʊ̯ BF m AF k AC uː BA ɡ AC l̩ BI
weihnachtsbaumkugeln	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ b AH a AL ʊ̯ BF m AF k AC uː BA ɡ AC l̩ BI n AG
weihnachtsengel	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ ɛ AL ŋ AG l̩ BI
weihnachtsgans	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ ɡ AC a AL n AG s AJ
weihnachtsgeschenk	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ ɡ AC ə AL ʃ AJ ɛ AL ŋ AG k AC
weihnachtskerzchen	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ k AC ɛ AL ʁ AJ t AC s AJ ç ə AL n AG
weihnachtskerzlein	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ k AC ɛ AL ʁ AJ t AC s AJ l AE a AL ɪ̯ AB n AG
weihnachtskranz	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ k AC ʀ BB a AL n AG t AC s AJ
weihnachtskugel	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ k AC uː BA ɡ AC l̩ BI
weihnachtslied	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ l AE iː AM t AC
weihnachtsmann	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ m AF a AL n AG
weihnachtsmarkt	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ m AF a AL ʁ AJ k AC t AC
weihnachtstag	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ t AC aː AM k AC
weihnachtstage	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ t AC aː AM ɡ AC ə AL
weihnachtstages	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ t AC aː AM ɡ AC ə AL s AJ
weihnachtstags	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ t AC aː AM k AC s AJ
weihnachtszeit	v BC a AL ɪ̯ AB n AG a AL x AJ t AC s AJ t AC s AJ a AL ɪ̯ AB t AC
weihrauch	v BC a AL ɪ̯ AB ʁ AJ a AL ʊ̯ BF x AJ
weihwasser	v BC a AL ɪ̯ AB v BC a AL s AJ ɐ AN
weil	v BC a AL ɪ̯ AB l AE
weiland	v BC a AL ɪ̯ AB l AE a AL n AG t AC
weile	v BC a AL ɪ̯ AB l AE ə AL
weilen	v BC a AL ɪ̯ AB l AE ə AL n AG
weiler	v BC a AL ɪ̯ AB l AE ɐ AN
wein	v BC a AL ɪ̯ AB n AG
weinberg	v BC a AL ɪ̯ AB n AG b AH ɛ AL ʁ AJ k AC
weinbrand	v BC a AL ɪ̯ AB n AG b AH ʁ AJ a AL n AG t AC
weinbrände	v BC a AL ɪ̯ AB n AG b AH ʀ BB ɛ AL n AG d AC ə AL
weine	v BC a AL ɪ̯ AB n AG ə AL
weinen	v BC a AL ɪ̯ AB n AG ə AL n AG
weines	v BC a AL ɪ̯ AB n AG ə AL s AJ
weinfarben	v BC a AL ɪ̯ AB n AG f BC a AL ʁ AJ b AH n̩ BH
weinfarbig	v BC a AL ɪ̯ AB n AG f BC a AL ʁ AJ b AH ɪ AL ç
weinfass	v BC a AL ɪ̯ AB n AG f BC a AL s AJ
weinflasche	v BC a AL ɪ̯ AB n AG f BC l AE a AL ʃ AJ ə AL
weinfroh	v BC a AL ɪ̯ AB n AG f BC ʀ BB oː BA
weinfröhlich	v BC a AL ɪ̯ AB n AG f BC ʀ BB øː BA l AE ɪ AL ç
weingarten	v BC a AL ɪ̯ AB n AG ɡ AC a AL ʁ AJ t AC ə AL n AG
weingeist	v BC a AL ɪ̯ AB n AG ɡ AC a AL ɪ̯ AB s AJ t AC
weingelb	v BC a AL ɪ̯ AB n AG ɡ AC ɛ AL l AE p AH
weinglas	v BC a AL ɪ̯ AB n AG ɡ AC l AE aː AM s AJ
weinhaltig	v BC a AL ɪ̯ AB n AG h AA a AL l AE t AC ɪ AL ç
weinhaus	v BC a AL ɪ̯ AB n AG h AA a AL ʊ̯ BF s AJ
weinjahr	v BC a AL ɪ̯ AB n AG j AB aː AM ɐ̯
weinkeller	v BC a AL ɪ̯ AB n AG k AC ɛ AL l AE ɐ AN
weinkrampf	v BC a AL ɪ̯ AB n AG k AC ʀ BB a AL m AF p AH f BC
weinlese	v BC a AL ɪ̯ AB n AG l AE eː AM z AJ ə AL
weinrot	v BC a AL ɪ̯ AB n AG ʁ AJ oː BA t AC
weins	v BC a AL ɪ̯ AB n AG s AJ
weinsauer	v BC a AL ɪ̯ AB n AG z AJ a AL ʊ̯ BF ɐ AN
weinselig	v BC a AL ɪ̯ AB n AG z AJ eː AM l AE ɪ AL ç
weinstock	v BC a AL ɪ AL n AG ʃ AJ t AC ɔ AN k AC
weinstockes	v BC a AL ɪ AL n AG ʃ AJ t AC ɔ AN k AC ə AL s AJ
weinstöcke	v BC a AL ɪ AL n AG ʃ AJ t AC œ AN k AC ə AL
weinstöcken	v BC a AL ɪ AL n AG ʃ AJ t AC œ AN k AC ə AL n AG
weintraube	v BC a AL ɪ̯ AB n AG t AC ʀ BB a AL ʊ̯ BF b AH ə AL
weis	v BC a AL ɪ̯ AB s AJ
weise	v BC a AL ɪ̯ AB z AJ ə AL
weisen	v BC a AL ɪ̯ AB z AJ ə AL n AG
weiser	v BC a AL ɪ̯ AB z AJ ɐ AN
weisheit	v BC a AL ɪ̯ AB s AJ h AA a AL ɪ̯ AB t AC
weismachen	v BC a AL ɪ̯ AB s AJ m AF a AL x AJ n̩ BH
weiss	v BC a AL ɪ AL s AJ
weissagen	v BC a AL ɪ̯ AB s AJ z AJ aː AM ɡ AC ə AL n AG
weissager	v BC a AL ɪ̯ AB s AJ z AJ aː AM ɡ AC ɐ AN
weissagung	v BC a AL ɪ̯ AB s AJ z AJ aː AM ɡ AC ʊ AN ŋ AG
weissbier	v BC a AL ɪ̯ AB s AJ b AH iː AM ɐ̯
weissblütig	v BC a AL ɪ AL s AJ b AH l AE yː BA t AC ɪ AL ç
weissblütige	v BC a AL ɪ AL s AJ b AH l AE yː BA t AC ɪ AL ɡ AC ə AL
weissblütiges	v BC a AL ɪ AL s AJ b AH l AE yː BA t AC ɪ AL ɡ AC ə AL s AJ
weissbrot	v BC a AL ɪ̯ AB s AJ b AH ʀ BB oː BA t AC
weissbuch	v BC a AL ɪ̯ AB s AJ b AH uː BA x AJ
weissbuches	v BC a AL ɪ̯ AB s AJ b AH uː BA x AJ ə AL s AJ
weissbuchs	v BC a AL ɪ̯ AB s AJ b AH uː BA x AJ s AJ
weissbücher	v BC a AL ɪ̯ AB s AJ b AH yː BA ç ɐ AN
weissbüschelaffe	v BC a AL ɪ̯ AB s AJ b AH ʏ AN ʃ AJ l̩ BI a AL f BC ə AL
weissdorn	v BC a AL ɪ̯ AB s AJ d AC ɔ AN ʁ AJ n AG
weisse	v BC a AL ɪ̯ AB s AJ ə AL
weissen	v BC a AL ɪ̯ AB s AJ ə AL n AG
weisser	v BC a AL ɪ̯ AB s AJ ɐ AN
weisses	v BC a AL ɪ̯ AB s AJ ə AL s AJ
weissfeldrig	v BC a AL ɪ̯ AB s AJ f BC ɛ AL l AE d AC ʁ AJ ɪ AL ç
weissgold	v BC a AL ɪ̯ AB s AJ ɡ AC ɔ AN l AE t AC
weissgolden	v BC a AL ɪ̯ AB s AJ ɡ AC ɔ AN l AE d AC ə AL n AG
weissgrau	v BC a AL ɪ̯ AB s AJ ɡ AC ʁ AJ a AL ʊ̯ BF
weisshaarig	v BC a AL ɪ̯ AB s AJ h AA aː AM ʀ BB ɪ AL ç
weisskohl	v BC a AL ɪ̯ AB s AJ k AC oː BA l AE
weisslich	v BC a AL ɪ̯ AB s AJ l AE ɪ AL ç
weissmetall	v BC a AL ɪ̯ AB s AJ m AF e AL t AC a AL l AE
weissrussisch	v BC a AL ɪ AL s AJ ʀ BB ʊ AN s AJ ɪ AL ʃ AJ
weissrussland	v BC a AL ɪ̯ AB s AJ ʁ AJ ʊ AN s AJ l AE a AL n AG t AC
weisstanne	v BC a AL ɪ̯ AB s AJ t AC a AL n AG ə AL
weisswein	v BC a AL ɪ̯ AB s AJ v BC a AL ɪ̯ AB n AG
weisswurst	v BC a AL ɪ̯ AB s AJ v BC ʊ AN ʁ AJ s AJ t AC
weisthum	v BC a AL ɪ̯ AB s AJ t AC uː BA m AF
weistum	v BC a AL ɪ̯ AB s AJ t AC uː BA m AF
weisungsbefugt	v BC a AL ɪ̯ AB z AJ ʊ AN ŋ AG s AJ b AH ə AL f BC uː BA k AC t AC
