က	k a̰ AG
အဏ္ဏဝါဗေဒ	ʔ a AD n n ə AD w AC a AD b e AD d a̰ AG
အတင်း	ʔ ə AD t ɪ AD ɴ
အတန်း	ʔ ə AD t a AD ɴ
အတာ	ʔ ə AD t a AD
အတာအိုး	ʔ ə AD t a AD ʔ o AE
အတိတ်	ʔ ə AD t e AD ɪ AD ʔ
အတိုင်ပင်ခံ	ʔ ə AD t a AD ɪ AD ɴ b ɪ AD ɴ ɡ a AD ɴ
အတိုင်း	ʔ ə AD t a AD ɪ AD ɴ
အတိုး	ʔ ə AD t o AE
အတီမျှ	ʔ ə AD t i AD m̥ j AB a̰ AG
အတူ	ʔ ə AD t u AE
အတူတူ	ʔ ə AD t u AE d u AE
အတောင်	ʔ ə AD t a AD ʊ AE ɴ
အတ္တဒဿီ	ʔ a AD ʔ t a̰ AG d a AD ʔ θ i AD
အတ္တဒဿီဘုရား	ʔ a AD ʔ t a̰ AG d ə AD t θ i AD pʰ ə AD j AB a AD
အတွင်း	ʔ ə AD t w AC ɪ AD ɴ
အတွင်းခံ	ʔ ə AD t w AC ɪ AD ɴ ɡ a AD ɴ
အတွင်းစကား	ʔ ə AD t w AC ɪ AD ɴ z ə AD ɡ a AD
အတွင်းတာရာ	ʔ ə AD t w AC ɪ AD ɴ t a AD j AB a AD
အတွင်းရန်	ʔ ə AD t w AC ɪ AD ɴ j AB a AD ɴ
အတွင်းဝန်	ʔ ə AD t w AC ɪ AD ɴ w AC ʊ AE ɴ
အတွဲ	ʔ ə AD t w AC ɛ AD
အထက်	ʔ ə AD tʰ ɛ AD ʔ
အထက်လွှတ်တော်	ʔ ə AD tʰ ɛ AD ʔ l̥ ʊ AE ʔ t ɔ AE
အထက်သား	ʔ ə AD tʰ ɛ AD ʔ ð a AD
အထင်	ʔ ə AD tʰ ɪ AD ɴ
အထပ်	ʔ ə AD tʰ a AD ʔ
အထိ	ʔ ə AD tʰ ḭ
အထိန်း	ʔ ə AD tʰ e AD ɪ AD ɴ
အထိမ်းအမှတ်	ʔ ə AD tʰ e AD ɪ AD ɴ ʔ ə AD m̥ a AD ʔ
အထီး	ʔ ə AD tʰ i AD
အထုပ်	ʔ ə AD tʰ o AE ʊ AE ʔ
အထုံးအဖွဲ့	ʔ ə AD tʰ o AE ʊ AE ɴ ʔ ə AD pʰ w AC ɛ̰ AG
အထဲ	ʔ ə AD tʰ ɛ AD
အဓမ္မ	ʔ ə AD d ə AD m a̰ AG
အဓိက	ʔ a̰ AG d ḭ ɡ a̰ AG
အဓိကရုဏ်း​	ʔ ə AD d ḭ k a̰ AG j AB o AE ʊ AE ɴ
အဓိဌာန်	ʔ ə AD d e AD ɪ AD ʔ tʰ a AD ɴ
အဓိပ္ပါယ်	ʔ ə AD d e AD ɪ AD ʔ b ɛ AD
အနက်	ʔ ə AD n ɛ AD ʔ
အနန္တ	ʔ ə AD n a AD ɴ d a̰ AG
အနန္တောအနန္တငါးပါး	ʔ ə AD n a AD ɴ d ɔ AE ʔ ə AD n d a̰ AG ŋ a AD p a AD
အနာကြီးရောဂါ	ʔ ə AD n a AD d ʑ i AD j AB ɔ AE ɡ a AD
အနာဂတ်	ʔ ə AD n a AD ɡ a AD ʔ
အနား	ʔ ə AD n a AD
အနားယူ	ʔ ə AD n a AD j AB u AE
အနိစ္စ	ʔ ə AD n e AD s s a̰ AG
အနို့	ʔ ə AD n o̰ AH
အနီ	ʔ ə AD n i AD
အနုတ်လက္ခဏာ	ʔ ə AD n̥ o AE ʊ AE ʔ l ɛ AD ʔ kʰ ə AD n a AD
အနုပညာ	ʔ ə AD n ṵ p j AB ɪ AD ɴ ɲ a AD
အနုရာဓပူရ	ʔ ə AD n ṵ j AB a AD d a̰ AG p u AE ɹ AI a̰ AG
အနုရုဒ္ဓါ	ʔ ə AD n ṵ j AB o AE ʊ AE ʔ d a AD
အနောက်	ʔ ə AD n a AD ʊ AE ʔ
အနောက်ဝန်	ʔ ə AD n a AD ʊ AE ʔ w AC ʊ AE ɴ
အနောမဒဿီ	ʔ ə AD n ɔ AE m ə AD d ə AD t θ i AD
အနောမဒဿီဘုရား	ʔ ə AD n ɔ AE m ə AD d a AD ʔ θ i AD pʰ ə AD j AB a AD
အနော်ရထာ	ʔ ə AD n ɔ AE j AB ə AD tʰ a AD
အနံ့	ʔ ə AD n a̰ AG ɴ
အန္တရာယ်	ʔ a AD ɴ d ə AD j AB ɛ AD
အန္တာတိက	ʔ a AD ɴ t a AD t ḭ k a̰ AG
အန်	ʔ a AD ɴ
အန်ကယ်	ʔ a AD ɴ k ɛ AD
အန်တီ	ʔ a AD ɴ t i AD
အန်နီမဲ	ʔ a AD ɴ n i AD m ɛ AD
အနွယ်	ʔ ə AD n w AC ɛ AD
အနှစ်	ʔ ə AD n̥ ɪ AD ʔ
အနှိပ်	ʔ ə AD n̥ e AD ɪ AD ʔ
အနှီဟာ	ʔ ə AD n̥ i AD h AA a AD
အနှီး	ʔ ə AD n̥ i AD
အပင်	ʔ ə AD p ɪ AD ɴ
အပတ်စဉ်	ʔ a̰ AG p a AD ʔ z ɪ AD ɴ
အပိုင်း	ʔ ə AD p a AD ɪ AD ɴ
အပိုဒ်	ʔ ə AD p a AD ɪ AD ʔ
အပူ	ʔ ə AD p u AE
အပေါင်	ʔ ə AD p a AD ʊ AE ɴ
အပေါင်းလက္ခဏာ	ʔ ə AD p a AD ʊ AE ɴ l ɛ AD ʔ kʰ ə AD n a AD
အပေါ့	ʔ ə AD p ɔ̰ AH
အပေါ်	ʔ ə AD p ɔ AE
အပ်	ʔ a AD ʔ
အပ်ချည်	ʔ a AD ʔ t ɕʰ i AD
အပ်ချုပ်စက်	ʔ a AD ʔ t ɕʰ o AE ʊ AE ʔ s ɛ AD ʔ
အပ်ထောက်	ʔ a AD ʔ tʰ a AD ʊ AE ʔ
အပြင်	ʔ ə AD p j AB ɪ AD ɴ
အပြစ်	ʔ ə AD p j AB ɪ AD ʔ
အပြာ	ʔ ə AD p j AB a AD
အပြာကား	ʔ ə AD p j AB a AD k a AD
အပြာမယ်	ʔ ə AD p j AB a AD m ɛ AD
အပြိုင်	ʔ ə AD p j AB a AD ɪ AD ɴ
အပြီးသတ်	ʔ ə AD p j AB i AD ð a AD ʔ
အပြုအမူ	ʔ ə AD p j AB ṵ ʔ ə AD m u AE
အပြုံး	ʔ ə AD p j AB o AE ʊ AE ɴ
အပြော	ʔ ə AD p j AB ɔ AE
အပွင့်	ʔ ə AD p w AC ɪ̰ AG ɴ
အဖ	ʔ ə AD pʰ a̰ AG
အဖတ်	ʔ ə AD pʰ a AD ʔ
အဖို	ʔ ə AD pʰ o AE
အဖို့	ʔ ə AD pʰ o̰ AH
အဖိုး	ʔ ə AD pʰ o AE
အဖိုးကြီး	ʔ ə AD pʰ o AE t ɕ i AD
အဖုံဖုံ	ʔ ə AD pʰ o AE ʊ AE ɴ b o AE ʊ AE ɴ
အဖုံး	ʔ ə AD pʰ o AE ʊ AE ɴ
အဖေ	ʔ ə AD pʰ e AD
အဖော်	ʔ ə AD pʰ ɔ AE
အဖေ့	ʔ ə AD pʰ ḛ
အဖျား	ʔ ə AD pʰ j AB a AD
အဖျားဖြတ်ဆေး	ʔ a̰ AG pʰ j AB a AD pʰ j AB a AD ʔ sʰ e AD
အဖြူ	ʔ ə AD pʰ j AB u AE
အဖြေ	ʔ ə AD pʰ j AB e AD
အဖွဲ့	ʔ ə AD pʰ w AC ɛ̰ AG
အဖွဲ့ချုပ်	ʔ ə AD pʰ w AC ɛ̰ AG d ʑ o AE ʊ AE ʔ
အဖွဲ့ဝင်	ʔ ə AD pʰ w AC ɛ̰ AG w AC ɪ AD ɴ
အဘိဓာန်	ʔ ə AD b ḭ d a AD ɴ
အဘိုး	ʔ ə AD pʰ o AE
အဘိုးကြီး	ʔ ə AD pʰ o AE d ʑ i AD
အဘွား	ʔ ə AD pʰ w AC a AD
အမ	ʔ ə AD m a̰ AG
အမည်	ʔ ə AD m j AB i AD
အမည်း	ʔ ə AD m ɛ AD
အမတ်	ʔ ə AD m a AD ʔ
အမယ်	ʔ ə AD m ɛ AD
အမရပူရ	ʔ ə AD m ə AD j AB a̰ AG p u AE j AB a̰ AG
အမာ	ʔ a̰ AG m a AD
အမိ	ʔ ə AD m ḭ
အမိန့်	ʔ ə AD m ḛ ɪ AD ɴ
အမိန့်ရှိပါ	ʔ ə AD m ḛ ɪ AD ɴ ʃ ḭ b a AD
အမိုး	ʔ ə AD m o AE
အမူအရာ	ʔ ə AD m u AE ʔ ə AD j AB a AD
အမေ	ʔ ə AD m e AD
အမေရိက	ʔ ə AD m e AD ɹ AI ḭ k a̰ AG
အမေရိကန်	ʔ ə AD m e AD ɹ AI ḭ k a AD ɴ
အမေရိကန်ပြည်ထောင်စု	ʔ ə AD m e AD ɹ AI ḭ k a AD ɴ p j AB i AD d a AD ʊ AE ɴ z ṵ
အမေလိုး	ʔ ə AD m e AD l o AE
အမေး	ʔ ə AD m e AD
အမဲလိုက်	ʔ ə AD m ɛ AD l a AD ɪ AD ʔ
အမဲသား	ʔ ə AD m ɛ AD ð a AD
အမဲသားမစားပါဘူး	ʔ ə AD m ɛ AD ð a AD m ə AD s a AD b a AD b u AE
အမျိုး	ʔ ə AD m j AB o AE
အမျိုးဇာတ်	ʔ ə AD m j AB o AE z a AD ʔ
အမျိုးလေးပါး	ʔ ə AD m j AB o AE l e AD b a AD
အမျိုးသမီး	ʔ ə AD m j AB o AE ð ə AD m i AD
အမျိုးသမီးလစဉ်သုံးပစ္စည်း	ʔ a̰ AG m j AB o AE ð ə AD m i AD l a̰ AG z ɪ AD ɴ θ o AE ʊ AE ɴ p j AB ɪ AD ʔ s i AD
အမျိုးသား	ʔ ə AD m j AB o AE ð a AD
အမျိုးသားစိတ်	ʔ ə AD m j AB o AE ð a AD s e AD ɪ AD ʔ
အမျိုးသားနေ့	ʔ ə AD m j AB o AE ð a AD n ḛ
အမျိုးသားလွှတ်တော်	ʔ ə AD m j AB o AE ð a AD l̥ ʊ AE ʔ t ɔ AE
အမျိုးသားသီချင်း	ʔ ə AD m j AB o AE ð a AD θ ə AD t ɕʰ ɪ AD ɴ
အမျိုးအနွယ်	ʔ ə AD m j AB o AE ʔ ə AD n w AC ɛ AD
အမျှင်	ʔ ə AD m̥ j AB ɪ AD ɴ
အမြစ်	ʔ ə AD m j AB ɪ AD ʔ
အမြန်	ʔ ə AD m j AB a AD ɴ
အမြီး	ʔ ə AD m̥ i AD
အမြောက်	ʔ ə AD m j AB a AD ʊ AE ʔ
အမြဲ	ʔ ə AD m j AB ɛ AD
အမြဲတမ်း	ʔ ə AD m j AB ɛ AD d a AD ɴ
အမြွှာ	ʔ ə AD m̥ w AC a AD
အမြှုပ်	ʔ ə AD m̥ j AB o AE ʊ AE ʔ
အမြှောက်လက္ခဏာ	ʔ ə AD m̥ j AB a AD ʊ AE ʔ l ɛ AD ʔ kʰ ə AD n a AD
အမွေ	ʔ ə AD m w AC e AD
အမွေခံ	ʔ ə AD m w AC e AD ɡ a AD ɴ
အမွေခွဲ	ʔ ə AD m w AC e AD kʰ w AC ɛ AD
အမွေအနှစ်	ʔ ə AD m w AC e AD ʔ ə AD n̥ ɪ AD ʔ
အမွေး	ʔ ə AD m w AC e AD
အမွှေး	ʔ ə AD m̥ w AC e AD
အမွှေးတိုင်	ʔ ə AD m̥ w AC e AD d a AD ɪ AD ɴ
အမှတ်	ʔ ə AD m̥ a AD ʔ
အမှတ်တံဆိပ်	ʔ ə AD m̥ a AD ʔ d ə AD z e AD ɪ AD ʔ
အမှန်တရား	ʔ ə AD m̥ a AD ɴ t ə AD j AB a AD
အမှာ	ʔ ə AD m̥ a AD
အမှား	ʔ ə AD m̥ a AD
အမှိုက်	ʔ ə AD m̥ a AD ɪ AD ʔ
အမှုန့်	ʔ ə AD m̥ o̰ AH ʊ AE ɴ
အမှုန်	ʔ ə AD m̥ o AE ʊ AE ɴ
အယုဓျာ	ʔ ə AD j AB o AE ʊ AE ʔ d ə AD j AB a AD
အယူ	ʔ ə AD j AB u AE
အယူဝါဒ	ʔ ə AD j AB u AE w AC a AD d a̰ AG
အယ်ဆာဗေဒို	ʔ ɛ AD sʰ a AD b e AD d o AE
အယ်လဘမ်	ʔ ɛ AD l ə AD b a AD ɴ
အယ်လ်ဂျီးရီးယား	ʔ ɛ AD l d ʑ i AD ɹ AI i AD j AB a AD
အယ်လ်ဘေးနီးယား	ʔ ɛ AD l b e AD n i AD j AB a AD
အရက်	ʔ ə AD j AB ɛ AD ʔ
အရက်ဆိုင်	ʔ ə AD j AB ɛ AD ʔ sʰ a AD ɪ AD ɴ
အရင်း	ʔ ə AD j AB ɪ AD ɴ
အရင်းရှင်ဝါဒ	ʔ ə AD j AB ɪ AD ɴ ʃ ɪ AD ɴ w AC a AD d a̰ AG
အရည်	ʔ ə AD j AB i AD
အရမ်း	ʔ ə AD j AB a AD ɴ
အရသာ	ʔ ə AD j AB a̰ AG ð a AD
အရာ	ʔ ə AD j AB a AD
အရာခံဗိုလ်	ʔ ə AD j AB a AD ɡ a AD ɴ b o AE
အရိပ်	ʔ ə AD j AB e AD ɪ AD ʔ
အရိမဒ္ဒနာပူရ	ʔ a̰ AG ɹ AI ḭ m a AD d d ə AD n a AD p u AE ɹ AI a̰ AG
အရိုး	ʔ ə AD j AB o AE
အရိုးစု	ʔ ə AD j AB o AE z ṵ
အရိုးပျော့နာ	ʔ a̰ AG j AB o AE p j AB ɔ̰ AH n a AD
အရီး	ʔ ə AD j AB i AD
အရီးကြီး	ʔ ə AD j AB i AD d ʑ i AD
အရီးလေး	ʔ ə AD j AB i AD l e AD
အရုဏ်	ʔ ə AD j AB u AE n
အရုပ်	ʔ ə AD j AB o AE ʊ AE ʔ
အရုပ်စာ	ʔ ə AD j AB o AE ʊ AE ʔ s a AD
အရေ	ʔ ə AD j AB e AD
အရေပြား	ʔ ə AD j AB e AD b j AB a AD
အရေပြားရောဂါ	ʔ ə AD j AB e AD b j AB a AD j AB ɔ AE ɡ a AD
အရောင်	ʔ ə AD j AB a AD ʊ AE ɴ
အရောင်တင်မှုန့်	ʔ ə AD j AB a AD ʊ AE ɴ t ɪ AD ɴ m̥ o̰ AH ʊ AE ɴ
အရောင်းအဝယ်	ʔ ə AD j AB a AD ʊ AE ɴ ʔ ə AD w AC ɛ AD
အရေး	ʔ a̰ AG j AB e AD
အရေးကြီး	ʔ a̰ AG j AB e AD t ɕ i AD
အရေးတော်ပုံ	ʔ ə AD j AB e AD d ɔ AE b o AE ʊ AE ɴ
အရံဂြိုဟ်	ʔ ə AD j AB a AD ɴ d ʑ o AE
အရွက်	ʔ ə AD j AB w AC ɛ AD ʔ
အရွတ်	ʔ ə AD j AB ʊ AE ʔ
အရွယ်ဆယ်ပါး	ʔ ə AD j AB w AC ɛ AD sʰ ɛ AD b a AD
အရှင်	ʔ ə AD ʃ ɪ AD ɴ
အရှင်ဘုရား	ʔ ə AD ʃ ɪ AD ɴ pʰ ə AD j AB a AD
အရှိန်	ʔ ə AD ʃ e AD ɪ AD ɴ
အရှေ့	ʔ ə AD ʃ ḛ
အလက်	ʔ ə AD l ɛ AD ʔ
အလင်း	ʔ ə AD l ɪ AD ɴ
အလင်းတန်း	ʔ ə AD l ɪ AD ɴ d a AD ɴ
အလင်္ကာ	ʔ ə AD l ɪ AD ɴ ɡ a AD
အလား	ʔ ə AD l a AD
အလို	ʔ ə AD l o AE
အလီ	ʔ ə AD l i AD
အလုပ်	ʔ ə AD l o AE ʊ AE ʔ
အလုပ်ပိတ်ရက်	ʔ ə AD l o AE ʊ AE ʔ p e AD ɪ AD ʔ j AB ɛ AD ʔ
အလုပ်ရုံ	ʔ ə AD l o AE ʊ AE ʔ j AB o AE ʊ AE ɴ
အလုပ်ရှင်	ʔ ə AD l o AE ʊ AE ʔ ʃ ɪ AD ɴ
အလုပ်လုပ်	ʔ ə AD l o AE ʊ AE ʔ l o AE ʊ AE ʔ
အလုပ်သမား	ʔ ə AD l o AE ʊ AE ʔ θ ə AD m a AD
အလုပ်သမားနေ့	ʔ ə AD l o AE ʊ AE ʔ θ ə AD m a AD n ḛ
အလုံး	ʔ ə AD l o AE ʊ AE ɴ
အလူမီနီယမ်	ʔ ə AD l u AE m i AD n i AD j AB a AD ɴ
အလောင်း	ʔ ə AD l a AD ʊ AE ɴ
အလေး	ʔ ə AD l e AD
အလံ	ʔ ə AD l a AD ɴ
အလ္လာဟ်	ʔ a AD l l a AD h AA
အလျင်	ʔ ə AD l j AB ɪ AD ɴ
အလျား	ʔ ə AD l j AB a AD
အလွန်	ʔ ə AD l ʊ AE ɴ
အလှဆီ	ʔ ə AD l̥ a̰ AG z i AD
အလှမ်း	ʔ ə AD l̥ a AD ɴ
အလှူရှင်	ʔ ə AD l̥ u AE ʃ ɪ AD ɴ
အဝင်	ʔ ə AD w AC ɪ AD ɴ
အဝတာရ	ʔ a̰ AG w AC a̰ AG t a AD j AB a̰ AG
အဝတ်	ʔ ə AD w AC ʊ AE ʔ
အဝတ်လျှောက်စက်	ʔ ə AD w AC ʊ AE ʔ ʃ a AD ʊ AE ʔ s ɛ AD ʔ
အဝတ်အစား	ʔ ə AD w AC ʊ AE ʔ ʔ ə AD s a AD
အဝါ	ʔ ə AD w AC a AD
အသက်	ʔ ə AD θ ɛ AD ʔ
အသက်ဦးဆံပိုင်	ʔ ə AD θ ɛ AD ʔ ʔ u AE sʰ a AD ɴ b a AD ɪ AD ɴ
အသင်	ʔ ə AD θ ɪ AD ɴ
အသင်း	ʔ ə AD θ ɪ AD ɴ
အသည်း	ʔ ə AD θ ɛ AD
အသည်းနှလုံး	ʔ ə AD θ ɛ AD n̥ ə AD l o AE ʊ AE ɴ
အသတ်	ʔ a̰ AG θ a AD ʔ
အသား	ʔ ə AD θ a AD
အသားညှပ်မုန့်	ʔ ə AD θ a AD ɲ̊ a AD ʔ m o̰ AH ʊ AE ɴ
အသားမာ	ʔ ə AD θ ə AD m a AD
အသားဝါရောဂါ	ʔ a̰ AG θ a AD w AC a AD j AB ɔ AE ɡ a AD
အသိ	ʔ ə AD θ ḭ
အသိတရား	ʔ ə AD θ ḭ t ə AD j AB a AD
အသိပညာ	ʔ ə AD θ ḭ p j AB ɪ AD ɴ ɲ a AD
အသိပညာရှင်	ʔ ə AD θ ḭ p j AB ɪ AD ɴ ɲ a AD ʃ ɪ AD ɴ
အသိုက်	ʔ ə AD θ a AD ɪ AD ʔ
အသီး	ʔ ə AD θ i AD
အသုပ်	ʔ ə AD θ o AE ʊ AE ʔ
အသုပ်စုံ	ʔ ə AD θ o AE ʊ AE ʔ s o AE ʊ AE ɴ
အသုဘ	ʔ a̰ AG θ ṵ b a̰ AG
အသုံး	ʔ ə AD θ o AE ʊ AE ɴ
အသုံးပြု	ʔ ə AD θ o AE ʊ AE ɴ p j AB ṵ
အသေ	ʔ ə AD θ e AD
အသော	ʔ ə AD θ ɔ AE
အသံ	ʔ ə AD θ a AD ɴ
အသံထွက်	ʔ ə AD θ a AD ɴ d w AC ɛ AD ʔ
အသျှင်	ʔ ə AD ʃ ɪ AD ɴ
အသွားအလာ	ʔ ə AD θ w AC a AD ʔ ə AD l a AD
အာကာသ	ʔ a AD k a AD θ a̰ AG
အာကာသစိုး	ʔ a AD k a AD θ a̰ AG z o AE
အာကာသယာဉ်	ʔ a AD k a AD θ a̰ AG j AB ɪ AD ɴ
အာခါ	ʔ a AD kʰ a AD
အာဂျင်တီးနား	ʔ a AD d ʑ ɪ AD ɴ t i AD n a AD
အာဃာတ	ʔ a AD ɡ a AD t a̰ AG
အာစရိယ	ʔ a AD s a̰ AG ɹ AI ḭ j AB a̰ AG
အာဇာနည်	ʔ a AD z a AD n i AD
အာဇာနည်နေ့	ʔ a AD z a AD n i AD n ḛ
အာဏာ	ʔ a AD n a AD
အာဏာရှင်	ʔ a AD n a AD ʃ ɪ AD ɴ
အာဏာသား	ʔ a AD n a AD ð a AD
အာဏာသိမ်း	ʔ a AD n a AD θ e AD ɪ AD ɴ
အာတိတ်	ʔ a AD t e AD ɪ AD ʔ
အာနီ	ʔ a AD n i AD
အာနုဘော်	ʔ a AD n ṵ b ɔ AE
အာဖဂန်နစ်စတန်	ʔ a AD pʰ ə AD ɡ a AD ɴ n ɪ AD ʔ s ə AD t a AD ɴ
အာဖရိက	ʔ a AD pʰ ə AD ɹ AI ḭ k a̰ AG
အာမခံ	ʔ a AD m a̰ AG ɡ a AD ɴ
အာမခံသေတ္တာ	ʔ a AD m a̰ AG ɡ a AD ɴ θ ɪ AD ʔ t a AD
အာမေဍိတ်	ʔ a AD m e AD d e AD ɪ AD ʔ
အာမေးနီးယား	ʔ a AD m e AD n i AD j AB a AD
အာယုဗ္ဗေဒ	ʔ a AD j AB o AE ʊ AE ʔ b e AD d a̰ AG
အာရပ်	ʔ a AD ɹ AI a AD ʔ
အာရာမ	ʔ a AD j AB a AD m a̰ AG
အာရာမ်	ʔ a AD j AB a AD ɴ
အာရိုက်	ʔ a AD j AB a AD ɪ AD ʔ
အာရုံကြော	ʔ a AD j AB o AE ʊ AE ɴ d ʑ ɔ AE
အာရှ	ʔ a AD ʃ a̰ AG
အာလယ	ʔ a AD l ə AD j AB a̰ AG
အာလာပသလ္လာပ	ʔ a AD l a AD p a̰ AG θ ə AD l a AD p a̰ AG
အာလူး	ʔ a AD l u AE
အာလူးပူရီ	ʔ a AD l u AE p u AE j AB i AD
အာလူးဖုတ်	ʔ a AD l u AE pʰ o AE ʊ AE ʔ
အာဝါဟဝိဝါဟ	ʔ a AD w AC a AD h AA a̰ AG w AC ḭ w AC a AD h AA a̰ AG
အာဟာရ	ʔ a AD h AA a AD j AB a̰ AG
အာဟာရဗေဒ	ʔ a AD h AA a AD j AB a̰ AG b e AD d a̰ AG
အား	ʔ a AD
အားကစား	ʔ a AD ɡ ə AD z a AD
အားကိုး	ʔ a AD k o AE
အားနည်း	ʔ a AD n ɛ AD
အားနာ	ʔ a AD n a AD
အားနာပါးနာ	ʔ a AD n a AD p a AD n a AD
အားလပ်ရက်	ʔ a AD l a AD ʔ j AB ɛ AD ʔ
အားလုံး	ʔ a AD l o AE ʊ AE ɴ
အိတ်	ʔ e AD ɪ AD ʔ
အိန္ဒိယ	ʔ e AD ɪ AD ɴ d ḭ j AB a̰ AG
အိန္ဒြာ	ʔ e AD ɪ AD ɴ d ɹ AI a AD
အိန္ဒြေ	ʔ e AD ɪ AD ɴ d ɹ AI e AD
အိပ်	ʔ e AD ɪ AD ʔ
အိပ်ခန်း	ʔ e AD ɪ AD ʔ kʰ a AD ɴ
အိပ်မက်	ʔ e AD ɪ AD ʔ m ɛ AD ʔ
အိပ်ရာ	ʔ e AD ɪ AD ʔ j AB a AD
အိပ်ရာလိပ်	ʔ e AD ɪ AD ʔ j AB a AD l e AD ɪ AD ʔ
အိမ်	ʔ e AD ɪ AD ɴ
အိမ်တက်မင်္ဂလာ	ʔ e AD ɪ AD ɴ t ɛ AD ʔ m ɪ AD ɴ ɡ ə AD l a AD
အိမ်ထောင်	ʔ e AD ɪ AD ɴ tʰ a AD ʊ AE ɴ
အိမ်ထောင်ပြု	ʔ e AD ɪ AD ɴ d a AD ʊ AE ɴ p j AB ṵ
အိမ်နီးချင်း	ʔ e AD ɪ AD ɴ n i AD d ʑ ɪ AD ɴ
အိမ်မြှောင်	ʔ e AD ɪ AD ɴ m̥ j AB a AD ʊ AE ɴ
အိမ်ရှေ့မင်း	ʔ e AD ɪ AD ɴ ʃ ḛ m ɪ AD ɴ
အိမ်ရှေ့မင်းသား	ʔ e AD ɪ AD ɴ ʃ ḛ m ɪ AD ɴ ð a AD
အိမ်လည်	ʔ e AD ɪ AD ɴ l e AD
အိမ်သာ	ʔ e AD ɪ AD ɴ ð a AD
အိမ်သူ	ʔ e AD ɪ AD ɴ ð u AE
အို	ʔ o AE
အိုက်စလန်	ʔ a AD ɪ AD ʔ s ə AD l a AD ɴ
အိုက်တင်	ʔ a AD ɪ AD ʔ t ɪ AD ɴ
အိုင်ဒီယာ	ʔ a AD ɪ AD ɴ d i AD j AB a AD
အိုင်ဗရီကို့စ်	ʔ a AD ɪ AD ɴ b ə AD ɹ AI i AD k o̰ AH s
အိုင်ယာလန်	ʔ a AD ɪ AD ɴ j AB ə AD l a AD ɴ
အိုင်အိုင်	ʔ a AD ɪ AD ɴ ʔ a AD ɪ AD ɴ
အိုဗာတင်း	ʔ o AE b a AD t ɪ AD ɴ
အိုမန်	ʔ o AE m a AD ɴ
အိုရှန်းနီးယား	ʔ o AE ʃ a AD ɴ n i AD j AB a AD
အိုလံပစ်	ʔ o AE l a AD ɴ p ɪ AD ʔ
အိုး	ʔ o AE
အီကြာကွေး	ʔ i AD t ɕ a AD k w AC e AD
အီကွေတာ	ʔ i AD k w AC e AD t a AD
အီကွေတာဂီနီ	ʔ i AD k w AC e AD t a AD ɡ i AD n i AD
အီကွေဒေါ	ʔ i AD k w AC e AD d ɔ AE
အီဂျစ်	ʔ i AD d ʑ ɪ AD ʔ
အီစတာ	ʔ i AD s ə AD t a AD
အီတလီ	ʔ i AD t a̰ AG l i AD
အီနောင်	ʔ i AD n a AD ʊ AE ɴ
အီရတ်	ʔ i AD ɹ AI a AD ʔ
အီရန်	ʔ i AD ɹ AI a AD ɴ
အီရီထရီးယား	ʔ i AD ɹ AI i AD tʰ ə AD ɹ AI i AD j AB a AD
အီသီယိုးပီးယား	ʔ i AD θ i AD j AB o AE p i AD j AB a AD
အီး	ʔ i AD
အီးပေါက်	ʔ i AD p a AD ʊ AE ʔ
အီးမေးလ်	ʔ i AD m e AD l
အုတ်	ʔ o AE ʊ AE ʔ
အုတ်ကြွပ်	ʔ o AE ʊ AE ʔ t ɕ ʊ AE ʔ
အုန်း	ʔ o AE ʊ AE ɴ
အုန်းဆီ	ʔ o AE ʊ AE ɴ z i AD
အုန်းထမင်း	ʔ o AE ʊ AE ɴ tʰ ə AD m ɪ AD ɴ
အုန်းနို့	ʔ o AE ʊ AE ɴ n o̰ AH
အုန်းနို့ခေါက်ဆွဲ	ʔ o AE ʊ AE ɴ n o̰ AH kʰ a AD ʊ AE ʔ sʰ w AC ɛ AD
အုန်းမှန်ကူ	ʔ o AE ʊ AE ɴ m̥ a AD ɴ ɡ u AE
အုံး	ʔ o AE ʊ AE ɴ
အူ	ʔ u AE
အူမကြီး	ʔ u AE m a̰ AG d ʑ i AD
အောက်	ʔ a AD ʊ AE ʔ
အောက်ဆီဂျင်	ʔ a AD ʊ AE ʔ sʰ i AD d ʑ ɪ AD ɴ
အောက်တိုဘာ	ʔ a AD ʊ AE ʔ t o AE b a AD
အောက်မြစ်	ʔ a AD ʊ AE ʔ m j AB ɪ AD ʔ
အောက်လွှတ်တော်	ʔ a AD ʊ AE ʔ l̥ ʊ AE ʔ t ɔ AE
အောက်သား	ʔ a AD ʊ AE ʔ ð a AD
အောင်	ʔ a AD ʊ AE ɴ
အောင်ပွဲ	ʔ a AD ʊ AE ɴ b w AC ɛ AD
အောင်လံ	ʔ a AD ʊ AE ɴ l a AD ɴ
အော့	ʔ ɔ̰ AH
အော့အန်	ʔ ɔ̰ AH ʔ a AD ɴ
အော်	ʔ ɔ AE
အော်ကေ့ကြည်	ʔ ɔ AE k ḛ t ɕ i AD
အော်တိုမေးရှင်း	ʔ ɔ AE t o AE m e AD ʃ ɪ AD ɴ
အော်ဒါ	ʔ ɔ AE d a AD
အော်ပရာ	ʔ ɔ AE p ə AD ɹ AI a AD
အေး	ʔ e AD
အဲဒါ	ʔ ɛ AD d a AD
အဲဒါဘာလဲ	ʔ ɛ AD d a AD b a AD l ɛ AD
အဲဒီ	ʔ ɛ AD d i AD
အဲဒီဟာ	ʔ ɛ AD d i AD h AA a AD
