अ	ə AG
सूतिकागार	s AB uː AH t̪ AB ɪ AG k AB ɑː AG ɡ AB ɑː AG ɾ AJ
सूतिकागृह	s AB uː AH t̪ AB ɪ AG k AB ɑː AG ɡ AB ɾ AJ ɪ AG ɦ AI
सूती	s AB uː AH t̪ AB iː AG
सूद	s AB uː AH d̪ AB
सूना	s AB uː AH n AB ɑː AG
सूनू	s AB uː AH n AB uː AH
सूबा	s AB uː AH b AE ɑː AG
सूर	s AB uː AH ɾ AJ
सूरज	s AB uː AH ɾ AJ ə AG d AB ʒ AB
सूरजमुखी	s AB uː AH ɾ AJ ə AG d AB ʒ AB m AE ʊ AH kʰ AC iː AG
सूरिया	s AB uː AH ɾ AJ ɪ AG j AA ɑː AG
सूर्यकांति	s AB uː AH ɾ AJ j AA ə AG k AB ɑː AG n AB t̪ AB iː AG
सूर्यकान्ति	s AB uː AH ɾ AJ j AA ə AG k AB ɑː AG n AB t̪ AB iː AG
सूर्यास्त	s AB uː AH ɾ AJ j AA ɑː AG s AB t̪ AB
सूर्योदय	s AB uː AH ɾ AJ j AA oː AH d̪ AB ə AG j AA
सृजन	s AB ɾ AJ ɪ AG d AB ʒ AB ə AG n AB
सृष्टि	s AB ɾ AJ ɪ AG ʂ AB ʈ AB iː AG
से	s AB eː AG
सेंकना	s AB eː AG ŋ AB k AB n AB ɑː AG
सेंट	s AB eː AG ɳ AB ʈ AB
सेंटी	s AB eː AG ɳ AB ʈ AB iː AG
सेंटीमीटर	s AB eː AG ɳ AB ʈ AB iː AG m AE iː AG ʈ AB ə AG ɾ AJ
सेज	s AB eː AG d AB ʒ AB
सेटिंग	s AB eː AG ʈ AB ɪ AG ŋ AB ɡ AB
सेटेलाईट	s AB eː AG ʈ AB eː AG l AD ɑː AG iː AG ʈ AB
सेठ	s AB eː AG ʈʰ AC
सेना	s AB eː AG n AB ɑː AG
सेनेगल	s AB eː AG n AB eː AG ɡ AB ə AG l AD
सेब	s AB eː AG b AE
सेर	s AB eː AG ɾ AJ
सेल	s AB eː AG l AD
सेल्फ़ी	s AB eː AG l AD pʰ AF iː AG
सेवँई	s AB eː AG ʋ AK ə̃ AG iː AG
सेवक	s AB eː AG ʋ AK ə AG k AB
सेवा	s AB eː AG ʋ AK ɑː AG
सेवानिवृत्त	s AB eː AG ʋ AK ɑː AG n AB ɪ AG ʋ AK ɾ AJ ɪ AG t̪ AB t̪ AB
सेवानिवृत्ति	s AB eː AG ʋ AK ɑː AG n AB ɪ AG ʋ AK ɾ AJ ɪ AG t̪ AB t̪ AB iː AG
सेविका	s AB eː AG ʋ AK ɪ AG k AB ɑː AG
सेहत	s AB eː AG ɦ AI ə AG t̪ AB
सेहतमंद	s AB eː AG ɦ AI ə AG t̪ AB m AE ə AG n AB d̪ AB
सेहरा	s AB eː AG ɦ AI ɾ AJ ɑː AG
सेही	s AB eː AG ɦ AI iː AG
सैंतालीस	s AB ɛː AG n AB t̪ AB ɑː AG l AD iː AG s AB
सैंतीस	s AB ɛː AG n AB t̪ AB iː AG s AB
सैकंड	s AB ɛː AG k AB ə AG ɳ AB ɖ AB
सैकड़ा	s AB ɛː AG k AB ɽ AJ ɑː AG
सैकण्ड	s AB ɛː AG k AB ə AG ɳ AB ɖ AB
सैकता	s AB ɛː AG k AB t̪ AB ɑː AG
सैद्धांतिक	s AB ɛː AG d̪ AB d̪ʱ AC ɑː AG n AB t̪ AB ɪ AG k AB
सैनिक	s AB ɛː AG n AB ɪ AG k AB
सैर	s AB ɛː AG ɾ AJ
सैलाब	s AB ɛː AG l AD ɑː AG b AE
सो	s AB oː AH
सोआ	s AB oː AH ɑː AG
सोखना	s AB oː AH kʰ AC n AB ɑː AG
सोग	s AB oː AH ɡ AB
सोचना	s AB oː AH t AB ʃ AB n AB ɑː AG
सोची	s AB oː AH t AB ʃ AB iː AG
सोणिया	s AB oː AH ɳ AB ɪ AG j AA ɑː AG
सोता	s AB oː AH t̪ AB ɑː AG
सोना	s AB oː AH n AB ɑː AG
सोनार	s AB oː AH n AB ɑː AG ɾ AJ
सोमालिया	s AB oː AH m AE ɑː AG l AD ɪ AG j AA ɑː AG
सोमाली	s AB oː AH m AE ɑː AG l AD iː AG
सोलह	s AB oː AH l AD ə AG ɦ AI
सोवियत	s AB oː AH ʋ AK ɪ AG j AA ə AG t̪ AB
सोशलिस्ट	s AB oː AH ʃ AB l AD ɪ AG s AB ʈ AB
सोहाग	s AB oː AH ɦ AI ɑː AG ɡ AB
सौ	s AB ɔː AH
सौंपना	s AB ɔː AH m AE p AE n AB ɑː AG
सौंफ	s AB ɔ̃ː AH pʰ AF
सौंह	s AB ɔ̃ː AH ɦ AI
सौगंद	s AB ɔː AH ɡ AB ə AG n AB d̪ AB
सौगन्द	s AB ɔː AH ɡ AB ə AG n AB d̪ AB
सौत	s AB ɔː AH t̪ AB
सौतेला	s AB ɔː AH t̪ AB eː AG l AD ɑː AG
सौदा	s AB ɔː AH d̪ AB ɑː AG
सौदागर	s AB ɔː AH d̪ AB ɑː AG ɡ AB ə AG ɾ AJ
सौर	s AB ɔː AH ɾ AJ
सौरमंडल	s AB ɔː AH ɾ AJ m AE ə AG ɳ AB ɖ AB ə AG l AD
स्कर्ट	s AB k AB ə AG ɾ AJ ʈ AB
स्कूल	s AB k AB uː AH l AD
स्कूली	s AB k AB uː AH l AD iː AG
स्क्रीनिंग	s AB k AB ɾ AJ iː AG n AB ɪ AG ŋ AB ɡ AB
स्खलन	s AB kʰ AC ə AG l AD ə AG n AB
स्टाक	s AB ʈ AB ɑː AG k AB
स्टार	s AB ʈ AB ɑː AG ɾ AJ
स्टेटस	s AB ʈ AB eː AG ʈ AB ə AG s AB
स्टेडियम	s AB ʈ AB eː AG ɖ AB ɪ AG j AA ə AG m AE
स्टेथोस्कोप	s AB ʈ AB eː AG t̪ʰ AC oː AH s AB k AB oː AH p AE
स्टेशन	ɪ AG s AB ʈ AB eː AG ʃ AB ə AG n AB
स्तंभ	s AB t̪ AB ə AG m AE bʱ AF
स्तंभन	s AB t̪ AB ə AG m AE bʱ AF ə AG n AB
स्तनधारी	s AB t̪ AB ə AG n AB d̪ʱ AC ɑː AG ɾ AJ iː AG
स्तनपायी	s AB t̪ AB ə AG n AB p AE ɑː AG j AA iː AG
स्तर	s AB t̪ AB ə AG ɾ AJ
स्तुति	s AB t̪ AB ʊ AH t̪ AB iː AG
स्तूप	s AB t̪ AB uː AH p AE
स्त्री	s AB t̪ AB ɾ AJ iː AG
स्त्रीलिंग	s AB t̪ AB ɾ AJ iː AG l AD ɪ AG ŋ AB ɡ AB
स्त्रोत	s AB t̪ AB ɾ AJ oː AH t̪ AB
स्थगित	s AB t̪ʰ AC ə AG ɡ AB ɪ AG t̪ AB
स्थल	s AB t̪ʰ AC ə AG l AD
स्थाई	s AB t̪ʰ AC ɑː AG iː AG
स्थान	s AB t̪ʰ AC ɑː AG n AB
स्थानांतरण	s AB t̪ʰ AC ɑː AG n AB ɑː AG n AB t̪ AB ɾ AJ ə AG ɳ AB
स्थापना	s AB t̪ʰ AC ɑː AG p AE n AB ɑː AG
स्थापित	s AB t̪ʰ AC ɑː AG p AE ɪ AG t̪ AB
स्थायी	s AB t̪ʰ AC ɑː AG j AA iː AG
स्थायीकार	s AB t̪ʰ AC ɑː AG j AA iː AG k AB ɑː AG ɾ AJ
स्थित	s AB t̪ʰ AC ɪ AG t̪ AB
स्थिति	s AB t̪ʰ AC ɪ AG t̪ AB iː AG
स्थितिज	s AB t̪ʰ AC ɪ AG t̪ AB ɪ AG d AB ʒ AB
स्थिर	s AB t̪ʰ AC ɪ AG ɾ AJ
स्थूल	s AB t̪ʰ AC uː AH l AD
स्नातक	s AB n AB ɑː AG t̪ AB ə AG k AB
स्नातकोत्तर	s AB n AB ɑː AG t̪ AB ə AG k AB oː AH t̪ AB t̪ AB ə AG ɾ AJ
स्नान	s AB n AB ɑː AG n AB
स्नानघर	s AB n AB ɑː AG n AB ɡʱ AC ə AG ɾ AJ
स्नानागार	s AB n AB ɑː AG n AB ɑː AG ɡ AB ɑː AG ɾ AJ
स्नायु	s AB n AB ɑː AG j AA uː AH
स्निग्ध	s AB n AB ɪ AG ɡ AB d̪ʱ AC
स्नेह	s AB n AB eː AG ɦ AI
स्नेही	s AB n AB eː AG ɦ AI iː AG
स्पघेटी	s AB p AE ə AG ɡʱ AC eː AG ʈ AB iː AG
स्पर्श	s AB p AE ə AG ɾ AJ ʃ AB
स्पष्ट	s AB p AE ə AG ʂ AB ʈ AB
स्पष्टतः	s AB p AE ə AG ʂ AB ʈ AB ə AG t̪ AB ə AG ɦ AI
स्पेन	s AB p AE eː AG n AB
स्पेनी	s AB p AE eː AG n AB iː AG
स्पैनिश	s AB p AE ɛː AG n AB ɪ AG ʃ AB
स्फटयातु	s AB pʰ AF ə AG ʈ AB j AA ɑː AG t̪ AB uː AH
स्मरण	s AB m AE ə AG ɾ AJ ə AG ɳ AB
स्मरणशक्ति	s AB m AE ə AG ɾ AJ ə AG ɳ AB ʃ AB ə AG k AB t̪ AB iː AG
स्मारक	s AB m AE ɑː AG ɾ AJ ə AG k AB
स्मार्टफ़ोन	s AB m AE ɑː AG ɾ AJ ʈ AB pʰ AF oː AH n AB
स्मृति	s AB m AE ɾ AJ ɪ AG t̪ AB iː AG
स्मेरता	s AB m AE eː AG ɾ AJ t̪ AB ɑː AG
स्यंदन	s AB j AA ə AG n AB d̪ AB ə AG n AB
स्याह	s AB j AA ɑː AG ɦ AI
स्याही	s AB j AA ɑː AG ɦ AI iː AG
स्यूत	s AB j AA uː AH t̪ AB
स्रोत	s AB ɾ AJ oː AH t̪ AB
स्लाइस	s AB l AD ɑː AG ɪ AG s AB
स्लोवाकिया	s AB l AD oː AH ʋ AK ɑː AG k AB ɪ AG j AA ɑː AG
स्लोवेनियन	s AB l AD oː AH ʋ AK eː AG n AB ɪ AG j AA ə AG n AB
स्लोवेनिया	s AB l AD oː AH ʋ AK eː AG n AB ɪ AG j AA ɑː AG
स्वकीया	s AB ʋ AK ə AG k AB iː AG j AA ɑː AG
स्वचालित	s AB ʋ AK ə AG t AB ʃ AB ɑː AG l AD ɪ AG t̪ AB
स्वच्छ	s AB ʋ AK ə AG t AB ʃ AB t AB ʃʰ AC
स्वच्छता	s AB ʋ AK ə AG t AB ʃ AB t AB ʃʰ AC t̪ AB ɑː AG
स्वजन	s AB ʋ AK ə AG d AB ʒ AB ə AG n AB
स्वतंत्रता	s AB ʋ AK ə AG t̪ AB ə AG n AB t̪ AB ɾ AJ ə AG t̪ AB ɑː AG
स्वतः	s AB ʋ AK ə AG t̪ AB ə AG ɦ AI
स्वदेशी	s AB ʋ AK ə AG d̪ AB eː AG ʃ AB iː AG
स्वभाव	s AB ʋ AK ə AG bʱ AF ɑː AG ʋ AK
स्वयं	s AB ʋ AK ə AG j AA ə AG m AE
स्वर	s AB ʋ AK ə AG ɾ AJ
स्वराक्षर	s AB ʋ AK ə AG ɾ AJ ɑː AG k AB ʂ AB ə AG ɾ AJ
स्वर्ग	s AB ʋ AK ə AG ɾ AJ ɡ AB
स्वर्गवासी	s AB ʋ AK ə AG ɾ AJ ɡ AB ʋ AK ɑː AG s AB iː AG
स्वर्णकार	s AB ʋ AK ə AG ɾ AJ ɳ AB ə AG k AB ɑː AG ɾ AJ
स्वर्णमंदिर	s AB ʋ AK ə AG ɾ AJ ɳ AB m AE ə AG n AB d̪ AB ɪ AG ɾ AJ
स्वशिक्षा	s AB ʋ AK ə AG ʃ AB ɪ AG k AB ʂ AB ɑː AG
स्वस्तिक	s AB ʋ AK ə AG s AB t̪ AB ɪ AG k AB
स्वस्थ	s AB ʋ AK ə AG s AB t̪ʰ AC
स्वाँग	s AB ʋ AK ɑː AG ŋ AB ɡ AB
स्वांग	s AB ʋ AK ɑː AG ŋ AB ɡ AB
स्वागत	s AB ʋ AK ɑː AG ɡ AB ə AG t̪ AB
स्वाद	s AB ʋ AK ɑː AG d̪ AB
स्वादु	s AB ʋ AK ɑː AG d̪ AB uː AH
स्वाध्याय	s AB ʋ AK ɑː AG d̪ʱ AC j AA ɑː AG j AA
स्वाभाविक	s AB ʋ AK ɑː AG bʱ AF ɑː AG ʋ AK ɪ AG k AB
स्वामी	s AB ʋ AK ɑː AG m AE iː AG
स्वायत्त	s AB ʋ AK ɑː AG j AA ə AG t̪ AB t̪ AB
स्वायत्तता	s AB ʋ AK ɑː AG j AA ə AG t̪ AB t̪ AB ə AG t̪ AB ɑː AG
स्वार्थ	s AB ʋ AK ɑː AG ɾ AJ t̪ʰ AC
स्वार्थी	s AB ʋ AK ɑː AG ɾ AJ t̪ʰ AC iː AG
स्वास्थ्य	s AB ʋ AK ɑː AG s AB t̪ʰ AC j AA ə AG
स्वाहिली	s AB ʋ AK ɑː AG ɦ AI ɪ AG l AD iː AG
स्विट्ज़रलैंड	s AB ʋ AK ɪ AG ʈ AB z AB ə AG ɾ AJ l AD ɛː AG ɳ AB ɖ AB
स्विट्ज़रलैण्ड	s AB ʋ AK ɪ AG ʈ AB z AB ə AG ɾ AJ l AD ɛː AG ɳ AB ɖ AB
स्वीकार	s AB ʋ AK iː AG k AB ɑː AG ɾ AJ
स्वीकारना	s AB ʋ AK iː AG k AB ɑː AG ɾ AJ n AB ɑː AG
स्वीकारात्मक	s AB ʋ AK iː AG k AB ɑː AG ɾ AJ ɑː AG t̪ AB m AE ə AG k AB
स्वीकृत	s AB ʋ AK iː AG k AB ɾ AJ ɪ AG t̪ AB
स्वीकृति	s AB ʋ AK iː AG k AB ɾ AJ ɪ AG t̪ AB iː AG
स्वीडन	s AB ʋ AK iː AG ɖ AB ə AG n AB
स्वेच्छा	s AB ʋ AK eː AG t AB ʃ AB t AB ʃʰ AC ɑː AG
स्वेदक	s AB ʋ AK eː AG d̪ AB ə AG k AB
स्वेदन	s AB ʋ AK eː AG d̪ AB ə AG n AB
ह	ɦ AI ə AG
हँस	ɦ AI ə̃ AG s AB
हँसना	ɦ AI ə̃ AG s AB n AB ɑː AG
हँसली	ɦ AI ə̃ AG s AB l AD iː AG
हँसाना	ɦ AI ə̃ AG s AB ɑː AG n AB ɑː AG
हँसिया	ɦ AI ə̃ AG s AB ɪ AG j AA ɑː AG
हँसी	ɦ AI ə̃ AG s AB iː AG
हंगरी	ɦ AI ə AG ŋ AB ɡ AB ɾ AJ iː AG
हंगामा	ɦ AI ə AG ŋ AB ɡ AB ɑː AG m AE ɑː AG
हंगुल	ɦ AI ə AG ŋ AB ɡ AB ʊ AH l AD
हंटर	ɦ AI ə AG ɳ AB ʈ AB ə AG ɾ AJ
हंस	ɦ AI ə AG n AB s AB
हकलाना	ɦ AI ə AG k AB l AD ɑː AG n AB ɑː AG
हक़ीक़त	ɦ AI ə AG q AB iː AG q AB ə AG t̪ AB
हकीम	ɦ AI ə AG k AB iː AG m AE
हगना	ɦ AI ə AG ɡ AB n AB ɑː AG
हज	ɦ AI ə AG d AB ʒ AB
हज़ार	ɦ AI ə AG z AB ɑː AG ɾ AJ
हज़ारहा	ɦ AI ə AG z AB ɑː AG ɾ AJ ɦ AI ɑː AG
हज़्म	ɦ AI ə AG z AB ə AG m AE
हजामत	ɦ AI ə AG d AB ʒ AB ɑː AG m AE ə AG t̪ AB
हज्ज	ɦ AI ə AG d AB ʒ AB d AB ʒ AB
हटना	ɦ AI ə AG ʈ AB n AB ɑː AG
हटाना	ɦ AI ə AG ʈ AB ɑː AG n AB ɑː AG
हड़गिल्ला	ɦ AI ə AG ɽ AJ ɡ AB ɪ AG l AD l AD ɑː AG
हड़ताल	ɦ AI ə AG ɽ AJ t̪ AB ɑː AG l AD
हड़ताली	ɦ AI ə AG ɽ AJ t̪ AB ɑː AG l AD iː AG
हड़बड़ाना	ɦ AI ə AG ɽ AJ b AE ə AG ɽ AJ ɑː AG n AB ɑː AG
हड़बड़ी	ɦ AI ə AG ɽ AJ b AE ə AG ɽ AJ iː AG
हड्डी	ɦ AI ə AG ɖ AB ɖ AB iː AG
हताश	ɦ AI ə AG t̪ AB ɑː AG ʃ AB
हताशा	ɦ AI ə AG t̪ AB ɑː AG ʃ AB ɑː AG
हताहत	ɦ AI ə AG t̪ AB ɑː AG ɦ AI ə AG t̪ AB
हतोत्साहित	ɦ AI ə AG t̪ AB oː AH t̪ AB s AB ɑː AG ɦ AI ɪ AG t̪ AB
हत्या	ɦ AI ə AG t̪ AB j AA ɑː AG
हत्यारा	ɦ AI ə AG t̪ AB j AA ɑː AG ɾ AJ ɑː AG
हथकड़ी	ɦ AI ə AG t̪ʰ AC k AB ə AG ɽ AJ iː AG
हथकरघा	ɦ AI ə AG t̪ʰ AC k AB ə AG ɾ AJ ɡʱ AC ɑː AG
हथगोला	ɦ AI ə AG t̪ʰ AC ɡ AB oː AH l AD ɑː AG
हथियार	ɦ AI ə AG t̪ʰ AC ɪ AG j AA ɑː AG ɾ AJ
हथियारबंद	ɦ AI ə AG t̪ʰ AC ɪ AG j AA ɑː AG ɾ AJ b AE ə AG n AB d̪ AB
हथेली	ɦ AI ə AG t̪ʰ AC eː AG l AD iː AG
हथौड़ा	ɦ AI ə AG t̪ʰ AC ɔː AH ɽ AJ ɑː AG
हथ्यार	ɦ AI ə AG t̪ʰ AC j AA ɑː AG ɾ AJ
हदीस	ɦ AI ə AG d̪ AB iː AG s AB
हनीमून	ɦ AI ə AG n AB iː AG m AE uː AH n AB
हनुमान	ɦ AI ə AG n AB ʊ AH m AE ɑː AG n AB
हबक्क़ूक़	ɦ AI ə AG b AE ə AG q AB q AB ʊ AH q AB
हबीब	ɦ AI ə AG b AE iː AG b AE
हब्शी	ɦ AI ə AG b AE ʃ AB iː AG
हम	ɦ AI ə AG m AE
हमको	ɦ AI ə AG m AE k AB oː AH
हमला	ɦ AI ə AG m AE l AD ɑː AG
हमलावर	ɦ AI ə AG m AE l AD ɑː AG ʋ AK ə AG ɾ AJ
हमसफ़र	ɦ AI ə AG m AE s AB ə AG pʰ AF ə AG ɾ AJ
हमसाया	ɦ AI ə AG m AE s AB ɑː AG j AA ɑː AG
हमाम	ɦ AI ə AG m AE ɑː AG m AE
हमारा	ɦ AI ə AG m AE ɑː AG ɾ AJ ɑː AG
हमाहमी	ɦ AI ə AG m AE ɑː AG ɦ AI ə AG m AE iː AG
हमें	ɦ AI ə AG m AE ẽː
हयात	ɦ AI ə AG j AA ɑː AG t̪ AB
हरकत	ɦ AI ə AG ɾ AJ k AB ə AG t̪ AB
हरगिज़	ɦ AI ə AG ɾ AJ ɡ AB ɪ AG z AB
हरफ	ɦ AI ə AG ɾ AJ ə AG pʰ AF
हरफ़	ɦ AI ə AG ɾ AJ ə AG pʰ AF
हराना	ɦ AI ə AG ɾ AJ ɑː AG n AB ɑː AG
हराम	ɦ AI ə AG ɾ AJ ɑː AG m AE
हरामख़ोर	ɦ AI ə AG ɾ AJ ɑː AG m AE x AB oː AH ɾ AJ
हरामज़ादा	ɦ AI ə AG ɾ AJ ɑː AG m AE z AB ɑː AG d̪ AB ɑː AG
हरामी	ɦ AI ə AG ɾ AJ ɑː AG m AE iː AG
हरिजन	ɦ AI ə AG ɾ AJ ɪ AG d AB ʒ AB ə AG n AB
हरित	ɦ AI ə AG ɾ AJ ɪ AG t̪ AB
हरियाणवी	ɦ AI ə AG ɾ AJ ɪ AG j AA ɑː AG ɳ AB ʋ AK iː AG
हरियाणा	ɦ AI ə AG ɾ AJ ɪ AG j AA ɑː AG ɳ AB ɑː AG
हरियाली	ɦ AI ə AG ɾ AJ ɪ AG j AA ɑː AG l AD iː AG
हरिस	ɦ AI ə AG ɾ AJ ɪ AG s AB
हरेक	ɦ AI ə AG ɾ AJ eː AG k AB
हरेणु	ɦ AI ə AG ɾ AJ eː AG ɳ AB uː AH
हर्ज	ɦ AI ə AG ɾ AJ d AB ʒ AB
हर्फ़	ɦ AI ə AG ɾ AJ pʰ AF
हर्ष	ɦ AI ə AG ɾ AJ ʂ AB
हर्षित	ɦ AI ə AG ɾ AJ ʂ AB ɪ AG t̪ AB
हल	ɦ AI ə AG l AD
हलंत	ɦ AI ə AG l AD ə AG n AB t̪ AB
हलक़	ɦ AI ə AG l AD q AB
हलक़ा	ɦ AI ə AG l AD q AB ɑː AG
हलचल	ɦ AI ə AG l AD t AB ʃ AB ə AG l AD
हलदी	ɦ AI ə AG l AD d̪ AB iː AG
हलफ़नामा	ɦ AI ə AG l AD ə AG pʰ AF n AB ɑː AG m AE ɑː AG
हलब	ɦ AI ə AG l AD ə AG b AE
हलवा	ɦ AI ə AG l AD ʋ AK ɑː AG
हलाक	ɦ AI ə AG l AD ɑː AG k AB
हलाल	ɦ AI ə AG l AD ɑː AG l AD
हलो	ɦ AI ə AG l AD oː AH
हल्क़ा	ɦ AI ə AG l AD q AB ɑː AG
हल्का	ɦ AI ə AG l AD k AB ɑː AG
हल्दी	ɦ AI ə AG l AD d̪ AB iː AG
हल्ला	ɦ AI ə AG l AD l AD ɑː AG
हवलदार	ɦ AI ə AG ʋ AK ə AG l AD d̪ AB ɑː AG ɾ AJ
हवस	ɦ AI ə AG ʋ AK ə AG s AB
हवा	ɦ AI ə AG ʋ AK ɑː AG
हवाई	ɦ AI ə AG ʋ AK ɑː AG iː AG
हवाला	ɦ AI ə AG ʋ AK ɑː AG l AD ɑː AG
हवालात	ɦ AI ə AG ʋ AK ɑː AG l AD ɑː AG t̪ AB
हवेली	ɦ AI ə AG ʋ AK eː AG l AD iː AG
हसरत	ɦ AI ə AG s AB ɾ AJ ə AG t̪ AB
हसीन	ɦ AI ə AG s AB iː AG n AB
हसीना	ɦ AI ə AG s AB iː AG n AB ɑː AG
हस्तक्षेप	ɦ AI ə AG s AB t̪ AB ə AG k AB ʂ AB eː AG p AE
हस्तत्राण	ɦ AI ə AG s AB t̪ AB ə AG t̪ AB ɾ AJ ɑː AG ɳ AB
हस्तमैथुन	ɦ AI ə AG s AB t̪ AB m AE ɛː AG t̪ʰ AC ʊ AH n AB
हस्तलिखित	ɦ AI ə AG s AB t̪ AB l AD ɪ AG kʰ AC ɪ AG t̪ AB
हस्तशिल्प	ɦ AI ə AG s AB t̪ AB ə AG ʃ AB ɪ AG l AD p AE
हस्ताक्षर	ɦ AI ə AG s AB t̪ AB ɑː AG k AB ʂ AB ə AG ɾ AJ
हस्ती	ɦ AI ə AG s AB t̪ AB iː AG
हाँ	ɦ AI ɑ̃ː AG
हाँगर	ɦ AI ɑː AG ŋ AB ɡ AB ə AG ɾ AJ
हाइड्रोजन	ɦ AI ɑː AG ɪ AG ɖ AB ɾ AJ oː AH d AB ʒ AB ə AG n AB
हाइपरटेक्स्ट	ɦ AI ɑː AG ɪ AG p AE ə AG ɾ AJ ʈ AB eː AG k AB s AB ʈ AB
हाउस	ɦ AI ɑː AG ʊ AH s AB
हाज़िर	ɦ AI ɑː AG z AB ɪ AG ɾ AJ
हाज़िरजवाब	ɦ AI ɑː AG z AB ɪ AG ɾ AJ d AB ʒ AB ə AG ʋ AK ɑː AG b AE
हाज़िरजवाबी	ɦ AI ɑː AG z AB ɪ AG ɾ AJ d AB ʒ AB ə AG ʋ AK ɑː AG b AE iː AG
हाजिरा	ɦ AI ɑː AG d AB ʒ AB ɪ AG ɾ AJ ɑː AG
हाथ	ɦ AI ɑː AG t̪ʰ AC
हाथी	ɦ AI ɑː AG t̪ʰ AC iː AG
हादसा	ɦ AI ɑː AG d̪ AB s AB ɑː AG
हाफ़िज़ा	ɦ AI ɑː AG pʰ AF ɪ AG d AB ʒ AB ɑː AG
हामी	ɦ AI ɑː AG m AE iː AG
हाय	ɦ AI ɑː AG j AA
हार	ɦ AI ɑː AG ɾ AJ
हार्दिक	ɦ AI ɑː AG ɾ AJ d̪ AB ɪ AG k AB
हाल	ɦ AI ɑː AG l AD
हालत	ɦ AI ɑː AG l AD ə AG t̪ AB
हालाँकि	ɦ AI ɑː AG l AD ɑ̃ː AG k AB iː AG
हालात	ɦ AI ɑː AG l AD ɑː AG t̪ AB
हालिया	ɦ AI ɑː AG l AD ɪ AG j AA ɑː AG
हास	ɦ AI ɑː AG s AB
हासिल	ɦ AI ɑː AG s AB ɪ AG l AD
हास्यास्पद	ɦ AI ɑː AG s AB j AA ɑː AG s AB p AE ə AG d̪ AB
हिंग्लिश	ɦ AI ɪ AG ŋ AB ɡ AB l AD ɪ AG ʃ AB
हिंडोला	ɦ AI ɪ AG ɳ AB ɖ AB oː AH l AD ɑː AG
हिंद	ɦ AI ɪ AG n AB d̪ AB
हिंदको	ɦ AI ɪ AG n AB d̪ AB k AB oː AH
हिंदवी	ɦ AI ɪ AG n AB d̪ AB ʋ AK iː AG
हिंदी	ɦ AI ɪ AG n AB d̪ AB iː AG
हिंदुत्ववादी	ɦ AI ɪ AG n AB d̪ AB ʊ AH t̪ AB ʋ AK ə AG ʋ AK ɑː AG d̪ AB iː AG
हिंदुस्तान	ɦ AI ɪ AG n AB d̪ AB ʊ AH s AB t̪ AB ɑː AG n AB
हिंदुस्तानी	ɦ AI ɪ AG n AB d̪ AB ʊ AH s AB t̪ AB ɑː AG n AB iː AG
हिंदू	ɦ AI ɪ AG n AB d̪ AB uː AH
हिंसा	ɦ AI ɪ AG n AB s AB ɑː AG
हिंसात्मक	ɦ AI ɪ AG n AB s AB ɑː AG t̪ AB m AE ə AG k AB
हिक्का	ɦ AI ɪ AG k AB k AB ɑː AG
हिचकना	ɦ AI ɪ AG t AB ʃ AB ə AG k AB n AB ɑː AG
हिचकिचाना	ɦ AI ɪ AG t AB ʃ AB k AB ɪ AG t AB ʃ AB ɑː AG n AB ɑː AG
हिचकी	ɦ AI ɪ AG t AB ʃ AB k AB iː AG
हिजड़ा	ɦ AI ɪ AG d AB ʒ AB ɽ AJ ɑː AG
हिजरत	ɦ AI ɪ AG d AB ʒ AB ɾ AJ ə AG t̪ AB
हिजरी	ɦ AI ɪ AG d AB ʒ AB ɾ AJ iː AG
हित	ɦ AI ɪ AG t̪ AB
हितकार	ɦ AI ɪ AG t̪ AB k AB ɑː AG ɾ AJ
हितकारिणी	ɦ AI ɪ AG t̪ AB k AB ɑː AG ɾ AJ ɪ AG ɳ AB iː AG
हितकारी	ɦ AI ɪ AG t̪ AB k AB ɑː AG ɾ AJ iː AG
हितैषी	ɦ AI ɪ AG t̪ AB ɛː AG ʂ AB iː AG
हिन्दचीन	ɦ AI ɪ AG n AB d̪ AB t AB ʃ AB iː AG n AB
हिन्दवी	ɦ AI ɪ AG n AB d̪ AB ʋ AK iː AG
हिन्दी	ɦ AI ɪ AG n AB d̪ AB iː AG
हिन्दुस्तान	ɦ AI ɪ AG n AB d̪ AB ʊ AH s AB t̪ AB ɑː AG n AB
हिन्दुस्तानी	ɦ AI ɪ AG n AB d̪ AB ʊ AH s AB t̪ AB ɑː AG n AB iː AG
हिन्दू	ɦ AI ɪ AG n AB d̪ AB uː AH
हिम	ɦ AI ɪ AG m AE
हिमपात	ɦ AI ɪ AG m AE p AE ɑː AG t̪ AB
हिमशैल	ɦ AI ɪ AG m AE ʃ AB ɛː AG l AD
हिमस्खलन	ɦ AI ɪ AG m AE s AB kʰ AC ə AG l AD ə AG n AB
हिमांक	ɦ AI ɪ AG m AE ɑ̃ː AG k AB
हिमाक़त	ɦ AI ɪ AG m AE ɑː AG q AB ə AG t̪ AB
हिमाद्रि	ɦ AI ɪ AG m AE ɑː AG d̪ AB ɾ AJ iː AG
हिम्मतवर	ɦ AI ɪ AG m AE m AE ə AG t̪ AB ʋ AK ə AG ɾ AJ
हिया	ɦ AI ɪ AG j AA ɑː AG
हिरन	ɦ AI ɪ AG ɾ AJ ə AG n AB
हिरासत	ɦ AI ɪ AG ɾ AJ ɑː AG s AB ə AG t̪ AB
