अ	ə AF
शिरोरेखा	ʃ ɪ AF ɾ oː AC ɾ eː AB kʰ ɑː AB
शिलांग	ʃ ɪ AF l ɑː AB ŋ ɡ
शिलातैल	ʃ ɪ AF l ɑː AB t̪ ɛː AB l
शिल्प	ʃ ɪ AF l p
शिल्पकार	ʃ ɪ AF l p k ɑː AB ɾ
शिल्पशाला	ʃ ɪ AF l p ʃ ɑː AB l ɑː AB
शिव	ʃ ɪ AF ʋ AI ɑː AB
शिवलिंग	ʃ ɪ AF ʋ AI l ɪ AF ŋ ɡ
शिवांबु	ʃ ɪ AF ʋ AI ɑː AB m b uː AC
शिवालय	ʃ ɪ AF ʋ AI ɑː AB l ə AF j AA
शिविर	ʃ ɪ AF ʋ AI ɪ AF ɾ
शिशु	ʃ ɪ AF ʃ uː AC
शिशुशाला	ʃ ɪ AF ʃ ʊ AD ʃ ɑː AB l ɑː AB
शिश्नमुंड	ʃ ɪ AF ʃ n ə AF m ʊ AD ɳ ɖ
शिश्नो	ʃ ɪ AF ʃ n oː AC
शिश्नों	ʃ ɪ AF ʃ n õː
शिष्ट	ʃ ɪ AF ʂ ʈ
शिष्या	ʃ ɪ AF ʂ j AA ɑː AB
शीघ्रता	ʃ iː AB ɡʱ ɾ ə AF t̪ ɑː AB
शीत	ʃ iː AB t̪
शीर	ʃ iː AB ɾ
शीरी	ʃ iː AB ɾ iː AB
शीर्ष	ʃ iː AB ɾ ʂ
शीर्षक	ʃ iː AB ɾ ʂ ə AF k
शीर्षासन	ʃ iː AB ɾ ʂ ɑː AB s ə AF n
शीशा	ʃ iː AB ʃ ɑː AB
शीशी	ʃ iː AB ʃ iː AB
शुक्र	ʃ ʊ AD k ɾ
शुक्रगुज़ार	ʃ ʊ AD k ɾ ə AF ɡ ʊ AD z ɑː AB ɾ
शुक्रवार	ʃ ʊ AD k ɾ ə AF ʋ AI ɑː AB ɾ
शुक्राणु	ʃ ʊ AD k ɾ ɑː AB ɳ uː AC
शुक्रिया	ʃ ʊ AD k ɾ ɪ AF j AA ɑː AB
शुतुर	ʃ ʊ AD t̪ ʊ AD ɾ
शुतुरमुर्ग़	ʃ ʊ AD t̪ ʊ AD ɾ m ʊ AD ɾ ɣ
शुद्ध	ʃ ʊ AD d̪ d̪ʱ
शुद्धगतिकी	ʃ ʊ AD d̪ d̪ʱ ə AF ɡ t̪ ɪ AF k iː AB
शुभ	ʃ ʊ AD bʱ
शुभकामना	ʃ ʊ AD bʱ k ɑː AB m n ɑː AB
शुभेच्छु	ʃ ʊ AD bʱ eː AB t ʃ t ʃʰ uː AC
शुरु	ʃ ʊ AD ɾ uː AC
शुरुआत	ʃ ʊ AD ɾ ʋ AI ɑː AB t̪
शुरुआती	ʃ ʊ AD ɾ ʊ AD ɑː AB t̪ iː AB
शुरू	ʃ ʊ AD ɾ uː AC
शुल्क	ʃ ʊ AD l k
शुष्क	ʃ ʊ AD ʂ k
शुष्कफल	ʃ ʊ AD ʂ k ə AF pʰ ə AF l
शू	ʃ uː AC
शूटिंग	ʃ uː AC ʈ ɪ AF ŋ ɡ
शून्य	ʃ uː AC n j AA ə AF
शूर	ʃ uː AC ɾ
शूरसेन	ʃ uː AC ɾ s eː AB n
शृंखला	ʃ ɾ ɪ AF ŋ kʰ l ɑː AB
शृंग	ʃ ɾ ɪ AF ŋ ɡ
शेख़ी	ʃ eː AB x iː AB
शेख़ूपुरा	ʃ eː AB x uː AC p ʊ AD ɾ ɑː AB
शेयरधारक	ʃ eː AB j AA ə AF ɾ d̪ʱ ɑː AB ɾ ə AF k
शेर	ʃ eː AB ɾ
शेरनी	ʃ eː AB ɾ n iː AB
शेष	ʃ eː AB ʂ
शैंपू	ʃ ɛː AB m p uː AC
शैक्षणिक	ʃ ɛː AB k ʂ ə AF ɳ ɪ AF k
शैतान	ʃ ɛː AB t̪ ɑː AB n
शैतानी	ʃ ɛː AB t̪ ɑː AB n iː AB
शैली	ʃ ɛː AB l iː AB
शैवाल	ʃ ɛː AB ʋ AI ɑː AB l
शैशव	ʃ ɛː AB ʃ ə AF ʋ AI
शो	ʃ oː AC
शोक	ʃ oː AC k
शोथ	ʃ oː AC t̪ʰ
शोध	ʃ oː AC d̪ʱ
शोधक	ʃ oː AC d̪ʱ ə AF k
शोधना	ʃ oː AC d̪ʱ n ɑː AB
शोर	ʃ oː AC ɾ
शोला	ʃ oː AC l ɑː AB
शोषण	ʃ oː AC ʂ ə AF ɳ
शोषित	ʃ oː AC ʂ ɪ AF t̪
शोहरत	ʃ oː AC ɦ AE ɾ ə AF t̪
शौकत	ʃ ɔː AC k ə AF t̪
शौक़ीन	ʃ ɔː AC q iː AB n
शौच	ʃ ɔː AC t ʃ
शौचालय	ʃ ɔː AC t ʃ ɑː AB l ə AF j AA
शौरसेनी	ʃ ɔː AC ɾ s eː AB n iː AB
शौहर	ʃ ɔː AC ɦ AE ə AF ɾ
श्मशान	ʃ m ə AF ʃ ɑː AB n
श्यान	ʃ j AA ɑː AB n
श्यानता	ʃ j AA ɑː AB n t̪ ɑː AB
श्याम	ʃ j AA ɑː AB m
श्यामदेश	ʃ j AA ɑː AB m d̪ eː AB ʃ
श्येन	ʃ j AA eː AB n
श्रद्धा	ʃ ɾ ə AF d̪ d̪ʱ ɑː AB
श्रद्धालु	ʃ ɾ ə AF d̪ d̪ʱ ɑː AB l uː AC
श्रद्धेय	ʃ ɾ ə AF d̪ d̪ʱ eː AB j AA
श्रमण	ʃ ɾ ə AF m ə AF ɳ
श्रमिक	ʃ ɾ ə AF m ɪ AF k
श्रामणेर	ʃ ɾ ɑː AB m ɳ eː AB ɾ
श्रावण	ʃ ɾ ɑː AB ʋ AI ə AF ɳ
श्री	ʃ ɾ iː AB
श्रीकाकुलम	ʃ ɾ iː AB k ɑː AB k ʊ AD l ə AF m
श्रीनगर	ʃ ɾ iː AB n ə AF ɡ ə AF ɾ
श्रीफल	ʃ ɾ iː AB pʰ ə AF l
श्रीमती	ʃ ɾ iː AB m t̪ iː AB
श्रीलंका	ʃ ɾ iː AB l ə AF ŋ k ɑː AB
श्रुति	ʃ ɾ ʊ AD t̪ iː AB
श्रेणी	ʃ ɾ eː AB ɳ iː AB
श्रेणीबद्ध	ʃ ɾ eː AB ɳ iː AB b ə AF d̪ d̪ʱ
श्रेष्ठ	ʃ ɾ eː AB ʂ ʈʰ
श्रोता	ʃ ɾ oː AC t̪ ɑː AB
श्लोक	ʃ l oː AC k
श्वः	ʃ ʋ AI ə AF ɦ AE
श्वसन	ʃ ʋ AI ə AF s ə AF n
श्वान	ʃ ʋ AI ɑː AB n
श्वेत	ʃ ʋ AI eː AB t̪
श्वेतप्रदर	ʃ ʋ AI eː AB t̪ p ɾ ə AF d̪ ə AF ɾ
श्वेता	ʃ ʋ AI eː AB t̪ ɑː AB
ष	ʂ ə AF
षट्कोण	ʂ ə AF ʈ k oː AC ɳ
षष्ठी	ʂ ə AF ʂ ʈʰ iː AB
षाण्मासिक	ʂ ɑː AB ɳ m ɑː AB s ɪ AF k
स	s ə AF
संकट	s ə AF ŋ k ə AF ʈ
संकलक	s ə AF ŋ k ə AF l ə AF k
संकलन	s ə AF ŋ k ə AF l ə AF n
संकल्प	s ə AF ŋ k ə AF l p
संकल्पना	s ə AF ŋ k ə AF l p ə AF n ɑː AB
संकेत	s ə AF ŋ k eː AB t̪
संकोच	s ə AF ŋ k oː AC t ʃ
संक्रमण	s ə AF ŋ k ɾ ə AF m ə AF ɳ
संक्रमित	s ə AF ŋ k ɾ ə AF m ɪ AF t̪
संक्रांति	s ə AF ŋ k ɾ ɑː AB n t̪ iː AB
संक्रामक	s ə AF ŋ k ɾ ɑː AB m ə AF k
संक्षिप्त	s ə AF ŋ k ʂ ɪ AF p t̪
संक्षिप्तीकरण	s ə AF ŋ k ʂ ɪ AF p t̪ iː AB k ə AF ɾ ə AF ɳ
संख्या	s ə AF ŋ kʰ j AA ɑː AB
संग	s ə AF ŋ ɡ
संगठन	s ə AF ŋ ɡ ə AF ʈʰ ə AF n
संगठनात्मक	s ə AF ŋ ɡ ə AF ʈʰ ə AF n ɑː AB t̪ m ə AF k
संगणक	s ə AF ŋ ɡ ə AF ɳ ə AF k
संगम	s ə AF ŋ ɡ ə AF m
संगमरमर	s ə AF ŋ ɡ m ə AF ɾ m ə AF ɾ
संगीत	s ə AF ŋ ɡ iː AB t̪
संगीन	s ə AF ŋ ɡ iː AB n
संगोष्ठी	s ə AF ŋ ɡ oː AC ʂ ʈʰ iː AB
संग्रंथन	s ə AF ŋ ɡ ɾ ə AF n t̪ʰ ə AF n
संग्रथन	s ə AF ŋ ɡ ɾ ə AF t̪ʰ ə AF n
संग्रन्थन	s ə AF ŋ ɡ ɾ ə AF n t̪ʰ ə AF n
संग्रह	s ə AF ŋ ɡ ɾ ə AF ɦ AE
संग्रहालय	s ə AF ŋ ɡ ɾ ə AF ɦ AE ɑː AB l ə AF j AA
संग्राम	s ə AF ŋ ɡ ɾ ɑː AB m
संघ	s ə AF ŋ ɡʱ
संचयन	s ə̃ AJ t ʃ ə AF j AA ə AF n
संचार	s ə AF n t ʃ ɑː AB ɾ
संजय	s ə AF n d ʒ ə AF j AA
संजाल	s ə AF n d ʒ ɑː AB l
संज्ञा	s ə AF ŋ ɡ j AA ɑː AB
संडास	s ə AF ɳ ɖ ɑː AB s
संत	s ə AF n t̪
संतरा	s ə AF n t̪ ɾ ɑː AB
संतान	s ə AF n t̪ ɑː AB n
संतुलन	s ə AF n t̪ ʊ AD l ə AF n
संतुलित	s ə AF n t̪ ʊ AD l ɪ AF t̪
संतोष	s ə AF n t̪ oː AC ʂ
संतोषी	s ə AF n t̪ oː AC ʂ iː AB
संदर्भ	s ə AF n d̪ ə AF ɾ bʱ
संदल	s ə AF n d̪ ə AF l
संदिग्ध	s ə AF n d̪ ɪ AF ɡ d̪ʱ
संदूक़	s ə AF n d̪ uː AC q
संदूक़चा	s ə AF n d̪ uː AC q t ʃ ɑː AB
संदूषण	s ə AF n d̪ uː AC ʂ ə AF ɳ
संदेय	s ə AF n d̪ eː AB j AA
संदेश	s ə AF n d̪ eː AB ʃ
संदेह	s ə AF n d̪ eː AB ɦ AE
संध्या	s ə AF n d̪ʱ j AA ɑː AB
संन्यास	s ə AF n n j AA ɑː AB s
संन्यासिनी	s ə AF n n j AA ɑː AB s ɪ AF n iː AB
संन्यासी	s ə AF n n j AA ɑː AB s iː AB
संपत्ति	s ə AF m p ə AF t̪ t̪ iː AB
संपदा	s ə AF m p ə AF d̪ ɑː AB
संपर्क	s ə AF m p ə AF ɾ k
संपादक	s ə AF m p ɑː AB d̪ ə AF k
संपादन	s ə AF m p ɑː AB d̪ ə AF n
संपूर्ण	s ə AF m p uː AC ɾ ɳ
संपूर्णता	s ə AF m p uː AC ɾ ɳ t̪ ɑː AB
संप्रति	s ə AF m p ɾ ə AF t̪ iː AB
संप्रदाय	s ə AF m p ɾ ə AF d̪ ɑː AB j AA
संप्रभु	s ə AF m p ɾ ə AF bʱ uː AC
संप्रभुता	s ə AF m p ɾ ə AF bʱ ʊ AD t̪ ɑː AB
संबंध	s ə AF m b ə AF n d̪ʱ
संबंधी	s ə AF m b ə AF n d̪ʱ iː AB
संबोधित	s ə AF m b oː AC d̪ʱ ɪ AF t̪
संभव	s ə AF m bʱ ə AF ʋ AI
संभालना	s ə AF m bʱ ɑː AB l n ɑː AB
संभावना	s ə AF m bʱ ɑː AB ʋ AI n ɑː AB
संभोग	s ə AF m bʱ oː AC ɡ
संयम	s ə̃ AJ j AA ə AF m
संयमिनी	s ə AF n j AA ə AF m ɪ AF n iː AB
संयमी	s ə AF n j AA ə AF m iː AB
संयुक्त	s ə̃ AJ j AA ʊ AD k t̪
संयुक्ताक्षर	s ə̃ AJ j AA ʊ AD k t̪ ɑː AB k ʂ ə AF ɾ
संयोग	s ə̃ AJ j AA oː AC ɡ
संयोगवश	s ə̃ AJ j AA oː AC ɡ ʋ AI ə AF ʃ
संयोजक	s ə̃ AJ j AA oː AC d ʒ ə AF k
संयोजकता	s ə̃ AJ j AA oː AC d ʒ ə AF k t̪ ɑː AB
संरक्षण	s ə̃ AJ ɾ ə AF k ʂ ə AF ɳ
संरक्षणवाद	s ə̃ AJ ɾ ə AF k ʂ ə AF ɳ ʋ AI ɑː AB d̪
संरक्षित	s ə̃ AJ ɾ ə AF k ʂ ɪ AF t̪
संरचना	s ə̃ AJ ɾ ə AF t ʃ n ɑː AB
संरचनात्मक	s ə̃ AJ ɾ ə AF t ʃ n ɑː AB t̪ m ə AF k
संलक्षण	s ə̃ AJ l ə AF k ʂ ə AF ɳ
संलयन	s ə̃ AJ l ə AF j AA ə AF n
संलिप्त	s ə̃ AJ l ɪ AF p t̪
संवत्सर	s ə AF m ʋ AI ə AF t̪ s ə AF ɾ
संवत्सरी	s ə AF m ʋ AI ə AF t̪ s ə AF ɾ iː AB
संवर्धन	s ə AF m ʋ AI ə AF ɾ d̪ʱ ə AF n
संवहन	s ə AF m ʋ AI ə AF ɦ AE ə AF n
संवाद	s ə AF m ʋ AI ɑː AB d̪
संवाददाता	s ə AF m ʋ AI ɑː AB d̪ d̪ ɑː AB t̪ ɑː AB
संवाहिका	s ə AF m ʋ AI ɑː AB ɦ AE ɪ AF k ɑː AB
संवेग	s ə AF m ʋ AI eː AB ɡ
संवेदनशील	s ə AF m ʋ AI eː AB d̪ ə AF n ʃ iː AB l
संवेदना	s ə AF m ʋ AI eː AB d̪ n ɑː AB
संवैधानिक	s ə AF m ʋ AI ɛː AB d̪ʱ ɑː AB n ɪ AF k
संशोधन	s ə AF n ʃ oː AC d̪ʱ ə AF n
संशोधित	s ə AF n ʃ oː AC d̪ʱ ɪ AF t̪
संश्लिष्ट	s ə AF n ʃ l ɪ AF ʂ ʈ
संसद	s ə AF n s ə AF d̪
संसदीय	s ə AF n s ə AF d̪ iː AB j AA
संसाधन	s ə AF n s ɑː AB d̪ʱ ə AF n
संसार	s ə AF n s ɑː AB ɾ
संसिद्धि	s ə AF n s ɪ AF d̪ d̪ʱ iː AB
संस्कारी	s ə AF n s k ɑː AB ɾ iː AB
संस्कृत	s ə AF n s k ɾ ɪ AF t̪
संस्कृति	s ə AF n s k ɾ ɪ AF t̪ iː AB
संस्था	s ə AF n s t̪ʰ ɑː AB
संस्थान	s ə AF n s t̪ʰ ɑː AB n
संस्थापक	s ə AF n s t̪ʰ ɑː AB p ə AF k
संहार	s ə̃ AJ ɦ AE ɑː AB ɾ
संहिता	s ə̃ AJ ɦ AE ɪ AF t̪ ɑː AB
सकत	s ə AF k ə AF t̪
सकता	s ə AF k t̪ ɑː AB
सकना	s ə AF k n ɑː AB
सकर्मक	s ə AF k ə AF ɾ m ə AF k
सकल	s ə AF k ə AF l
सकार	s ə AF k ɑː AB ɾ
सक्त	s ə AF k t̪
सक्रिय	s ə AF k ɾ ɪ AF j AA
सक्षम	s ə AF k ʂ ə AF m
सक्सेना	s ə AF k s eː AB n ɑː AB
सख़्ती	s ə AF x t̪ iː AB
सखा	s ə AF kʰ ɑː AB
सख्खर	s ə AF kʰ kʰ ə AF ɾ
सगाई	s ə AF ɡ ɑː AB iː AB
सघन	s ə AF ɡʱ ə AF n
सघोष	s ə AF ɡʱ oː AC ʂ
सच	s ə AF t ʃ
सचमुच	s ə AF t ʃ m ʊ AD t ʃ
सचिव	s ə AF t ʃ ɪ AF ʋ AI
सच्चा	s ə AF t ʃ t ʃ ɑː AB
सजल	s ə AF d ʒ ə AF l
सज़ा	s ə AF z ɑː AB
सजाना	s ə AF d ʒ ɑː AB n ɑː AB
सजावट	s ə AF d ʒ ɑː AB ʋ AI ə AF ʈ
सजावटी	s ə AF d ʒ ɑː AB ʋ AI ʈ iː AB
सजीवता	s ə AF d ʒ iː AB ʋ AI t̪ ɑː AB
सज्जन	s ə AF d ʒ d ʒ ə AF n
सज्जा	s ə AF d ʒ d ʒ ɑː AB
सज्जित	s ə AF d ʒ d ʒ ɪ AF t̪
सटकना	s ə AF ʈ ə AF k n ɑː AB
सटीक	s ə AF ʈ iː AB k
सट्टा	s ə AF ʈ ʈ ɑː AB
सट्टेबाज़	s ə AF ʈ ʈ eː AB b ɑː AB z
सट्टेबाज़ी	s ə AF ʈ ʈ eː AB b ɑː AB z iː AB
सड़क	s ə AF ɽ ə AF k
सड़कछाप	s ə AF ɽ ə AF k t ʃʰ ɑː AB p
सड़ना	s ə AF ɽ n ɑː AB
सड़सठ	s ə AF ɽ s ə AF ʈʰ
सड़ियल	s ə AF ɽ ɪ AF j AA ə AF l
सतलुज	s ə AF t̪ l ʊ AD d ʒ
सतह	s ə AF t̪ ə AF ɦ AE
सतहत्तर	s ə AF t̪ʰ ə AF t̪ t̪ ə AF ɾ
सताना	s ə AF t̪ ɑː AB n ɑː AB
सत्तर	s ə AF t̪ t̪ ə AF ɾ
सत्ता	s ə AF t̪ t̪ ɑː AB
सत्ताईस	s ə AF t̪ t̪ ɑː AB iː AB s
सत्तानवे	s ə AF t̪ t̪ ɑː AB n ʋ AI eː AB
सत्तारूढ़	s ə AF t̪ t̪ ɑː AB ɾ uː AC ɽʱ
सत्तावन	s ə AF t̪ t̪ ɑː AB ʋ AI ə AF n
सत्तावाद	s ə AF t̪ t̪ ɑː AB ʋ AI ɑː AB d̪
सत्तासी	s ə AF t̪ t̪ ɑː AB s iː AB
सत्याग्रह	s ə AF t̪ j AA ɑː AB ɡ ɾ ə AF ɦ AE
सत्यापन	s ə AF t̪ j AA ɑː AB p ə AF n
सत्यापनों	s ə AF t̪ j AA ɑː AB p n õː
सत्रह	s ə AF t̪ ɾ ə AF ɦ AE
सत्वर	s ə AF t̪ ʋ AI ə AF ɾ
सदन	s ə AF d̪ ə AF n
सदमा	s ə AF d̪ m ɑː AB
सदर	s ə AF d̪ ɾ
सदरी	s ə AF d̪ ɾ iː AB
सदा	s ə AF d̪ ɑː AB
सदाबहार	s ə AF d̪ ɑː AB b ə AF ɦ AE ɑː AB ɾ
सदिश	s ə AF d̪ ɪ AF ʃ
सदैव	s ə AF d̪ ɛː AB ʋ AI
सद्भावना	s ə AF d̪ bʱ ɑː AB ʋ AI n ɑː AB
सधुक्कड़ी	s ə AF d̪ʱ ʊ AD k k ə AF ɽ iː AB
सन	s ə AF n
सनक	s ə AF n ə AF k
सनकना	s ə AF n ə AF k n ɑː AB
सनसनी	s ə AF n s ə AF n iː AB
सनसनीख़ेज़	s ə AF n s ə AF n iː AB x eː AB z
सनातन	s ə AF n ɑː AB t̪ ə AF n
सन्	s ə AF n
सन्दूक़चा	s ə AF n d̪ uː AC q t ʃ ɑː AB
सन्देह	s ə AF n d̪ eː AB ɦ AE
सन्नाटा	s ə AF n n ɑː AB ʈ ɑː AB
सन्निकट	s ə AF n n ɪ AF k ə AF ʈ
सन्निकटन	s ə AF n n ɪ AF k ə AF ʈ ə AF n
सपूत	s ə AF p uː AC t̪
सप्तक	s ə AF p t̪ ə AF k
सप्ताह	s ə AF p t̪ ɑː AB ɦ AE
सप्ताहांत	s ə AF p t̪ ɑː AB ɦ AE ɑː AB n t̪
सफल	s ə AF pʰ ə AF l
सफ़र	s ə AF pʰ ə AF ɾ
सफ़रनामा	s ə AF pʰ ə AF ɾ n ɑː AB m ɑː AB
सफ़ाई	s ə AF pʰ ɑː AB iː AB
सफ़ेद	s ə AF pʰ eː AB d̪
सफेद	s ə AF pʰ eː AB d̪
सब	s ə AF b
सबक	s ə AF b ə AF q
सबब	s ə AF b ə AF b
सबील	s ə AF b iː AB l
सबूत	s ə AF b uː AC t̪
सब्ज़ी	s ə AF b z iː AB
सब्ज़ीमंडी	s ə AF b z iː AB m ə AF ɳ ɖ iː AB
सब्र	s ə AF b ɾ
सभा	s ə AF bʱ ɑː AB
सभ्यता	s ə AF bʱ j AA ə AF t̪ ɑː AB
सम	s ə AF m
समंदर	s ə AF m ə AF n d̪ ə AF ɾ
समकालीन	s ə AF m k ɑː AB l iː AB n
समकोण	s ə AF m k oː AC ɳ
समक्ष	s ə AF m ə AF k ʂ
समझदार	s ə AF m ə AF d ʒʱ d̪ ɑː AB ɾ
समझना	s ə AF m ə AF d ʒʱ n ɑː AB
समझाना	s ə AF m d ʒʱ ɑː AB n ɑː AB
समझौता	s ə AF m d ʒʱ ɔː AC t̪ ɑː AB
समतल	s ə AF m t̪ ə AF l
समधी	s ə AF m d̪ʱ iː AB
समनुषंगी	s ə AF m n ʊ AD ʂ ə AF ŋ ɡ iː AB
समन्वय	s ə AF m ə AF n ʋ AI ə AF j AA
समबाहु	s ə AF m b ɑː AB ɦ AE uː AC
सममिति	s ə AF m m ɪ AF t̪ iː AB
समय	s ə AF m ə AF j AA
समयसारणी	s ə AF m ə AF j AA s ɑː AB ɾ ɳ iː AB
समयसारिणी	s ə AF m ə AF j AA s ɑː AB ɾ ɪ AF ɳ iː AB
समयादेश	s ə AF m ə AF j AA ɑː AB d̪ eː AB ʃ
समयानुसार	s ə AF m j AA ɑː AB n ʊ AD s ɑː AB ɾ
समरूप	s ə AF m ɾ uː AC p
समर्थ	s ə AF m ə AF ɾ t̪ʰ
समर्थक	s ə AF m ə AF ɾ t̪ʰ ə AF k
समर्थन	s ə AF m ə AF ɾ t̪ʰ ə AF n
समर्पण	s ə AF m ə AF ɾ p ə AF ɳ
समष्टि	s ə AF m ə AF ʂ ʈ iː AB
समसामयिक	s ə AF m s ɑː AB m j AA ɪ AF k
समस्या	s ə AF m ə AF s j AA ɑː AB
समाकलन	s ə AF m ɑː AB k l ə AF n
समाचार	s ə AF m ɑː AB t ʃ ɑː AB ɾ
समाज	s ə AF m ɑː AB d ʒ
समाजवाद	s ə AF m ɑː AB d ʒ ʋ AI ɑː AB d̪
समाजवादी	s ə AF m ɑː AB d ʒ ʋ AI ɑː AB d̪ iː AB
समाजसेवा	s ə AF m ɑː AB d ʒ s eː AB ʋ AI ɑː AB
समाधान	s ə AF m ɑː AB d̪ʱ ɑː AB n
समाधि	s ə AF m ɑː AB d̪ʱ iː AB
समान	s ə AF m ɑː AB n
समाना	s ə AF m ɑː AB n ɑː AB
समापन	s ə AF m ɑː AB p ə AF n
समामेलक	s ə AF m ɑː AB m eː AB l ə AF k
समामेलन	s ə AF m ɑː AB m eː AB l ə AF n
समामेलित	s ə AF m ɑː AB m eː AB l ɪ AF t̪
समायोजन	s ə AF m ɑː AB j AA oː AC d ʒ ə AF n
समायोजित	s ə AF m ɑː AB j AA oː AC d ʒ ɪ AF t̪
समारोह	s ə AF m ɑː AB ɾ oː AC ɦ AE
समालोचना	s ə AF m ɑː AB l oː AC t ʃ n ɑː AB
समावेश	s ə AF m ɑː AB ʋ AI eː AB ʃ
समास	s ə AF m ɑː AB s
समिट	s ə AF m ɪ AF ʈ
समिति	s ə AF m ɪ AF t̪ iː AB
समीकरण	s ə AF m iː AB k ə AF ɾ ə AF ɳ
समीक्षा	s ə AF m iː AB k ʂ ɑː AB
समीप	s ə AF m iː AB p
समीर	s ə AF m iː AB ɾ
समुच्चय	s ə AF m ʊ AD t ʃ t ʃ ə AF j AA
समुच्चयबोधक	s ə AF m ʊ AD t ʃ t ʃ ə AF j AA b oː AC d̪ʱ ə AF k
समुत्थान	s ə AF m ʊ AD t̪ t̪ʰ ɑː AB n
समुदाय	s ə AF m ʊ AD d̪ ɑː AB j AA
समूह	s ə AF m uː AC ɦ AE
समूहन	s ə AF m uː AC ɦ AE ə AF n
समृद्धिकरण	s ə AF m ɾ ɪ AF d̪ d̪ʱ ɪ AF k ə AF ɾ ə AF ɳ
समेकन	s ə AF m eː AB k ə AF n
समेटना	s ə AF m eː AB ʈ n ɑː AB
समेत	s ə AF m eː AB t̪
समोसा	s ə AF m oː AC s ɑː AB
सम्पत्ति	s ə AF m p ə AF t̪ t̪ iː AB
सम्पादक	s ə AF m p ɑː AB d̪ ə AF k
सम्पादन	s ə AF m p ɑː AB d̪ ə AF n
सम्पूर्ण	s ə AF m p uː AC ɾ ɳ
सम्बन्धी	s ə AF m b ə AF n d̪ʱ iː AB
सम्मति	s ə AF m m ə AF t̪ iː AB
सम्मान	s ə AF m m ɑː AB n
सम्मानजनक	s ə AF m m ɑː AB n d ʒ ə AF n ə AF k
सम्मिलन	s ə AF m m ɪ AF l ə AF n
सम्मिलित	s ə AF m m ɪ AF l ɪ AF t̪
सम्मिश्रण	s ə AF m m ɪ AF ʃ ɾ ə AF ɳ
सम्मुख	s ə AF m m ʊ AD kʰ
सम्मेलन	s ə AF m m eː AB l ə AF n
सम्यक्	s ə AF m j AA ə AF k
सम्राज्ञी	s ə AF m ɾ ɑː AB ɡ j AA iː AB
सम्राट	s ə AF m ɾ ɑː AB ʈ
सयाना	s ə AF j AA ɑː AB n ɑː AB
सय्याद	s ə AF j AA j AA ɑː AB d̪
सर	s ə AF ɾ
सरंजाम	s ə AF ɾ ə AF n d ʒ ɑː AB m
सरकंडा	s ə AF ɾ k ə AF ɳ ɖ ɑː AB
सरकाना	s ə AF ɾ k ɑː AB n ɑː AB
सरकार	s ə AF ɾ k ɑː AB ɾ
सरगोधा	s ə AF ɾ ɡ oː AC d̪ʱ ɑː AB
सरद	s ə AF ɾ ə AF d̪
सरदार	s ə AF ɾ d̪ ɑː AB ɾ
सरदी	s ə AF ɾ d̪ iː AB
सरपंच	s ə AF ɾ p ə AF n t ʃ
सरफ़रोश	s ə AF ɾ pʰ ə AF ɾ oː AC ʃ
सरफिरा	s ə AF ɾ pʰ ɪ AF ɾ ɑː AB
सरल	s ə AF ɾ ə AF l
सरलीकृत	s ə AF ɾ l iː AB k ɾ ɪ AF t̪
सरसठ	s ə AF ɾ s ə AF ʈʰ
सरसों	s ə AF ɾ s õː
सरस्वती	s ə AF ɾ ə AF s ʋ AI ə AF t̪ iː AB
सरहद	s ə AF ɾ ɦ AE ə AF d̪
सरहदी	s ə AF ɾ ɦ AE ə AF d̪ iː AB
सराइकी	s ə AF ɾ ɑː AB ɪ AF k iː AB
सराफ़ा	s ə AF ɾ ɑː AB pʰ ɑː AB
सराबोर	s ə AF ɾ ɑː AB b oː AC ɾ
सराय	s ə AF ɾ ɑː AB j AA
सराहना	s ə AF ɾ ɑː AB ɦ AE n ɑː AB
सरी	s ə AF ɾ iː AB
सरीखा	s ə AF ɾ iː AB kʰ ɑː AB
सरीसृप	s ə AF ɾ iː AB s ɾ ɪ AF p
सरूर	s ə AF ɾ uː AC ɾ
सरेआम	s ə AF ɾ eː AB ɑː AB m
सरोज	s ə AF ɾ oː AC d ʒ
सरोद	s ə AF ɾ oː AC d̪
सरोरुह	s ə AF ɾ oː AC ɾ ʊ AD ɦ AE
सर्किल	s ə AF ɾ k ɪ AF l
सर्जन	s ə AF ɾ d ʒ ə AF n
सर्द	s ə AF ɾ d̪
सर्दी	s ə AF ɾ d̪ iː AB
सर्प	s ə AF ɾ p
सर्पिल	s ə AF ɾ p ɪ AF l
सर्ब	s ə AF ɾ b
सर्बिया	s ə AF ɾ b ɪ AF j AA ɑː AB
सर्वथा	s ə AF ɾ ʋ AI ə AF t̪ʰ ɑː AB
सर्वनाम	s ə AF ɾ ʋ AI ə AF n ɑː AB m
सर्वप्रथम	s ə AF ɾ ʋ AI p ɾ ə AF t̪ʰ ə AF m
सर्वश्रेष्ठ	s ə AF ɾ ʋ AI ə AF ʃ ɾ eː AB ʂ ʈʰ
सर्वसम्मति	s ə AF ɾ ʋ AI s ə AF m m ə AF t̪ iː AB
सर्वसाधारण	s ə AF ɾ ʋ AI s ɑː AB d̪ʱ ɑː AB ɾ ə AF ɳ
सर्वहारा	s ə AF ɾ ʋ AI ɦ AE ɑː AB ɾ ɑː AB
सर्वांगसम	s ə AF ɾ ʋ AI ɑː AB ŋ ɡ s ə AF m
सर्वाधिक	s ə AF ɾ ʋ AI ɑː AB d̪ʱ ɪ AF k
