'n	ə AK n
urgieren	ʊ AI ʁ ɡ iː AF ʁ ə AK n
urgierend	ʊ AI ʁ ɡ iː AF ʁ ə AK n t
urgierest	ʊ AI ʁ ɡ iː AF ʁ ə AK s t
urgierst	ʊ AI ʁ ɡ iː AF ʁ s t
urgiert	ʊ AI ʁ ɡ iː AF ʁ t
urgierte	ʊ AI ʁ ɡ iː AF ʁ t ə AK
urgierten	ʊ AI ʁ ɡ iː AF ʁ t ə AK n
urgiertest	ʊ AI ʁ ɡ iː AF ʁ t ə AK s t
urgiertet	ʊ AI ʁ ɡ iː AF ʁ t ə AK t
urheberrecht	ʔ uː AH ɐ̯ h AA eː AF b ɐ BE ʁ ɛ AK ç t
urheberrechtlich	ʔ uː AH ɐ̯ h AA eː AF b ɐ BE ʁ ɛ AK ç t l i AE ç
urheimat	ʔ uː AH ɐ̯ h AA a AC ɪ̯ BB m aː AD t
urig	uː AH ʀ ɪ AK ç
urin	u AG ʁ iː AF n
urinal	u AG ʀ i AE n aː AD l
urinieren	u AG ʁ i AE n iː AF ʁ ə AK n
urknall	uː AH ʁ k n a AC l
urkunde	uː AH ɐ̯ k ʊ AI n d ə AK
urkundenbuch	uː AH ɐ̯ k ʊ AI n d n̩ b uː AH x
urkundenlehre	uː AH ɐ̯ k ʊ AI n d n̩ l eː AF ʁ ə AK
urlaube	ʔ uː AH ɐ̯ l a AC ʊ̯ BC b ə AK
urlauben	uː AH ɐ̯ l a AC ʊ̯ BC b n̩
urlauber	uː AH ɐ̯ l a AC ʊ̯ BC b ɐ BE
urlaubes	ʔ uː AH ɐ̯ l a AC ʊ̯ BC b ə AK s
urlaubs	ʔ uː AH ɐ̯ l a AC ʊ̯ BC p s
urlaubsreif	uː AH ɐ̯ l a AC ʊ̯ BC p s ʁ a AC ɪ̯ BB f
urlaubstag	uː AH ɐ̯ l a AC ʊ̯ BC p s t aː AD k
urne	ʔ ʊ AI ʁ n ə AK
uroborisch	u AG ʀ oː AH b o AG ʀ ɪ AK ʃ
urologe	u AG ʁ o AG l oː AH ɡ ə AK
urologin	u AG ʁ o AG l oː AH ɡ ɪ AK n
urologisch	uː AH ʁ o AG l oː AH ɡ ɪ AK ʃ
urplötzlich	uː AH ɐ̯ p l œ AI t s l ɪ AK ç
ursache	uː AH ɐ̯ z a AC x ə AK
ursachen	uː AH ɐ̯ z a AC x ə AK n
urschrift	uː AH ɐ̯ ʃ ʁ ɪ AK f t
ursprache	ʔ uː AH ɐ̯ ʃ p ʀ aː AD x ə AK
ursprung	uː AH ɐ̯ ʃ p ʁ ʊ AI ŋ
ursprungsbezeichnung	uː AH ɐ̯ ʃ p ʁ ʊ AI ŋ s b ə AK t s a AC ɪ̯ BB ç n ʊ AI ŋ
ursprungsland	uː AH ɐ̯ ʃ p ʁ ʊ AI ŋ s l a AC n t
ursprünglich	ʔ uː AH ɐ̯ ʃ p ʁ ʏ AI ŋ l ɪ AK ç
urst	uː AH ɐ̯ s t
ursuppe	ʔ uː AH ɐ̯ z ʊ AI p ə AK
urszene	uː AH ʁ s t s e AE n ə AK
ursächlich	uː AH ɐ̯ z ɛ AK ç l ɪ AK ç
urteil	ʊ AI ʁ t a AC ɪ̯ BB l
urteilen	ʊ AI ʁ t a AC ɪ̯ BB l ə AK n
urtext	uː AH ɐ̯ t ɛ AK k s t
uruguayisch	uː AH ʀ u AG ɡ v a AC ɪ̯ BB ɪ AK ʃ
urverwandt	uː AH ɐ̯ f ɛ AK ɐ̯ v a AC n t
urvogel	uː AH ʁ f oː AH ɡ ə AK l
urwald	uː AH ʁ v a AC l t
urzeit	uː AH ɐ̯ t s a AC ɪ AK t
urzeitlich	uː AH ɐ̯ t s a AC ɪ̯ BB t l ɪ AK ç
urzustand	uː AH ɐ̯ t s uː AH ʃ t a AC n t
urämie	u AG ʁ ɛ AK m iː AF
uschanka	ʊ AI ʃ a AC ŋ k a AC
uschankas	ʊ AI ʃ a AC ŋ k a AC s
usselig	ʊ AI z ə AK l ɪ AK ç
usus	uː AH z ʊ AI s
utah	j AB uː AH t a AC
ute	uː AH t ə AK
uterus	uː AH t ə AK ʁ ʊ AI s
utilitarismus	u AG t i AE l i AE t a AC ʀ ɪ AK s m ʊ AI s
utilitaristisch	u AG t i AE l i AE t a AC ʀ ɪ AK s t ɪ AK ʃ
utilitär	u AG t i AE l i AE t ɛː AM ɐ̯
utrum	uː AH t ʁ ʊ AI m
uvular	u AG v u AG l aː AD ɐ̯
uwe	uː AH v ə AK
v	v
vagabund	v a AC ɡ a AC b ʊ AI n t
vagant	v a AC ɡ a AC n t
vagil	v a AC ɡ iː AF l
vagina	v aː AD ɡ i AE n a AC
vakuum	v aː AD k u AG ʊ AI m
vakuumpumpe	v aː AD k u AG ʊ AI m p ʊ AI m p ə AK
vakzin	v a AC k t s iː AF n
vakzine	v a AC k t s iː AF n ə AK
vakzins	v a AC k t s iː AF n s
valabel	v a AC l aː AD b l̩
valentinstag	v a AC l ɛ AK n t iː AF n s t aː AD k
valenz	v a AC l ɛ AK n t s
valid	v a AC l iː AF t
vamp	v ɛ AK m p
vampir	v a AC m p iː AF ɐ̯
vandalieren	v a AC n d a AC l iː AF ʁ ə AK n
vandalisieren	v a AC n d a AC l i AE z iː AF ʁ ə AK n
vanille	v a AC n ɪ AK l ə AK
vanillepudding	v a AC n ɪ AK l ə AK p ʊ AI d ɪ AK ŋ
vanillesosse	v a AC n ɪ AK l ə AK z oː AH s ə AK
vanuatu	v a AC n u AG aː AD t uː AH
variable	v a AC ʀ i AE aː AD b l ə AK
variieren	v a AC ʀ i AE iː AF ʀ ə AK n
varikös	v a AC ʀ i AE k øː AH s
varizellen	v a AC ʁ i AE t s ɛ AK l ə AK n
vaskular	v a AC s k u AG l aː AD ɐ̯
vaskulär	v a AC s k u AG l ɛː AM ɐ̯
vater	f aː AD t ə AK r
vaterland	f aː AD t ɐ BE l a AC n t
vaterlands	f aː AD t ɐ BE l a AC n t s
vaterlos	f aː AD t ɐ BE l oː AH s
vaterländer	f aː AD t ɐ BE l ɛ AK n d ɐ BE
vaterländisch	f aː AD t ɐ BE l ɛ AK n d ɪ AK ʃ
vatermörder	f aː AD t ɐ BE m œ AI ʁ d ɐ BE
vaters	f aː AD t ɐ BE s
vaterschaft	f aː AD t ɐ BE ʃ a AC f t
vatersschwester	f aː AD t ɐ BE s ʃ v ɛ AK s t ɐ BE
vaterstadt	f aː AD t ɐ BE ʃ t a AC t
vaterunser	f aː AD t ɐ BE ʔ ʊ AI n z ɐ BE
vati	f aː AD t i AE
vau	f a AC ʊ̯ BC
vegan	v e AE ɡ aː AD n
veganer	v e AE ɡ aː AD n ɐ BE
veganerin	v e AE ɡ aː AD n ə AK ʀ ɪ AK n
veganerinnen	v e AE ɡ aː AD n ə AK ʀ ɪ AK n ə AK n
veganers	v e AE ɡ aː AD n ɐ BE s
veganismus	v e AE ɡ a AC n ɪ AK s m ʊ AI s
vegetarier	v e AE ɡ e AE t aː AD ʁ i AE ɐ BE
vegetarisch	v eː AF ɡ e AE t aː AD ʁ ɪ AK ʃ
vegetarismus	v eː AF ɡ e AE t a AC ʁ ɪ AK s m ʊ AI s
vegetativ	v e AE ɡ e AE t a AC t iː AF f
vegetieren	v e AE ɡ e AE t iː AF ʁ ə AK n
veggie	v ɛ AK ɡ i AE
vehikel	v e AE h AA iː AF k l̩
veilchen	f a AC ɪ̯ BB l ç ə AK n
veilchenfarben	f a AC ɪ̯ BB l ç ə AK n f a AC ʁ b n̩
veilchenfarbig	f a AC ɪ̯ BB l ç ə AK n f a AC ʁ b ɪ AK ç
velar	v e AE l aː AD ɐ̯
velo	v eː AF l o AG
velodrom	v e AE l o AG d ʁ oː AH m
velofahrer	v eː AF l o AG f aː AD ʀ ɐ BE
velofahrerin	v eː AF l o AG f aː AD r ə AK r ɪ AK n
vene	v eː AF n ə AK
venenös	v e AE n e AE n øː AH s
venerisch	v e AE n eː AF ʀ ɪ AK ʃ
venezolaner	v e AE n e AE t s o AG l aː AD n ɐ BE
venezolanerin	v e AE n e AE t s o AG l aː AD n ə AK ʀ ɪ AK n
venn	f ɛ AK n
ventral	v ɛ AK n t ʀ aː AD l
venus	v eː AF n ʊ AI s
venös	v e AE n øː AH s
verabreichen	f ɛ AK ʁ a AC p ʁ a AC ɪ̯ BB ç ə AK n
verabscheuen	f ɛ AK ɐ̯ ʔ a AC p ʃ ɔ AI ɪ̯ BB ə AK n
verachten	f ɛ AK ɐ̯ a AC χ t ə AK n
verachtfachen	f ɛ AK ɐ̯ a AC x t f a AC x ə AK n
verachtfachend	f ɛ AK ɐ̯ a AC x t f a AC x ə AK n t
verachtfacher	f ɛ AK ɐ̯ a AC x t f a AC x ɐ BE
verachtfacht	f ɛ AK ɐ̯ a AC x t f a AC x t
verachtfachte	f ɛ AK ɐ̯ a AC x t f a AC x t ə AK
verachtfachung	f ɛ AK ɐ̯ a AC x t f a AC x ʊ AI ŋ
verachtung	f ɛ AK ɐ̯ ʔ a AC χ t ʊ AI ŋ
verachtungswürdig	f ɛ AK ɐ̯ ʔ a AC χ t ʊ AI ŋ s v ʏ AI ʁ d ɪ AK ç
veraltert	f ɛ AK ɐ̯ ʔ a AC l t ɐ BE t
veranlagung	f ɛ AK ɐ̯ ʔ a AC n l aː AD ɡ ʊ AI ŋ
veranschaulichen	f ɛ AK ɐ̯ ʔ a AC n ʃ a AC ʊ̯ BC l ɪ AK ç n̩
veranschaulichung	f ɛ AK ɐ̯ ʔ a AC n ʃ a AC ʊ̯ BC l ɪ AK ç ʊ AI ŋ
veranstalter	f ɛ AK ɐ̯ ʔ a AC n ʃ t a AC l t ɐ BE
veranstaltung	f ɛ AK ɐ̯ a AC n ʃ t a AC l t ʊ AI ŋ
veranstaltungsort	f ɛ AK ɐ̯ a AC n ʃ t a AC l t ʊ AI ŋ s ɔ AI r t
veranstaltungsteilnehmer	f ɛ AK ɐ̯ a AC n ʃ t a AC l t ʊ AI ŋ s t a AC ɪ̯ BB l n eː AF m ɐ BE
verantworten	f ɛ AK ʁ ʔ a AC n t v ɔ AI ʁ t ə AK n
verantwortung	f ɛ AK ɐ̯ ʔ a AC n t v ɔ AI ʁ t ʊ AI ŋ
verantwortungsbewusst	f ɛ AK ɐ̯ ʔ a AC n t v ɔ AI ʁ t ʊ AI ŋ s b ə AK v ʊ AI s t
verantwortungsethisch	f ɛ AK ɐ̯ ʔ a AC n t v ɔ AI ʁ t ʊ AI ŋ s ʔ eː AF t ɪ AK ʃ
verantwortungsvoll	f ɛ AK ɐ̯ ʔ a AC n t v ɔ AI ʁ t ʊ AI ŋ s f ɔ AI l
verb	v ɛ AK ʁ p
verbal	v ɛ AK ʁ b aː AD l
verballhornen	f ɛ AK ɐ̯ b a AC l h AA ɔ AI ʁ n ə AK n
verbalsubstantiv	v ɛ AK ʁ b aː AD l z ʊ AI p s t a AC n t iː AF f
verband	f ɛ AK ɐ̯ b a AC n t
verbannen	f ɛ AK ʁ b a AC n ə AK n
verbannt	f ɛ AK ɐ̯ b a AC n t
verbarrikadieren	f ɛ AK ɐ̯ b a AC ʁ i AE k a AC d iː AF ʁ ə AK n
verbarrikadierer	f ɛ AK ɐ̯ b a AC ʁ i AE k a AC d iː AF ʁ ɐ BE
verbarrikadiererin	f ɛ AK ɐ̯ b a AC ʁ i AE k a AC d iː AF ʁ ə AK ʁ ɪ AK n
verbarrikadierers	f ɛ AK ɐ̯ b a AC ʁ i AE k a AC d iː AF ʁ ɐ BE s
verbaseln	f ɛ AK ɐ̯ b aː AD z ə AK l n
verbauen	f ɛ AK ʁ b a AC ʊ̯ BC ə AK n
verbeamten	f ɛ AK ɐ̯ b ə AK ʔ a AC m t n̩
verbeissen	f ɛ AK ɐ̯ b a AC ɪ̯ BB s n̩
verbergen	f ɛ AK ɐ̯ b ɛ AK ʁ ɡ n̩
verbesserer	f ɛ AK ɐ̯ b ɛ AK s ə AK ʁ ɐ BE
verbesserers	f ɛ AK ɐ̯ b ɛ AK s ə AK ʁ ɐ BE s
verbesserin	f ɛ AK ɐ̯ b ɛ AK s ə AK ʁ ɪ AK n
verbessern	f ɛ AK ɐ̯ b ɛ AK s ɐ BE n
verbesserung	f ɛ AK ɐ̯ b ɛ AK s ə AK ʀ ʊ AI ŋ
verbesserungsfähig	f ɛ AK ɐ̯ b ɛ AK s ə AK ʁ ʊ AI ŋ s f ɛː AM ɪ AK ç
verbesserungswürdig	f ɛ AK ɐ̯ b ɛ AK s ə AK ʀ ʊ AI ŋ s v ʏ AI ʁ d ɪ AK ç
verbeugen	f ɛ AK ɐ BE b ɔ AI ɪ̯ BB ɡ n̩
verbeult	f ɛ AK ɐ̯ b ɔ AI ɪ̯ BB l t
verbilden	f ɛ AK ɐ̯ b ɪ AK l d n̩
verbindung	f ɛ AK ɐ̯ b ɪ AK n d ʊ AI ŋ
verbindungen	f ɛ AK ɐ̯ b ɪ AK n d ʊ AI ŋ ə AK n
verbitterung	f ɛ AK ɐ̯ b ɪ AK t ə AK ʁ ʊ AI ŋ
verbleib	f ɛ AK ʁ b l a AC ɪ̯ BB p
verbleichen	f ɛ AK ɐ̯ b l a AC ɪ̯ BB ç n̩
verbleien	f ɛ AK ʁ b l a AC ɪ̯ BB ə AK n
verbluten	f ɛ AK ʁ b l uː AH t ə AK n
verbläuen	f ɛ AK ɐ̯ b l ɔ AI ɪ̯ BB ə AK n
verbohren	f ɛ AK ɐ̯ b oː AH ʁ ə AK n
verbohrt	f ɛ AK ɐ̯ b oː AH ɐ̯ t
verbohrtheit	f ɛ AK ɐ̯ b oː AH ɐ̯ t h AA a AC ɪ̯ BB t
verborgen	f ɛ AK ɐ̯ b ɔ AI ʁ ɡ n̩
verbosität	v ɛ AK ʁ b o AG z i AE t ɛː AM t
verboten	f ɛ AK ɐ̯ b oː AH t ə AK n
verbotsirrtum	f ɛ AK ɐ̯ b oː AH t s ɪ AK ʁ t uː AH m
verbraten	f ɛ AK ɐ̯ b ʀ aː AD t ə AK n
verbrauch	f ɛ AK ɐ̯ b ʀ a AC ʊ̯ BC x
verbrauchen	f ɛ AK ɐ̯ b ʀ a AC ʊ̯ BC χ ə AK n
verbraucher	f ɛ AK ʁ b ʁ a AC ʊ̯ BC χ ə AK ʁ
verbraucherin	f ɛ AK ʁ b ʁ a AC ʊ̯ BC χ ə AK ʁ ɪ AK n
verbrauchsrelevant	f ɛ AK ɐ̯ b ʀ a AC ʊ̯ BC χ s ʀ e AE l e AE v a AC n t
verbrechen	f ə AK r b r ɛ AK ç ə AK n
verbrecher	f ɛ AK ɐ̯ b ʀ ɛ AK ç ɐ BE
verbreiten	f ɛ AK ɐ̯ b ʀ a AC ɪ̯ BB t n̩
verbreitung	f ɛ AK ɐ̯ b ʀ a AC ɪ̯ BB t ʊ AI ŋ
verbrennen	f ɛ AK ɐ̯ b ʁ ɛ AK n ə AK n
verbrennung	f ɛ AK ɐ̯ b ʁ ɛ AK n ʊ AI ŋ
verbriefen	f ɛ AK ɐ̯ b ʁ iː AF f n̩
verbrieft	f ɛ AK ɐ̯ b ʀ iː AF f t
verbrämen	f ɛ AK ʁ b ʁ ɛː AM m ə AK n
verbrühen	f ɛ AK ɐ̯ b ʁ yː AH ə AK n
verbum	v ɛ AK ʁ b ʊ AI m
verbund	f ɛ AK ɐ̯ b ʊ AI n t
verbundenheit	f ɛ AK ɐ̯ b ʊ AI n d n̩ h AA a AC ɪ̯ BB t
verbvalenz	v ɛ AK ʁ p v a AC l ɛ AK n t s
verbünden	f ɛ AK ɐ̯ b ʏ AI n d ə AK n
verbündete	f ɛ AK ɐ̯ b ʏ AI n d ə AK t ə AK
verbündeter	f ɛ AK ɐ̯ b ʏ AI n d ə AK t ɐ BE
verbürgen	f ɛ AK ɐ̯ b ʏ AI ʁ ɡ n̩
verbüssen	f ɛ AK ɐ̯ b yː AH s ə AK n
verdacht	f ɛ AK ɐ̯ d a AC χ t
verdammnis	f ɛ AK ɐ̯ d a AC m n ɪ AK s
verdammt	f ɛ AK ɐ̯ d a AC m t
verdampfen	f ɛ AK ʁ d a AC m p f ə AK n
verdampfung	f ɛ AK ʁ d a AC m p f ʊ AI ŋ
verdanken	f ɛ AK ʁ d a AC ŋ k ə AK n
verdattert	f ɛ AK ɐ̯ d a AC t ɐ BE t
verdauen	f ɛ AK ʁ d a AC ʊ̯ BC ə AK n
verdaulich	f ɛ AK ɐ̯ d a AC ʊ AI l ɪ AK ç
verdauung	f ɛ AK ɐ̯ d a AC ʊ̯ BC ʊ AI ŋ
verderben	f ɛ AK ɐ̯ d ɛ AK ʁ b ə AK n
verderber	f ɛ AK ɐ̯ d ɛ AK ʁ b ɐ BE
verderberin	f ɛ AK ɐ̯ d ɛ AK ʁ b ə AK ʁ ɪ AK n
verderblich	f ɛ AK ɐ̯ d ɛ AK ʁ p l ɪ AK ç
verdeutlichung	f ɛ AK ɐ̯ d ɔ AI ɪ̯ BB t l ɪ AK ç ʊ AI ŋ
verdeutschung	f ɛ AK ɐ̯ d ɔ AI ɪ̯ BB t ʃ ʊ AI ŋ
verdickend	f ɛ AK ɐ̯ d ɪ AK k ə AK n t
verdienen	f ɛ AK ɐ̯ d iː AF n ə AK n
verdienst	f ɛ AK ʁ d iː AF n s t
verdoppeln	f ɛ AK ɐ̯ d ɔ AI p l̩ n
verdoppler	f ɛ AK ɐ̯ d ɔ AI p l ɐ BE
verdopplers	f ɛ AK ɐ̯ d ɔ AI p l ɐ BE s
verdorrung	f ɛ AK ɐ̯ d ɔ AI ʁ ʊ AI ŋ
verdrehen	f ɛ AK ɐ̯ d ʀ eː AF ə AK n
verdreht	f ɛ AK ɐ̯ d ʀ eː AF t
verdrehung	f ɛ AK ɐ̯ d ʀ eː AF ʊ AI ŋ
verdreifachen	f ɛ AK ɐ̯ d ʁ a AC ɪ̯ BB f a AC x ə AK n
verdreifachend	f ɛ AK ɐ̯ d ʁ a AC ɪ̯ BB f a AC x ə AK n t
verdreifacher	f ɛ AK ɐ̯ d ʀ a AC ɪ̯ BB f a AC x ɐ BE
verdreifachers	f ɛ AK ɐ̯ d ʀ a AC ɪ̯ BB f a AC x ɐ BE s
verdreizehnfachen	f ɛ AK ɐ̯ d r a AC ɪ̯ BB t s eː AF n f a AC x ə AK n
verdreizehnfachend	f ɛ AK ɐ̯ d r a AC ɪ̯ BB t s eː AF n f a AC x ə AK n t
verdreizehnfacht	f ɛ AK ɐ̯ d r a AC ɪ̯ BB t s eː AF n f a AC x t
verdreizehnfachte	f ɛ AK ɐ̯ d r a AC ɪ̯ BB t s eː AF n f a AC x t ə AK
verdreizehnfachung	f ɛ AK ɐ̯ d r a AC ɪ̯ BB t s eː AF n f a AC x ʊ AI ŋ
verdriesslich	f ɛ AK ɐ̯ d ʀ iː AF s l ɪ AK ç
verdruckst	f ɛ AK ɐ̯ d ʀ ʊ AI k s t
verdruss	f ɛ AK ɐ̯ d ʁ ʊ AI s
verdrängen	f ɛ AK ʁ d ʁ ɛ AK ŋ ə AK n
verdrücken	f ɛ AK ɐ̯ d ʁ ʏ AI k n̩
verduften	f ɛ AK ɐ̯ d ʊ AI f t n̩
verdächtig	f ɛ AK ɐ̯ d ɛ AK ç t ɪ AK ç
verdächtige	f ɛ AK ɐ̯ d ɛ AK ç t ɪ AK ɡ ə AK
verdächtiger	f ɛ AK ɐ̯ d ɛ AK ç t ɪ AK ɡ ɐ BE
verdünnisieren	f ɛ AK ɐ̯ d ʏ AI n i AE z iː AF ʁ ə AK n
veredeln	f ɛ AK ɐ̯ ʔ eː AF d ə AK l n
verehelichen	f ɛ AK ɐ̯ ʔ eː AF ə AK l ɪ AK ç n̩
verehren	f ɛ AK ɐ̯ eː AF ʀ ə AK n
verehrt	f ɛ AK ɐ̯ ʔ eː AF ɐ̯ t
vereidigen	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB d ɪ AK ɡ n̩
vereidigung	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB d ɪ AK ɡ ʊ AI ŋ
verein	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB n
vereinbaren	f ɛ AK ʁ a AC ɪ̯ BB n b aː AD ʁ ə AK n
vereinbarung	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB n b aː AD ʁ ʊ AI ŋ
vereinbarungsgemäss	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB n b aː AD ʀ ʊ AI ŋ s ɡ ə AK m ɛː AM s
vereinfachen	f ɛ AK ʁ a AC ɪ̯ BB n f a AC χ ə AK n
vereinfachend	f ɛ AK ʁ a AC ɪ̯ BB n f a AC χ ə AK n t
vereinigung	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB n ɪ AK ɡ ʊ AI ŋ
vereinsausschluss	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB n s a AC ʊ̯ BC s ʃ l ʊ AI s
vereinshaus	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB n s h AA a AC ʊ̯ BC s
vereinskasse	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB n s k a AC s ə AK
vereinslos	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB n s l oː AH s
vereinsmitglied	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB n s m ɪ AK t ɡ l iː AF d
vereinsmitglieder	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB n s m ɪ AK t ɡ l iː AF d ɐ BE
vereisen	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB z n̩
vereist	f ɛ AK ʁ ʔ a AC ɪ AK s t
vereitern	f ɛ AK ɐ̯ ʔ a AC ɪ̯ BB t ɐ BE n
vereitert	f ɛ AK ɐ̯ a AC ɪ̯ BB t ɐ BE t
verelffachen	f ɛ AK ɐ̯ ɛ AK l f f a AC x ə AK n
verelffachend	f ɛ AK ɐ̯ ɛ AK l f f a AC x ə AK n t
verelffacht	f ɛ AK ɐ̯ ɛ AK l f f a AC x t
verelffachte	f ɛ AK ɐ̯ ɛ AK l f f a AC x t ə AK
verelffachung	f ɛ AK ɐ̯ ɛ AK l f f a AC x ʊ AI ŋ
verenden	f ɛ AK ɐ̯ ʔ ɛ AK n d n̩
verengen	f ɛ AK ʁ ʔ ɛ AK ŋ ə AK n
verengung	f ɛ AK ɐ̯ ɛ AK ŋ ʊ AI ŋ
vererbbar	f ɛ AK ɐ̯ ʔ ɛ AK ʁ p b aː AD ɐ̯
vererbbarkeit	f ɛ AK ɐ̯ ʔ ɛ AK ʁ p b aː AD ɐ̯ k a AC ɪ̯ BB t
vererben	f ɛ AK ɐ̯ ɛ AK r b n̩
vererbt	f ɛ AK ɐ̯ ʔ ɛ AK ʁ p t
verfangen	f ə AK r f a AC ŋ ə AK n
verfassen	f ɛ AK ɐ̯ f a AC s n̩
verfasser	f ɛ AK ɐ̯ f a AC s ɐ BE
verfassung	f ɛ AK ɐ̯ f a AC s ʊ AI ŋ
verfassungsfeindlich	f ɛ AK ɐ̯ f a AC s ʊ AI ŋ s f a AC ɪ̯ BB n t l ɪ AK ç
verfassungsrechtlich	f ɛ AK ɐ̯ f a AC s ʊ AI ŋ s ʀ ɛ AK ç t l ɪ AK ç
verfassungswidrig	f ɛ AK ɐ̯ f a AC s ʊ AI ŋ s v iː AF d ʁ ɪ AK ç
verfehlung	f ɛ AK ɐ̯ f eː AF l ʊ AI ŋ
verfeinden	f ɛ AK ɐ̯ f a AC ɪ̯ BB n d n̩
verfeindet	f ɛ AK ɐ̯ f a AC ɪ̯ BB n d ə AK t
verfemen	f ɛ AK ɐ̯ f eː AF m ə AK n
verfertigen	f ɛ AK ɐ̯ f ɛ AK ʁ t ɪ AK ɡ n̩
verfestigen	f ɛ AK ʁ f ɛ AK s t ɪ AK ɡ ə AK n
verfetten	f ɛ AK ɐ̯ f ɛ AK t n̩
verfeuern	f ɛ AK ɐ̯ f ɔ AI ɪ̯ BB ɐ BE n
verficken	f ɛ AK ɐ̯ f ɪ AK k n̩
verfilmen	f ɛ AK ɐ̯ f ɪ AK l m ə AK n
verflachen	f ɛ AK ʁ f l a AC x n̩
verfluchen	f ɛ AK ʁ f l uː AH χ ə AK n
verfluchung	f ɛ AK ɐ̯ f l uː AH χ ʊ AI ŋ
verfolgen	f ɛ AK ɐ̯ f ɔ AI l ɡ ə AK n
verfremdung	f ɛ AK ɐ̯ f ʁ ɛ AK m d ʊ AI ŋ
verfressen	f ɛ AK ɐ̯ f ʀ ɛ AK s n̩
verfristet	f ɛ AK ɐ̯ f ʀ ɪ AK s t ə AK t
verfrüht	f ɛ AK ɐ̯ f ʁ yː AH t
verfälschen	f ɛ AK ɐ̯ f ɛ AK l ʃ n̩
verfänglich	f ɛ AK ɐ̯ f ɛ AK ŋ l ɪ AK ç
verfärben	f ɛ AK ʁ f ɛ AK ʁ b ə AK n
verfügbar	f ɛ AK ɐ̯ f yː AH k b aː AD ɐ̯
verfügbarkeit	f ɛ AK ɐ̯ f yː AH k b aː AD ɐ̯ k a AC ɪ̯ BB t
verfügen	f ɛ AK ʁ f yː AH ɡ ə AK n
verfügung	f ɛ AK ɐ̯ f yː AH ɡ ʊ AI ŋ
verführen	f ɛ AK ʁ f yː AH ʁ ə AK n
verführer	f ɛ AK ʁ f yː AH ʁ ə AK ʁ
verführerin	f ɛ AK ʁ f yː AH ʁ ə AK ʁ ɪ AK n
verfünffachen	f ɛ AK ʀ f ʏ AI n f f a AC x ə AK n
verfünffachend	f ɛ AK ʀ f ʏ AI n f f a AC x ə AK n t
verfünffacher	f ɛ AK ɐ̯ f y AG n f f a AC x ɐ BE
verfünffacht	f ɛ AK ɐ̯ f ʏ AI n f f a AC x t
verfünffachte	f ɛ AK ɐ̯ f ʏ AI n f f a AC x t ə AK
verfünffachung	f ɛ AK ɐ̯ f ʏ AI n f f a AC x ʊ AI ŋ
verfünfzehnfachen	f ɛ AK ɐ̯ f ʏ AI n f t s eː AF n f a AC x ə AK n
verfünfzehnfachend	f ɛ AK ɐ̯ f ʏ AI n f t s eː AF n f a AC x ə AK n t
verfünfzehnfacht	f ɛ AK ɐ̯ f ʏ AI n f t s eː AF n f a AC x t
verfünfzehnfachte	f ɛ AK ɐ̯ f ʏ AI n f t s eː AF n f a AC x t ə AK
vergabe	f ɛ AK ɐ̯ ɡ aː AD b ə AK
vergagt	f ɛ AK ɐ̯ ɡ ɛ AK k t
vergammelt	f ɛ AK ɐ̯ ɡ a AC m l̩ t
vergangenheit	f ɛ AK ɐ̯ ɡ a AC ŋ ə AK n h AA a AC ɪ̯ BB t
vergattern	f ɛ AK ɐ̯ ɡ a AC t ɐ BE n
vergeben	f ɛ AK ʁ ɡ eː AF b ə AK n
vergebens	f ɛ AK r ɡ eː AF b ə AK n s
vergeblich	f ɛ AK ʁ ɡ eː AF p l ɪ AK ç
vergeblichkeit	f ɛ AK ʁ ɡ eː AF p l ɪ AK ç k a AC ɪ̯ BB t
vergebung	f ɛ AK ʁ ɡ eː AF b ʊ AI ŋ
vergegenständlichen	f ɛ AK ɐ̯ ɡ eː AF ɡ n̩ ʃ t ɛ AK n t l ɪ AK ç n̩
vergehen	f ɛ AK ʁ ɡ eː AF ə AK n
vergelten	f ɛ AK ʁ ɡ ɛ AK l t ə AK n
vergeltung	f ə AK r ɡ ɛ AK l t ʊ AI ŋ
vergessen	f ɛ AK ɐ̯ ɡ ɛ AK s ə AK n
vergeuden	f ɛ AK ʁ ɡ ɔ AI ʏ̯ d ə AK n
vergeudung	f ɛ AK ɐ̯ ɡ ɔ AI ɪ̯ BB d ʊ AI ŋ
vergewaltigen	f ɛ AK ʁ ɡ ə AK v a AC l t i AE ɡ ə AK n
vergewaltigung	f ɛ AK ʁ ɡ ə AK v a AC l t i AE ɡ ʊ AI ŋ
