あ	a̠ AI
はなぞの	h AA a̠ AI n a̠ AI z o̞ AF n o̞ AF
はなたば	h AA a̠ AI n a̠ AI t a̠ AI b a̠ AI
はなだいろ	h AA a̠ AI n a̠ AI d a̠ AI i AC ɾ o̞ AF
はなちらし	h AA a̠ AI n a̠ AI t ɕ i AC ɾ a̠ AI ɕ i AC
はなぢ	h AA a̠ AI n a̠ AI ʑ i AC
はなつ	h AA a̠ AI n a̠ AI t s ɨᵝ
はなづまり	h AA a̠ AI n a̠ AI z ɨᵝ m a̠ AI ɾʲ i AC
はなのえん	h AA a̠ AI n a̠ AI n o̞ AF ẽ̞ ɴ
はなはだ	h AA a̠ AI n a̠ AI h AA a̠ AI d a̠ AI
はなはだしい	h AA a̠ AI n a̠ AI h AA a̠ AI d a̠ AI ɕ i AC i AC
はなばち	h AA a̠ AI n a̠ AI b a̠ AI t ɕ i AC
はなばなしい	h AA a̠ AI n a̠ AI b a̠ AI n a̠ AI ɕ i AC i AC
はなび	h AA a̠ AI n a̠ AI bʲ i AC
はなびえ	h AA a̠ AI n a̠ AI bʲ i AC e̞ AC
はなふだ	h AA a̠ AI n a̠ AI ɸ ɯ̟ᵝ d a̠ AI
はなみ	h AA a̠ AI n a̠ AI mʲ i AC
はなむけ	h AA a̠ AI n a̠ AI m ɯ̟ᵝ k e̞ AC
はなむこ	h AA a̠ AI n a̠ AI m ɯ̟ᵝ k o̞ AF
はなや	h AA a̠ AI n a̠ AI j AB a̠ AI
はなやか	h AA a̠ AI n a̠ AI j AB a̠ AI k a̠ AI
はなやさい	h AA a̠ AI n a̠ AI j AB a̠ AI s a̠ AI i AC
はなよめ	h AA a̠ AI n a̠ AI j AB o̞ AF m e̞ AC
はなよりだんご	h AA a̠ AI n a̠ AI j AB o̞ AF ɾʲ i AC d ã̠ ŋ ɡ o̞ AF
はなればなれ	h AA a̠ AI n a̠ AI ɾ e̞ AC b a̠ AI n a̠ AI ɾ e̞ AC
はなれる	h AA a̠ AI n a̠ AI ɾ e̞ AC ɾ ɯ̟ᵝ
はにかむ	h AA a̠ AI ɲ̟ i AC k a̠ AI m ɯ̟ᵝ
はにわ	h AA a̠ AI ɲ̟ i AC ɰᵝ a̠ AI
はね	h AA a̠ AI n e̞ AC
はねあげる	h AA a̠ AI n e̞ AC a̠ AI ɡ e̞ AC ɾ ɯ̟ᵝ
はねつき	h AA a̠ AI n e̞ AC t s ɨ̥ᵝ kʲ i AC
はねとばす	h AA a̠ AI n e̞ AC t o̞ AF b a̠ AI s ɨᵝ
はねる	h AA a̠ AI n e̞ AC ɾ ɯ̟ᵝ
はは	h AA a̠ AI h AA a̠ AI
ははうえ	h AA a̠ AI h AA a̠ AI ɯ̟ᵝ e̞ AC
ははおや	h AA a̠ AI h AA a̠ AI o̞ AF j AB a̠ AI
ははのひ	h AA a̠ AI h AA a̠ AI n o̞ AF ç i AC
はば	h AA a̠ AI b a̠ AI
はばかる	h AA a̠ AI b a̠ AI k a̠ AI ɾ ɯ̟ᵝ
はばち	h AA a̠ AI b a̠ AI t ɕ i AC
はばつ	h AA a̠ AI b a̠ AI t s ɨᵝ
はばひろい	h AA a̠ AI b a̠ AI ç i AC ɾ o̞ AF i AC
はばむ	h AA a̠ AI b a̠ AI m ɯ̟ᵝ
はびこる	h AA a̠ AI bʲ i AC k o̞ AF ɾ ɯ̟ᵝ
はぶ	h AA a̠ AI b ɯ̟ᵝ
はぶく	h AA a̠ AI b ɯ̟ᵝ k ɯ̟ᵝ
はぶそう	h AA a̠ AI b ɯ̟ᵝ s o̞ː AE
はへん	h AA a̠ AI h AA ẽ̞ ɴ
はま	h AA a̠ AI m a̠ AI
はまき	h AA a̠ AI m a̠ AI kʲ i AC
はまし	h AA a̠ AI m a̠ AI ɕ i AC
はまじゅつ	h AA a̠ AI m a̠ AI ʑ ɨᵝ t s ɨᵝ
はまち	h AA a̠ AI m a̠ AI t ɕ i AC
はまなこ	h AA a̠ AI m a̠ AI n a̠ AI k o̞ AF
はまべ	h AA a̠ AI m a̠ AI b e̞ AC
はまます	h AA a̠ AI m a̠ AI m a̠ AI s ɨᵝ
はまや	h AA a̠ AI m a̠ AI j AB a̠ AI
はまゆみ	h AA a̠ AI m a̠ AI j AB ɯ̟ᵝ mʲ i AC
はまる	h AA a̠ AI m a̠ AI ɾ ɯ̟ᵝ
はみ	h AA a̠ AI mʲ i AC
はみがき	h AA a̠ AI mʲ i AC ɡ a̠ AI kʲ i AC
はみがきこ	h AA a̠ AI mʲ i AC ɡ a̠ AI kʲ i̥ AC k o̞ AF
はみだす	h AA a̠ AI mʲ i AC d a̠ AI s ɨᵝ
はむ	h AA a̠ AI m ɯ̟ᵝ
はむかう	h AA a̠ AI m ɯ̟ᵝ k a̠ AI ɯ̟ᵝ
はめ	h AA a̠ AI m e̞ AC
はめたおす	h AA a̠ AI m e̞ AC t a̠ AI o̞ AF s ɨᵝ
はめつ	h AA a̠ AI m e̞ AC t s ɨᵝ
はめる	h AA a̠ AI m e̞ AC ɾ ɯ̟ᵝ
はも	h AA a̠ AI m o̞ AF
はもの	h AA a̠ AI m o̞ AF n o̞ AF
はもん	h AA a̠ AI m õ̞ ɴ
はや	h AA a̠ AI j AB a̠ AI
はやい	h AA a̠ AI j AB a̠ AI i AC
はやおき	h AA a̠ AI j AB a̠ AI o̞ AF kʲ i AC
はやおきはさんもんのとく	h AA a̠ AI j AB a̠ AI o̞ AF kʲ i AC ɰᵝ a̠ AI s ã̠ mː õ̞ n n o̞ AF t o̞ AF k ɯ̟ᵝ
はやおくり	h AA a̠ AI j AB a̠ AI o̞ AF k ɯ̟ᵝ ɾʲ i AC
はやおし	h AA a̠ AI j AB a̠ AI o̞ AF ɕ i AC
はやおしき	h AA a̠ AI j AB a̠ AI o̞ AF ɕ i AC kʲ i AC
はやかれおそかれ	h AA a̠ AI j AB a̠ AI k a̠ AI ɾ e̞ AC o̞ AF s o̞ AF k a̠ AI ɾ e̞ AC
はやがき	h AA a̠ AI j AB a̠ AI ɡ a̠ AI kʲ i AC
はやがてん	h AA a̠ AI j AB a̠ AI ɡ a̠ AI t ẽ̞ ɴ
はやく	h AA a̠ AI j AB a̠ AI k ɯ̟ᵝ
はやくち	h AA a̠ AI j AB a̠ AI k ɯ̟ᵝ t ɕ i AC
はやくちことば	h AA a̠ AI j AB a̠ AI k ɯ̟ᵝ t ɕ i AC k o̞ AF t o̞ AF b a̠ AI
はやぐい	h AA a̠ AI j AB a̠ AI ɡ ɯ̟ᵝ i AC
はやし	h AA a̠ AI j AB a̠ AI ɕ i AC
はやしたてる	h AA a̠ AI j AB a̠ AI ɕ i AC t a̠ AI t e̞ AC ɾ ɯ̟ᵝ
はやじに	h AA a̠ AI j AB a̠ AI ʑ i AC ɲ̟ i AC
はやす	h AA a̠ AI j AB a̠ AI s ɨᵝ
はやとちり	h AA a̠ AI j AB a̠ AI t o̞ AF t ɕ i AC ɾʲ i AC
はやね	h AA a̠ AI j AB a̠ AI n e̞ AC
はやのみこみ	h AA a̠ AI j AB a̠ AI n o̞ AF mʲ i AC k o̞ AF mʲ i AC
はやばん	h AA a̠ AI j AB a̠ AI b ã̠ ɴ
はやびき	h AA a̠ AI j AB a̠ AI bʲ i AC kʲ i AC
はやぶさ	h AA a̠ AI j AB a̠ AI b ɯ̟ᵝ s a̠ AI
はやべん	h AA a̠ AI j AB a̠ AI b ẽ̞ ɴ
はやみ	h AA a̠ AI j AB a̠ AI mʲ i AC
はやめ	h AA a̠ AI j AB a̠ AI m e̞ AC
はやめる	h AA a̠ AI j AB a̠ AI m e̞ AC ɾ ɯ̟ᵝ
はやる	h AA a̠ AI j AB a̠ AI ɾ ɯ̟ᵝ
はゆ	h AA a̠ AI j AB ɯ̟ᵝ
はよ	h AA a̠ AI j AB o̞ AF
はら	h AA a̠ AI ɾ a̠ AI
はらい	h AA a̠ AI ɾ a̠ AI i AC
はらいせ	h AA a̠ AI ɾ a̠ AI i AC s e̞ AC
はらいもどし	h AA a̠ AI ɾ a̠ AI i AC m o̞ AF d o̞ AF ɕ i AC
はらう	h AA a̠ AI ɾ a̠ AI ɯ̟ᵝ
はらえど	h AA a̠ AI ɾ a̠ AI e̞ AC d o̞ AF
はらから	h AA a̠ AI ɾ a̠ AI k a̠ AI ɾ a̠ AI
はらがへる	h AA a̠ AI ɾ a̠ AI ɡ a̠ AI h AA e̞ AC ɾ ɯ̟ᵝ
はらきり	h AA a̠ AI ɾ a̠ AI kʲ i AC ɾʲ i AC
はらぐろい	h AA a̠ AI ɾ a̠ AI ɡ ɯ̟ᵝ ɾ o̞ AF i AC
はらげい	h AA a̠ AI ɾ a̠ AI ɡ e̞ː AD
はらじゅく	h AA a̠ AI ɾ a̠ AI ʑ ɨᵝ k ɯ̟ᵝ
はらす	h AA a̠ AI ɾ a̠ AI s ɨᵝ
はらだたしい	h AA a̠ AI ɾ a̠ AI d a̠ AI t a̠ AI ɕ iː AD
はらだち	h AA a̠ AI ɾ a̠ AI d a̠ AI t ɕ i AC
はらちがい	h AA a̠ AI ɾ a̠ AI t ɕ i AC ɡ a̠ AI i AC
はらっぱ	h AA a̠ AI ɾ a̠ AI p̚ p a̠ AI
はらはちぶ	h AA a̠ AI ɾ a̠ AI h AA a̠ AI t ɕ i AC b ɯ̟ᵝ
はらはら	h AA a̠ AI ɾ a̠ AI h AA a̠ AI ɾ a̠ AI
はらばい	h AA a̠ AI ɾ a̠ AI b a̠ AI i AC
はらばう	h AA a̠ AI ɾ a̠ AI b a̠ AI ɯ̟ᵝ
はらぺこ	h AA a̠ AI ɾ a̠ AI p e̞ AC k o̞ AF
はらもち	h AA a̠ AI ɾ a̠ AI m o̞ AF t ɕ i AC
はらんばんじょう	h AA a̠ AI ɾ ã̠ m b ã̠ ɲ̟ d ʑ o̞ː AE
はり	h AA a̠ AI ɾʲ i AC
はりあい	h AA a̠ AI ɾʲ i AC a̠ AI i AC
はりあう	h AA a̠ AI ɾʲ i AC a̠ AI ɯ̟ᵝ
はりあわせる	h AA a̠ AI ɾʲ i AC a̠ AI ɰᵝ a̠ AI s e̞ AC ɾ ɯ̟ᵝ
はりかた	h AA a̠ AI ɾʲ i AC k a̠ AI t a̠ AI
はりがね	h AA a̠ AI ɾʲ i AC ɡ a̠ AI n e̞ AC
はりがみ	h AA a̠ AI ɾʲ i AC ɡ a̠ AI mʲ i AC
はりきる	h AA a̠ AI ɾʲ i AC kʲ i AC ɾ ɯ̟ᵝ
はりこ	h AA a̠ AI ɾʲ i AC k o̞ AF
はりたおす	h AA a̠ AI ɾʲ i AC t a̠ AI o̞ AF s ɨᵝ
はりちりょう	h AA a̠ AI ɾ i AC t ɕ i AC ɾ j AB o̞ː AE
はりつけ	h AA a̠ AI ɾʲ i AC t s ɨ̥ᵝ k e̞ AC
はりねずみ	i AC
はりぼて	h AA a̠ AI ɾʲ i AC b o̞ AF t e̞ AC
はりもぐら	h AA a̠ AI ɾʲ i AC m o̞ AF ɡ ɯ̟ᵝ ɾ a̠ AI
はる	h AA a̠ AI ɾ ɯ̟ᵝ
はるあき	h AA a̠ AI ɾ ɯ̟ᵝ a̠ AI kʲ i AC
はるお	h AA a̠ AI ɾ ɯ̟ᵝ o̞ AF
はるか	j AB o̞ː AE
はるかぜ	h AA a̠ AI ɾ ɯ̟ᵝ k a̠ AI z e̞ AC
はるき	h AA a̠ AI ɾ ɯ̟ᵝ kʲ i AC
はるさめ	h AA a̠ AI ɾ ɯ̟ᵝ s a̠ AI m e̞ AC
はるつげぐさ	h AA a̠ AI ɾ ɯ̟ᵝ t s ɨᵝ ɡ e̞ AC ɡ ɯ̟ᵝ s a̠ AI
はるな	h AA a̠ AI ɾ ɯ̟ᵝ n a̠ AI
はるまき	h AA a̠ AI ɾ ɯ̟ᵝ m a̠ AI kʲ i AC
はるみ	h AA a̠ AI ɾ ɯ̟ᵝ mʲ i AC
はるやすみ	h AA a̠ AI ɾ ɯ̟ᵝ j AB a̠ AI s ɨᵝ mʲ i AC
はれ	h AA a̠ AI ɾ e̞ AC
はれがましい	h AA a̠ AI ɾ e̞ AC ɡ a̠ AI m a̠ AI ɕ iː AD
はれぎ	h AA a̠ AI ɾ e̞ AC ɡʲ i AC
はれつ	h AA a̠ AI ɾ e̞ AC t s ɨᵝ
はれつおん	h AA a̠ AI ɾ e̞ AC t s ɨᵝ õ̞ ɴ
はれぼったい	h AA a̠ AI ɾ e̞ AC b o̞ AF t̚ t a̠ AI i AC
はれる	h AA a̠ AI ɾ e̞ AC ɾ ɯ̟ᵝ
はれんち	h AA a̠ AI ɾ ẽ̞ ɲ̟ t ɕ i AC
はろう	h AA a̠ AI ɾ o̞ː AE
はん	h AA ã̠ ɴ
はんい	h AA ã̠ ɰ̃ AK i AC
はんいご	h AA ã̠ ɰ̃ AK i AC ɡ o̞ AF
はんえい	h AA ã̠ ɰ̃ AK e̞ː AD
はんえいゆう	h AA ã̠ ɰ̃ AK e̞ː AD j AB ɯ̟ᵝː
はんか	h AA ã̠ ŋ k a̠ AI
はんかい	h AA ã̠ ŋ k a̠ AI i AC
はんかん	h AA ã̠ ŋ k ã̠ ɴ
はんが	h AA ã̠ ŋ ɡ a̠ AI
はんがく	h AA ã̠ ŋ ɡ a̠ AI k ɯ̟ᵝ
はんき	h AA ã̠ ŋʲ kʲ i AC
はんきかん	h AA ã̠ ŋʲ kʲ i AC k ã̠ ɴ
はんきゅう	h AA ã̠ ŋʲ kʲ ɨᵝː
はんきょうていい	h AA ã̠ ŋʲ kʲ o̞ː AE t e̞ː AD i AC
はんぎご	h AA ã̠ ŋʲ ɡʲ i AC ɡ o̞ AF
はんぎゃく	h AA ã̠ ŋʲ ɡʲ a̠ AI k ɯ̟ᵝ
はんぎゃくしゃ	h AA ã̠ ŋʲ ɡʲ a̠ AI k ɯ̟ᵝ ɕ a̠ AI
はんけつぶん	h AA ã̠ ŋ k e̞ AC t s ɨᵝ b ɯ̟̃ᵝ ɴ
はんげんき	h AA ã̠ ŋ ɡ ẽ̞ ŋʲ kʲ i AC
はんげんじょうりく	h AA ã̠ ŋ ɡ ẽ̞ ɲ̟ d ʑ o̞ː AE ɾʲ i AC k ɯ̟ᵝ
はんこ	h AA ã̠ ŋ k o̞ AF
はんさてつがく	h AA ã̠ ɰ̃ AK s a̠ AI t e̞ AC t s ɨᵝ ɡ a̠ AI k ɯ̟ᵝ
はんざい	h AA ã̠ n d z a̠ AI i AC
はんざいがく	h AA ã̠ n d z a̠ AI i AC ɡ a̠ AI k ɯ̟ᵝ
はんざき	h AA ã̠ n d z a̠ AI kʲ i AC
はんしゃ	h AA ã̠ ɰ̃ AK ɕ a̠ AI
はんしゃきょう	h AA ã̠ ɰ̃ AK ɕ a̠ AI kʲ o̞ː AE
はんしゃてき	h AA ã̠ ɰ̃ AK ɕ a̠ AI t e̞ AC kʲ i AC
はんしょう	h AA ã̠ ɰ̃ AK ɕ o̞ː AE
はんしん	h AA ã̠ ɰ̃ AK ɕ ĩ ɴ
はんしんはんぎ	h AA ã̠ ɰ̃ AK ɕ ĩ ɰ̃ AK h AA ã̠ ŋʲ ɡʲ i AC
はんしんろん	h AA ã̠ ɰ̃ AK ɕ ĩ n ɾ õ̞ ɴ
はんじょう	h AA ã̠ ɲ̟ d ʑ o̞ː AE
はんすう	h AA ã̠ ɰ̃ AK s ɨᵝː
はんすうどうぶつ	h AA ã̠ ɰ̃ AK s ɨᵝː d o̞ː AE b ɯ̟ᵝ t s ɨᵝ
はんせつ	h AA ã̠ ɰ̃ AK s e̞ AC t s ɨᵝ
はんせん	h AA ã̠ ɰ̃ AK s ẽ̞ ɴ
はんぜん	h AA ã̠ n d z ẽ̞ ɴ
はんそく	h AA ã̠ ɰ̃ AK s o̞ AF k ɯ̟ᵝ
はんそで	h AA ã̠ ɰ̃ AK s o̞ AF d e̞ AC
はんたい	h AA ã̠ n t a̠ AI i AC
はんたいじ	h AA ã̠ n t a̠ AI i AC ʑ i AC
はんたいじちゅうごくご	h AA ã̠ n t a̠ AI i AC ʑ i AC t ɕ ɨᵝː ɡ o̞ AF k ɯ̟ᵝ ɡ o̞ AF
はんたいせい	h AA ã̠ n t a̠ AI i AC s e̞ː AD
はんだい	h AA ã̠ n d a̠ AI i AC
はんだくおん	h AA ã̠ n d a̠ AI k ɯ̟ᵝ õ̞ ɴ
はんだくてん	h AA ã̠ n d a̠ AI k ɯ̟̊ᵝ t ẽ̞ ɴ
はんだづけ	h AA ã̠ n d a̠ AI z ɨᵝ k e̞ AC
はんだん	h AA ã̠ n d ã̠ ɴ
はんだんりょく	h AA ã̠ n d ã̠ n ɾʲ o̞ AF k ɯ̟ᵝ
はんちょう	h AA ã̠ ɲ̟ t ɕ o̞ː AE
はんてん	h AA ã̠ n t ẽ̞ ɴ
はんとう	h AA ã̠ n t o̞ː AE
はんとうめい	h AA ã̠ n t o̞ː AE m e̞ː AD
はんどうたい	h AA ã̠ n d o̞ː AE t a̠ AI i AC
はんにゃ	h AA ã̠ ɲ̟ ɲ̟ a̠ AI
はんにゃはらみったしんぎょう	h AA ã̠ ɲ̟ ɲ̟ a̠ AI h AA a̠ AI ɾ a̠ AI mʲ i AC t a̠ AI ɕ ĩ ŋʲ ɡʲ o̞ː AE
はんにゃはらみつ	h AA ã̠ ɲ̟ ɲ̟ a̠ AI h AA a̠ AI ɾ a̠ AI mʲ i AC t s ɨᵝ
はんにん	h AA ã̠ ɲ̟ ɲ̟ ĩ ɴ
はんにんまえ	h AA ã̠ ɲ̟ ɲ̟ ĩ mː a̠ AI e̞ AC
はんのう	h AA ã̠ nː o̞ː AE
はんはん	h AA ã̠ ɰ̃ AK h AA ã̠ ɴ
はんばい	h AA ã̠ m b a̠ AI i AC
はんばいいん	h AA ã̠ m b a̠ AI i AC ĩ ɴ
はんばいしゃ	h AA ã̠ m b a̠ AI i AC ɕ a̠ AI
はんばいてん	h AA ã̠ m b a̠ AI i AC t ẽ̞ ɴ
はんぶっしつ	h AA ã̠ m b ɯ̟ᵝ ɕː i̥ AC t s ɨᵝ
はんぶん	h AA ã̠ m b ɯ̟̃ᵝ ɴ
はんぷ	h AA ã̠ m p ɯ̟ᵝ
はんぷくよことび	h AA ã̠ m p ɯ̟ᵝ k ɯ̟ᵝ j AB o̞ AF k o̞ AF t o̞ AF bʲ i AC
はんべい	h AA ã̠ m b e̞ː AD
はんべつ	h AA ã̠ m b e̞ AC t s ɨᵝ
はんよう	h AA ã̠ ɰ̃ AK j AB o̞ː AE
はんらん	h AA ã̠ n ɾ ã̠ ɴ
はんりゅうし	h AA ã̠ n ɾʲ ɨᵝː ɕ i AC
ば	b a̠ AI
ばあい	b a̠ AI a̠ AI i AC
ばいおん	b a̠ AI i AC õ̞ ɴ
ばいか	b a̠ AI i AC k a̠ AI
ばいかい	b a̠ AI i AC k a̠ AI i AC
ばいかのあぶら	b a̠ AI i AC k a̠ AI n o̞ AF a̠ AI b ɯ̟ᵝ ɾ a̠ AI
ばいかほう	b a̠ AI i AC k a̠ AI h AA o̞ː AE
ばいきゃく	b a̠ AI i AC kʲ a̠ AI k ɯ̟ᵝ
ばいきん	b a̠ AI i AC kʲ ĩ ɴ
ばいこく	b a̠ AI i AC k o̞ AF k ɯ̟ᵝ
ばいこくど	b a̠ AI i AC k o̞ AF k ɯ̟ᵝ d o̞ AF
ばいしゅう	b a̠ AI i AC ɕ ɨᵝː
ばいしゅん	b a̠ AI i AC ɕ ɨ̃ᵝ ɴ
ばいしゅんやど	b a̠ AI i AC ɕ ɨ̃ᵝ ɰ̃ AK j AB a̠ AI d o̞ AF
ばいしょう	b a̠ AI i AC ɕ o̞ː AE
ばいしんいん	b a̠ AI i AC ɕ ĩ ɰ̃ AK ĩ ɴ
ばいすう	b a̠ AI i AC s ɨᵝː
ばいたい	b a̠ AI i AC t a̠ AI i AC
ばいたん	b a̠ AI i AC t ã̠ ɴ
ばいてん	b a̠ AI i AC t ẽ̞ ɴ
ばいでん	b a̠ AI i AC d ẽ̞ ɴ
ばいどく	b a̠ AI i AC d o̞ AF k ɯ̟ᵝ
ばいばい	b a̠ AI i AC b a̠ AI i AC
ばいめい	b a̠ AI i AC m e̞ː AD
ばいよう	b a̠ AI i AC j AB o̞ː AE
ばか	b a̠ AI k a̠ AI
ばかげる	b a̠ AI k a̠ AI ɡ e̞ AC ɾ ɯ̟ᵝ
ばかし	b a̠ AI k a̠ AI ɕ i AC
ばかぢから	b a̠ AI k a̠ AI ʑ i AC k a̠ AI ɾ a̠ AI
ばかにする	b a̠ AI k a̠ AI ɲ̟ i AC s ɨᵝ ɾ ɯ̟ᵝ
ばかばかしい	b a̠ AI k a̠ AI b a̠ AI k a̠ AI ɕ i AC i AC
ばかやろう	b a̠ AI k a̠ AI j AB a̠ AI ɾ o̞ː AE
ばからしい	b a̠ AI k a̠ AI ɾ a̠ AI ɕ iː AD
ばかり	b a̠ AI k a̠ AI ɾʲ i AC
ばかん	b a̠ AI k ã̠ ɴ
ばきゃく	b a̠ AI kʲ a̠ AI k ɯ̟ᵝ
ばく	b a̠ AI k ɯ̟ᵝ
ばくあげ	b a̠ AI k ɯ̟ᵝ a̠ AI ɡ e̞ AC
ばくえき	b a̠ AI k ɯ̟ᵝ e̞ AC kʲ i AC
ばくおん	b a̠ AI k ɯ̟ᵝ õ̞ ɴ
ばくが	b a̠ AI k ɯ̟ᵝ ɡ a̠ AI
ばくがとう	b a̠ AI k ɯ̟ᵝ ɡ a̠ AI t o̞ː AE
ばくげき	b a̠ AI k ɯ̟ᵝ ɡ e̞ AC kʲ i AC
ばくげきき	b a̠ AI k ɯ̟ᵝ ɡ e̞ AC kʲ i̥ AC kʲ i AC
ばくしゅ	b a̠ AI k ɯ̟̊ᵝ ɕ ɨᵝ
ばくしょう	b a̠ AI k ɯ̟̊ᵝ ɕ o̞ː AE
ばくしん	b a̠ AI k ɯ̟̊ᵝ ɕ ĩ ɴ
ばくすい	b a̠ AI k ɯ̟ᵝ s ɨᵝ i AC
ばくぜん	b a̠ AI k ɯ̟ᵝ z ẽ̞ ɴ
ばくそう	b a̠ AI k ɯ̟̊ᵝ s o̞ː AE
ばくそく	b a̠ AI k ɯ̟ᵝ s o̞ AF k ɯ̟ᵝ
ばくたん	b a̠ AI k ɯ̟ᵝ t ã̠ ɴ
ばくだい	b a̠ AI k ɯ̟ᵝ d a̠ AI i AC
ばくだん	b a̠ AI k ɯ̟ᵝ d ã̠ ɴ
ばくち	b a̠ AI k ɯ̟̊ᵝ t ɕ i AC
ばくちく	b a̠ AI k ɯ̟ᵝ t ɕ i̥ AC k ɯ̟ᵝ
ばくと	b a̠ AI k ɯ̟ᵝ t o̞ AF
ばくは	b a̠ AI k ɯ̟̊ᵝ ɰᵝ a̠ AI
ばくはく	b a̠ AI k ɯ̟ᵝ h AA a̠ AI k ɯ̟ᵝ
ばくはつ	b a̠ AI k ɯ̟̊ᵝ h AA a̠ AI t s ɨᵝ
ばくはつおん	b a̠ AI k ɯ̟ᵝ h AA a̠ AI t s ɨᵝ õ̞ ɴ
ばくはつぶつ	b a̠ AI k ɯ̟̊ᵝ h AA a̠ AI t s ɨᵝ b ɯ̟ᵝ t s ɨᵝ
ばくふ	b a̠ AI k ɯ̟ᵝ ɸ ɯ̟ᵝ
ばくふう	b a̠ AI k ɯ̟̊ᵝ ɸ ɯ̟ᵝː
ばくまつ	b a̠ AI k ɯ̟ᵝ m a̠ AI t s ɨᵝ
ばくめいき	b a̠ AI k ɯ̟ᵝ m e̞ː AD kʲ i AC
ばくやく	b a̠ AI k ɯ̟ᵝ j AB a̠ AI k ɯ̟ᵝ
ばくりょう	b a̠ AI k ɯ̟ᵝ ɾʲ o̞ː AE
ばくろ	b a̠ AI k ɯ̟ᵝ ɾ o̞ AF
ばぐ	b a̠ AI ɡ ɯ̟ᵝ
ばけねこ	b a̠ AI k e̞ AC n e̞ AC k o̞ AF
ばけのかわ	b a̠ AI k e̞ AC n o̞ AF k a̠ AI ɰᵝ a̠ AI
ばけもの	b a̠ AI k e̞ AC m o̞ AF n o̞ AF
ばけもん	b a̠ AI k e̞ AC m õ̞ ɴ
ばける	b a̠ AI k e̞ AC ɾ ɯ̟ᵝ
ばけん	b a̠ AI k ẽ̞ ɴ
ばさし	b a̠ AI s a̠ AI ɕ i AC
ばしゃ	b a̠ AI ɕ a̠ AI
ばしょ	b a̠ AI ɕ o̞ AF
ばしょう	b a̠ AI ɕ o̞ː AE
ばじとうふう	b a̠ AI ʑ i AC t o̞ː AE ɸ ɯ̟ᵝː
ばじゅつ	b a̠ AI ʑ ɨᵝ t s ɨᵝ
ばす	b a̠ AI s ɨᵝ
ばせい	b a̠ AI s e̞ː AD
ばたんきゅう	b a̠ AI t ã̠ ŋʲ kʲ ɨᵝː
ばち	b a̠ AI t ɕ i AC
ばちがい	b a̠ AI t ɕ i AC ɡ a̠ AI i AC
ばっか	b a̠ AI k̚ k a̠ AI
ばっきん	b a̠ AI k̚ʲ kʲ ĩ ɴ
ばっさい	b a̠ AI sː a̠ AI i AC
ばっさり	b a̠ AI sː a̠ AI ɾʲ i AC
ばっすい	b a̠ AI sː ɯ̟ᵝ i AC
ばっする	b a̠ AI sː ɯ̟ᵝ ɾ ɯ̟ᵝ
ばったり	b a̠ AI t̚ t a̠ AI ɾʲ i AC
ばっちい	b a̠ AI t̚ t ɕ iː AD
ばっちり	b a̠ AI t̚ t ɕ i AC ɾʲ i AC
ばってき	b a̠ AI t̚ t e̞ AC kʲ i AC
ばつぐん	b a̠ AI t s ɨᵝ ɡ ɯ̟̃ᵝ ɴ
ばてる	b a̠ AI t e̞ AC ɾ ɯ̟ᵝ
ばてれん	b a̠ AI t e̞ AC ɾ ẽ̞ ɴ
ばとう	b a̠ AI t o̞ː AE
ばとうかんのん	b a̠ AI t o̞ː AE k ã̠ nː õ̞ ɴ
ばとうきん	b a̠ AI t o̞ː AE kʲ ĩ ɴ
ばとうせいうん	b a̠ AI t o̞ː AE s e̞ː AD ɯ̟̃ᵝ ɴ
ばにく	b a̠ AI ɲ̟ i AC k ɯ̟ᵝ
ばにゅう	b a̠ AI ɲ̟ ɯ̟ᵝː
ばにゅうしゅ	b a̠ AI ɲ̟ ɯ̟ᵝː ɕ ɨᵝ
ばね	b a̠ AI n e̞ AC
ばば	b a̠ AI b a̠ AI
ばばあ	b a̠ AI b a̠ː AJ
ばばっちい	b a̠ AI b a̠ AI t̚ t ɕ iː AD
ばばぬき	b a̠ AI b a̠ AI n ɯ̟ᵝ kʲ i AC
ばび	b a̠ AI bʲ i AC
ばびしょう	b a̠ AI bʲ i AC ɕ o̞ː AE
ばふだ	b a̠ AI ɸ ɯ̟ᵝ d a̠ AI
ばめん	b a̠ AI m ẽ̞ ɴ
ばや	b a̠ AI j AB a̠ AI
ばら	b a̠ AI ɾ a̠ AI
ばらいろ	b a̠ AI ɾ a̠ AI i AC ɾ o̞ AF
ばらえん	b a̠ AI ɾ a̠ AI ẽ̞ ɴ
ばらす	b a̠ AI ɾ a̠ AI s ɨᵝ
ばらにく	b a̠ AI ɾ a̠ AI ɲ̟ i AC k ɯ̟ᵝ
ばらはた	b a̠ AI ɾ a̠ AI h AA a̠ AI t a̠ AI
ばらばら	b a̠ AI ɾ a̠ AI b a̠ AI ɾ a̠ AI
ばらまく	b a̠ AI ɾ a̠ AI m a̠ AI k ɯ̟ᵝ
ばりき	b a̠ AI ɾʲ i AC kʲ i AC
ばれいしょ	b a̠ AI ɾ e̞ː AD ɕ o̞ AF
ばれん	b a̠ AI ɾ ẽ̞ ɴ
ばん	b ã̠ ɴ
ばんかい	b ã̠ ŋ k a̠ AI i AC
ばんかじゅ	b ã̠ ŋ k a̠ AI ʑ ɨᵝ
ばんき	b ã̠ ŋʲ kʲ i AC
