ᆜ	j AB ɯ AD
철도역	t ɕʰ ʌ̹ ɭ t͈ o̞ AE j AB ʌ̹ k̚
철물점	t ɕʰ ʌ̹ ɭ m u AE ʎ d ʑ ʌ̹ m
철밥통	t ɕʰ ʌ̹ ɭ b a̠ AF p̚ tʰ o̞ AE ŋ
철부지	t ɕʰ ʌ̹ ɭ b u AE d ʑ i AD
철사	t ɕʰ ʌ̹ ɭ s͈ a̠ AF
철자법	t ɕʰ ʌ̹ ʎ t ɕ͈ a̠ AF p͈ ʌ̹ p̚
철저하다	t ɕʰ ʌ̹ ʎ t ɕ͈ ʌ̹ ɦ AA a̠ AF d a̠ AF
철저히	t ɕʰ ʌ̹ ʎ t ɕ͈ ʌ̹ ʝ i AD
철쭉	t ɕʰ ʌ̹ ʎ t ɕ͈ u AE k̚
철퇴	t ɕʰ ʌ̹ ɭ tʰ w AC e̞ AD
철판	t ɕʰ ʌ̹ ɭ pʰ a̠ AF n
철편	t ɕʰ ʌ̹ ɭ pʰ j AB ʌ̹ n
철폐	t ɕʰ ʌ̹ ɭ pʰ j AB e̞ AD
철학	t ɕʰ ʌ̹ ɾ ɦ AA a̠ AF k̚
첨	t ɕʰ ʌ̹ m
첨가	t ɕʰ ʌ̹ m ɡ a̠ AF
첨가물	t ɕʰ ʌ̹ m ɡ a̠ AF m u AE ɭ
첨부	t ɕʰ ʌ̹ m b u AE
첨부하다	t ɕʰ ʌ̹ m b u AE ɦ AA a̠ AF d a̠ AF
첩	t ɕʰ ʌ̹ p̚
첫	t ɕʰ ʌ̹ t̚
첫날	t ɕʰ ʌ̹ n n a̠ AF ɭ
첫눈	t ɕʰ ʌ̹ n n u AE n
첫차	t ɕʰ ʌ̹ t̚ t ɕʰ a̠ AF
청	t ɕʰ ʌ̹ ŋ
청가시고기	t ɕʰ ʌ̹ ŋ ɡ a̠ AF ɕʰ i AD ɡ o̞ AE ɡ i AD
청각	t ɕʰ ʌ̹ ŋ ɡ a̠ AF k̚
청결	t ɕʰ ʌ̹ ŋ ɡ j AB ʌ̹ ɭ
청구서	t ɕʰ ʌ̹ ŋ ɡ u AE sʰ ʌ̹
청국장	t ɕʰ ʌ̹ ŋ ɡ u AE k̚ t ɕ͈ a̠ AF ŋ
청기예보	t ɕʰ ʌ̹ ŋ ɡ i AD j AB e̞ AD b o̞ AE
청남방	t ɕʰ ʌ̹ ŋ n a̠ AF m b a̠ AF ŋ
청년	t ɕʰ ʌ̹ ŋ ɲ j AB ʌ̹ n
청동	t ɕʰ ʌ̹ ŋ d o̞ AE ŋ
청둥오리	t ɕʰ ʌ̹ ŋ d u AE ŋ o̞ AE ɾ i AD
청량음료	t ɕʰ ʌ̹ ŋ ɲ j AB a̠ AF ŋ ɯ AD m ɲ j AB o AE
청머리오리	t ɕʰ ʌ̹ ŋ m ʌ̹ ɾ i AD o̞ AE ɾ i AD
청바지	t ɕʰ ʌ̹ ŋ b a̠ AF d ʑ i AD
청산가리	t ɕʰ ʌ̹ ŋ sʰ a̠ AF n ɡ a̠ AF ɾ i AD
청설모	t ɕʰ ʌ̹ ŋ sʰ ʌ̹ ɭ m o̞ AE
청소	t ɕʰ ʌ̹ ŋ sʰ o̞ AE
청소기	t ɕʰ ʌ̹ ŋ sʰ o̞ AE ɡ i AD
청소년	t ɕʰ ʌ̹ ŋ sʰ o̞ AE ɲ j AB ʌ̹ n
청소하다	t ɕʰ ʌ̹ ŋ sʰ o̞ AE ɦ AA a̠ AF d a̠ AF
청순	t ɕʰ ʌ̹ ŋ sʰ u AE n
청진	t ɕʰ ʌ̹ ŋ d ʑ i AD n
청진기	t ɕʰ ʌ̹ ŋ d ʑ i AD n ɡ i AD
청천	t ɕʰ ʌ̹ ŋ t ɕʰ ʌ̹ n
청천벽력	t ɕʰ ʌ̹ ŋ t ɕʰ ʌ̹ n b j AB ʌ̹ ŋ ɲ j AB ʌ̹ k̚
청첩장	t ɕʰ ɘː AD ŋ t ɕʰ ʌ̹ p̚ t ɕ͈ a̠ AF ŋ
청초하다	t ɕʰ ʌ̹ ŋ t ɕʰ o̞ AE ɦ AA a̠ AF d a̠ AF
청춘	t ɕʰ ʌ̹ ŋ t ɕʰ u AE n
청탁	t ɕʰ ʌ̹ ŋ tʰ a̠ AF k̚
청하다	t ɕʰ ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
체	t ɕʰ e̞ AD
체결	t ɕʰ e̞ AD ɡ j AB ʌ̹ ɭ
체계	t ɕʰ e̞ AD ɡ j AB e̞ AD
체구	t ɕʰ e̞ AD ɡ u AE
체념	t ɕʰ e̞ AD ɲ j AB ʌ̹ m
체력	t ɕʰ e̞ AD ɾ j AB ʌ̹ k̚
체르노빌	t ɕʰ e̞ AD ɾ ɯ AD n o̞ AE b i AD ɭ
체리	t ɕʰ e̞ AD ɾ i AD
체면	t ɕʰ e̞ AD m j AB ʌ̹ n
체모	t ɕʰ e̞ AD m o̞ AE
체스	t ɕʰ e̞ AD sʰ ɯ AD
체스꼬	t ɕʰ e̞ AD sʰ ɯ AD k͈ o̞ AE
체스꼬슬로벤스꼬	t ɕʰ e̞ AD sʰ ɯ AD k͈ o̞ AE sʰ ɯ AD ɭ ɭ o̞ AE b e̞ AD n sʰ ɯ AD k͈ o̞ AE
체언	t ɕʰ e̞ AD ʌ̹ n
체온	t ɕʰ e̞ AD o̞ AE n
체온계	t ɕʰ e̞ AD o̞ AE n ɡ j AB e̞ AD
체용	t ɕʰ e̞ AD j AB o AE ŋ
체위	t ɕʰ e̞ AD ɥ AC i AD
체육	t ɕʰ e̞ AD j AB u AE k̚
체육관	t ɕʰ e̞ AD j AB u AE k̚ k͈ w AC a̠ AF n
체인	t ɕʰ e̞ AD i AD n
체적	t ɕʰ e̞ AD d ʑ ʌ̹ k̚
체제	t ɕʰ e̞ AD d ʑ e̞ AD
체조	t ɕʰ e̞ AD d ʑ o̞ AE
체중	t ɕʰ e̞ AD d ʑ u AE ŋ
체질	t ɕʰ e̞ AD d ʑ i AD ɭ
체첸어	t ɕʰ e̞ AD t ɕʰ e̞ AD n ʌ̹
체커	t ɕʰ e̞ AD kʰ ʌ̹
체코	t ɕʰ e̞ AD kʰ o̞ AE
체크어	t ɕʰ e̞ AD k x ɯ AD ʌ̹
체포	t ɕʰ e̞ AD pʰ o̞ AE
체포하다	t ɕʰ e̞ AD pʰ o̞ AE ɦ AA a̠ AF d a̠ AF
체험	t ɕʰ e̞ AD ɦ AA ʌ̹ m
체형	t ɕʰ e̞ AD ʝ j AB ʌ̹ ŋ
첼로	t ɕʰ e̞ AD ɭ ɭ o̞ AE
쳐다보다	t ɕʰ ɘː AD d a̠ AF b o̞ AE d a̠ AF
쳐죽이다	t ɕʰ ʌ̹ d ʑ u AE ɡ i AD d a̠ AF
초	t ɕʰ o̞ AE
초고속	t ɕʰ o̞ AE ɡ o̞ AE sʰ o̞ AE k̚
초고추장	t ɕʰ o̞ AE ɡ o̞ AE t ɕʰ u AE d ʑ a̠ AF ŋ
초기	t ɕʰ o̞ AE ɡ i AD
초능력	t ɕʰ o̞ AE n ɯ AD ŋ ɲ j AB ʌ̹ k̚
초등학교	t ɕʰ o̞ AE d ɯ AD ŋ ɦ AA a̠ AF k̚ k͈ j AB o AE
초딩	t ɕʰ o̞ AE d i AD ŋ
초로	t ɕʰ o̞ AE ɾ o̞ AE
초록	t ɕʰ o̞ AE ɾ o̞ AE k̚
초록빛	t ɕʰ o̞ AE ɾ o̞ AE k̚ p͈ i AD t̚
초롱초롱	t ɕʰ o̞ AE ɾ o̞ AE ŋ t ɕʰ o̞ AE ɾ o̞ AE ŋ
초반	t ɕʰ o̞ AE b a̠ AF n
초밥	t ɕʰ o̞ AE b a̠ AF p̚
초보자	t ɕʰ o̞ AE b o̞ AE d ʑ a̠ AF
초상	t ɕʰ o̞ AE sʰ a̠ AF ŋ
초순	t ɕʰ o̞ AE sʰ u AE n
초승달	t ɕʰ o̞ AE sʰ ɯ AD ŋ t͈ a̠ AF ɭ
초신성	t ɕʰ o̞ː AE ɕʰ i AD n sʰ ʌ̹ ŋ
초심리학	t ɕʰ o̞ AE ɕʰ i AD m n i AD ɦ AA a̠ AF k̚
초어	t ɕʰ o̞ AE ʌ̹
초원	t ɕʰ o̞ AE w AC ʌ̹ n
초원수리	t ɕʰ o̞ AE w AC ʌ̹ n sʰ u AE ɾ i AD
초유	t ɕʰ o̞ AE j AB u AE
초은하단	t ɕʰ o̞ AE ɯ AD n ɦ AA a̠ AF d a̠ AF n
초음파	t ɕʰ o̞ AE ɯ AD m pʰ a̠ AF
초인	t ɕʰ o̞ AE i AD n
초자연적	t ɕʰ o̞ AE d ʑ a̠ AF j AB ʌ̹ ɲ d ʑ ʌ̹ k̚
초점	t ɕʰ o̞ AE t ɕ͈ ʌ̹ m
초지	t ɕʰ o̞ AE d ʑ i AD
초침	t ɕʰ o̞ AE t ɕʰ i AD m
초콜렛	t ɕʰ o̞ AE kʰ o̞ AE ɭ ɭ e̞ AD t̚
초콜릿	t ɕʰ o̞ AE kʰ o̞ AE ʎ ʎ i AD t̚
초특급	t ɕʰ o̞ AE tʰ ɯ AD k̚ k͈ ɯ AD p̚
초판	t ɕʰ o̞ AE pʰ a̠ AF n
초하루	t ɕʰ o̞ AE ɦ AA a̠ AF ɾ u AE
초호	t ɕʰ o̞ AE β o̞ AE
초혼	t ɕʰ o̞ AE β o̞ AE n
촉	t ɕʰ o̞ AE k̚
촉각	t ɕʰ o̞ AE k̚ k͈ a̠ AF k̚
촉법소년	t ɕʰ o̞ AE k̚ p͈ ʌ̹ p s͈ o̞ AE ɲ j AB ʌ̹ n
촉수	t ɕʰ o̞ AE k s͈ u AE
촉지	t ɕʰ o̞ AE k̚ t ɕ͈ i AD
촌	t ɕʰ o̞ː AE n
촌극	t ɕʰ o̞ː AE n ɡ ɯ AD k̚
촌놈	t ɕʰ o̞ AE n n o̞ AE m
촌락	t ɕʰ o̞ː AE ɭ ɭ a̠ AF k̚
촌스럽다	t ɕʰ o̞ː AE n sʰ ɯ AD ɾ ʌ̹ p̚ t͈ a̠ AF
촛불	t ɕʰ o̞ AE t̚ p͈ u AE ɭ
총	t ɕʰ o̞ AE ŋ
총각	t ɕʰ o̞ː AE ŋ ɡ a̠ AF k̚
총각김치	t ɕʰ o̞ AE ŋ ɡ a̠ AF k̚ k͈ i AD m t ɕʰ i AD
총검	t ɕʰ o̞ AE ŋ ɡ ʌ̹ m
총리	t ɕʰ o̞ː AE ŋ n i AD
총명	t ɕʰ o̞ AE ŋ m j AB ʌ̹ ŋ
총명하다	t ɕʰ o̞ AE ŋ m j AB ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
총비서	t ɕʰ o̞ː AE ŋ b iː AD sʰ ʌ̹
총서	t ɕʰ o̞ AE ŋ sʰ ʌ̹
총알	t ɕʰ o̞ AE ŋ a̠ AF ɭ
총알열차	t ɕʰ o̞ AE ŋ a̠ AF ɾ j AB ʌ̹ ʎ t ɕʰ a̠ AF
총영사관	t ɕʰ o̞ AE ŋ j AB ʌ̹ ŋ sʰ a̠ AF ɡ w AC a̠ AF n
총장	t ɕʰ o̞ː AE ŋ d ʑ a̠ AF ŋ
총체적	t ɕʰ o̞ AE ŋ t ɕʰ e̞ AD d ʑ ʌ̹ k̚
총총	t ɕʰ o̞ AE ŋ t ɕʰ o̞ AE ŋ
총칭	t ɕʰ o̞ː AE ŋ t ɕʰ i AD ŋ
총통	t ɕʰ o̞ː AE ŋ tʰ o̞ AE ŋ
총화	t ɕʰ o̞ AE ŋ β w AC a̠ AF
촬	t ɕʰ w AC a̠ AF ɭ
촬영	t ɕʰ w AC a̠ AF ɾ j AB ʌ̹ ŋ
최	t ɕʰ w AC e̞ AD
최강	t ɕʰ w AC e̞ː AD ɡ a̠ AF ŋ
최고	t ɕʰ w AC e̞ː AD ɡ o̞ AE
최고존엄	t ɕʰ w AC e̞ː AD ɡ o̞ AE d ʑ o̞ AE n ʌ̹ m
최근	t ɕʰ w AC e̞ː AD ɡ ɯ AD n
최면	t ɕʰ w AC e̞ AD m j AB ʌ̹ n
최면술	t ɕʰ w AC e̞ AD m j AB ʌ̹ n sʰ u AE ɭ
최상급	t ɕʰ w AC e̞ː AD sʰ a̠ AF ŋ ɡ ɯ AD p̚
최선	t ɕʰ w AC e̞ː AD sʰ ʌ̹ n
최소한	t ɕʰ w AC e̞ː AD sʰ o̞ AE ɦ AA a̠ AF n
최종	t ɕʰ w AC e̞ː AD d ʑ o̞ AE ŋ
최초	t ɕʰ w AC e̞ː AD t ɕʰ o̞ AE
최후	t ɕʰ w AC e̞ː AD β u AE
쵸콜레트	t ɕʰ o AE kʰ o̞ AE ɭ ɭ e̞ AD tʰ ɯ AD
추가	t ɕʰ u AE ɡ a̠ AF
추격	t ɕʰ u AE ɡ j AB ʌ̹ k̚
추구	t ɕʰ u AE ɡ u AE
추구하다	t ɕʰ u AE ɡ u AE ɦ AA a̠ AF d a̠ AF
추기경	t ɕʰ u AE ɡ i AD ɡ j AB ʌ̹ ŋ
추다	t ɕʰ u AE d a̠ AF
추돌	t ɕʰ u AE d o̞ AE ɭ
추락	t ɕʰ u AE ɾ a̠ AF k̚
추리닝	t ɕʰ u AE ɾ i AD n i AD ŋ
추밀원	t ɕʰ u AE m i AD ɾ w AC ʌ̹ n
추방	t ɕʰ u AE b a̠ AF ŋ
추석	t ɕʰ u AE sʰ ʌ̹ k̚
추수	t ɕʰ u AE sʰ u AE
추악하다	t ɕʰ u AE a̠ AF kʰ a̠ AF d a̠ AF
추억	t ɕʰ u AE ʌ̹ k̚
추위	t ɕʰ u AE ɥ AC i AD
추적하다	t ɕʰ u AE d ʑ ʌ̹ kʰ a̠ AF d a̠ AF
추진	t ɕʰ u AE d ʑ i AD n
추진하다	t ɕʰ u AE d ʑ i AD n ɦ AA a̠ AF d a̠ AF
추천	t ɕʰ u AE t ɕʰ ʌ̹ n
추천하다	t ɕʰ u AE t ɕʰ ʌ̹ n ɦ AA a̠ AF d a̠ AF
추출	t ɕʰ u AE t ɕʰ u AE ɭ
추출물	t ɕʰ u AE t ɕʰ u AE ɭ m u AE ɭ
추측	t ɕʰ u AE t ɕʰ ɯ AD k̚
추측하다	t ɕʰ u AE t ɕʰ ɯ AD kʰ a̠ AF d a̠ AF
축	t ɕʰ u AE k̚
축구	t ɕʰ u AE k̚ k͈ u AE
축복	t ɕʰ u AE k̚ p͈ o̞ AE k̚
축복하다	t ɕʰ u AE k̚ p͈ o̞ AE kʰ a̠ AF d a̠ AF
축사	t ɕʰ u AE k s͈ a̠ AF
축소	t ɕʰ u AE k s͈ o̞ AE
축소하다	t ɕʰ u AE k s͈ o̞ AE ɦ AA a̠ AF d a̠ AF
축음기	t ɕʰ u AE ɡ ɯ AD m ɡ i AD
축일	t ɕʰ u AE ɡ i AD ɭ
축전기	t ɕʰ u AE k̚ t ɕ͈ ʌ̹ n ɡ i AD
축제	t ɕʰ u AE k̚ t ɕ͈ e̞ AD
축제일	t ɕʰ u AE k̚ t ɕ͈ e̞ AD i AD ɭ
축척	t ɕʰ u AE k̚ t ɕʰ ʌ̹ k̚
축축하다	t ɕʰ u AE k̚ t ɕʰ u AE kʰ a̠ AF d a̠ AF
축하	t ɕʰ u AE kʰ a̠ AF
축하하다	t ɕʰ u AE kʰ a̠ AF ɦ AA a̠ AF d a̠ AF
춘	t ɕʰ u AE n
춘절	t ɕʰ u AE ɲ d ʑ ʌ̹ ɭ
춘하추동	t ɕʰ u AE n ɦ AA a̠ AF t ɕʰ u AE d o̞ AE ŋ
출	t ɕʰ u AE ɭ
출구	t ɕʰ u AE ɭ ɡ u AE
출근	t ɕʰ u AE ɭ ɡ ɯ AD n
출근시간	t ɕʰ u AE ɭ ɡ ɯ AD n ɕʰ i AD ɡ a̠ AF n
출근하다	t ɕʰ u AE ɭ ɡ ɯ AD n ɦ AA a̠ AF d a̠ AF
출금	t ɕʰ u AE ɭ ɡ ɯ AD m
출납계	t ɕʰ u AE ɭ ɭ a̠ AF p̚ k͈ j AB e̞ AD
출발	t ɕʰ u AE ɭ b a̠ AF ɭ
출발하다	t ɕʰ u AE ɭ b a̠ AF ɾ ɦ AA a̠ AF d a̠ AF
출산	t ɕʰ u AE ɭ s͈ a̠ AF n
출산율	t ɕʰ u AE ɭ sʰ a̠ AF ɲ j AB u AE ɭ
출석	t ɕʰ u AE ɭ s͈ ʌ̹ k̚
출석하다	t ɕʰ u AE ɭ sʰ ʌ̹ kʰ a̠ AF d a̠ AF
출신	t ɕʰ u AE ɭ ɕ͈ i AD n
출신성분	t ɕʰ u AE ɭ ɕ͈ i AD n sʰ ʌ̹ ŋ b u AE n
출연	t ɕʰ u AE ɾ j AB ʌ̹ n
출연하다	t ɕʰ u AE ɾ j AB ʌ̹ n ɦ AA a̠ AF d a̠ AF
출원자	t ɕʰ u AE ɾ w AC ʌ̹ ɲ d ʑ a̠ AF
출장	t ɕʰ u AE ʎ t ɕ͈ a̠ AF ŋ
출전	t ɕʰ u AE ʎ d ʑ ʌ̹ n
출처	t ɕʰ u AE ʎ t ɕʰ ʌ̹
출출하다	t ɕʰ u AE ʎ t ɕʰ u AE ɾ ɦ AA a̠ AF d a̠ AF
출토	t ɕʰ u AE ɭ tʰ o̞ AE
출퇴근하다	t ɕʰ u AE ɭ tʰ w AC e̞ AD ɡ ɯ AD n ɦ AA a̠ AF d a̠ AF
출판	t ɕʰ u AE ɭ pʰ a̠ AF n
출판사	t ɕʰ u AE ɭ pʰ a̠ AF n sʰ a̠ AF
출판하다	t ɕʰ u AE ɭ pʰ a̠ AF n ɦ AA a̠ AF d a̠ AF
출혈	t ɕʰ u AE ɾ ʝ j AB ʌ̹ ɭ
춤	t ɕʰ u AE m
춤꾼	t ɕʰ u AE m k͈ u AE n
춤추다	t ɕʰ u AE m t ɕʰ u AE d a̠ AF
춥다	t ɕʰ u AE p̚ t͈ a̠ AF
충	t ɕʰ u AE ŋ
충격	t ɕʰ u AE ŋ ɡ j AB ʌ̹ k̚
충고	t ɕʰ u AE ŋ ɡ o̞ AE
충고하다	t ɕʰ u AE ŋ ɡ o̞ AE ɦ AA a̠ AF d a̠ AF
충돌	t ɕʰ u AE ŋ d o̞ AE ɭ
충분하다	t ɕʰ u AE ŋ b u AE n ɦ AA a̠ AF d a̠ AF
충분히	t ɕʰ u AE ŋ b u AE n ʝ i AD
충성	t ɕʰ u AE ŋ sʰ ʌ̹ ŋ
충수	t ɕʰ u AE ŋ sʰ u AE
충실하다	t ɕʰ u AE ŋ ɕʰ i AD ɾ ɦ AA a̠ AF d a̠ AF
충심	t ɕʰ u AE ŋ ɕʰ i AD m
충전기	t ɕʰ u AE ŋ d ʑ ʌ̹ n ɡ i AD
충청남도	t ɕʰ u AE ŋ t ɕʰ ʌ̹ ŋ n a̠ AF m d o̞ AE
충청북도	t ɕʰ u AE ŋ t ɕʰ ʌ̹ ŋ b u AE k̚ t͈ o̞ AE
충충	t ɕʰ u AE ŋ t ɕʰ u AE ŋ
충칭	t ɕʰ u AE ŋ t ɕʰ i AD ŋ
췌장암	t ɕʰ w AC e̞ː AD d ʑ a̠ AF ŋ a̠ AF m
취급	t ɕʰ ɥ AC i AD ɡ ɯ AD p̚
취나물	t ɕʰ ɥ AC i AD n a̠ AF m u AE ɭ
취득하다	t ɕʰ ɥ AC iː AD d ɯ AD kʰ a̠ AF d a̠ AF
취리히	t ɕʰ ɥ AC i AD ɾ i AD ʝ i AD
취미	t ɕʰ ɥ AC iː AD m i AD
취소	t ɕʰ ɥ AC iː AD sʰ o̞ AE
취소하다	t ɕʰ ɥ AC iː AD sʰ o̞ AE ɦ AA a̠ AF d a̠ AF
취약	t ɕʰ ɥ AC iː AD j AB a̠ AF k̚
취약성	t ɕʰ ɥ AC iː AD j AB a̠ AF k s͈ ʌ̹ ŋ
취조	t ɕʰ ɥ AC iː AD d ʑ o̞ AE
취지	t ɕʰ ɥ AC iː AD d ʑ i AD
취직	t ɕʰ ɥ AC iː AD d ʑ i AD k̚
취하다	t ɕʰ ɥ AC iː AD ɦ AA a̠ AF d a̠ AF
취향	t ɕʰ ɥ AC iː AD ʝ j AB a̠ AF ŋ
취흥	t ɕʰ ɥ AC iː AD ɣ ɯ AD ŋ
츄잉껌	t ɕʰ u AE i AD ŋ k͈ ʌ̹ m
츠	t ɕʰ ɯ AD
측	t ɕʰ ɯ AD k̚
측량	t ɕʰ ɯ AD ŋ ɲ j AB a̠ AF ŋ
측력계	t ɕʰ ɯ AD ŋ ɲ j AB ʌ̹ k̚ k͈ j AB e̞ AD
측위	t ɕʰ ɯ AD ɡ ɥ AC i AD
층	t ɕʰ ɯ AD ŋ
층운	t ɕʰ ɯ AD ŋ u AE n
츼	t ɕʰ i AD
치	t ɕʰ i AD
치기만만	t ɕʰ i AD ɡ i AD m a̠ AF n m a̠ AF n
치기만만하다	t ɕʰ i AD ɡ i AD m a̠ AF n m a̠ AF n ɦ AA a̠ AF d a̠ AF
치는	t ɕʰ i AD n ɯ AD n
치다	t ɕʰ i AD d a̠ AF
치닫다	t ɕʰ i AD d a̠ AF t̚ t͈ a̠ AF
치료	t ɕʰ i AD ɾ j AB o AE
치료제	t ɕʰ i AD ɾ j AB o AE d ʑ e̞ AD
치료하다	t ɕʰ i AD ɾ j AB o AE ɦ AA a̠ AF d a̠ AF
치르다	t ɕʰ i AD ɾ ɯ AD d a̠ AF
치리	t ɕʰ i AD ɾ i AD
치마	t ɕʰ i AD m a̠ AF
치명률	t ɕʰ iː AD m j AB ʌ̹ ŋ ɲ j AB u AE ɭ
치명적	t ɕʰ i AD m j AB ʌ̹ ŋ d ʑ ʌ̹ k̚
치아	t ɕʰ i AD a̠ AF
치안	t ɕʰ i AD a̠ AF n
치앙마이	t ɕʰ i AD a̠ AF ŋ m a̠ AF i AD
치약	t ɕʰ i AD j AB a̠ AF k̚
치어리더	t ɕʰ i AD ʌ̹ ɾ i AD d ʌ̹
치어리딩	t ɕʰ i AD ʌ̹ ɾ i AD d i AD ŋ
치열	t ɕʰ i AD j AB ʌ̹ ɭ
치와와	t ɕʰ i AD w AC a̠ AF w AC a̠ AF
치욕	t ɕʰ i AD j AB o AE k̚
치우	t ɕʰ i AD u AE
치우다	t ɕʰ i AD u AE d a̠ AF
치읓	t ɕʰ i AD ɯ AD t̚
치즈	t ɕʰ i AD d ʑ ɯ AD
치타	t ɕʰ i AD tʰ a̠ AF
치통	t ɕʰ i AD tʰ o̞ AE ŋ
치한	t ɕʰ i AD ɦ AA a̠ AF n
칙	t ɕʰ i AD k̚
친	t ɕʰ i AD n
친구	t ɕʰ i AD n ɡ u AE
친근감	t ɕʰ i AD n ɡ ɯ AD n ɡ a̠ AF m
친근하다	t ɕʰ i AD n ɡ ɯ AD n ɦ AA a̠ AF d a̠ AF
친밀	t ɕʰ i AD n m i AD ɭ
친삼촌	t ɕʰ i AD n sʰ a̠ AF m t ɕʰ o̞ AE n
친선	t ɕʰ i AD n sʰ ʌ̹ n
친선도시	t ɕʰ i AD n sʰ ʌ̹ n d o̞ AE ɕʰ i AD
친우	t ɕʰ i AD n u AE
친일파	t ɕʰ i AD n i AD ɭ pʰ a̠ AF
친절	t ɕʰ i AD ɲ d ʑ ʌ̹ ɭ
친절하다	t ɕʰ i AD ɲ d ʑ ʌ̹ ɾ ɦ AA a̠ AF d a̠ AF
친정	t ɕʰ i AD ɲ d ʑ ʌ̹ ŋ
친족	t ɕʰ i AD ɲ d ʑ o̞ AE k̚
친척	t ɕʰ i AD ɲ t ɕʰ ʌ̹ k̚
친하다	t ɕʰ i AD n ɦ AA a̠ AF d a̠ AF
친할아버지	t ɕʰ i AD n ɦ AA a̠ AF ɾ a̠ AF b ʌ̹ d ʑ i AD
칠	t ɕʰ i AD ɭ
칠레	t ɕʰ i AD ɭ ɭ e̞ AD
칠리	t ɕʰ i AD ʎ ʎ i AD
칠면조	t ɕʰ i AD ɭ m j AB ʌ̹ ɲ d ʑ o̞ AE
칠성장어	t ɕʰ i AD ɭ s͈ ʌ̹ ŋ d ʑ a̠ AF ŋ ʌ̹
칠십	t ɕʰ i AD ɭ ɕ͈ i AD p̚
칠월	t ɕʰ i AD ɾ w AC ʌ̹ ɭ
칠촌	t ɕʰ i AD ʎ t ɕʰ o̞ AE n
칠판	t ɕʰ i AD ɭ pʰ a̠ AF n
칠하다	t ɕʰ i AD ɾ ɦ AA a̠ AF d a̠ AF
칡	t ɕʰ i AD k̚
침	t ɕʰ i AD m
침공	t ɕʰ iː AD m ɡ o̞ AE ŋ
침낭	t ɕʰ iː AD m n a̠ AF ŋ
침략	t ɕʰ iː AD m ɲ j AB a̠ AF k̚
침략자	t ɕʰ i AD m ɲ j AB a̠ AF k̚ t ɕ͈ a̠ AF
침목	t ɕʰ i AD m m o̞ AE k̚
침몰	t ɕʰ i AD m m o̞ AE ɭ
침묵	t ɕʰ i AD m m u AE k̚
침묵하다	t ɕʰ i AD m m u AE kʰ a̠ AF d a̠ AF
침범	t ɕʰ iː AD m b ʌ̹ m
침술	t ɕʰ i AD m sʰ u AE ɭ
침실	t ɕʰ iː AD m ɕʰ i AD ɭ
침입	t ɕʰ iː AD m i AD p̚
칩	t ɕʰ i AD p̚
칭찬	t ɕʰ i AD ŋ t ɕʰ a̠ AF n
칭찬하다	t ɕʰ i AD ŋ t ɕʰ a̠ AF n ɦ AA a̠ AF d a̠ AF
칭하이	t ɕʰ i AD ŋ ɦ AA a̠ AF i AD
칭호	t ɕʰ i AD ŋ β o̞ AE
카	kʰ a̠ AF
카게베	kʰ a̠ AF ɡ e̞ AD b e̞ AD
카나	kʰ a̠ AF n a̠ AF
카나다	kʰ a̠ AF n a̠ AF d a̠ AF
카나리아	kʰ a̠ AF n a̠ AF ɾ i AD a̠ AF
카놀라유	kʰ a̠ AF n o̞ AE ɭ ɭ a̠ AF j AB u AE
카다	kʰ a̠ AF d a̠ AF
카더라	kʰ a̠ AF d ʌ̹ ɾ a̠ AF
카드	kʰ a̠ AF d ɯ AD
카드뮴	kʰ a̠ AF d ɯ AD m j AB u AE m
카디건	kʰ a̠ AF d i AD ɡ ʌ̹ n
카라반	kʰ a̠ AF ɾ a̠ AF b a̠ AF n
카라치	kʰ a̠ AF ɾ a̠ AF t ɕʰ i AD
카라카스	kʰ a̠ AF ɾ a̠ AF kʰ a̠ AF sʰ ɯ AD
카라칼	kʰ a̠ AF ɾ a̠ AF kʰ a̠ AF ɭ
카란	kʰ a̠ AF ɾ a̠ AF n
카레라이스	kʰ a̠ AF ɾ e̞ AD ɾ a̠ AF i AD sʰ ɯ AD
카렌더	kʰ a̠ AF ɾ e̞ AD n d ʌ̹
카르마	kʰ a̠ AF ɾ ɯ AD m a̠ AF
카르보닐기	kʰ a̠ AF ɾ ɯ AD b o̞ AE n i AD ɭ ɡ i AD
카르복실기	kʰ a̠ AF ɾ ɯ AD b o̞ AE k ɕ͈ i AD ɭ ɡ i AD
카르볼린	kʰ a̠ AF ɾ ɯ AD b o̞ AE ʎ ʎ i AD n
카르빌아민	kʰ a̠ AF ɾ ɯ AD b i AD ɾ a̠ AF m i AD n
카르텔	kʰ a̠ AF ɾ ɯ AD tʰ e̞ AD ɭ
카메라	kʰ a̠ AF m e̞ AD ɾ a̠ AF
카메룬	kʰ a̠ AF m e̞ AD ɾ u AE n
카멜레온	kʰ a̠ AF m e̞ AD ɭ ɭ e̞ AD o̞ AE n
카바레	kʰ a̠ AF b a̠ AF ɾ e̞ AD
카바졸	kʰ a̠ AF b a̠ AF d ʑ o̞ AE ɭ
카보베르데	kʰ a̠ AF b o̞ AE b e̞ AD ɾ ɯ AD d e̞ AD
카복실산	kʰ a̠ AF b o̞ AE k ɕ͈ i AD ɭ sʰ a̠ AF n
