aa	ɑː AE
välikattokupoli	ʋ AC æ AD l i AD k ɑ AD t̪ː o̞ AF k u AF p o̞ AF l i AD
välikausi	ʋ AC æ AD l i AD k ɑ AD u̯ AC s̠ i AD
välikausitakki	ʋ AC æ AD l i AD k ɑ AD u̯ AC s̠ i AD t̪ ɑ AD kː i AD
välike	ʋ AC æ AD l i AD k e̞ AD ʔ
välikeli	ʋ AC æ AD l i AD k e̞ AD l i AD
välikieli	ʋ AC æ AD l i AD k i AD e̞̯ l i AD
välikorvaontelo	ʋ AC æ AD l i AD k o̞ AF r ʋ AC ɑ AD o̞ AF n̪ t̪ e̞ AD l o̞ AF
välikyljys	ʋ AC æ AD l i AD k y AF l j AB y AF s̠
välilaituri	ʋ AC æ AD l i AD l ɑ AD i̯ AB t̪ u AF r i AD
välilasku	ʋ AC æ AD l i AD l ɑ AD s̠ k u AF
välilaskuton	ʋ AC æ AD l i AD l ɑ AD s̠ k u AF t̪ o̞ AF n
välillisyys	ʋ AC æ AD l i AD l l i AD s̠ yː AG s̠
välimailla	ʋ AC æ AD l i AD m ɑ AD i̯ AB lː ɑ AD
välimaille	ʋ AC æ AD l i AD m ɑ AD i̯ AB lː e̞ AD ʔ
välimailta	ʋ AC æ AD l i AD m ɑ AD i̯ AB l t̪ ɑ AD
välimerenilmasto	ʋ AC æ AD l i AD m e̞ AD r e̞ AD n i AD l m ɑ AD s̠ t̪ o̞ AF
välimerenlokki	ʋ AC æ AD l i AD m e̞ AD r e̞ AD n l o̞ AF kː i AD
välimerentaateli	ʋ AC æ AD l i AD m e̞ AD r e̞ AD n t̪ ɑː AE t̪ e̞ AD l i AD
välimeri	ʋ AC æ AD l i AD m e̞ AD r i AD
välimuotoinen	ʋ AC æ AD l i AD m u AF o̞̯ t̪ o̞ AF i̯ AB n e̞ AD n
väline	ʋ AC æ AD l i AD n e̞ AD ʔ
välineaine	ʋ AC æ AD l i AD n e̞ AD ʔ ɑ AD i̯ AB n e̞ AD ʔ
välinearvo	ʋ AC æ AD l i AD n e̞ AD ʔ ɑ AD r ʋ AC o̞ AF
välineellinen	ʋ AC æ AD l i AD n e̞ː AE lː i AD n e̞ AD n
välineellistyä	ʋ AC æ AD l i AD n e̞ː AE lː i AD s̠ t̪ y AF æ AD ʔ
välineellistää	ʋ AC æ AD l i AD n e̞ː AE lː i AD s̠ t̪ æː AE ʔ
välineistää	ʋ AC æ AD l i AD n e̞ AD i̯ AB s̠ t̪ æː AE ʔ
välineistö	ʋ AC æ AD l i AD n e̞ AD i̯ AB s̠ t̪ ø̞ AF
välinen	ʋ AC æ AD l i AD n e̞ AD n
välinimi	ʋ AC æ AD l i AD n i AD m i AD
välinpitämätön	ʋ AC æ AD l i AD m p i AD t̪ æ AD m æ AD t̪ ø̞ AF n
väliohjelmisto	ʋ AC æ AD l i AD o̞ AF x j AB e̞ AD l m i AD s̠ t̪ o̞ AF
väliotsikko	ʋ AC æ AD l i AD o̞ AF t s̠ i AD kː o̞ AF
väliovi	ʋ AC æ AD l i AD o̞ AF ʋ AC i AD
välipahvi	ʋ AC æ AD l i AD p ɑ AD x ʋ AC i AD
välipalakakku	ʋ AC æ AD l i AD p ɑ AD l ɑ AD k ɑ AD kː u AF
välipalvelin	ʋ AC æ AD l i AD p ɑ AD l ʋ AC e̞ AD l i AD n
välipohja	ʋ AC æ AD l i AD p o̞ AF x j AB ɑ AD
väliraha	ʋ AC æ AD l i AD r ɑ AD ɦ AA ɑ AD
välirauha	ʋ AC æ AD l i AD r ɑ AD u̯ AC ɦ AA ɑ AD
välisara	ʋ AC æ AD l i AD s̠ ɑ AD r ɑ AD
välisiirto	ʋ AC æ AD l i AD s̠ iː AE r t̪ o̞ AF
välisoitto	ʋ AC æ AD l i AD s̠ o̞ AF i̯ AB t̪ː o̞ AF
välissä	ʋ AC æ AD l i AD s̠ː æ AD
väliste	ʋ AC æ AD l i AD s̠ t̪ e̞ AD ʔ
välistys	ʋ AC æ AD l i AD s̠ t̪ y AF s̠
välistäveto	ʋ AC æ AD l i AD s̠ t̪ æ AD ʋ AC e̞ AD t̪ o̞ AF
välistävetohyökkäys	ʋ AC æ AD l i AD s̠ t̪ æ AD ʋ AC e̞ AD t̪ o̞ AF h AA y AF ø̞̯ kː æ AD y AF s̠
välistää	ʋ AC æ AD l i AD s̠ t̪ æː AE ʔ
välitasanne	ʋ AC æ AD l i AD t̪ ɑ AD s̠ ɑ AD nː e̞ AD ʔ
välitilinpäätös	ʋ AC æ AD l i AD t̪ i AD l i AD m p æː AE t̪ ø̞ AF s̠
välitse	ʋ AC æ AD l i AD t s̠ e̞ AD ʔ
välittyminen	ʋ AC æ AD l i AD t̪ t̪ y AF m i AD n e̞ AD n
välittyä	ʋ AC æ AD l i AD t̪ t̪ y AF æ AD ʔ
välittäjäaine	ʋ AC æ AD l i AD t̪ː æ AD j AB æ AD ɑ AD i̯ AB n e̞ AD ʔ
välittäjähiukkanen	ʋ AC æ AD l i AD t̪ː æ AD j AB æ AD h AA i AD u̯ AC kː ɑ AD n e̞ AD n
välittäjäpankki	ʋ AC æ AD l i AD t̪ː æ AD j AB æ AD p ɑ AD ŋ kː i AD
välittäminen	ʋ AC æ AD l i AD t̪ t̪ æ AD m i AD n e̞ AD n
välittämättä	ʋ AC æ AD l i AD t̪ː æ AD m æ AD t̪ː æ AD
välittämään	ʋ AC æ AD l i AD t̪ t̪ æ AD m æː AE n
välittää	ʋ AC æ AD l i AD t̪ː æː AE ʔ
välittömyys	ʋ AC æ AD l i AD t̪ t̪ ø̞ AF m yː AG s̠
välittömästi	ʋ AC æ AD l i AD t̪ː ø̞ AF m æ AD s̠ t̪ i AD ʔ
välitunti	ʋ AC æ AD l i AD t̪ u AF n̪ t̪ i AD
välityspaikka	ʋ AC æ AD l i AD t̪ y AF s̠ p ɑ AD i̯ AB kː ɑ AD
välityspalvelin	ʋ AC æ AD l i AD t̪ y AF s̠ p ɑ AD l ʋ AC e̞ AD l i AD n
välityssuhde	ʋ AC æ AD l i AD t̪ y AF s̠ s̠ u AF x d e̞ AD ʔ
välityö	ʋ AC æ AD l i AD t̪ y AF ø̞̯
välitä	ʋ AC æ AD l i AD t̪ æ AD ʔ
välitän	ʋ AC æ AD l i AD t̪ æ AD n
välität	ʋ AC æ AD l i AD t̪ æ AD t̪
välitön	ʋ AC æ AD l i AD t̪ ø̞ AF n
välivaalit	ʋ AC æ AD l i AD ʋ AC ɑː AE l i AD t̪
välivarasto	ʋ AC æ AD l i AD ʋ AC ɑ AD r ɑ AD s̠ t̪ o̞ AF
välivarastoida	ʋ AC æ AD l i AD ʋ AC ɑ AD r ɑ AD s̠ t̪ o̞ AF i̯ AB d ɑ AD ʔ
välivarastointi	ʋ AC æ AD l i AD ʋ AC ɑ AD r ɑ AD s̠ t̪ o̞ AF i̯ AB n̪ t̪ i AD
välivuorillinen	ʋ AC æ AD l i AD ʋ AC u AF o̞̯ r i AD l l i AD n e̞ AD n
välivuosi	ʋ AC æ AD l i AD ʋ AC u AF o̞̯ s̠ i AD
väliyhteisö	ʋ AC æ AD l i AD y AF ç t̪ e̞ AD i̯ AB s̠ ø̞ AF
väljentyä	ʋ AC æ AD l j AB e̞ AD n t̪ y AF æ AD ʔ
väljentää	ʋ AC æ AD l j AB e̞ AD n̪ t̪ æː AE ʔ
väljyys	ʋ AC æ AD l j AB yː AG s̠
väljä	ʋ AC æ AD l j AB æ AD
väljähihainen	ʋ AC æ AD l j AB æ AD h AA i AD h AA ɑ AD i̯ AB n e̞ AD n
väljähkö	ʋ AC æ AD l j AB æ AD h AA k ø̞ AF
väljähtää	ʋ AC æ AD l j AB æ AD h AA t̪ æː AE ʔ
väljälti	ʋ AC æ AD l j AB æ AD l t̪ i AD ʔ
väljästi	ʋ AC æ AD l j AB æ AD s̠ t̪ i AD ʔ
välkkyä	ʋ AC æ AD l kː y AF æ AD ʔ
välkkäri	ʋ AC æ AD l kː æ AD r i AD
välkähtäminen	ʋ AC æ AD l k æ AD h AA t̪ æ AD m i AD n e̞ AD n
vällyt	ʋ AC æ AD lː y AF t̪
vällä	ʋ AC æ AD lː æ AD
välppä	ʋ AC æ AD l pː æ AD
välpätä	ʋ AC æ AD l p æ AD t̪ æ AD ʔ
vältellä	ʋ AC æ AD l t̪ e̞ AD lː æ AD ʔ
välttelevä	ʋ AC æ AD l t̪ː e̞ AD l e̞ AD ʋ AC æ AD
vältti	ʋ AC æ AD l t̪ː i AD
välttyminen	ʋ AC æ AD l t̪ː y AF m i AD n e̞ AD n
välttyä	ʋ AC æ AD l t̪ː y AF æ AD ʔ
välttämättömästi	ʋ AC æ AD l t̪ː æ AD m æ AD t̪ː ø̞ AF m æ AD s̠ t̪ i AD ʔ
välttävä	ʋ AC æ AD l t̪ː æ AD ʋ AC æ AD
välttävästi	ʋ AC æ AD l t̪ː æ AD ʋ AC æ AD s̠ t̪ i AD ʔ
välttää	ʋ AC æ AD l t̪ː æː AE ʔ
välys	ʋ AC æ AD l y AF s̠
välähdyksellinen	ʋ AC æ AD l æ AD h AA d y AF k s̠ e̞ AD l l i AD n e̞ AD n
välähdyksenomainen	ʋ AC æ AD l æ AD h AA d y AF k s̠ e̞ AD n o̞ AF m ɑ AD i AD n e̞ AD n
välähdyksittäin	ʋ AC æ AD l æ AD h AA d y AF k s̠ i AD t̪ː æ AD i̯ AB n
välähdyttää	ʋ AC æ AD l æ AD h AA d y AF t̪ː æː AE ʔ
välähtely	ʋ AC æ AD l æ AD h AA t̪ e̞ AD l y AF
välähtäminen	ʋ AC æ AD l æ AD h AA t̪ æ AD m i AD n e̞ AD n
välähtää	ʋ AC æ AD l æ AD h AA t̪ æː AE ʔ
väläyksellinen	ʋ AC æ AD l æ AD y AF k s̠ e̞ AD l l i AD n e̞ AD n
väläyksittäin	ʋ AC æ AD l æ AD y AF k s̠ i AD t̪ː æ AD i̯ AB n
väläytellä	ʋ AC æ AD l æ AD y AF t̪ e̞ AD lː æ AD ʔ
vängällä	ʋ AC æ AD ŋː æ AD lː æ AD
vängätä	ʋ AC æ AD ŋː æ AD t̪ æ AD ʔ
vänkä	ʋ AC æ AD ŋ k æ AD
vänrikki	ʋ AC æ AD n r i AD kː i AD
väpättäminen	ʋ AC æ AD p æ AD t̪ t̪ æ AD m i AD n e̞ AD n
värehtiä	ʋ AC æ AD r e̞ AD h AA t̪ i AD æ AD ʔ
väreillä	ʋ AC æ AD r e̞ AD i̯ AB lː æ AD ʔ
väreily	ʋ AC æ AD r e̞ AD i̯ AB l y AF
värekarvallinen	ʋ AC æ AD r e̞ AD k̚ k ɑ AD r ʋ AC ɑ AD l l i AD n e̞ AD n
väri	ʋ AC æ AD r i AD
väriaberraatio	ʋ AC æ AD r i AD ɑ AD b e̞ AD r r ɑː AE t̪ i AD o̞ AF
väriavainnus	ʋ AC æ AD r i AD ɑ AD ʋ AC ɑ AD i̯ AB nː u AF s̠
värierottelu	ʋ AC æ AD r i AD e̞ AD r o̞ AF t̪ t̪ e̞ AD l u AF
värifilmi	ʋ AC æ AD r i AD f i AD l m i AD
värijauhe	ʋ AC æ AD r i AD j AB ɑ AD u̯ AC ɦ AA e̞ AD ʔ
värikalvo	ʋ AC æ AD r i AD k ɑ AD l ʋ AC o̞ AF
värikamera	ʋ AC æ AD r i AD k ɑ AD m e̞ AD r ɑ AD
värikkyys	ʋ AC æ AD r i AD kː yː AG s̠
värikkäästi	ʋ AC æ AD r i AD k k æː AE s̠ t̪ i AD ʔ
värikoodaus	ʋ AC æ AD r i AD k o̞ː AG d ɑ AD u AF s̠
värikorjailu	ʋ AC æ AD r i AD k o̞ AF r j AB ɑ AD i̯ AB l u AF
värikuva	ʋ AC æ AD r i AD k u AF ʋ AC ɑ AD
värikuvaus	ʋ AC æ AD r i AD k u AF ʋ AC ɑ AD u AF s̠
värikylläinen	ʋ AC æ AD r i AD k y AF lː æ AD i̯ AB n e̞ AD n
värikylläisesti	ʋ AC æ AD r i AD k y AF lː æ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
värilaite	ʋ AC æ AD r i AD l ɑ AD i̯ AB t̪ e̞ AD ʔ
värillisyys	ʋ AC æ AD r i AD l l i AD s̠ yː AG s̠
värimittaus	ʋ AC æ AD r i AD m i AD t̪ː ɑ AD u AF s̠
värimorsinko	ʋ AC æ AD r i AD m o̞ AF r s̠ i AD ŋ k o̞ AF
värinegatiivi	ʋ AC æ AD r i AD n e̞ AD ɡ ɑ AD t̪ iː AE ʋ AC i AD
värinen	ʋ AC æ AD r i AD n e̞ AD n
värinhallinta	ʋ AC æ AD r i AD n h AA ɑ AD lː i AD n̪ t̪ ɑ AD
värinkesto	ʋ AC æ AD r i AD ŋ k e̞ AD s̠ t̪ o̞ AF
värinkestävä	ʋ AC æ AD r i AD ŋ k e̞ AD s̠ t̪ æ AD ʋ AC æ AD
värinmuodostus	ʋ AC æ AD r i AD m m u AF o̞̯ d o̞ AF s̠ t̪ u AF s̠
värinpitävyys	ʋ AC æ AD r i AD m p i AD t̪ æ AD ʋ AC yː AG s̠
värinpitävä	ʋ AC æ AD r i AD m p i AD t̪ æ AD ʋ AC æ AD
värinpoisto	ʋ AC æ AD r i AD m p o̞ AF i̯ AB s̠ t̪ o̞ AF
värinpoistoaine	ʋ AC æ AD r i AD m p o̞ AF i̯ AB s̠ t̪ o̞ AF ɑ AD i̯ AB n e̞ AD ʔ
värinsovitus	ʋ AC æ AD r i AD n s̠ o̞ AF ʋ AC i AD t̪ u AF s̠
värintoisto	ʋ AC æ AD r i AD n t̪ o̞ AF i̯ AB s̠ t̪ o̞ AF
värintoistoindeksi	ʋ AC æ AD r i AD n t̪ o̞ AF i̯ AB s̠ t̪ o̞ AF i AD n d e̞ AD k s̠ i AD
värintoistokyky	ʋ AC æ AD r i AD n t̪ o̞ AF i̯ AB s̠ t̪ o̞ AF k y AF k y AF
värinä	ʋ AC æ AD r i AD n æ AD
värinäyttö	ʋ AC æ AD r i AD n æ AD y̯ t̪ː ø̞ AF
värioppi	ʋ AC æ AD r i AD o̞ AF pː i AD
väripatruuna	ʋ AC æ AD r i AD p ɑ AD t̪ r uː AG n ɑ AD
väriperspektiivi	ʋ AC æ AD r i AD p e̞ AD r s̠ p e̞ AD k t̪ iː AE ʋ AC i AD
väripilvi	ʋ AC æ AD r i AD p i AD l ʋ AC i AD
väripoikkeama	ʋ AC æ AD r i AD p o̞ AF i̯ AB kː e̞ AD ɑ AD m ɑ AD
värisokeus	ʋ AC æ AD r i AD s̠ o̞ AF k e̞ AD u AF s̠
väristä	ʋ AC æ AD r i AD s̠ t̪ æ AD ʔ
väristäminen	ʋ AC æ AD r i AD s̠ t̪ æ AD m i AD n e̞ AD n
väristää	ʋ AC æ AD r i AD s̠ t̪ æː AE ʔ
värisyttää	ʋ AC æ AD r i AD s̠ y AF t̪ː æː AE ʔ
värit	ʋ AC æ AD r i AD t̪
väritellä	ʋ AC æ AD r i AD t̪ e̞ AD lː æ AD ʔ
värittyä	ʋ AC æ AD r i AD t̪ t̪ y AF æ AD ʔ
värittäminen	ʋ AC æ AD r i AD t̪ t̪ æ AD m i AD n e̞ AD n
värittää	ʋ AC æ AD r i AD t̪ː æː AE ʔ
värittömästi	ʋ AC æ AD r i AD t̪ː ø̞ AF m æ AD s̠ t̪ i AD ʔ
värituloste	ʋ AC æ AD r i AD t̪ u AF l o̞ AF s̠ t̪ e̞ AD ʔ
väritulostin	ʋ AC æ AD r i AD t̪ u AF l o̞ AF s̠ t̪ i AD n
värivalokuva	ʋ AC æ AD r i AD ʋ AC ɑ AD l o̞ AF k u AF ʋ AC ɑ AD
värivammainen	ʋ AC æ AD r i AD ʋ AC ɑ AD mː ɑ AD i̯ AB n e̞ AD n
värivaraus	ʋ AC æ AD r i AD ʋ AC ɑ AD r ɑ AD u AF s̠
värivedos	ʋ AC æ AD r i AD ʋ AC e̞ AD d o̞ AF s̠
värivika	ʋ AC æ AD r i AD ʋ AC i AD k ɑ AD
värivoide	ʋ AC æ AD r i AD ʋ AC o̞ AF i̯ AB d e̞ AD ʔ
väriäpäästävä	ʋ AC æ AD r i AD æ AD p æː AE s̠ t̪ æ AD ʋ AC æ AD
värjyä	ʋ AC æ AD r j AB y AF æ AD ʔ
värjäillä	ʋ AC æ AD r j AB æ AD i̯ AB lː æ AD ʔ
värjätty	ʋ AC æ AD r j AB æ AD t̪ː y AF
värjäys	ʋ AC æ AD r j AB æ AD y AF s̠
värjäyttää	ʋ AC æ AD r j AB æ AD y AF t̪ː æː AE ʔ
värjäytymä	ʋ AC æ AD r j AB æ AD y AF t̪ y AF m æ AD
värjäytymätön	ʋ AC æ AD r j AB æ AD y AF t̪ y AF m æ AD t̪ ø̞ AF n
värjääjä	ʋ AC æ AD r j AB æː AE j AB æ AD
värjäämö	ʋ AC æ AD r j AB æː AE m ø̞ AF
värjötellä	ʋ AC æ AD r j AB ø̞ AF t̪ e̞ AD lː æ AD ʔ
värjöttää	ʋ AC æ AD r j AB ø̞ AF t̪ː æː AE ʔ
värkki	ʋ AC æ AD r kː i AD
värkkääminen	ʋ AC æ AD r kː æː AE m i AD n e̞ AD n
värkätä	ʋ AC æ AD r k æ AD t̪ æ AD ʔ
värssy	ʋ AC æ AD r s̠ː y AF
värttinä	ʋ AC æ AD r t̪ː i AD n æ AD
värväri	ʋ AC æ AD r ʋ AC æ AD r i AD
värvätty	ʋ AC æ AD r ʋ AC æ AD t̪ː y AF
värväys	ʋ AC æ AD r ʋ AC æ AD y AF s̠
värvääjä	ʋ AC æ AD r ʋ AC æː AE j AB æ AD
värvääminen	ʋ AC æ AD r ʋ AC æː AE m i AD n e̞ AD n
värähdys	ʋ AC æ AD r æ AD h AA d y AF s̠
värähdyttää	ʋ AC æ AD r æ AD h AA d y AF t̪ː æː AE ʔ
värähteleminen	ʋ AC æ AD r æ AD h AA t̪ e̞ AD l e̞ AD m i AD n e̞ AD n
värähtelyenergia	ʋ AC æ AD r æ AD h AA t̪ e̞ AD l y AF e̞ AD n e̞ AD r ɡ i AD ɑ AD
värähtelytaajuus	ʋ AC æ AD r æ AD h AA t̪ e̞ AD l y AF t̪ ɑː AE j AB uː AG s̠
värähtäminen	ʋ AC æ AD r æ AD h AA t̪ æ AD m i AD n e̞ AD n
värähtämätön	ʋ AC æ AD r æ AD h AA t̪ æ AD m æ AD t̪ ø̞ AF n
värähtää	ʋ AC æ AD r æ AD h AA t̪ æː AE ʔ
väräjää	ʋ AC æ AD r æ AD j AB æː AE ʔ
väräyttää	ʋ AC æ AD r æ AD y AF t̪ː æː AE ʔ
väsky	ʋ AC æ AD s̠ k y AF
västinki	ʋ AC æ AD s̠ t̪ i AD ŋ k i AD
västäräkki	ʋ AC æ AD s̠ t̪ æ AD r æ AD kː i AD
väsy	ʋ AC æ AD s̠ y AF ʔ
väsymisilmiö	ʋ AC æ AD s̠ y AF m i AD s̠ i AD l m i AD ø̞ AF
väsymismurtuma	ʋ AC æ AD s̠ y AF m i AD s̠ m u AF r t̪ u AF m ɑ AD
väsymys	ʋ AC æ AD s̠ y AF m y AF s̠
väsymättömyys	ʋ AC æ AD s̠ y AF m æ AD t̪ː ø̞ AF m yː AG s̠
väsymättömästi	ʋ AC æ AD s̠ y AF m æ AD t̪ː ø̞ AF m æ AD s̠ t̪ i AD ʔ
väsyneesti	ʋ AC æ AD s̠ y AF n e̞ː AE s̠ t̪ i AD ʔ
väsyneisyys	ʋ AC æ AD s̠ y AF n e̞ AD i̯ AB s̠ yː AG s̠
väsyttäminen	ʋ AC æ AD s̠ y AF t̪ t̪ æ AD m i AD n e̞ AD n
väsyttää	ʋ AC æ AD s̠ y AF t̪ː æː AE ʔ
väsytyshyökkäys	ʋ AC æ AD s̠ y AF t̪ y AF s̠ h AA y AF ø̞̯ kː æ AD y AF s̠
väsyä	ʋ AC æ AD s̠ y AF æ AD ʔ
väsähtäminen	ʋ AC æ AD s̠ æ AD h AA t̪ æ AD m i AD n e̞ AD n
väsähtää	ʋ AC æ AD s̠ æ AD h AA t̪ æː AE ʔ
väsätä	ʋ AC æ AD s̠ æ AD t̪ æ AD ʔ
väsääminen	ʋ AC æ AD s̠ æː AE m i AD n e̞ AD n
vätystellä	ʋ AC æ AD t̪ y AF s̠ t̪ e̞ AD lː æ AD ʔ
vävy	ʋ AC æ AD ʋ AC y AF
vävypoika	ʋ AC æ AD ʋ AC y AF p o̞ AF i̯ AB k ɑ AD
väylinki	ʋ AC æ AD y̯ l i AD ŋ k i AD
väylästö	ʋ AC æ AD y̯ l æ AD s̠ t̪ ø̞ AF
vääjätä	ʋ AC æː AE j AB æ AD t̪ æ AD ʔ
vääjäämättä	ʋ AC æː AE j AB æː AE m æ AD t̪ː æ AD
vääjäämättömyys	ʋ AC æː AE j AB æː AE m æ AD t̪ː ø̞ AF m yː AG s̠
vääjäämätön	ʋ AC æː AE j AB æː AE m æ AD t̪ ø̞ AF n
väännyksiin	ʋ AC æː AE nː y AF k s̠ iː AE n
väännyksissä	ʋ AC æː AE nː y AF k s̠ i AD s̠ː æ AD
väännättää	ʋ AC æː AE nː æ AD t̪ː æː AE ʔ
väännös	ʋ AC æː AE nː ø̞ AF s̠
väänteleminen	ʋ AC æː AE n̪ t̪ e̞ AD l e̞ AD m i AD n e̞ AD n
vääntely	ʋ AC æː AE n̪ t̪ e̞ AD l y AF
vääntiö	ʋ AC æː AE n̪ t̪ i AD ø̞ AF
vääntyillä	ʋ AC æː AE n̪ t̪ y AF i̯ AB lː æ AD ʔ
vääntyminen	ʋ AC æː AE n̪ t̪ y AF m i AD n e̞ AD n
vääntyä	ʋ AC æː AE n̪ t̪ y AF æ AD ʔ
vääntäjä	ʋ AC æː AE n̪ t̪ æ AD j AB æ AD
vääntäminen	ʋ AC æː AE n̪ t̪ æ AD m i AD n e̞ AD n
vääntäytyminen	ʋ AC æː AE n̪ t̪ æ AD y AF t̪ y AF m i AD n e̞ AD n
vääntää	ʋ AC æː AE n̪ t̪ æː AE ʔ
vääntöakseli	ʋ AC æː AE n̪ t̪ ø̞ AF ɑ AD k s̠ e̞ AD l i AD
vääntöjousi	ʋ AC æː AE n̪ t̪ ø̞ AF j AB o̞ AF u̯ AC s̠ i AD
vääntömomentti	ʋ AC æː AE n̪ t̪ ø̞ AF m o̞ AF m e̞ AD n̪ t̪ː i AD
vääntönuppi	ʋ AC æː AE n̪ t̪ ø̞ AF n u AF pː i AD
vääpeli	ʋ AC æː AE p e̞ AD l i AD
väärennetty	ʋ AC æː AE r e̞ AD n n e̞ AD t̪ː y AF
väärentää	ʋ AC æː AE r e̞ AD n̪ t̪ æː AE ʔ
väärin	ʋ AC æː AE r i AD n
väärinajattelija	ʋ AC æː AE r i AD n ɑ AD j AB ɑ AD t̪ t̪ e̞ AD l i AD j AB ɑ AD
väärinajattelu	ʋ AC æː AE r i AD n ɑ AD j AB ɑ AD t̪ t̪ e̞ AD l u AF
väärinkäsitys	ʋ AC æː AE r i AD ŋ k æ AD s̠ i AD t̪ y AF s̠
väärinkäyttää	ʋ AC æː AE r i AD ŋ k æ AD y AF t̪ː æː AE ʔ
väärinkäyttö	ʋ AC æː AE r i AD ŋ k æ AD y̯ t̪ː ø̞ AF
väärinkäyttötapaus	ʋ AC æː AE r i AD ŋ k æ AD y̯ t̪ː ø̞ AF t̪ ɑ AD p ɑ AD u AF s̠
väärinpäin	ʋ AC æː AE r i AD m p æ AD i̯ AB n
vääristelemätön	ʋ AC æː AE r i AD s̠ t̪ e̞ AD l e̞ AD m æ AD t̪ ø̞ AF n
vääristelijä	ʋ AC æː AE r i AD s̠ t̪ e̞ AD l i AD j AB æ AD
vääristynyt	ʋ AC æː AE r i AD s̠ t̪ y AF n y AF t̪
vääristyä	ʋ AC æː AE r i AD s̠ t̪ y AF æ AD ʔ
vääristäminen	ʋ AC æː AE r i AD s̠ t̪ æ AD m i AD n e̞ AD n
vääristää	ʋ AC æː AE r i AD s̠ t̪ æː AE ʔ
väärtti	ʋ AC æː AE r t̪ː i AD
vääryyslaitos	ʋ AC æː AE r yː AG s̠ l ɑ AD i̯ AB t̪ o̞ AF s̠
väärä	ʋ AC æː AE r æ AD
vääräleukainen	ʋ AC æː AE r æ AD l e̞ AD u̯ AC k ɑ AD i̯ AB n e̞ AD n
väärämielinen	ʋ AC æː AE r æ AD m i AD e̞̯ l i AD n e̞ AD n
väärämielisesti	ʋ AC æː AE r æ AD m i AD e̞̯ l i AD s̠ e̞ AD s̠ t̪ i AD ʔ
väärämielisyys	ʋ AC æː AE r æ AD m i AD e̞̯ l i AD s̠ yː AG s̠
vääräoppisesti	ʋ AC æː AE r æ AD o̞ AF pː i AD s̠ e̞ AD s̠ t̪ i AD ʔ
vääräoppisuus	ʋ AC æː AE r æ AD o̞ AF pː i AD s̠ uː AG s̠
vääräsäärinen	ʋ AC æː AE r æ AD s̠ æː AE r i AD n e̞ AD n
vääräuskoinen	ʋ AC æː AE r æ AD u AF s̠ k o̞ AF i̯ AB n e̞ AD n
väärävarsiviikate	ʋ AC æː AE r æ AD ʋ AC ɑ AD r s̠ i AD ʋ AC iː AE k ɑ AD t̪ e̞ AD ʔ
väärävartinen	ʋ AC æː AE r æ AD ʋ AC ɑ AD r t̪ i AD n e̞ AD n
väärävärikuvaus	ʋ AC æː AE r æ AD ʋ AC æ AD r i AD k u AF ʋ AC ɑ AD u AF s̠
vårdö	ʋ AC o̞ː AG r d ø̞ː AG
võro	ʋ AC ɤ AD r o̞ AF
võru	ʋ AC ɤ AD r u AF
vörnitseri	ʋ AC ø̞ AF r n i AD t̪ s̠ e̞ AD r i AD
vöyri	ʋ AC ø̞ AF y̯ r i AD
vöyriläinen	ʋ AC ø̞ AF y̯ r i AD l æ AD i̯ AB n e̞ AD n
wales	w AC ɑ AD l e̞ AD s̠
walesilainen	w AC ɑ AD l e̞ AD s̠ i AD l ɑ AD i̯ AB n e̞ AD n
waltteri	ʋ AC ɑ AD l t̪ː e̞ AD r i AD
wanha	ʋ AC ɑ AD n h AA ɑ AD
warrantti	ʋ AC ɑ AD rː ɑ AD n̪ t̪ː i AD
washington	ʋ AC ɑ AD ʃ i AD ŋ t̪ o̞ AF n
watti	ʋ AC ɑ AD t̪ː i AD
wattimittari	ʋ AC ɑ AD t̪ː i AD m i AD t̪ː ɑ AD r i AD
wattitunti	ʋ AC ɑ AD t̪ː i AD t̪ u AF n̪ t̪ i AD
wc	ʋ AC e̞ː AE s̠ e̞ː AE
weber	ʋ AC e̞ː AE b e̞ AD r
webmaster	w AC e̞ AD b m ɑː AE s̠ t̪ e̞ AD r
weimarinseisoja	w AC ɑ AD i̯ AB m ɑ AD r i AD n s̠ e̞ AD i̯ AB s̠ o̞ AF j AB ɑ AD
wightsaari	w AC ɑ AD i̯ AB t̪ s̠ ɑː AE r i AD
wiki	w AC i AD k i AD
wikiteksti	w AC i AD k i AD t̪ e̞ AD k s̠ t̪ i AD
wilhelmiina	ʋ AC i AD l h AA e̞ AD l m iː AE n ɑ AD
wimp	w AC i AD m p
windex	ʋ AC i AD n d e̞ AD k s̠
wirtanen	ʋ AC i AD r t̪ ɑ AD n e̞ AD n
wisconsin	w AC i AD s̠ k o̞ AF n s̠ i AD n
wiski	ʋ AC i AD s̠ k i AD
wokata	ʋ AC o̞ AF k ɑ AD t̪ ɑ AD ʔ
wolframiitti	ʋ AC o̞ AF l f r ɑ AD m iː AE t̪ː i AD
wollastoniitti	w AC o̞ AF lː ɑ AD s̠ t̪ o̞ AF n iː AE t̪ː i AD
wrap	ʋ AC r æ AD p
wrappi	ʋ AC r æ AD pː i AD
wyoming	w AC ɑ AD i̯ AB o̞ AF u AF m i AD ŋː
xtc	æ AD k s̠ t̪ e̞ː AE s̠ e̞ː AE
