ᆜ	j AB ɯ AJ
천제	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL e̞ AJ
천조국	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL o̞ AK ɡ AC u AK k̚
천주	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL u AK
천주교	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL u AK ɡ AC j AB o AK
천지	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL i AJ
천지신명	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL i AJ ɕʰ BB i AJ n AF m AE j AB ʌ̹ ŋ AF
천지인	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL i AJ i AJ n AF
천진	t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL i AJ n AF
천천히	t AC ɕʰ BB ɘː AJ ɲ AF t AC ɕʰ BB ʌ̹ n AF ʝ AL i AJ
천체	t AC ɕʰ BB ʌ̹ ɲ AF t AC ɕʰ BB e̞ AJ
천하	t AC ɕʰ BB ʌ̹ n AF ɦ AA a̠ AJ
천황	t AC ɕʰ BB ʌ̹ n AF β AM w AI a̠ AJ ŋ AF
철	t AC ɕʰ BB ʌ̹ ɭ AN
철갑	t AC ɕʰ BB ʌ̹ ɭ AN ɡ AC a̠ AJ p̚
철갑상어	t AC ɕʰ BB ʌ̹ ɭ AN ɡ AC a̠ AJ p AG s͈ AL a̠ AJ ŋ AF ʌ̹
철도	t AC ɕʰ BB ʌ̹ ɭ AN t͈ AC o̞ AK
철도역	t AC ɕʰ BB ʌ̹ ɭ AN t͈ AC o̞ AK j AB ʌ̹ k̚
철물점	t AC ɕʰ BB ʌ̹ ɭ AN m AE u AK ʎ AN d AC ʑ AL ʌ̹ m AE
철밥통	t AC ɕʰ BB ʌ̹ ɭ AN b AG a̠ AJ p̚ tʰ AD o̞ AK ŋ AF
철부지	t AC ɕʰ BB ʌ̹ ɭ AN b AG u AK d AC ʑ AL i AJ
철사	t AC ɕʰ BB ʌ̹ ɭ AN s͈ AL a̠ AJ
철자법	t AC ɕʰ BB ʌ̹ ʎ AN t AC ɕ͈ a̠ AJ p͈ AG ʌ̹ p̚
철저하다	t AC ɕʰ BB ʌ̹ ʎ AN t AC ɕ͈ ʌ̹ ɦ AA a̠ AJ d AC a̠ AJ
철저히	t AC ɕʰ BB ʌ̹ ʎ AN t AC ɕ͈ ʌ̹ ʝ AL i AJ
철쭉	t AC ɕʰ BB ʌ̹ ʎ AN t AC ɕ͈ u AK k̚
철퇴	t AC ɕʰ BB ʌ̹ ɭ AN tʰ AD w AI e̞ AJ
철판	t AC ɕʰ BB ʌ̹ ɭ AN pʰ AH a̠ AJ n AF
철편	t AC ɕʰ BB ʌ̹ ɭ AN pʰ AH j AB ʌ̹ n AF
철폐	t AC ɕʰ BB ʌ̹ ɭ AN pʰ AH j AB e̞ AJ
철학	t AC ɕʰ BB ʌ̹ ɾ BA ɦ AA a̠ AJ k̚
첨	t AC ɕʰ BB ʌ̹ m AE
첨가	t AC ɕʰ BB ʌ̹ m AE ɡ AC a̠ AJ
첨가물	t AC ɕʰ BB ʌ̹ m AE ɡ AC a̠ AJ m AE u AK ɭ AN
첨부	t AC ɕʰ BB ʌ̹ m AE b AG u AK
첨부하다	t AC ɕʰ BB ʌ̹ m AE b AG u AK ɦ AA a̠ AJ d AC a̠ AJ
첩	t AC ɕʰ BB ʌ̹ p̚
첫	t AC ɕʰ BB ʌ̹ t̚
첫날	t AC ɕʰ BB ʌ̹ n AF n AF a̠ AJ ɭ AN
첫눈	t AC ɕʰ BB ʌ̹ n AF n AF u AK n AF
첫차	t AC ɕʰ BB ʌ̹ t̚ t AC ɕʰ BB a̠ AJ
청	t AC ɕʰ BB ʌ̹ ŋ AF
청가시고기	t AC ɕʰ BB ʌ̹ ŋ AF ɡ AC a̠ AJ ɕʰ BB i AJ ɡ AC o̞ AK ɡ AC i AJ
청각	t AC ɕʰ BB ʌ̹ ŋ AF ɡ AC a̠ AJ k̚
청결	t AC ɕʰ BB ʌ̹ ŋ AF ɡ AC j AB ʌ̹ ɭ AN
청구서	t AC ɕʰ BB ʌ̹ ŋ AF ɡ AC u AK sʰ BB ʌ̹
청국장	t AC ɕʰ BB ʌ̹ ŋ AF ɡ AC u AK k̚ t AC ɕ͈ a̠ AJ ŋ AF
청기예보	t AC ɕʰ BB ʌ̹ ŋ AF ɡ AC i AJ j AB e̞ AJ b AG o̞ AK
청남방	t AC ɕʰ BB ʌ̹ ŋ AF n AF a̠ AJ m AE b AG a̠ AJ ŋ AF
청년	t AC ɕʰ BB ʌ̹ ŋ AF ɲ AF j AB ʌ̹ n AF
청동	t AC ɕʰ BB ʌ̹ ŋ AF d AC o̞ AK ŋ AF
청둥오리	t AC ɕʰ BB ʌ̹ ŋ AF d AC u AK ŋ AF o̞ AK ɾ BA i AJ
청량음료	t AC ɕʰ BB ʌ̹ ŋ AF ɲ AF j AB a̠ AJ ŋ AF ɯ AJ m AE ɲ AF j AB o AK
청머리오리	t AC ɕʰ BB ʌ̹ ŋ AF m AE ʌ̹ ɾ BA i AJ o̞ AK ɾ BA i AJ
청바지	t AC ɕʰ BB ʌ̹ ŋ AF b AG a̠ AJ d AC ʑ AL i AJ
청산가리	t AC ɕʰ BB ʌ̹ ŋ AF sʰ BB a̠ AJ n AF ɡ AC a̠ AJ ɾ BA i AJ
청설모	t AC ɕʰ BB ʌ̹ ŋ AF sʰ BB ʌ̹ ɭ AN m AE o̞ AK
청소	t AC ɕʰ BB ʌ̹ ŋ AF sʰ BB o̞ AK
청소기	t AC ɕʰ BB ʌ̹ ŋ AF sʰ BB o̞ AK ɡ AC i AJ
청소년	t AC ɕʰ BB ʌ̹ ŋ AF sʰ BB o̞ AK ɲ AF j AB ʌ̹ n AF
청소하다	t AC ɕʰ BB ʌ̹ ŋ AF sʰ BB o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
청순	t AC ɕʰ BB ʌ̹ ŋ AF sʰ BB u AK n AF
청진	t AC ɕʰ BB ʌ̹ ŋ AF d AC ʑ AL i AJ n AF
청진기	t AC ɕʰ BB ʌ̹ ŋ AF d AC ʑ AL i AJ n AF ɡ AC i AJ
청천	t AC ɕʰ BB ʌ̹ ŋ AF t AC ɕʰ BB ʌ̹ n AF
청천벽력	t AC ɕʰ BB ʌ̹ ŋ AF t AC ɕʰ BB ʌ̹ n AF b AG j AB ʌ̹ ŋ AF ɲ AF j AB ʌ̹ k̚
청첩장	t AC ɕʰ BB ɘː AJ ŋ AF t AC ɕʰ BB ʌ̹ p̚ t AC ɕ͈ a̠ AJ ŋ AF
청초하다	t AC ɕʰ BB ʌ̹ ŋ AF t AC ɕʰ BB o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
청춘	t AC ɕʰ BB ʌ̹ ŋ AF t AC ɕʰ BB u AK n AF
청탁	t AC ɕʰ BB ʌ̹ ŋ AF tʰ AD a̠ AJ k̚
청하다	t AC ɕʰ BB ʌ̹ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
체	t AC ɕʰ BB e̞ AJ
체결	t AC ɕʰ BB e̞ AJ ɡ AC j AB ʌ̹ ɭ AN
체계	t AC ɕʰ BB e̞ AJ ɡ AC j AB e̞ AJ
체구	t AC ɕʰ BB e̞ AJ ɡ AC u AK
체념	t AC ɕʰ BB e̞ AJ ɲ AF j AB ʌ̹ m AE
체력	t AC ɕʰ BB e̞ AJ ɾ BA j AB ʌ̹ k̚
체르노빌	t AC ɕʰ BB e̞ AJ ɾ BA ɯ AJ n AF o̞ AK b AG i AJ ɭ AN
체리	t AC ɕʰ BB e̞ AJ ɾ BA i AJ
체면	t AC ɕʰ BB e̞ AJ m AE j AB ʌ̹ n AF
체모	t AC ɕʰ BB e̞ AJ m AE o̞ AK
체스	t AC ɕʰ BB e̞ AJ sʰ BB ɯ AJ
체스꼬	t AC ɕʰ BB e̞ AJ sʰ BB ɯ AJ k͈ AC o̞ AK
체스꼬슬로벤스꼬	t AC ɕʰ BB e̞ AJ sʰ BB ɯ AJ k͈ AC o̞ AK sʰ BB ɯ AJ ɭ AN ɭ AN o̞ AK b AG e̞ AJ n AF sʰ BB ɯ AJ k͈ AC o̞ AK
체언	t AC ɕʰ BB e̞ AJ ʌ̹ n AF
체온	t AC ɕʰ BB e̞ AJ o̞ AK n AF
체온계	t AC ɕʰ BB e̞ AJ o̞ AK n AF ɡ AC j AB e̞ AJ
체용	t AC ɕʰ BB e̞ AJ j AB o AK ŋ AF
체위	t AC ɕʰ BB e̞ AJ ɥ AI i AJ
체육	t AC ɕʰ BB e̞ AJ j AB u AK k̚
체육관	t AC ɕʰ BB e̞ AJ j AB u AK k̚ k͈ AC w AI a̠ AJ n AF
체인	t AC ɕʰ BB e̞ AJ i AJ n AF
체적	t AC ɕʰ BB e̞ AJ d AC ʑ AL ʌ̹ k̚
체제	t AC ɕʰ BB e̞ AJ d AC ʑ AL e̞ AJ
체조	t AC ɕʰ BB e̞ AJ d AC ʑ AL o̞ AK
체중	t AC ɕʰ BB e̞ AJ d AC ʑ AL u AK ŋ AF
체질	t AC ɕʰ BB e̞ AJ d AC ʑ AL i AJ ɭ AN
체첸어	t AC ɕʰ BB e̞ AJ t AC ɕʰ BB e̞ AJ n AF ʌ̹
체커	t AC ɕʰ BB e̞ AJ kʰ AD ʌ̹
체코	t AC ɕʰ BB e̞ AJ kʰ AD o̞ AK
체크어	t AC ɕʰ BB e̞ AJ k AC x AL ɯ AJ ʌ̹
체포	t AC ɕʰ BB e̞ AJ pʰ AH o̞ AK
체포하다	t AC ɕʰ BB e̞ AJ pʰ AH o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
체험	t AC ɕʰ BB e̞ AJ ɦ AA ʌ̹ m AE
체형	t AC ɕʰ BB e̞ AJ ʝ AL j AB ʌ̹ ŋ AF
첼로	t AC ɕʰ BB e̞ AJ ɭ AN ɭ AN o̞ AK
쳐다보다	t AC ɕʰ BB ɘː AJ d AC a̠ AJ b AG o̞ AK d AC a̠ AJ
쳐죽이다	t AC ɕʰ BB ʌ̹ d AC ʑ AL u AK ɡ AC i AJ d AC a̠ AJ
초	t AC ɕʰ BB o̞ AK
초고속	t AC ɕʰ BB o̞ AK ɡ AC o̞ AK sʰ BB o̞ AK k̚
초고추장	t AC ɕʰ BB o̞ AK ɡ AC o̞ AK t AC ɕʰ BB u AK d AC ʑ AL a̠ AJ ŋ AF
초기	t AC ɕʰ BB o̞ AK ɡ AC i AJ
초능력	t AC ɕʰ BB o̞ AK n AF ɯ AJ ŋ AF ɲ AF j AB ʌ̹ k̚
초등학교	t AC ɕʰ BB o̞ AK d AC ɯ AJ ŋ AF ɦ AA a̠ AJ k̚ k͈ AC j AB o AK
초딩	t AC ɕʰ BB o̞ AK d AC i AJ ŋ AF
초로	t AC ɕʰ BB o̞ AK ɾ BA o̞ AK
초록	t AC ɕʰ BB o̞ AK ɾ BA o̞ AK k̚
초록빛	t AC ɕʰ BB o̞ AK ɾ BA o̞ AK k̚ p͈ AG i AJ t̚
초롱초롱	t AC ɕʰ BB o̞ AK ɾ BA o̞ AK ŋ AF t AC ɕʰ BB o̞ AK ɾ BA o̞ AK ŋ AF
초반	t AC ɕʰ BB o̞ AK b AG a̠ AJ n AF
초밥	t AC ɕʰ BB o̞ AK b AG a̠ AJ p̚
초보자	t AC ɕʰ BB o̞ AK b AG o̞ AK d AC ʑ AL a̠ AJ
초상	t AC ɕʰ BB o̞ AK sʰ BB a̠ AJ ŋ AF
초순	t AC ɕʰ BB o̞ AK sʰ BB u AK n AF
초승달	t AC ɕʰ BB o̞ AK sʰ BB ɯ AJ ŋ AF t͈ AC a̠ AJ ɭ AN
초신성	t AC ɕʰ BB o̞ː AK ɕʰ BB i AJ n AF sʰ BB ʌ̹ ŋ AF
초심리학	t AC ɕʰ BB o̞ AK ɕʰ BB i AJ m AE n AF i AJ ɦ AA a̠ AJ k̚
초어	t AC ɕʰ BB o̞ AK ʌ̹
초원	t AC ɕʰ BB o̞ AK w AI ʌ̹ n AF
초원수리	t AC ɕʰ BB o̞ AK w AI ʌ̹ n AF sʰ BB u AK ɾ BA i AJ
초유	t AC ɕʰ BB o̞ AK j AB u AK
초은하단	t AC ɕʰ BB o̞ AK ɯ AJ n AF ɦ AA a̠ AJ d AC a̠ AJ n AF
초음파	t AC ɕʰ BB o̞ AK ɯ AJ m AE pʰ AH a̠ AJ
초인	t AC ɕʰ BB o̞ AK i AJ n AF
초자연적	t AC ɕʰ BB o̞ AK d AC ʑ AL a̠ AJ j AB ʌ̹ ɲ AF d AC ʑ AL ʌ̹ k̚
초점	t AC ɕʰ BB o̞ AK t AC ɕ͈ ʌ̹ m AE
초지	t AC ɕʰ BB o̞ AK d AC ʑ AL i AJ
초침	t AC ɕʰ BB o̞ AK t AC ɕʰ BB i AJ m AE
초콜렛	t AC ɕʰ BB o̞ AK kʰ AD o̞ AK ɭ AN ɭ AN e̞ AJ t̚
초콜릿	t AC ɕʰ BB o̞ AK kʰ AD o̞ AK ʎ AN ʎ AN i AJ t̚
초특급	t AC ɕʰ BB o̞ AK tʰ AD ɯ AJ k̚ k͈ AC ɯ AJ p̚
초판	t AC ɕʰ BB o̞ AK pʰ AH a̠ AJ n AF
초하루	t AC ɕʰ BB o̞ AK ɦ AA a̠ AJ ɾ BA u AK
초호	t AC ɕʰ BB o̞ AK β AM o̞ AK
초혼	t AC ɕʰ BB o̞ AK β AM o̞ AK n AF
촉	t AC ɕʰ BB o̞ AK k̚
촉각	t AC ɕʰ BB o̞ AK k̚ k͈ AC a̠ AJ k̚
촉법소년	t AC ɕʰ BB o̞ AK k̚ p͈ AG ʌ̹ p AG s͈ AL o̞ AK ɲ AF j AB ʌ̹ n AF
촉수	t AC ɕʰ BB o̞ AK k AC s͈ AL u AK
촉지	t AC ɕʰ BB o̞ AK k̚ t AC ɕ͈ i AJ
촌	t AC ɕʰ BB o̞ː AK n AF
촌극	t AC ɕʰ BB o̞ː AK n AF ɡ AC ɯ AJ k̚
촌놈	t AC ɕʰ BB o̞ AK n AF n AF o̞ AK m AE
촌락	t AC ɕʰ BB o̞ː AK ɭ AN ɭ AN a̠ AJ k̚
촌스럽다	t AC ɕʰ BB o̞ː AK n AF sʰ BB ɯ AJ ɾ BA ʌ̹ p̚ t͈ AC a̠ AJ
촛불	t AC ɕʰ BB o̞ AK t̚ p͈ AG u AK ɭ AN
총	t AC ɕʰ BB o̞ AK ŋ AF
총각	t AC ɕʰ BB o̞ː AK ŋ AF ɡ AC a̠ AJ k̚
총각김치	t AC ɕʰ BB o̞ AK ŋ AF ɡ AC a̠ AJ k̚ k͈ AC i AJ m AE t AC ɕʰ BB i AJ
총검	t AC ɕʰ BB o̞ AK ŋ AF ɡ AC ʌ̹ m AE
총리	t AC ɕʰ BB o̞ː AK ŋ AF n AF i AJ
총명	t AC ɕʰ BB o̞ AK ŋ AF m AE j AB ʌ̹ ŋ AF
총명하다	t AC ɕʰ BB o̞ AK ŋ AF m AE j AB ʌ̹ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
총비서	t AC ɕʰ BB o̞ː AK ŋ AF b AG iː AJ sʰ BB ʌ̹
총서	t AC ɕʰ BB o̞ AK ŋ AF sʰ BB ʌ̹
총알	t AC ɕʰ BB o̞ AK ŋ AF a̠ AJ ɭ AN
총알열차	t AC ɕʰ BB o̞ AK ŋ AF a̠ AJ ɾ BA j AB ʌ̹ ʎ AN t AC ɕʰ BB a̠ AJ
총영사관	t AC ɕʰ BB o̞ AK ŋ AF j AB ʌ̹ ŋ AF sʰ BB a̠ AJ ɡ AC w AI a̠ AJ n AF
총장	t AC ɕʰ BB o̞ː AK ŋ AF d AC ʑ AL a̠ AJ ŋ AF
총체적	t AC ɕʰ BB o̞ AK ŋ AF t AC ɕʰ BB e̞ AJ d AC ʑ AL ʌ̹ k̚
총총	t AC ɕʰ BB o̞ AK ŋ AF t AC ɕʰ BB o̞ AK ŋ AF
총칭	t AC ɕʰ BB o̞ː AK ŋ AF t AC ɕʰ BB i AJ ŋ AF
총통	t AC ɕʰ BB o̞ː AK ŋ AF tʰ AD o̞ AK ŋ AF
총화	t AC ɕʰ BB o̞ AK ŋ AF β AM w AI a̠ AJ
촬	t AC ɕʰ BB w AI a̠ AJ ɭ AN
촬영	t AC ɕʰ BB w AI a̠ AJ ɾ BA j AB ʌ̹ ŋ AF
최	t AC ɕʰ BB w AI e̞ AJ
최강	t AC ɕʰ BB w AI e̞ː AJ ɡ AC a̠ AJ ŋ AF
최고	t AC ɕʰ BB w AI e̞ː AJ ɡ AC o̞ AK
최고존엄	t AC ɕʰ BB w AI e̞ː AJ ɡ AC o̞ AK d AC ʑ AL o̞ AK n AF ʌ̹ m AE
최근	t AC ɕʰ BB w AI e̞ː AJ ɡ AC ɯ AJ n AF
최면	t AC ɕʰ BB w AI e̞ AJ m AE j AB ʌ̹ n AF
최면술	t AC ɕʰ BB w AI e̞ AJ m AE j AB ʌ̹ n AF sʰ BB u AK ɭ AN
최상급	t AC ɕʰ BB w AI e̞ː AJ sʰ BB a̠ AJ ŋ AF ɡ AC ɯ AJ p̚
최선	t AC ɕʰ BB w AI e̞ː AJ sʰ BB ʌ̹ n AF
최소한	t AC ɕʰ BB w AI e̞ː AJ sʰ BB o̞ AK ɦ AA a̠ AJ n AF
최종	t AC ɕʰ BB w AI e̞ː AJ d AC ʑ AL o̞ AK ŋ AF
최초	t AC ɕʰ BB w AI e̞ː AJ t AC ɕʰ BB o̞ AK
최후	t AC ɕʰ BB w AI e̞ː AJ β AM u AK
쵸콜레트	t AC ɕʰ BB o AK kʰ AD o̞ AK ɭ AN ɭ AN e̞ AJ tʰ AD ɯ AJ
추가	t AC ɕʰ BB u AK ɡ AC a̠ AJ
추격	t AC ɕʰ BB u AK ɡ AC j AB ʌ̹ k̚
추구	t AC ɕʰ BB u AK ɡ AC u AK
추구하다	t AC ɕʰ BB u AK ɡ AC u AK ɦ AA a̠ AJ d AC a̠ AJ
추기경	t AC ɕʰ BB u AK ɡ AC i AJ ɡ AC j AB ʌ̹ ŋ AF
추다	t AC ɕʰ BB u AK d AC a̠ AJ
추돌	t AC ɕʰ BB u AK d AC o̞ AK ɭ AN
추락	t AC ɕʰ BB u AK ɾ BA a̠ AJ k̚
추리닝	t AC ɕʰ BB u AK ɾ BA i AJ n AF i AJ ŋ AF
추밀원	t AC ɕʰ BB u AK m AE i AJ ɾ BA w AI ʌ̹ n AF
추방	t AC ɕʰ BB u AK b AG a̠ AJ ŋ AF
추석	t AC ɕʰ BB u AK sʰ BB ʌ̹ k̚
추수	t AC ɕʰ BB u AK sʰ BB u AK
추악하다	t AC ɕʰ BB u AK a̠ AJ kʰ AD a̠ AJ d AC a̠ AJ
추억	t AC ɕʰ BB u AK ʌ̹ k̚
추위	t AC ɕʰ BB u AK ɥ AI i AJ
추적하다	t AC ɕʰ BB u AK d AC ʑ AL ʌ̹ kʰ AD a̠ AJ d AC a̠ AJ
추진	t AC ɕʰ BB u AK d AC ʑ AL i AJ n AF
추진하다	t AC ɕʰ BB u AK d AC ʑ AL i AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
추천	t AC ɕʰ BB u AK t AC ɕʰ BB ʌ̹ n AF
추천하다	t AC ɕʰ BB u AK t AC ɕʰ BB ʌ̹ n AF ɦ AA a̠ AJ d AC a̠ AJ
추출	t AC ɕʰ BB u AK t AC ɕʰ BB u AK ɭ AN
추출물	t AC ɕʰ BB u AK t AC ɕʰ BB u AK ɭ AN m AE u AK ɭ AN
추측	t AC ɕʰ BB u AK t AC ɕʰ BB ɯ AJ k̚
추측하다	t AC ɕʰ BB u AK t AC ɕʰ BB ɯ AJ kʰ AD a̠ AJ d AC a̠ AJ
축	t AC ɕʰ BB u AK k̚
축구	t AC ɕʰ BB u AK k̚ k͈ AC u AK
축복	t AC ɕʰ BB u AK k̚ p͈ AG o̞ AK k̚
축복하다	t AC ɕʰ BB u AK k̚ p͈ AG o̞ AK kʰ AD a̠ AJ d AC a̠ AJ
축사	t AC ɕʰ BB u AK k AC s͈ AL a̠ AJ
축소	t AC ɕʰ BB u AK k AC s͈ AL o̞ AK
축소하다	t AC ɕʰ BB u AK k AC s͈ AL o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
축음기	t AC ɕʰ BB u AK ɡ AC ɯ AJ m AE ɡ AC i AJ
축일	t AC ɕʰ BB u AK ɡ AC i AJ ɭ AN
축전기	t AC ɕʰ BB u AK k̚ t AC ɕ͈ ʌ̹ n AF ɡ AC i AJ
축제	t AC ɕʰ BB u AK k̚ t AC ɕ͈ e̞ AJ
축제일	t AC ɕʰ BB u AK k̚ t AC ɕ͈ e̞ AJ i AJ ɭ AN
축척	t AC ɕʰ BB u AK k̚ t AC ɕʰ BB ʌ̹ k̚
축축하다	t AC ɕʰ BB u AK k̚ t AC ɕʰ BB u AK kʰ AD a̠ AJ d AC a̠ AJ
축하	t AC ɕʰ BB u AK kʰ AD a̠ AJ
축하하다	t AC ɕʰ BB u AK kʰ AD a̠ AJ ɦ AA a̠ AJ d AC a̠ AJ
춘	t AC ɕʰ BB u AK n AF
춘절	t AC ɕʰ BB u AK ɲ AF d AC ʑ AL ʌ̹ ɭ AN
춘하추동	t AC ɕʰ BB u AK n AF ɦ AA a̠ AJ t AC ɕʰ BB u AK d AC o̞ AK ŋ AF
출	t AC ɕʰ BB u AK ɭ AN
출구	t AC ɕʰ BB u AK ɭ AN ɡ AC u AK
출근	t AC ɕʰ BB u AK ɭ AN ɡ AC ɯ AJ n AF
출근시간	t AC ɕʰ BB u AK ɭ AN ɡ AC ɯ AJ n AF ɕʰ BB i AJ ɡ AC a̠ AJ n AF
출근하다	t AC ɕʰ BB u AK ɭ AN ɡ AC ɯ AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
출금	t AC ɕʰ BB u AK ɭ AN ɡ AC ɯ AJ m AE
출납계	t AC ɕʰ BB u AK ɭ AN ɭ AN a̠ AJ p̚ k͈ AC j AB e̞ AJ
출발	t AC ɕʰ BB u AK ɭ AN b AG a̠ AJ ɭ AN
출발하다	t AC ɕʰ BB u AK ɭ AN b AG a̠ AJ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
출산	t AC ɕʰ BB u AK ɭ AN s͈ AL a̠ AJ n AF
출산율	t AC ɕʰ BB u AK ɭ AN sʰ BB a̠ AJ ɲ AF j AB u AK ɭ AN
출석	t AC ɕʰ BB u AK ɭ AN s͈ AL ʌ̹ k̚
출석하다	t AC ɕʰ BB u AK ɭ AN sʰ BB ʌ̹ kʰ AD a̠ AJ d AC a̠ AJ
출신	t AC ɕʰ BB u AK ɭ AN ɕ͈ i AJ n AF
출신성분	t AC ɕʰ BB u AK ɭ AN ɕ͈ i AJ n AF sʰ BB ʌ̹ ŋ AF b AG u AK n AF
출연	t AC ɕʰ BB u AK ɾ BA j AB ʌ̹ n AF
출연하다	t AC ɕʰ BB u AK ɾ BA j AB ʌ̹ n AF ɦ AA a̠ AJ d AC a̠ AJ
출원자	t AC ɕʰ BB u AK ɾ BA w AI ʌ̹ ɲ AF d AC ʑ AL a̠ AJ
출장	t AC ɕʰ BB u AK ʎ AN t AC ɕ͈ a̠ AJ ŋ AF
출전	t AC ɕʰ BB u AK ʎ AN d AC ʑ AL ʌ̹ n AF
출처	t AC ɕʰ BB u AK ʎ AN t AC ɕʰ BB ʌ̹
출출하다	t AC ɕʰ BB u AK ʎ AN t AC ɕʰ BB u AK ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
출토	t AC ɕʰ BB u AK ɭ AN tʰ AD o̞ AK
출퇴근하다	t AC ɕʰ BB u AK ɭ AN tʰ AD w AI e̞ AJ ɡ AC ɯ AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
출판	t AC ɕʰ BB u AK ɭ AN pʰ AH a̠ AJ n AF
출판사	t AC ɕʰ BB u AK ɭ AN pʰ AH a̠ AJ n AF sʰ BB a̠ AJ
출판하다	t AC ɕʰ BB u AK ɭ AN pʰ AH a̠ AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
출혈	t AC ɕʰ BB u AK ɾ BA ʝ AL j AB ʌ̹ ɭ AN
춤	t AC ɕʰ BB u AK m AE
춤꾼	t AC ɕʰ BB u AK m AE k͈ AC u AK n AF
춤추다	t AC ɕʰ BB u AK m AE t AC ɕʰ BB u AK d AC a̠ AJ
춥다	t AC ɕʰ BB u AK p̚ t͈ AC a̠ AJ
충	t AC ɕʰ BB u AK ŋ AF
충격	t AC ɕʰ BB u AK ŋ AF ɡ AC j AB ʌ̹ k̚
충고	t AC ɕʰ BB u AK ŋ AF ɡ AC o̞ AK
충고하다	t AC ɕʰ BB u AK ŋ AF ɡ AC o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
충돌	t AC ɕʰ BB u AK ŋ AF d AC o̞ AK ɭ AN
충분하다	t AC ɕʰ BB u AK ŋ AF b AG u AK n AF ɦ AA a̠ AJ d AC a̠ AJ
충분히	t AC ɕʰ BB u AK ŋ AF b AG u AK n AF ʝ AL i AJ
충성	t AC ɕʰ BB u AK ŋ AF sʰ BB ʌ̹ ŋ AF
충수	t AC ɕʰ BB u AK ŋ AF sʰ BB u AK
충실하다	t AC ɕʰ BB u AK ŋ AF ɕʰ BB i AJ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
충심	t AC ɕʰ BB u AK ŋ AF ɕʰ BB i AJ m AE
충전기	t AC ɕʰ BB u AK ŋ AF d AC ʑ AL ʌ̹ n AF ɡ AC i AJ
충청남도	t AC ɕʰ BB u AK ŋ AF t AC ɕʰ BB ʌ̹ ŋ AF n AF a̠ AJ m AE d AC o̞ AK
충청북도	t AC ɕʰ BB u AK ŋ AF t AC ɕʰ BB ʌ̹ ŋ AF b AG u AK k̚ t͈ AC o̞ AK
충충	t AC ɕʰ BB u AK ŋ AF t AC ɕʰ BB u AK ŋ AF
충칭	t AC ɕʰ BB u AK ŋ AF t AC ɕʰ BB i AJ ŋ AF
췌장암	t AC ɕʰ BB w AI e̞ː AJ d AC ʑ AL a̠ AJ ŋ AF a̠ AJ m AE
취급	t AC ɕʰ BB ɥ AI i AJ ɡ AC ɯ AJ p̚
취나물	t AC ɕʰ BB ɥ AI i AJ n AF a̠ AJ m AE u AK ɭ AN
취득하다	t AC ɕʰ BB ɥ AI iː AJ d AC ɯ AJ kʰ AD a̠ AJ d AC a̠ AJ
취리히	t AC ɕʰ BB ɥ AI i AJ ɾ BA i AJ ʝ AL i AJ
취미	t AC ɕʰ BB ɥ AI iː AJ m AE i AJ
취소	t AC ɕʰ BB ɥ AI iː AJ sʰ BB o̞ AK
취소하다	t AC ɕʰ BB ɥ AI iː AJ sʰ BB o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
취약	t AC ɕʰ BB ɥ AI iː AJ j AB a̠ AJ k̚
취약성	t AC ɕʰ BB ɥ AI iː AJ j AB a̠ AJ k AC s͈ AL ʌ̹ ŋ AF
취조	t AC ɕʰ BB ɥ AI iː AJ d AC ʑ AL o̞ AK
취지	t AC ɕʰ BB ɥ AI iː AJ d AC ʑ AL i AJ
취직	t AC ɕʰ BB ɥ AI iː AJ d AC ʑ AL i AJ k̚
취하다	t AC ɕʰ BB ɥ AI iː AJ ɦ AA a̠ AJ d AC a̠ AJ
취향	t AC ɕʰ BB ɥ AI iː AJ ʝ AL j AB a̠ AJ ŋ AF
취흥	t AC ɕʰ BB ɥ AI iː AJ ɣ AL ɯ AJ ŋ AF
츄잉껌	t AC ɕʰ BB u AK i AJ ŋ AF k͈ AC ʌ̹ m AE
츠	t AC ɕʰ BB ɯ AJ
측	t AC ɕʰ BB ɯ AJ k̚
