'tain	t ɛ̃ AM
ravigoterons	ʁ a AC v i AE ɡ ɔ AF t ʁ ɔ̃ BA
ravigoteront	ʁ a AC v i AE ɡ ɔ AF t ʁ ɔ̃ BA
ravigotes	ʁ a AC v i AE ɡ ɔ AF t
ravigotez	ʁ a AC v i AE ɡ ɔ AF t e AD
ravigotiez	ʁ a AC v i AE ɡ ɔ AF t j AA e AD
ravigotions	ʁ a AC v i AE ɡ ɔ AF t j AA ɔ̃ BA
ravigotons	ʁ a AC v i AE ɡ ɔ AF t ɔ̃ BA
ravigotâmes	ʁ a AC v i AE ɡ ɔ AF t ɑ AK m
ravigotât	ʁ a AC v i AE ɡ ɔ AF t ɑ AK
ravigotâtes	ʁ a AC v i AE ɡ ɔ AF t ɑ AK t
ravigotèrent	ʁ a AC v i AE ɡ ɔ AF t ɛ AD ʁ
ravigoté	ʁ a AC v i AE ɡ ɔ AF t e AD
ravin	ʁ a AC v ɛ̃ AM
raviner	ʁ a AC v i AE n e AD
ravir	ʁ a AC v i AE ʁ
ravira	ʁ a AC v i AE ʁ a AC
ravirai	ʁ a AC v i AE ʁ e AD
raviraient	ʁ a AC v i AE ʁ ɛ AD
ravirais	ʁ a AC v i AE ʁ ɛ AD
ravirait	ʁ a AC v i AE ʁ ɛ AD
raviras	ʁ a AC v i AE ʁ ɑ AK
ravirent	ʁ a AC v i AE ʁ
ravirez	ʁ a AC v i AE ʁ e AD
raviriez	ʁ a AC v i AE ʁ j AA e AD
ravirions	ʁ a AC v i AE ʁ j AA ɔ̃ BA
ravirons	ʁ a AC v i AE ʁ ɔ̃ BA
raviront	ʁ a AC v i AE ʁ ɔ̃ BA
ravisa	ʁ a AC v i AE z a AC
ravisai	ʁ a AC v i AE z e AD
ravisaient	ʁ a AC v i AE z ɛ AD
ravisais	ʁ a AC v i AE z ɛ AD
ravisait	ʁ a AC v i AE z ɛ AD
ravisant	ʁ a AC v i AE z ɑ̃ BB
ravisas	ʁ a AC v i AE z ɑ AK
ravisasse	ʁ a AC v i AE z a AC s
ravisassent	ʁ a AC v i AE z a AC s
ravisasses	ʁ a AC v i AE z a AC s
ravisassiez	ʁ a AC v i AE z a AC s j AA e AD
ravisassions	ʁ a AC v i AE z a AC s j AA ɔ̃ BA
ravise	ʁ a AC v i AE z
ravisent	ʁ a AC v i AE z
raviser	ʁ a AC v i AE z e AD
ravisera	ʁ a AC v i AE z ʁ a AC
raviserai	ʁ a AC v i AE z ʁ e AD
raviseraient	ʁ a AC v i AE z ʁ ɛ AD
raviserais	ʁ a AC v i AE z ʁ ɛ AD
raviserait	ʁ a AC v i AE z ʁ ɛ AD
raviseras	ʁ a AC v i AE z ʁ ɑ AK
raviserez	ʁ a AC v i AE z ʁ e AD
raviseriez	ʁ a AC v i AE z ə AJ ʁ j AA e AD
raviserions	ʁ a AC v i AE z ə AJ ʁ j AA ɔ̃ BA
raviserons	ʁ a AC v i AE z ʁ ɔ̃ BA
raviseront	ʁ a AC v i AE z ʁ ɔ̃ BA
ravises	ʁ a AC v i AE z
ravisez	ʁ a AC v i AE z e AD
ravisiez	ʁ a AC v i AE z j AA e AD
ravisions	ʁ a AC v i AE z j AA ɔ̃ BA
ravisons	ʁ a AC v i AE z ɔ̃ BA
ravissaient	ʁ a AC v i AE s ɛ AD
ravissais	ʁ a AC v i AE s ɛ AD
ravissait	ʁ a AC v i AE s ɛ AD
ravissant	ʁ a AC v i AE s ɑ̃ BB
ravisse	ʁ a AC v i AE s
ravissement	ʁ a AC v i AE s m ɑ̃ BB
ravissent	ʁ a AC v i AE s
ravisses	ʁ a AC v i AE s
ravisseur	ʁ a AC v i AE s œ AI ʁ
ravissez	ʁ a AC v i AE s e AD
ravissiez	ʁ a AC v i AE s j AA e AD
ravissions	ʁ a AC v i AE s j AA ɔ̃ BA
ravissons	ʁ a AC v i AE s ɔ̃ BA
ravisâmes	ʁ a AC v i AE z ɑ AK m
ravisât	ʁ a AC v i AE z ɑ AK
ravisâtes	ʁ a AC v i AE z ɑ AK t
ravisèrent	ʁ a AC v i AE z ɛ AD ʁ
ravisé	ʁ a AC v i AE z e AD
ravit	ʁ a AC v i AE
ravitaillement	ʁ a AC v i AE t a AC j AA m ɑ̃ BB
ravitailler	ʁ a AC v i AE t a AC j AA e AD
ravitailleuse	ʁ a AC v i AE t a AC j AA ø AI z
ravoir	ʁ a AC v w AB a AC ʁ
ravélien	ʁ a AC v e AD l j AA ɛ̃ AM
ravîmes	ʁ a AC v i AE m
ravît	ʁ a AC v i AE
ravîtes	ʁ a AC v i AE t
rayant	ʁ ɛ AD j AA ɑ̃ BB
rayer	ʁ ɛ AD j AA e AD
raymond	ʁ ɛ AD m ɔ̃ BA
raymonde	ʁ ɛ AD m ɔ̃ BA d
rayon	ʁ ɛ AD j AA ɔ̃ BA
rayonnement	ʁ ɛ AD j AA ɔ AF n m ɑ̃ BB
rayonnements	ʁ ɛ AD j AA ɔ AF n m ɑ̃ BB
rayonner	ʁ ɛ AD j AA ɔ AF n e AD
rayons	ʁ ɛ AD j AA ɔ̃ BA
rayure	ʁ ɛ AD j AA y AH ʁ
rayures	ʁ ɛ AD j AA y AH ʁ
rayé	ʁ ɛ AD j AA e AD
raz	ʁ ɑ AK
razzia	ʁ a AC z j AA a AC
raëlienne	ʁ a AC l j AA ɛ AD n
raï	ʁ a AC j AA
raïto	ʁ a AC i AE t o AF
rc	ɛ AD ʁ s e AD
rci	ɛ AD ʁ s e AD i AE
rebander	ʁ ə AJ b ɑ̃ BB d e AD
rebattre	ʁ ə AJ b a AC t ʁ
rebecca	ʁ e AD b ɛ AD k a AC
rebelle	ʁ ə AJ b ɛ AD l
rebeller	ʁ ə AJ b ɛ AD l e AD
rebeu	ʁ ə AJ b ø AI
rebiffer	ʁ ə AJ b i AE f e AD
reblochon	ʁ ə AJ b l ɔ AF ʃ ɔ̃ BA
reboisement	ʁ ə AJ b w AB a AC z m ɑ̃ BB
reboiser	ʁ ə AJ b w AB a AC z e AD
rebond	ʁ ə AJ b ɔ̃ BA
rebondi	ʁ ə AJ b ɔ̃ BA d i AE
rebondir	ʁ ə AJ b ɔ̃ BA d i AE ʁ
rebord	ʁ ə AJ b ɔ AF ʁ
reboucher	ʁ ə AJ b u AG ʃ e AD
rebouillaient	ʁ ə AJ b u AG j AA ɛ AD
rebouillais	ʁ ə AJ b u AG j AA ɛ AD
rebouillait	ʁ ə AJ b u AG j AA ɛ AD
rebouillant	ʁ ə AJ b u AG j AA ɑ̃ BB
rebouille	ʁ ə AJ b u AG j AA
rebouillent	ʁ ə AJ b u AG j AA
rebouilles	ʁ ə AJ b u AG j AA
rebouillez	ʁ ə AJ b u AG j AA e AD
rebouilli	ʁ ə AJ b u AG j AA i AE
rebouilliez	ʁ ə AJ b u AG j AA j AA e AD
rebouillions	ʁ ə AJ b u AG j AA j AA ɔ̃ BA
rebouillira	ʁ ə AJ b u AG j AA i AE ʁ a AC
rebouillirai	ʁ ə AJ b u AG j AA i AE ʁ e AD
rebouilliraient	ʁ ə AJ b u AG j AA i AE ʁ ɛ AD
rebouillirais	ʁ ə AJ b u AG j AA i AE ʁ ɛ AD
rebouillirait	ʁ ə AJ b u AG j AA i AE ʁ ɛ AD
rebouilliras	ʁ ə AJ b u AG j AA i AE ʁ ɑ AK
rebouillirent	ʁ ə AJ b u AG j AA i AE ʁ
rebouillirez	ʁ ə AJ b u AG j AA i AE ʁ e AD
rebouilliriez	ʁ ə AJ b u AG j AA i AE ʁ j AA e AD
rebouillirions	ʁ ə AJ b u AG j AA i AE ʁ j AA ɔ̃ BA
rebouillirons	ʁ ə AJ b u AG j AA i AE ʁ ɔ̃ BA
rebouilliront	ʁ ə AJ b u AG j AA i AE ʁ ɔ̃ BA
rebouillis	ʁ ə AJ b u AG j AA i AE
rebouillisse	ʁ ə AJ b u AG j AA i AE s
rebouillissent	ʁ ə AJ b u AG j AA i AE s
rebouillisses	ʁ ə AJ b u AG j AA i AE s
rebouillissiez	ʁ ə AJ b u AG j AA i AE s j AA e AD
rebouillissions	ʁ ə AJ b u AG j AA i AE s j AA ɔ̃ BA
rebouillit	ʁ ə AJ b u AG j AA i AE
rebouillons	ʁ ə AJ b u AG j AA ɔ̃ BA
rebouillîmes	ʁ ə AJ b u AG j AA i AE m
rebouillît	ʁ ə AJ b u AG j AA i AE
rebouillîtes	ʁ ə AJ b u AG j AA i AE t
rebours	ʁ ə AJ b u AG ʁ
rebous	ʁ ə AJ b u AG
rebout	ʁ ə AJ b u AG
rebouteux	ʁ ə AJ b u AG t ø AI
reboutonner	ʁ ə AJ b u AG t ɔ AF n e AD
rebut	ʁ ə AJ b y AH
recadrer	ʁ ə AJ k a AC d ʁ e AD
recapitaliser	ʁ ə AJ k a AC p i AE t a AC l i AE z e AD
recaser	ʁ ə AJ k ɑ AK z e AD
recel	ʁ ə AJ s ɛ AD l
receler	ʁ ə AJ s ə AJ l e AD
recensa	ʁ ə AJ s ɑ̃ BB s a AC
recensai	ʁ ə AJ s ɑ̃ BB s e AD
recensaient	ʁ ə AJ s ɑ̃ BB s ɛ AD
recensais	ʁ ə AJ s ɑ̃ BB s ɛ AD
recensait	ʁ ə AJ s ɑ̃ BB s ɛ AD
recensant	ʁ ə AJ s ɑ̃ BB s ɑ̃ BB
recensas	ʁ ə AJ s ɑ̃ BB s ɑ AK
recensasse	ʁ ə AJ s ɑ̃ BB s a AC s
recensassent	ʁ ə AJ s ɑ̃ BB s a AC s
recensasses	ʁ ə AJ s ɑ̃ BB s a AC s
recensassiez	ʁ ə AJ s ɑ̃ BB s a AC s j AA e AD
recensassions	ʁ ə AJ s ɑ̃ BB s a AC s j AA ɔ̃ BA
recense	ʁ ə AJ s ɑ̃ BB s
recensement	ʁ ə AJ s ɑ̃ BB s m ɑ̃ BB
recensent	ʁ ə AJ s ɑ̃ BB s
recensera	ʁ ə AJ s ɑ̃ BB s ʁ a AC
recenserai	ʁ ə AJ s ɑ̃ BB s ʁ e AD
recenseraient	ʁ ə AJ s ɑ̃ BB s ʁ ɛ AD
recenserais	ʁ ə AJ s ɑ̃ BB s ʁ ɛ AD
recenserait	ʁ ə AJ s ɑ̃ BB s ʁ ɛ AD
recenseras	ʁ ə AJ s ɑ̃ BB s ʁ ɑ AK
recenserez	ʁ ə AJ s ɑ̃ BB s ʁ e AD
recenseriez	ʁ ə AJ s ɑ̃ BB s ə AJ ʁ j AA e AD
recenserions	ʁ ə AJ s ɑ̃ BB s ə AJ ʁ j AA ɔ̃ BA
recenserons	ʁ ə AJ s ɑ̃ BB s ʁ ɔ̃ BA
recenseront	ʁ ə AJ s ɑ̃ BB s ʁ ɔ̃ BA
recenses	ʁ ə AJ s ɑ̃ BB s
recensez	ʁ ə AJ s ɑ̃ BB s e AD
recensiez	ʁ ə AJ s ɑ̃ BB s j AA e AD
recensions	ʁ ə AJ s ɑ̃ BB s j AA ɔ̃ BA
recensons	ʁ ə AJ s ɑ̃ BB s ɔ̃ BA
recensâmes	ʁ ə AJ s ɑ̃ BB s ɑ AK m
recensât	ʁ ə AJ s ɑ̃ BB s ɑ AK
recensâtes	ʁ ə AJ s ɑ̃ BB s ɑ AK t
recensèrent	ʁ ə AJ s ɑ̃ BB s ɛ AD ʁ
recensé	ʁ ə AJ s ɑ̃ BB s e AD
recette	ʁ ə AJ s ɛ AD t
recetter	ʁ ə AJ s ɛ AD t e AD
receveur	ʁ ə AJ s ə AJ v œ AI ʁ
recevoir	ʁ ə AJ s ə AJ v w AB a AC ʁ
rechaper	ʁ ə AJ ʃ a AC p e AD
recharge	ʁ ə AJ ʃ a AC ʁ ʒ
rechargea	ʁ ə AJ ʃ a AC ʁ ʒ a AC
rechargeai	ʁ ə AJ ʃ a AC ʁ ʒ e AD
rechargeaient	ʁ ə AJ ʃ a AC ʁ ʒ ɛ AD
rechargeais	ʁ ə AJ ʃ a AC ʁ ʒ ɛ AD
rechargeait	ʁ ə AJ ʃ a AC ʁ ʒ ɛ AD
rechargeant	ʁ ə AJ ʃ a AC ʁ ʒ ɑ̃ BB
rechargeas	ʁ ə AJ ʃ a AC ʁ ʒ ɑ AK
rechargeasse	ʁ ə AJ ʃ a AC ʁ ʒ a AC s
rechargeassent	ʁ ə AJ ʃ a AC ʁ ʒ a AC s
rechargeasses	ʁ ə AJ ʃ a AC ʁ ʒ a AC s
rechargeassiez	ʁ ə AJ ʃ a AC ʁ ʒ a AC s j AA e AD
rechargeassions	ʁ ə AJ ʃ a AC ʁ ʒ a AC s j AA ɔ̃ BA
rechargent	ʁ ə AJ ʃ a AC ʁ ʒ
rechargeons	ʁ ə AJ ʃ a AC ʁ ʒ ɔ̃ BA
rechargera	ʁ ə AJ ʃ a AC ʁ ʒ ə AJ ʁ a AC
rechargerai	ʁ ə AJ ʃ a AC ʁ ʒ ə AJ ʁ e AD
rechargeraient	ʁ ə AJ ʃ a AC ʁ ʒ ə AJ ʁ ɛ AD
rechargerais	ʁ ə AJ ʃ a AC ʁ ʒ ə AJ ʁ ɛ AD
rechargerait	ʁ ə AJ ʃ a AC ʁ ʒ ə AJ ʁ ɛ AD
rechargeras	ʁ ə AJ ʃ a AC ʁ ʒ ə AJ ʁ ɑ AK
rechargerez	ʁ ə AJ ʃ a AC ʁ ʒ ə AJ ʁ e AD
rechargeriez	ʁ ə AJ ʃ a AC ʁ ʒ ə AJ ʁ j AA e AD
rechargerions	ʁ ə AJ ʃ a AC ʁ ʒ ə AJ ʁ j AA ɔ̃ BA
rechargerons	ʁ ə AJ ʃ a AC ʁ ʒ ə AJ ʁ ɔ̃ BA
rechargeront	ʁ ə AJ ʃ a AC ʁ ʒ ə AJ ʁ ɔ̃ BA
recharges	ʁ ə AJ ʃ a AC ʁ ʒ
rechargez	ʁ ə AJ ʃ a AC ʁ ʒ e AD
rechargeâmes	ʁ ə AJ ʃ a AC ʁ ʒ ɑ AK m
rechargeât	ʁ ə AJ ʃ a AC ʁ ʒ ɑ AK
rechargeâtes	ʁ ə AJ ʃ a AC ʁ ʒ ɑ AK t
rechargiez	ʁ ə AJ ʃ a AC ʁ ʒ j AA e AD
rechargions	ʁ ə AJ ʃ a AC ʁ ʒ j AA ɔ̃ BA
rechargèrent	ʁ ə AJ ʃ a AC ʁ ʒ ɛ AD ʁ
rechargé	ʁ ə AJ ʃ a AC ʁ ʒ e AD
recherche	ʁ ə AJ ʃ ɛ AD ʁ ʃ
rechercher	ʁ ə AJ ʃ ɛ AD ʁ ʃ e AD
recherches	ʁ ə AJ ʃ ɛ AD ʁ ʃ
rechigna	ʁ ə AJ ʃ i AE ɲ a AC
rechignai	ʁ ə AJ ʃ i AE ɲ e AD
rechignaient	ʁ ə AJ ʃ i AE ɲ ɛ AD
rechignais	ʁ ə AJ ʃ i AE ɲ ɛ AD
rechignait	ʁ ə AJ ʃ i AE ɲ ɛ AD
rechignant	ʁ ə AJ ʃ i AE ɲ ɑ̃ BB
rechignas	ʁ ə AJ ʃ i AE ɲ ɑ AK
rechignasse	ʁ ə AJ ʃ i AE ɲ a AC s
rechignassent	ʁ ə AJ ʃ i AE ɲ a AC s
rechignasses	ʁ ə AJ ʃ i AE ɲ a AC s
rechignassiez	ʁ ə AJ ʃ i AE ɲ a AC s j AA e AD
rechignassions	ʁ ə AJ ʃ i AE ɲ a AC s j AA ɔ̃ BA
rechigne	ʁ ə AJ ʃ i AE ɲ
rechignent	ʁ ə AJ ʃ i AE ɲ
rechigner	ʁ ə AJ ʃ i AE ɲ e AD
rechignera	ʁ ə AJ ʃ i AE ɲ ə AJ ʁ a AC
rechignerai	ʁ ə AJ ʃ i AE ɲ ə AJ ʁ e AD
rechigneraient	ʁ ə AJ ʃ i AE ɲ ə AJ ʁ ɛ AD
rechignerais	ʁ ə AJ ʃ i AE ɲ ə AJ ʁ ɛ AD
rechignerait	ʁ ə AJ ʃ i AE ɲ ə AJ ʁ ɛ AD
rechigneras	ʁ ə AJ ʃ i AE ɲ ə AJ ʁ a AC
rechignerez	ʁ ə AJ ʃ i AE ɲ ə AJ ʁ e AD
rechigneriez	ʁ ə AJ ʃ i AE ɲ ə AJ ʁ j AA e AD
rechignerions	ʁ ə AJ ʃ i AE ɲ ə AJ ʁ j AA ɔ̃ BA
rechignerons	ʁ ə AJ ʃ i AE ɲ ə AJ ʁ ɔ̃ BA
rechigneront	ʁ ə AJ ʃ i AE ɲ ə AJ ʁ ɔ̃ BA
rechignes	ʁ ə AJ ʃ i AE ɲ
rechignez	ʁ ə AJ ʃ i AE ɲ e AD
rechigniez	ʁ ə AJ ʃ i AE ɲ j AA e AD
rechignions	ʁ ə AJ ʃ i AE ɲ j AA ɔ̃ BA
rechignons	ʁ ə AJ ʃ i AE ɲ ɔ̃ BA
rechignâmes	ʁ ə AJ ʃ i AE ɲ ɑ AK m
rechignât	ʁ ə AJ ʃ i AE ɲ ɑ AK
rechignâtes	ʁ ə AJ ʃ i AE ɲ ɑ AK t
rechignèrent	ʁ ə AJ ʃ i AE ɲ ɛ AD ʁ
rechigné	ʁ ə AJ ʃ i AE ɲ e AD
rechute	ʁ ə AJ ʃ y AH t
reclus	ʁ ə AJ k l y AH
recluse	ʁ ə AJ k l y AH z
recluses	ʁ ə AJ k l y AH z
recoin	ʁ ə AJ k w AB ɛ̃ AM
recoloniser	ʁ ə AJ k ɔ AF l ɔ AF n i AE z e AD
recombinant	ʁ ə AJ k ɔ̃ BA b i AE n ɑ̃ BB
recombinent	ʁ ə AJ k ɔ̃ BA b i AE n
recommandable	ʁ ə AJ k ɔ AF m ɑ̃ BB d a AC b l
recommandablement	ʁ ə AJ k ɔ AF m ɑ̃ BB d a AC b l ə AJ m ɑ̃ BB
recommandation	ʁ ə AJ k ɔ AF m ɑ̃ BB d a AC s j AA ɔ̃ BA
recommander	ʁ ə AJ k ɔ AF m ɑ̃ BB d e AD
recommandé	ʁ ə AJ k ɔ AF m ɑ̃ BB d e AD
recommencer	ʁ ə AJ k ɔ AF m ɑ̃ BB s e AD
recomposition	ʁ ə AJ k ɔ̃ BA p o AF z i AE s j AA ɔ̃ BA
recompta	ʁ ə AJ k ɔ̃ BA t a AC
recomptai	ʁ ə AJ k ɔ̃ BA t e AD
recomptaient	ʁ ə AJ k ɔ̃ BA t ɛ AD
recomptais	ʁ ə AJ k ɔ̃ BA t ɛ AD
recomptait	ʁ ə AJ k ɔ̃ BA t ɛ AD
recomptant	ʁ ə AJ k ɔ̃ BA t ɑ̃ BB
recomptas	ʁ ə AJ k ɔ̃ BA t ɑ AK
recomptasse	ʁ ə AJ k ɔ̃ BA t a AC s
recomptassent	ʁ ə AJ k ɔ̃ BA t a AC s
recomptasses	ʁ ə AJ k ɔ̃ BA t a AC s
recomptassiez	ʁ ə AJ k ɔ̃ BA t a AC s j AA e AD
recomptassions	ʁ ə AJ k ɔ̃ BA t a AC s j AA ɔ̃ BA
recompte	ʁ ə AJ k ɔ̃ BA t
recomptent	ʁ ə AJ k ɔ̃ BA t
recomptera	ʁ ə AJ k ɔ̃ BA t ʁ a AC
recompterai	ʁ ə AJ k ɔ̃ BA t ʁ e AD
recompteraient	ʁ ə AJ k ɔ̃ BA t ʁ ɛ AD
recompterais	ʁ ə AJ k ɔ̃ BA t ʁ ɛ AD
recompterait	ʁ ə AJ k ɔ̃ BA t ʁ ɛ AD
recompteras	ʁ ə AJ k ɔ̃ BA t ʁ ɑ AK
recompterez	ʁ ə AJ k ɔ̃ BA t ʁ e AD
recompteriez	ʁ ə AJ k ɔ̃ BA t ə AJ ʁ j AA e AD
recompterions	ʁ ə AJ k ɔ̃ BA t ə AJ ʁ j AA ɔ̃ BA
recompterons	ʁ ə AJ k ɔ̃ BA t ʁ ɔ̃ BA
recompteront	ʁ ə AJ k ɔ̃ BA t ʁ ɔ̃ BA
recomptes	ʁ ə AJ k ɔ̃ BA t
recomptez	ʁ ə AJ k ɔ̃ BA t e AD
recomptiez	ʁ ə AJ k ɔ̃ BA t j AA e AD
recomptions	ʁ ə AJ k ɔ̃ BA t j AA ɔ̃ BA
recomptons	ʁ ə AJ k ɔ̃ BA t ɔ̃ BA
recomptâmes	ʁ ə AJ k ɔ̃ BA t ɑ AK m
recomptât	ʁ ə AJ k ɔ̃ BA t ɑ AK
recomptâtes	ʁ ə AJ k ɔ̃ BA t ɑ AK t
recomptèrent	ʁ ə AJ k ɔ̃ BA t ɛ AD ʁ
recompté	ʁ ə AJ k ɔ̃ BA t e AD
reconcentrer	ʁ ə AJ k ɔ̃ BA s ɑ̃ BB t ʁ e AD
reconceptualisa	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z a AC
reconceptualisai	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z e AD
reconceptualisaient	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ɛ AD
reconceptualisais	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ɛ AD
reconceptualisait	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ɛ AD
reconceptualisant	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ɑ̃ BB
reconceptualisas	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ɑ AK
reconceptualisasse	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z a AC s
reconceptualisassent	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z a AC s
reconceptualisasses	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z a AC s
reconceptualisassiez	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z a AC s j AA e AD
reconceptualisassions	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z a AC s j AA ɔ̃ BA
reconceptualise	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z
reconceptualisent	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z
reconceptualisera	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ʁ a AC
reconceptualiserai	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ʁ e AD
reconceptualiseraient	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ʁ ɛ AD
reconceptualiserais	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ʁ ɛ AD
reconceptualiserait	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ʁ ɛ AD
reconceptualiseras	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ʁ ɑ AK
reconceptualiserez	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ʁ e AD
reconceptualiseriez	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ə AJ ʁ j AA e AD
reconceptualiserions	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ə AJ ʁ j AA ɔ̃ BA
reconceptualiserons	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ʁ ɔ̃ BA
reconceptualiseront	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ʁ ɔ̃ BA
reconceptualises	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z
reconceptualisez	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z e AD
reconceptualisiez	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z j AA e AD
reconceptualisions	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z j AA ɔ̃ BA
reconceptualisons	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ɔ̃ BA
reconceptualisâmes	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ɑ AK m
reconceptualisât	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ɑ AK
reconceptualisâtes	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ɑ AK t
reconceptualisèrent	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z ɛ AD ʁ
reconceptualisé	ʁ ə AJ k ɔ̃ BA s ɛ AD p t ɥ AN a AC l i AE z e AD
reconduire	ʁ ə AJ k ɔ̃ BA d ɥ AN i AE ʁ
reconfigurer	ʁ ə AJ k ɔ̃ BA f i AE ɡ y AH ʁ e AD
reconnaissance	ʁ ə AJ k ɔ AF n ɛ AD s ɑ̃ BB s
reconnaissances	ʁ ə AJ k ɔ AF n ɛ AD s ɑ̃ BB s
reconnaissant	ʁ ə AJ k ɔ AF n ɛ AD s ɑ̃ BB
reconnaître	ʁ ə AJ k ɔ AF n ɛ AD t ʁ
reconnecter	ʁ ə AJ k ɔ AF n ɛ AD k t e AD
reconnoître	ʁ ə AJ k ɔ AF n ɛ AD t ʁ
reconquête	ʁ ə AJ k ɔ̃ BA k ɛ AD t
reconsidérer	ʁ ə AJ k ɔ̃ BA s i AE d e AD ʁ e AD
reconstituante	ʁ ə AJ k ɔ̃ BA s t i AE t ɥ AN ɑ̃ BB t
reconstituer	ʁ ə AJ k ɔ̃ BA s t i AE t ɥ AN e AD
reconstruire	ʁ ə AJ k ɔ̃ BA s t ʁ ɥ AN i AE ʁ
recontacter	ʁ ə AJ k ɔ̃ BA t a AC k t e AD
recopier	ʁ ə AJ k ɔ AF p j AA e AD
record	ʁ ə AJ k ɔ AF ʁ
recordman	ʁ ə AJ k ɔ AF ʁ d m a AC n
recors	ʁ ə AJ k ɔ AF ʁ
recouper	ʁ ə AJ k u AG p e AD
recourber	ʁ ə AJ k u AG ʁ b e AD
recourir	ʁ ə AJ k u AG ʁ i AE ʁ
recours	ʁ ə AJ k u AG ʁ
recouvra	ʁ ə AJ k u AG v ʁ a AC
recouvrai	ʁ ə AJ k u AG v ʁ e AD
recouvraient	ʁ ə AJ k u AG v ʁ ɛ AD
recouvrais	ʁ ə AJ k u AG v ʁ ɛ AD
recouvrant	ʁ ə AJ k u AG v ʁ ɑ̃ BB
recouvras	ʁ ə AJ k u AG v ʁ ɑ AK
recouvrasse	ʁ ə AJ k u AG v ʁ a AC s
recouvrassent	ʁ ə AJ k u AG v ʁ a AC s
recouvrasses	ʁ ə AJ k u AG v ʁ a AC s
recouvrassiez	ʁ ə AJ k u AG v ʁ a AC s j AA e AD
recouvrassions	ʁ ə AJ k u AG v ʁ a AC s j AA ɔ̃ BA
recouvre	ʁ ə AJ k u AG v ʁ
recouvrent	ʁ ə AJ k u AG v ʁ
recouvrer	ʁ ə AJ k u AG v ʁ e AD
recouvrera	ʁ ə AJ k u AG v ʁ ə AJ ʁ a AC
recouvrerai	ʁ ə AJ k u AG v ʁ ə AJ ʁ e AD
recouvreraient	ʁ ə AJ k u AG v ʁ ə AJ ʁ ɛ AD
recouvrerais	ʁ ə AJ k u AG v ʁ ə AJ ʁ ɛ AD
recouvrerait	ʁ ə AJ k u AG v ʁ ə AJ ʁ ɛ AD
recouvreras	ʁ ə AJ k u AG v ʁ ə AJ ʁ ɑ AK
recouvrerez	ʁ ə AJ k u AG v ʁ ə AJ ʁ e AD
recouvreriez	ʁ ə AJ k u AG v ʁ ə AJ ʁ j AA e AD
recouvrerions	ʁ ə AJ k u AG v ʁ ə AJ ʁ j AA ɔ̃ BA
