ँ	ə̃ AJ
सात	s̪ äː t̪
सातवाहन	s̪ äː t̪ w AB äː ɦ AG ə̃ AJ n̪
साथ	s̪ äː t̪ʰ
साथसाथ	s̪ äː t̪ʰ s̪ äː t̪ʰ
साथी	s̪ äː t̪ʰ iː AC
साद	s̪ äː d̪
सादगी	s̪ äː d̪ ə AD ɡ iː AC
सादा	s̪ äː d̪ äː
सादिक़ाबाद	s̪ äː d̪ ɪ AD q äː b äː d̪
साधन	s̪ äː d̪ʱ ə̃ AJ n̪
साधना	s̪ äː d̪ʱ n̪ äː
साधारण	s̪ äː d̪ʱ äː ɾ ə̃ AJ ɳ
साधारणतः	s̪ äː d̪ʱ äː ɾ ə̃ AJ ɳ t̪ ə AD ɦ AG
साध्वी	s̪ äː d̪ʱ ʋ AB iː AC
सानी	s̪ äː n̪ iː AC
साप्ताहिक	s̪ äː p t̪ äː ɦ AG ɪ AD k
साफ	s̪ äː pʰ
साफ़	s̪ äː pʰ
साबिक	s̪ äː b ɪ AD q
साबिक़	s̪ äː b ɪ AD q
साबित	s̪ äː b ɪ AD t̪
साबू	s̪ äː b uː AE
साबूदाना	s̪ äː b uː AE d̪ äː n̪ äː
साम	s̪ ä̃ː m
सामग्री	s̪ äː m ə AD ɡ ɾ iː AC
सामन	s̪ äː m ə̃ AJ n̪
सामना	s̪ ä̃ː m n̪ äː
सामने	s̪ ä̃ː m n̪ eː AC
सामरिक	s̪ ä̃ː m ɾ ɪ AD k
सामर्थ्य	s̪ äː m ə AD ɾ t̪ʰ j AA ə AD
सामवेद	s̪ ä̃ː m w AB eː AC d̪
सामान	s̪ äː m ä̃ː n̪
सामान्यतः	s̪ äː m ä̃ː n̪ j AA ə AD t̪ ə AD ɦ AG
सामान्यीकृत	s̪ äː m ä̃ː n̪ j AA iː AC k ɾ ɪ AD t̪
सामी	s̪ äː m iː AC
सामुदायिक	s̪ äː m ʊ AF d̪ äː j AA ɪ AD k
सामूहिक	s̪ äː m uː AE ɦ AG ɪ AD k
साम्य	s̪ ä̃ː m j AA
साम्यवाद	s̪ ä̃ː m j AA ə AD ʋ AB äː d̪
साम्यावस्था	s̪ ä̃ː m j AA äː ʋ AB ə AD s̪ t̪ʰ äː
साम्राज्य	s̪ ä̃ː m ɾ äː d ʒ j AA
साम्राज्यवाद	s̪ ä̃ː m ɾ äː d ʒ j AA ə AD ʋ AB äː d̪
सायबान	s̪ äː j AA b ä̃ː n̪
साया	s̪ äː j AA äː
सारंगी	s̪ äː ɾ ə̃ AJ ŋ ɡ iː AC
सारणी	s̪ äː ɾ ɳ iː AC
सारथी	s̪ äː ɾ ə AD t̪ʰ iː AC
सारस	s̪ äː ɾ ə AD s̪
सारा	s̪ äː ɾ äː
सारांश	s̪ äː ɾ ä̃ː n̪ ʃ
सार्थ	s̪ äː ɾ t̪ʰ
सार्थक	s̪ äː ɾ t̪ʰ ə AD k
सार्वजनिक	s̪ äː ɾ ʋ AB d ʒ ə AD n̪ ɪ AD k
सार्वत्रिक	s̪ äː ɾ ʋ AB ə AD t̪ ɾ ɪ AD k
सार्वभौमिक	s̪ äː ɾ ʋ AB ə AD bʱ ɔː AE m ɪ AD k
साल	s̪ äː l̪
सालगिरह	s̪ äː l̪ ɡ ɪ AD ɾ ə AD ɦ AG
सालन	s̪ äː l̪ ə̃ AJ n̪
सालभर	s̪ äː l̪ bʱ ə AD ɾ
सालाना	s̪ äː l̪ äː n̪ äː
सावधानी	s̪ äː ʋ AB d̪ʱ äː n̪ iː AC
सास	s̪ äː s̪
साहसी	s̪ äː ɦ AG s̪ iː AC
साहित्य	s̪ äː ɦ AG ɪ AD t̪ j AA
साहित्यिक	s̪ äː ɦ AG ɪ AD t̪ j AA ɪ AD k
साहिब	s̪ äː ɦ AG ɪ AD b
साहिल	s̪ äː ɦ AG ɪ AD l̪
साही	s̪ äː ɦ AG iː AC
साहूकार	s̪ äː ɦ AG uː AE k äː ɾ
सिंगापुर	s̪ ɪ̃ AJ ŋ ɡ äː p ʊ AF ɾ
सिंघ	s̪ ɪ̃ AJ ŋ ɡʱ
सिंचाई	s̪ ɪ̃ AJ n̪ t ʃ äː iː AC
सिंचित	s̪ ɪ̃ AJ n̪ t ʃ ɪ AD t̪
सिंदूर	s̪ ɪ̃ AJ n̪ d̪ uː AE ɾ
सिंह	s̪ ɪ̃ AJ ŋ ɡʱ
सिंहला	s̪ ɪ̃ AJ ŋ ɡʱ ə AD l̪ äː
सिंहाली	s̪ ɪ̃ AJ ɦ AG äː l̪ iː AC
सिंहासन	s̪ ɪ̃ AJ ŋ ɡʱ äː s̪ ə̃ AJ n̪
सिकंदर	s̪ ɪ AD k ə̃ AJ n̪ d̪ ə AD ɾ
सिकंदराबाद	s̪ ɪ AD k ə̃ AJ n̪ d̪ ə AD ɾ äː b äː d̪
सिकोड़ना	s̪ ɪ AD k oː AE ɽ n̪ äː
सिक्का	s̪ ɪ AD k̚ k äː
सिक्किम	s̪ ɪ AD k̚ k ɪ̃ AJ m
सिगरेट	s̪ ɪ AD ɡ ə AD ɾ eː AC ʈ
सिगार	s̪ ɪ AD ɡ äː ɾ
सिचुआन	s̪ ɪ AD t ʃ ʊ AF ä̃ː n̪
सिडनी	s̪ ɪ AD ɖ n̪ iː AC
सितंबर	s̪ ɪ AD t̪ ə̃ AJ m b ə AD ɾ
सितम	s̪ ɪ AD t̪ ə̃ AJ m
सितारा	s̪ ɪ AD t̪ äː ɾ äː
सिद्ध	s̪ ɪ AD d̪ d̪ʱ
सिद्धांत	s̪ ɪ AD d̪̚ d̪ʱ ä̃ː n̪ t̪
सिनेमा	s̪ ɪ AD n̪ eː AC m äː
सिनेमाघर	s̪ ɪ AD n̪ eː AC m äː ɡʱ ə AD ɾ
सिपाही	s̪ ɪ AD p äː ɦ AG iː AC
सिफ़त	s̪ ɪ AD pʰ ə AD t̪
सिफ़र	s̪ ɪ AD pʰ ə AD ɾ
सिफ़ारत	s̪ ɪ AD pʰ äː ɾ ə AD t̪
सिफ़ारतख़ाना	s̪ ɪ AD pʰ äː ɾ ə AD t̪ kʰ äː n̪ äː
सिफ़ारिश	s̪ ɪ AD pʰ äː ɾ ɪ AD ʃ
सिमटना	s̪ ɪ AD m ə AD ʈ n̪ äː
सिया	s̪ i AD j AA äː
सियापति	s̪ i AD j AA äː p ə AD t̪ iː AC
सियाप्पा	s̪ i AD j AA äː p̚ p äː
सियार	s̪ i AD j AA äː ɾ
सियालकोट	s̪ i AD j AA äː l̪ k oː AE ʈ
सियाह	s̪ i AD j AA äː ɦ AG
सियाही	s̪ i AD j AA äː ɦ AG iː AC
सियोल	s̪ i AD j AA oː AE l̪
सिर	s̪ ɪ AD ɾ
सिरका	s̪ ɪ AD ɾ k äː
सिरदर्द	s̪ ɪ AD ɾ d̪ ə AD ɾ d̪
सिरहाना	s̪ ɪ AD ɾ ɦ AG äː n̪ äː
सिरा	s̪ ɪ AD ɾ äː
सिर्फ	s̪ ɪ AD ɾ pʰ
सिलपट	s̪ ɪ AD l̪ p ə AD ʈ
सिलवट	s̪ ɪ AD l̪ ʋ AB ə AD ʈ
सिलवाना	s̪ ɪ AD l̪ ʋ AB äː n̪ äː
सिलसिला	s̪ ɪ AD l̪ s̪ ɪ AD l̪ äː
सिलाई	s̪ ɪ AD l̪ äː iː AC
सिसकना	s̪ ɪ AD s̪ ə AD k n̪ äː
सी	s̪ iː AC
सींग	s̪ ĩː ŋ ɡ
सीखना	s̪ iː AC kʰ n̪ äː
सीख़चा	s̪ iː AC x t ʃ äː
सीट	s̪ iː AC ʈ
सीठा	s̪ iː AC ʈʰ äː
सीढ़ी	s̪ iː AC ɽʱ iː AC
सीता	s̪ iː AC t̪ äː
सीताफल	s̪ iː AC t̪ äː pʰ ə AD l̪
सीधा	s̪ iː AC d̪ʱ äː
सीना	s̪ iː AC n̪ äː
सीनेट	s̪ iː AC n̪ eː AC ʈ
सीनेटर	s̪ iː AC n̪ eː AC ʈ ə AD ɾ
सीमा	s̪ iː AC m äː
सीमित	s̪ iː AC m ɪ AD t̪
सीरत	s̪ iː AC ɾ ə AD t̪
सीरिया	s̪ iː AC ɾ i AD j AA äː
सीस	s̪ iː AC s̪
सुंदर	s̪ ʊ̃ AL n̪ d̪ ə AD ɾ
सुंदरता	s̪ ʊ̃ AL n̪ d̪ ə AD ɾ t̪ äː
सुअर	s̪ ʊ AF ə AD ɾ
सुई	s̪ uː AE iː AC
सुईकार	s̪ ʊ AF iː AC k äː ɾ
सुईदाब	s̪ ʊ AF iː AC d̪ äː b
सुक़रात	s̪ ʊ AF q ɾ äː t̪
सुकून	s̪ ʊ AF k ũː n̪
सुख	s̪ ʊ AF kʰ
सुखपूर्वक	s̪ ʊ AF kʰ p uː AE ɾ ʋ AB ə AD k
सुखमय	s̪ ʊ AF kʰ m ə AD j AA
सुखाना	s̪ ʊ AF kʰ äː n̪ äː
सुगंध	s̪ ʊ AF ɡ ə̃ AJ n̪ d̪ʱ
सुगन्ध	s̪ ʊ AF ɡ ə̃ AJ n̪ d̪ʱ
सुग्गा	s̪ ʊ AF ɡ ɡ äː
सुचारु	s̪ ʊ AF t ʃ äː ɾ uː AE
सुझाना	s̪ ʊ AF d ʒʱ äː n̪ äː
सुझाव	s̪ ʊ AF d ʒʱ äː ʋ AB
सुडौल	s̪ ʊ AF ɖ ɔː AE l̪
सुथरा	s̪ ʊ AF t̪ʰ ɾ äː
सुधार	s̪ ʊ AF d̪ʱ äː ɾ
सुधारक	s̪ ʊ AF d̪ʱ äː ɾ ə AD k
सुधारना	s̪ ʊ AF d̪ʱ äː ɾ n̪ äː
सुधारवादी	s̪ ʊ AF d̪ʱ äː ɾ ʋ AB äː d̪ iː AC
सुनना	s̪ ʊ̃ AL n̪ n̪ äː
सुनवाई	s̪ ʊ̃ AL n̪ w AB äː iː AC
सुनसान	s̪ ʊ̃ AL n̪ s̪ ä̃ː n̪
सुनहरा	s̪ ʊ AF n̪ ɛ AD ɦ AG ɾ äː
सुनाई	s̪ ʊ AF n̪ äː iː AC
सुनाना	s̪ ʊ AF n̪ äː n̪ äː
सुनामी	s̪ ʊ AF n̪ äː m iː AC
सुनार	s̪ ʊ AF n̪ äː ɾ
सुनीत	s̪ ʊ AF n̪ iː AC t̪
सुन्दर	s̪ ʊ̃ AL n̪ d̪ ə AD ɾ
सुन्नत	s̪ ʊ̃ AL n̪ n̪ ə AD t̪
सुन्नी	s̪ ʊ̃ AL n̪ n̪ iː AC
सुपुर्द	s̪ ʊ AF p ʊ AF ɾ d̪
सुप्रभात	s̪ ʊ AF p ɾ ə AD bʱ äː t̪
सुबकना	s̪ ʊ AF b ə AD k n̪ äː
सुबह	s̪ ʊ AF bʱ ə AD
सुबोध	s̪ ʊ AF b oː AE d̪ʱ
सुभानअल्लाह	s̪ ʊ AF bʱ ä̃ː n̪ ə AD l̪ l̪ äː ɦ AG
सुमन	s̪ ʊ AF m ə̃ AJ n̪
सुमात्रा	s̪ ʊ AF m äː t̪ ɾ äː
सुर	s̪ ʊ AF ɾ
सुरंग	s̪ ʊ AF ɾ ə̃ AJ ŋ ɡ
सुरक्षा	s̪ ʊ AF ɾ ə AD k ʃ äː
सुरक्षाबल	s̪ ʊ AF ɾ ə AD k ʃ äː b ə AD l̪
सुरत	s̪ ʊ AF ɾ ə AD t̪
सुरमा	s̪ ʊ AF ɾ m äː
सुराख़	s̪ ʊ AF ɾ äː x
सुरिनाम	s̪ ʊ AF ɾ ɪ AD n̪ ä̃ː m
सुरीला	s̪ ʊ AF ɾ iː AC l̪ äː
सुर्ख़ाब	s̪ ʊ AF ɾ x äː b
सुर्ख़ी	s̪ ʊ AF ɾ x iː AC
सुलझा	s̪ ʊ AF l̪ d ʒʱ äː
सुलझाना	s̪ ʊ AF l̪ d ʒʱ äː n̪ äː
सुलभ	s̪ ʊ AF l̪ ə AD bʱ
सुलवाना	s̪ ʊ AF l̪ ʋ AB äː n̪ äː
सुलह	s̪ ʊ AF l̪ ə AD ɦ AG
सुलाना	s̪ ʊ AF l̪ äː n̪ äː
सुलेमान	s̪ ʊ AF l̪ eː AC m ä̃ː n̪
सुल्टाना	s̪ ʊ AF l̪ ʈ äː n̪ äː
सुल्ताना	s̪ ʊ AF l̪ t̪ äː n̪ äː
सुविख्यात	s̪ ʊ AF ʋ AB ɪ AD kʰ j AA äː t̪
सुविधा	s̪ ʊ AF ʋ AB ɪ AD d̪ʱ äː
सुशासन	s̪ ʊ AF ʃ äː s̪ ə̃ AJ n̪
सुसंगत	s̪ ʊ AF s̪ ə̃ AJ ŋ ɡ ə AD t̪
सुसंस्कृत	s̪ ʊ AF s̪ ə̃ AJ n̪ s̪ k ɾ ɪ AD t̪
सुसज्जित	s̪ ʊ AF s̪ ə AD d̚ d ʒ ɪ AD t̪
सुस्ताना	s̪ ʊ AF s̪ t̪ äː n̪ äː
सुस्ती	s̪ ʊ AF s̪ t̪ iː AC
सुस्वादु	s̪ ʊ AF s̪ ʋ AB äː d̪ uː AE
सुस्सा	s̪ ʊ AF s̪ s̪ äː
सुहाग	s̪ ʊ AF ɦ AG äː ɡ
सुहाना	s̪ ʊ AF ɦ AG äː n̪ äː
सुहावना	s̪ ʊ AF ɦ AG äː ʋ AB n̪ äː
सूँघना	s̪ ũː ŋ ɡʱ n̪ äː
सूंघना	s̪ ũː ŋ ɡʱ n̪ äː
सूंस	s̪ ũː n̪ s̪
सूअर	s̪ uː AE ə AD ɾ
सूआ	s̪ uː AE äː
सूई	s̪ uː AE iː AC
सूकरमांस	s̪ uː AE k ə AD ɾ m ä̃ː n̪ s̪
सूक्ष्मदर्शी	s̪ uː AE k ʃ m ə AD d̪ ə AD ɾ ʃ iː AC
सूक्ष्माणु	s̪ uː AE k ʃ m äː ɳ uː AE
सूखना	s̪ uː AE kʰ n̪ äː
सूखा	s̪ uː AE kʰ äː
सूचक	s̪ uː AE t ʃ ə AD k
सूचना	s̪ uː AE t ʃ n̪ äː
सूचनात्मक	s̪ uː AE t ʃ n̪ äː t̪ m ə AD k
सूचित	s̪ uː AE t ʃ ɪ AD t̪
सूची	s̪ uː AE t ʃ iː AC
सूचीबद्ध	s̪ uː AE t ʃ iː AC b ə AD d̪ d̪ʱ
सूजन	s̪ uː AE d ʒ ə̃ AJ n̪
सूजी	s̪ uː AE d ʒ iː AC
सूडान	s̪ uː AE ɖ ä̃ː n̪
सूत	s̪ uː AE t̪
सूतिका	s̪ uː AE t̪ ɪ AD k äː
सूतिकागार	s̪ uː AE t̪ ɪ AD k äː ɡ äː ɾ
सूतिकागृह	s̪ uː AE t̪ ɪ AD k äː ɡ ɾ ɪ AD ɦ AG
सूती	s̪ uː AE t̪ iː AC
सूत्र	s̪ uː AE t̪ ɾ
सूद	s̪ uː AE d̪
सूना	s̪ uː AE n̪ äː
सूनू	s̪ uː AE n̪ uː AE
सूबा	s̪ uː AE b äː
सूर	s̪ uː AE ɾ
सूरज	s̪ uː AE ɾ ə AD d ʒ
सूरजमुखी	s̪ uː AE ɾ ə AD d ʒ m ʊ AF kʰ iː AC
सूरिया	s̪ uː AE ɾ i AD j AA äː
सूर्य	s̪ uː AE ɾ j AA
सूर्यकांति	s̪ uː AE ɾ j AA ə AD k ä̃ː n̪ t̪ iː AC
सूर्यकान्ति	s̪ uː AE ɾ j AA ə AD k ä̃ː n̪ t̪ iː AC
सूर्यास्त	s̪ uː AE ɾ j AA äː s̪ t̪
सूर्योदय	s̪ uː AE ɾ j AA oː AE d̪ ə AD j AA
सृजन	s̪ ɾ ɪ AD d ʒ ə̃ AJ n̪
सृष्टि	s̪ ɾ ɪ AD ʃ ʈ iː AC
से	s̪ eː AC
सेंकना	s̪ ẽː ŋ k n̪ äː
सेंट	s̪ ẽː ɳ ʈ
सेंटी	s̪ ẽː ɳ ʈ iː AC
सेंटीमीटर	s̪ ẽː ɳ ʈ iː AC m iː AC ʈ ə AD ɾ
सेज	s̪ eː AC d ʒ
सेटिंग	s̪ eː AC ʈ ɪ̃ AJ ŋ ɡ
सेटेलाईट	s̪ eː AC ʈ eː AC l̪ äː iː AC ʈ
सेठ	s̪ eː AC ʈʰ
सेना	s̪ eː AC n̪ äː
सेनेगल	s̪ eː AC n̪ eː AC ɡ ə AD l̪
सेब	s̪ eː AC b
सेर	s̪ eː AC ɾ
सेल	s̪ eː AC l̪
सेल्फ़ी	s̪ eː AC l̪ pʰ iː AC
सेवँई	s̪ eː AC ʋ AB ə̃ AJ iː AC
सेवक	s̪ eː AC ʋ AB ə AD k
सेवा	s̪ eː AC ʋ AB äː
सेवानिवृत्त	s̪ eː AC ʋ AB äː n̪ ɪ AD ʋ AB ɾ ɪ AD t̪ t̪
सेवानिवृत्ति	s̪ eː AC ʋ AB äː n̪ ɪ AD ʋ AB ɾ ɪ AD t̪̚ t̪ iː AC
सेविका	s̪ eː AC ʋ AB ɪ AD k äː
सेहत	s̪ eː AC ɦ AG ə AD t̪
सेहतमंद	s̪ eː AC ɦ AG ə AD t̪ m ə̃ AJ n̪ d̪
सेहरा	s̪ eː AC ɦ AG ɾ äː
सेही	s̪ eː AC ɦ AG iː AC
सैंतालीस	s̪ ɛ̃ː AI n̪ t̪ äː l̪ iː AC s̪
सैंतीस	s̪ ɛ̃ː AI n̪ t̪ iː AC s̪
सैकंड	s̪ ɛː AC k ə̃ AJ ɳ ɖ
सैकड़ा	s̪ ɛː AC k ɽ äː
सैकण्ड	s̪ ɛː AC k ə̃ AJ ɳ ɖ
सैकता	s̪ ɛː AC k t̪ äː
सैद्धांतिक	s̪ ɛː AC d̪̚ d̪ʱ ä̃ː n̪ t̪ ɪ AD k
सैनिक	s̪ ɛː AC n̪ ɪ AD k
सैन्य	s̪ ɛ̃ː AI n̪ j AA
सैर	s̪ ɛː AC ɾ
सैलाब	s̪ ɛː AC l̪ äː b
सॉकर	s̪ ɔ AF k ə AD ɾ
सॉफ़्टवेयर	s̪ ɔ AF pʰ ʈ ə AD ʋ AB eː AC j AA ə AD ɾ
सॉरी	s̪ ɔ AF ɾ iː AC
सॉसेज	s̪ ɔ AF s̪ eː AC d ʒ
सो	s̪ oː AE
सोआ	s̪ oː AE äː
सोखना	s̪ oː AE kʰ n̪ äː
सोग	s̪ oː AE ɡ
सोचना	s̪ oː AE t ʃ n̪ äː
सोची	s̪ oː AE t ʃ iː AC
सोणिया	s̪ oː AE ɳ i AD j AA äː
सोता	s̪ oː AE t̪ äː
सोना	s̪ oː AE n̪ äː
सोनार	s̪ oː AE n̪ äː ɾ
सोमवार	s oː AE m w AB aː AC ɾ
सोमालिया	s̪ oː AE m äː l̪ i AD j AA äː
सोमाली	s̪ oː AE m äː l̪ iː AC
सोलह	s̪ oː AE l̪ ə AD ɦ AG
सोवियत	s̪ oː AE ʋ AB i AD j AA ə AD t̪
सोशलिस्ट	s̪ oː AE ʃ l̪ ɪ AD s̪ ʈ
सोहाग	s̪ oː AE ɦ AG äː ɡ
सौ	s̪ ɔː AE
सौंदर्यशास्त्र	s̪ ɔ̃ː AH n̪ d̪ ə AD ɾ j AA ə AD ʃ äː s̪ t̪ ɾ
सौंपना	s̪ ɔ̃ː AH m p n̪ äː
सौंफ	s̪ ɔ̃ː AH pʰ
सौंह	s̪ ɔ̃ː AH ɦ AG
सौगंद	s̪ ɔː AE ɡ ə̃ AJ n̪ d̪
सौगन्द	s̪ ɔː AE ɡ ə̃ AJ n̪ d̪
सौत	s̪ ɔː AE t̪
सौतेला	s̪ ɔː AE t̪ eː AC l̪ äː
सौदा	s̪ ɔː AE d̪ äː
सौदागर	s̪ ɔː AE d̪ äː ɡ ə AD ɾ
सौन्दर्य	s̪ ɔ̃ː AH n̪ d̪ ə AD ɾ j AA
सौभाग्य	s̪ ɔː AE bʱ äː ɡ j AA
सौम्य	s̪ ɔ̃ː AH m j AA
सौर	s̪ ɔː AE ɾ
सौरमंडल	s̪ ɔː AE ɾ m ə̃ AJ ɳ ɖ ə AD l̪
सौराष्ट्र	s̪ ɔː AE ɾ äː ʃ ʈ ɾ
सौर्य	s̪ ɔː AE ɾ j AA
स्कर्ट	s̪ k ə AD ɾ ʈ
स्कूल	s̪ k uː AE l̪
स्कूली	s̪ k uː AE l̪ iː AC
स्कॉट्स	s̪ k ɔ AF ʈ s̪
स्क्रीनिंग	s̪ k ɾ iː AC n̪ ɪ̃ AJ ŋ ɡ
स्खलन	s̪ kʰ ə AD l̪ ə̃ AJ n̪
स्टाक	s̪ ʈ äː k
स्टार	s̪ ʈ äː ɾ
स्टेटस	s̪ ʈ eː AC ʈ ə AD s̪
स्टेडियम	s̪ ʈ eː AC ɖ i AD j AA ə̃ AJ m
स्टेथोस्कोप	s̪ ʈ eː AC t̪ʰ oː AE s̪ k oː AE p
स्टेशन	ɪ AD s̪ ʈ eː AC ʃ ə̃ AJ n̪
स्तंभ	s̪ t̪ ə̃ AJ m bʱ
स्तंभन	s̪ t̪ ə̃ AJ m bʱ ə̃ AJ n̪
स्तनधारी	s̪ t̪ ə̃ AJ n̪ d̪ʱ äː ɾ iː AC
स्तनपायी	s̪ t̪ ə̃ AJ n̪ p äː j AA iː AC
स्तर	s̪ t̪ ə AD ɾ
स्तुति	s̪ t̪ ʊ AF t̪ iː AC
स्तूप	s̪ t̪ uː AE p ə AD
स्त्री	s̪ t̪ ɾ iː AC
स्त्रीत्व	s̪ t̪ ɾ iː AC t̪ w AB
स्त्रीलिंग	s̪ t̪ ɾ iː AC l̪ ɪ̃ AJ ŋ ɡ
स्त्रोत	s̪ t̪ ɾ oː AE t̪
स्थगित	s̪ t̪ʰ ə AD ɡ ɪ AD t̪
स्थल	s̪ t̪ʰ ə AD l̪
स्थलीय	s̪ t̪ʰ ə AD l̪ iː AC j AA
स्थाई	s̪ t̪ʰ äː iː AC
स्थान	s̪ t̪ʰ ä̃ː n̪
स्थानांतरण	s̪ t̪ʰ äː n̪ ä̃ː n̪ t̪ ɾ ə̃ AJ ɳ
स्थानीय	s̪ t̪ʰ äː n̪ iː AC j AA
स्थापत्य	s̪ t̪ʰ äː p ə AD t̪ j AA
स्थापना	s̪ t̪ʰ äː p n̪ äː
स्थापित	s̪ t̪ʰ äː p ɪ AD t̪
स्थायी	s̪ t̪ʰ äː j AA iː AC
स्थायीकार	s̪ t̪ʰ äː j AA iː AC k äː ɾ
स्थित	s̪ t̪ʰ ɪ AD t̪
स्थिति	s̪ t̪ʰ ɪ AD t̪ iː AC
स्थितिज	s̪ t̪ʰ ɪ AD t̪ ɪ AD d ʒ
स्थिर	s̪ t̪ʰ ɪ AD ɾ
स्थूल	s̪ t̪ʰ uː AE l̪
स्नातक	s̪ n̪ äː t̪ ə AD k
स्नातकोत्तर	s̪ n̪ äː t̪ ə AD k oː AE t̪̚ t̪ ə AD ɾ
स्नान	s̪ n̪ ä̃ː n̪
स्नानघर	s̪ n̪ ä̃ː n̪ ɡʱ ə AD ɾ
स्नानागार	s̪ n̪ äː n̪ äː ɡ äː ɾ
स्नायु	s̪ n̪ äː j AA uː AE
स्निग्ध	s̪ n̪ ɪ AD ɡ d̪ʱ
स्नेह	s̪ n̪ eː AC ɦ AG
स्नेही	s̪ n̪ eː AC ɦ AG iː AC
स्पघेटी	s̪ p ə AD ɡʱ eː AC ʈ iː AC
स्पर्श	s̪ p ə AD ɾ ʃ
स्पष्ट	s̪ p ə AD ʂ ʈ
स्पष्टतः	s̪ p ə AD ʃ ʈ ə AD t̪ ə AD ɦ AG
स्पेन	s̪ p ẽː n̪
स्पेनी	s̪ p eː AC n̪ iː AC
स्पैनिश	s̪ p ɛː AC n̪ ɪ AD ʃ
स्फटयातु	s̪ pʰ ə AD ʈ j AA äː t̪ uː AE
स्मरण	s̪ m ə AD ɾ ə̃ AJ ɳ
स्मरणशक्ति	s̪ m ə AD ɾ ə̃ AJ ɳ ʃ ə AD k t̪ iː AC
स्मरणीय	s̪ m ə AD ɾ ɳ iː AC j AA
स्मारक	s̪ m äː ɾ ə AD k
स्मार्टफ़ोन	s̪ m äː ɾ ʈ pʰ õː n̪
स्मृति	s̪ m ɾ ɪ AD t̪ iː AC
स्मेरता	s̪ m eː AC ɾ t̪ äː
स्यंदन	s̪ j AA ə̃ AJ n̪ d̪ ə̃ AJ n̪
स्याह	s̪ j AA äː ɦ AG
स्याही	s̪ j AA äː ɦ AG iː AC
स्यूत	s̪ j AA uː AE t̪
स्रोत	s̪ ɾ oː AE t̪
स्लाइस	s̪ l̪ äː ɪ AD s̪
स्लोवाकिया	s̪ l̪ oː AE ʋ AB äː k i AD j AA äː
स्लोवेनियन	s̪ l̪ oː AE ʋ AB eː AC n̪ i AD j AA ə̃ AJ n̪
स्लोवेनिया	s̪ l̪ oː AE ʋ AB eː AC n̪ i AD j AA äː
स्वकीय	s̪ ʋ AB ə AD k iː AC j AA
स्वकीया	s̪ ʋ AB ə AD k iː AC j AA äː
स्वचालित	s̪ ʋ AB ə AD t ʃ äː l̪ ɪ AD t̪
स्वच्छ	s̪ ʋ AB ə AD t̚ t ʃʰ
स्वच्छता	s̪ ʋ AB ə AD t̚ t ʃʰ t̪ äː
स्वजन	s̪ ʋ AB ə AD d ʒ ə̃ AJ n̪
स्वतंत्र	s̪ ʋ AB ə AD t̪ ə̃ AJ n̪ t̪ ɾ
स्वतंत्रता	s̪ ʋ AB ə AD t̪ ə̃ AJ n̪ t̪ ɾ ə AD t̪ äː
स्वतः	s̪ ʋ AB ə AD t̪ ə AD ɦ AG
स्वदेशी	s̪ ʋ AB ə AD d̪ eː AC ʃ iː AC
स्वभाव	s̪ ʋ AB ə AD bʱ äː ʋ AB
स्वयं	s̪ ʋ AB ə AD j AA ə̃ AJ m
स्वर	s̪ ʋ AB ə AD ɾ
स्वराक्षर	s̪ ʋ AB ə AD ɾ äː k ʃ ə AD ɾ
स्वर्ग	s̪ ʋ AB ə AD ɾ ɡ
स्वर्गवासी	s̪ ʋ AB ə AD ɾ ɡ ʋ AB äː s̪ iː AC
स्वर्णकार	s̪ ʋ AB ə AD ɾ ɳ ə AD k äː ɾ
स्वर्णमंदिर	s̪ ʋ AB ə AD ɾ ɳ m ə̃ AJ n̪ d̪ ɪ AD ɾ
स्वशिक्षा	s̪ ʋ AB ə AD ʃ ɪ AD k ʃ äː
स्वस्तिक	s̪ ʋ AB ə AD s̪ t̪ ɪ AD k
स्वस्थ	s̪ ʋ AB ə AD s̪ t̪ʰ
स्वाँग	s̪ ʋ AB ä̃ː ŋ ɡ
स्वांग	s̪ ʋ AB ä̃ː ŋ ɡ
स्वागत	s̪ ʋ AB äː ɡ ə AD t̪
स्वाद	s̪ ʋ AB äː d̪
स्वादु	s̪ ʋ AB äː d̪ uː AE
स्वाध्याय	s̪ ʋ AB äː d̪ʱ j AA äː j AA
स्वाभाविक	s̪ ʋ AB äː bʱ äː ʋ AB ɪ AD k
स्वामित्व	s̪ ʋ AB äː m ɪ AD t̪ w AB
स्वामी	s̪ ʋ AB äː m iː AC
स्वायत्त	s̪ ʋ AB äː j AA ə AD t̪ t̪
स्वायत्तता	s̪ ʋ AB äː j AA ə AD t̪̚ t̪ ə AD t̪ äː
स्वार्थ	s̪ ʋ AB äː ɾ t̪ʰ
स्वार्थी	s̪ ʋ AB äː ɾ t̪ʰ iː AC
स्वास्थ्य	s̪ ʋ AB äː s̪ t̪ʰ j AA ə AD
स्वाहिली	s̪ ʋ AB äː ɦ AG ɪ AD l̪ iː AC
स्विट्ज़रलैंड	s̪ ʋ AB ɪ AD ʈ z ə AD ɾ l̪ ɛ̃ː AI ɳ ɖ
स्विट्ज़रलैण्ड	s̪ ʋ AB ɪ AD ʈ z ə AD ɾ l̪ ɛ̃ː AI ɳ ɖ
स्वीकार	s̪ ʋ AB iː AC k äː ɾ
स्वीकारना	s̪ ʋ AB iː AC k äː ɾ n̪ äː
