က	k AC a̰ AL
အစ်	ʔ AC ɪ AL ʔ AC
အစ်ကို	ʔ AC ə AL k AC o AM
အစ်မ	ʔ AC ə AL m AF a̰ AL
အစွန်း	ʔ AC ə AL s AJ ʊ AM ɴ AG
အဆင့်	ʔ AC ə AL sʰ BA ɪ̰ AL ɴ AG
အဆန်	ʔ AC ə AL sʰ BA a AL ɴ AG
အဆိပ်	ʔ AC ə AL sʰ BA e AL ɪ AL ʔ AC
အဆိုတော်	ʔ AC ə AL sʰ BA o AM d AC ɔ AM
အဆီ	ʔ AC ə AL sʰ BA i AL
အဆုတ်	ʔ AC ə AL sʰ BA o AM ʊ AM ʔ AC
အဆုတ်ရောင်ရောဂါ	ʔ AC a̰ AL sʰ BA o AM ʊ AM ʔ AC j AB a AL ʊ AM ɴ AG j AB ɔ AM ɡ AC a AL
အဆုံး	ʔ AC ə AL sʰ BA o AM ʊ AM ɴ AG
အဆောက်အအုံ	ʔ AC ə AL sʰ BA a AL ʊ AM ʔ AC ʔ AC ə AL ʔ AC u AM
အဆောက်အဦ	ʔ AC ə AL sʰ BA a AL ʊ AM ʔ AC ʔ AC ə AL ʔ AC u AM
အဆောင်	ʔ AC ə AL sʰ BA a AL ʊ AM ɴ AG
အဆွေး	ʔ AC ə AL sʰ BA w AK e AL
အဇာဘိုင်ဂျန်	ʔ AC a̰ AL z AJ ə AL b AH a AL ɪ AL ɴ AG d AC ʑ AJ a AL ɴ AG
အဉ္ဇလီ	ʔ AC ɪ AL ɴ AG z AJ ə AL l AE i AL
အညစ်အကြေး	ʔ AC ə AL ɲ AG ɪ AL ʔ AC ʔ AC ə AL t AC ɕ AJ e AL
အညစ်အထည်း	ʔ AC ə AL ɲ AG ɪ AL ʔ AC ʔ AC ə AL tʰ AD i AL
အညာသား	ʔ AC ə AL ɲ AG a AL ð AJ a AL
အညို	ʔ AC ə AL ɲ AG o AM
အညီ	ʔ AC ə AL ɲ AG i AL
အဋ္ဌမ	ʔ AC a AL ʔ AC tʰ AD ə AL m AF a̰ AL
အဏုဇီဝဗေဒ	ʔ AC ə AL n AG ṵ z AJ i AL w AK a̰ AL b AH e AL d AC a̰ AL
အဏ္ဏဝါ	ʔ AC a AL ɴ AG n AG ə AL w AK a AL
အဏ္ဏဝါဗေဒ	ʔ AC a AL n AG n AG ə AL w AK a AL b AH e AL d AC a̰ AL
အတင်း	ʔ AC ə AL t AC ɪ AL ɴ AG
အတန်း	ʔ AC ə AL t AC a AL ɴ AG
အတာ	ʔ AC ə AL t AC a AL
အတာအိုး	ʔ AC ə AL t AC a AL ʔ AC o AM
အတိတ်	ʔ AC ə AL t AC e AL ɪ AL ʔ AC
အတိုင်ပင်ခံ	ʔ AC ə AL t AC a AL ɪ AL ɴ AG b AH ɪ AL ɴ AG ɡ AC a AL ɴ AG
အတိုင်း	ʔ AC ə AL t AC a AL ɪ AL ɴ AG
အတိုး	ʔ AC ə AL t AC o AM
အတီမျှ	ʔ AC ə AL t AC i AL m̥ AF j AB a̰ AL
အတူ	ʔ AC ə AL t AC u AM
အတူတူ	ʔ AC ə AL t AC u AM d AC u AM
အတောင်	ʔ AC ə AL t AC a AL ʊ AM ɴ AG
အတ္တဒဿီ	ʔ AC a AL ʔ AC t AC a̰ AL d AC a AL ʔ AC θ AJ i AL
အတ္တဒဿီဘုရား	ʔ AC a AL ʔ AC t AC a̰ AL d AC ə AL t AC θ AJ i AL pʰ AI ə AL j AB a AL
အတွင်း	ʔ AC ə AL t AC w AK ɪ AL ɴ AG
အတွင်းခံ	ʔ AC ə AL t AC w AK ɪ AL ɴ AG ɡ AC a AL ɴ AG
အတွင်းစကား	ʔ AC ə AL t AC w AK ɪ AL ɴ AG z AJ ə AL ɡ AC a AL
အတွင်းတာရာ	ʔ AC ə AL t AC w AK ɪ AL ɴ AG t AC a AL j AB a AL
အတွင်းရန်	ʔ AC ə AL t AC w AK ɪ AL ɴ AG j AB a AL ɴ AG
အတွင်းဝန်	ʔ AC ə AL t AC w AK ɪ AL ɴ AG w AK ʊ AM ɴ AG
အတွဲ	ʔ AC ə AL t AC w AK ɛ AL
အထက်	ʔ AC ə AL tʰ AD ɛ AL ʔ AC
အထက်လွှတ်တော်	ʔ AC ə AL tʰ AD ɛ AL ʔ AC l̥ AE ʊ AM ʔ AC t AC ɔ AM
အထက်သား	ʔ AC ə AL tʰ AD ɛ AL ʔ AC ð AJ a AL
အထင်	ʔ AC ə AL tʰ AD ɪ AL ɴ AG
အထပ်	ʔ AC ə AL tʰ AD a AL ʔ AC
အထိ	ʔ AC ə AL tʰ AD ḭ
အထိန်း	ʔ AC ə AL tʰ AD e AL ɪ AL ɴ AG
အထိမ်းအမှတ်	ʔ AC ə AL tʰ AD e AL ɪ AL ɴ AG ʔ AC ə AL m̥ AF a AL ʔ AC
အထီး	ʔ AC ə AL tʰ AD i AL
အထုပ်	ʔ AC ə AL tʰ AD o AM ʊ AM ʔ AC
အထုံးအဖွဲ့	ʔ AC ə AL tʰ AD o AM ʊ AM ɴ AG ʔ AC ə AL pʰ AI w AK ɛ̰ AL
အထဲ	ʔ AC ə AL tʰ AD ɛ AL
အဓမ္မ	ʔ AC ə AL d AC ə AL m AF a̰ AL
အဓိက	ʔ AC a̰ AL d AC ḭ ɡ AC a̰ AL
အဓိကရုဏ်း​	ʔ AC ə AL d AC ḭ k AC a̰ AL j AB o AM ʊ AM ɴ AG
အဓိဌာန်	ʔ AC ə AL d AC e AL ɪ AL ʔ AC tʰ AD a AL ɴ AG
အဓိပ္ပါယ်	ʔ AC ə AL d AC e AL ɪ AL ʔ AC b AH ɛ AL
အနက်	ʔ AC ə AL n AG ɛ AL ʔ AC
အနန္တ	ʔ AC ə AL n AG a AL ɴ AG d AC a̰ AL
အနန္တောအနန္တငါးပါး	ʔ AC ə AL n AG a AL ɴ AG d AC ɔ AM ʔ AC ə AL n AG d AC a̰ AL ŋ AG a AL p AH a AL
အနာကြီးရောဂါ	ʔ AC ə AL n AG a AL d AC ʑ AJ i AL j AB ɔ AM ɡ AC a AL
အနာဂတ်	ʔ AC ə AL n AG a AL ɡ AC a AL ʔ AC
အနား	ʔ AC ə AL n AG a AL
အနားယူ	ʔ AC ə AL n AG a AL j AB u AM
အနိစ္စ	ʔ AC ə AL n AG e AL s AJ s AJ a̰ AL
အနို့	ʔ AC ə AL n AG o̰ AM
အနီ	ʔ AC ə AL n AG i AL
အနုတ်လက္ခဏာ	ʔ AC ə AL n̥ AG o AM ʊ AM ʔ AC l AE ɛ AL ʔ AC kʰ AD ə AL n AG a AL
အနုပညာ	ʔ AC ə AL n AG ṵ p AH j AB ɪ AL ɴ AG ɲ AG a AL
အနုရာဓပူရ	ʔ AC ə AL n AG ṵ j AB a AL d AC a̰ AL p AH u AM ɹ AB a̰ AL
အနုရုဒ္ဓါ	ʔ AC ə AL n AG ṵ j AB o AM ʊ AM ʔ AC d AC a AL
အနောက်	ʔ AC ə AL n AG a AL ʊ AM ʔ AC
အနောက်ဝန်	ʔ AC ə AL n AG a AL ʊ AM ʔ AC w AK ʊ AM ɴ AG
အနောမဒဿီ	ʔ AC ə AL n AG ɔ AM m AF ə AL d AC ə AL t AC θ AJ i AL
အနောမဒဿီဘုရား	ʔ AC ə AL n AG ɔ AM m AF ə AL d AC a AL ʔ AC θ AJ i AL pʰ AI ə AL j AB a AL
အနော်ရထာ	ʔ AC ə AL n AG ɔ AM j AB ə AL tʰ AD a AL
အနံ့	ʔ AC ə AL n AG a̰ AL ɴ AG
အန္တရာယ်	ʔ AC a AL ɴ AG d AC ə AL j AB ɛ AL
အန္တာတိက	ʔ AC a AL ɴ AG t AC a AL t AC ḭ k AC a̰ AL
အန်	ʔ AC a AL ɴ AG
အန်ကယ်	ʔ AC a AL ɴ AG k AC ɛ AL
အန်တီ	ʔ AC a AL ɴ AG t AC i AL
အန်နီမဲ	ʔ AC a AL ɴ AG n AG i AL m AF ɛ AL
အနွယ်	ʔ AC ə AL n AG w AK ɛ AL
အနှစ်	ʔ AC ə AL n̥ AG ɪ AL ʔ AC
အနှိပ်	ʔ AC ə AL n̥ AG e AL ɪ AL ʔ AC
အနှီဟာ	ʔ AC ə AL n̥ AG i AL h AA a AL
အနှီး	ʔ AC ə AL n̥ AG i AL
အပင်	ʔ AC ə AL p AH ɪ AL ɴ AG
အပတ်စဉ်	ʔ AC a̰ AL p AH a AL ʔ AC z AJ ɪ AL ɴ AG
အပိုင်း	ʔ AC ə AL p AH a AL ɪ AL ɴ AG
အပိုဒ်	ʔ AC ə AL p AH a AL ɪ AL ʔ AC
အပူ	ʔ AC ə AL p AH u AM
အပေါင်	ʔ AC ə AL p AH a AL ʊ AM ɴ AG
အပေါင်းလက္ခဏာ	ʔ AC ə AL p AH a AL ʊ AM ɴ AG l AE ɛ AL ʔ AC kʰ AD ə AL n AG a AL
အပေါ့	ʔ AC ə AL p AH ɔ̰ AM
အပေါ်	ʔ AC ə AL p AH ɔ AM
အပ်	ʔ AC a AL ʔ AC
အပ်ချည်	ʔ AC a AL ʔ AC t AC ɕʰ BA i AL
အပ်ချုပ်စက်	ʔ AC a AL ʔ AC t AC ɕʰ BA o AM ʊ AM ʔ AC s AJ ɛ AL ʔ AC
အပ်ထောက်	ʔ AC a AL ʔ AC tʰ AD a AL ʊ AM ʔ AC
အပြင်	ʔ AC ə AL p AH j AB ɪ AL ɴ AG
အပြစ်	ʔ AC ə AL p AH j AB ɪ AL ʔ AC
အပြာ	ʔ AC ə AL p AH j AB a AL
အပြာကား	ʔ AC ə AL p AH j AB a AL k AC a AL
အပြာမယ်	ʔ AC ə AL p AH j AB a AL m AF ɛ AL
အပြိုင်	ʔ AC ə AL p AH j AB a AL ɪ AL ɴ AG
အပြီးသတ်	ʔ AC ə AL p AH j AB i AL ð AJ a AL ʔ AC
အပြုအမူ	ʔ AC ə AL p AH j AB ṵ ʔ AC ə AL m AF u AM
အပြုံး	ʔ AC ə AL p AH j AB o AM ʊ AM ɴ AG
အပြော	ʔ AC ə AL p AH j AB ɔ AM
အပွင့်	ʔ AC ə AL p AH w AK ɪ̰ AL ɴ AG
အဖ	ʔ AC ə AL pʰ AI a̰ AL
အဖတ်	ʔ AC ə AL pʰ AI a AL ʔ AC
အဖို	ʔ AC ə AL pʰ AI o AM
အဖို့	ʔ AC ə AL pʰ AI o̰ AM
အဖိုး	ʔ AC ə AL pʰ AI o AM
အဖိုးကြီး	ʔ AC ə AL pʰ AI o AM t AC ɕ AJ i AL
အဖုံဖုံ	ʔ AC ə AL pʰ AI o AM ʊ AM ɴ AG b AH o AM ʊ AM ɴ AG
အဖုံး	ʔ AC ə AL pʰ AI o AM ʊ AM ɴ AG
အဖေ	ʔ AC ə AL pʰ AI e AL
အဖော်	ʔ AC ə AL pʰ AI ɔ AM
အဖေ့	ʔ AC ə AL pʰ AI ḛ
အဖျား	ʔ AC ə AL pʰ AI j AB a AL
အဖျားဖြတ်ဆေး	ʔ AC a̰ AL pʰ AI j AB a AL pʰ AI j AB a AL ʔ AC sʰ BA e AL
အဖြူ	ʔ AC ə AL pʰ AI j AB u AM
အဖြေ	ʔ AC ə AL pʰ AI j AB e AL
အဖွဲ့	ʔ AC ə AL pʰ AI w AK ɛ̰ AL
အဖွဲ့ချုပ်	ʔ AC ə AL pʰ AI w AK ɛ̰ AL d AC ʑ AJ o AM ʊ AM ʔ AC
အဖွဲ့ဝင်	ʔ AC ə AL pʰ AI w AK ɛ̰ AL w AK ɪ AL ɴ AG
အဘိဓာန်	ʔ AC ə AL b AH ḭ d AC a AL ɴ AG
အဘိုး	ʔ AC ə AL pʰ AI o AM
အဘိုးကြီး	ʔ AC ə AL pʰ AI o AM d AC ʑ AJ i AL
အဘွား	ʔ AC ə AL pʰ AI w AK a AL
အမ	ʔ AC ə AL m AF a̰ AL
အမည်	ʔ AC ə AL m AF j AB i AL
အမည်း	ʔ AC ə AL m AF ɛ AL
အမတ်	ʔ AC ə AL m AF a AL ʔ AC
အမယ်	ʔ AC ə AL m AF ɛ AL
အမရပူရ	ʔ AC ə AL m AF ə AL j AB a̰ AL p AH u AM j AB a̰ AL
အမာ	ʔ AC a̰ AL m AF a AL
အမိ	ʔ AC ə AL m AF ḭ
အမိန့်	ʔ AC ə AL m AF ḛ ɪ AL ɴ AG
အမိန့်ရှိပါ	ʔ AC ə AL m AF ḛ ɪ AL ɴ AG ʃ AJ ḭ b AH a AL
အမိုး	ʔ AC ə AL m AF o AM
အမူအရာ	ʔ AC ə AL m AF u AM ʔ AC ə AL j AB a AL
အမေ	ʔ AC ə AL m AF e AL
အမေရိက	ʔ AC ə AL m AF e AL ɹ AB ḭ k AC a̰ AL
အမေရိကန်	ʔ AC ə AL m AF e AL ɹ AB ḭ k AC a AL ɴ AG
အမေရိကန်ပြည်ထောင်စု	ʔ AC ə AL m AF e AL ɹ AB ḭ k AC a AL ɴ AG p AH j AB i AL d AC a AL ʊ AM ɴ AG z AJ ṵ
အမေလိုး	ʔ AC ə AL m AF e AL l AE o AM
အမေး	ʔ AC ə AL m AF e AL
အမဲလိုက်	ʔ AC ə AL m AF ɛ AL l AE a AL ɪ AL ʔ AC
အမဲသား	ʔ AC ə AL m AF ɛ AL ð AJ a AL
အမဲသားမစားပါဘူး	ʔ AC ə AL m AF ɛ AL ð AJ a AL m AF ə AL s AJ a AL b AH a AL b AH u AM
အမျိုး	ʔ AC ə AL m AF j AB o AM
အမျိုးဇာတ်	ʔ AC ə AL m AF j AB o AM z AJ a AL ʔ AC
အမျိုးလေးပါး	ʔ AC ə AL m AF j AB o AM l AE e AL b AH a AL
အမျိုးသမီး	ʔ AC ə AL m AF j AB o AM ð AJ ə AL m AF i AL
အမျိုးသမီးလစဉ်သုံးပစ္စည်း	ʔ AC a̰ AL m AF j AB o AM ð AJ ə AL m AF i AL l AE a̰ AL z AJ ɪ AL ɴ AG θ AJ o AM ʊ AM ɴ AG p AH j AB ɪ AL ʔ AC s AJ i AL
အမျိုးသား	ʔ AC ə AL m AF j AB o AM ð AJ a AL
အမျိုးသားစိတ်	ʔ AC ə AL m AF j AB o AM ð AJ a AL s AJ e AL ɪ AL ʔ AC
အမျိုးသားနေ့	ʔ AC ə AL m AF j AB o AM ð AJ a AL n AG ḛ
အမျိုးသားလွှတ်တော်	ʔ AC ə AL m AF j AB o AM ð AJ a AL l̥ AE ʊ AM ʔ AC t AC ɔ AM
အမျိုးသားသီချင်း	ʔ AC ə AL m AF j AB o AM ð AJ a AL θ AJ ə AL t AC ɕʰ BA ɪ AL ɴ AG
အမျိုးအနွယ်	ʔ AC ə AL m AF j AB o AM ʔ AC ə AL n AG w AK ɛ AL
အမျှင်	ʔ AC ə AL m̥ AF j AB ɪ AL ɴ AG
အမြစ်	ʔ AC ə AL m AF j AB ɪ AL ʔ AC
အမြန်	ʔ AC ə AL m AF j AB a AL ɴ AG
အမြီး	ʔ AC ə AL m̥ AF i AL
အမြောက်	ʔ AC ə AL m AF j AB a AL ʊ AM ʔ AC
အမြဲ	ʔ AC ə AL m AF j AB ɛ AL
အမြဲတမ်း	ʔ AC ə AL m AF j AB ɛ AL d AC a AL ɴ AG
အမြွှာ	ʔ AC ə AL m̥ AF w AK a AL
အမြှုပ်	ʔ AC ə AL m̥ AF j AB o AM ʊ AM ʔ AC
အမြှောက်လက္ခဏာ	ʔ AC ə AL m̥ AF j AB a AL ʊ AM ʔ AC l AE ɛ AL ʔ AC kʰ AD ə AL n AG a AL
အမွေ	ʔ AC ə AL m AF w AK e AL
အမွေခံ	ʔ AC ə AL m AF w AK e AL ɡ AC a AL ɴ AG
အမွေခွဲ	ʔ AC ə AL m AF w AK e AL kʰ AD w AK ɛ AL
အမွေအနှစ်	ʔ AC ə AL m AF w AK e AL ʔ AC ə AL n̥ AG ɪ AL ʔ AC
အမွေး	ʔ AC ə AL m AF w AK e AL
အမွှေး	ʔ AC ə AL m̥ AF w AK e AL
အမွှေးတိုင်	ʔ AC ə AL m̥ AF w AK e AL d AC a AL ɪ AL ɴ AG
အမှတ်	ʔ AC ə AL m̥ AF a AL ʔ AC
အမှတ်တံဆိပ်	ʔ AC ə AL m̥ AF a AL ʔ AC d AC ə AL z AJ e AL ɪ AL ʔ AC
အမှန်တရား	ʔ AC ə AL m̥ AF a AL ɴ AG t AC ə AL j AB a AL
အမှာ	ʔ AC ə AL m̥ AF a AL
အမှား	ʔ AC ə AL m̥ AF a AL
အမှိုက်	ʔ AC ə AL m̥ AF a AL ɪ AL ʔ AC
အမှုန့်	ʔ AC ə AL m̥ AF o̰ AM ʊ AM ɴ AG
အမှုန်	ʔ AC ə AL m̥ AF o AM ʊ AM ɴ AG
အယုဓျာ	ʔ AC ə AL j AB o AM ʊ AM ʔ AC d AC ə AL j AB a AL
အယူ	ʔ AC ə AL j AB u AM
အယူဝါဒ	ʔ AC ə AL j AB u AM w AK a AL d AC a̰ AL
အယ်ဆာဗေဒို	ʔ AC ɛ AL sʰ BA a AL b AH e AL d AC o AM
အယ်လဘမ်	ʔ AC ɛ AL l AE ə AL b AH a AL ɴ AG
အယ်လ်ဂျီးရီးယား	ʔ AC ɛ AL l AE d AC ʑ AJ i AL ɹ AB i AL j AB a AL
အယ်လ်ဘေးနီးယား	ʔ AC ɛ AL l AE b AH e AL n AG i AL j AB a AL
အရက်	ʔ AC ə AL j AB ɛ AL ʔ AC
အရက်ဆိုင်	ʔ AC ə AL j AB ɛ AL ʔ AC sʰ BA a AL ɪ AL ɴ AG
အရင်း	ʔ AC ə AL j AB ɪ AL ɴ AG
အရင်းရှင်ဝါဒ	ʔ AC ə AL j AB ɪ AL ɴ AG ʃ AJ ɪ AL ɴ AG w AK a AL d AC a̰ AL
အရည်	ʔ AC ə AL j AB i AL
အရမ်း	ʔ AC ə AL j AB a AL ɴ AG
အရသာ	ʔ AC ə AL j AB a̰ AL ð AJ a AL
အရာ	ʔ AC ə AL j AB a AL
အရာခံဗိုလ်	ʔ AC ə AL j AB a AL ɡ AC a AL ɴ AG b AH o AM
အရိပ်	ʔ AC ə AL j AB e AL ɪ AL ʔ AC
အရိမဒ္ဒနာပူရ	ʔ AC a̰ AL ɹ AB ḭ m AF a AL d AC d AC ə AL n AG a AL p AH u AM ɹ AB a̰ AL
အရိုး	ʔ AC ə AL j AB o AM
အရိုးစု	ʔ AC ə AL j AB o AM z AJ ṵ
အရိုးပျော့နာ	ʔ AC a̰ AL j AB o AM p AH j AB ɔ̰ AM n AG a AL
အရီး	ʔ AC ə AL j AB i AL
အရီးကြီး	ʔ AC ə AL j AB i AL d AC ʑ AJ i AL
အရီးလေး	ʔ AC ə AL j AB i AL l AE e AL
အရုဏ်	ʔ AC ə AL j AB u AM n AG
အရုပ်	ʔ AC ə AL j AB o AM ʊ AM ʔ AC
အရုပ်စာ	ʔ AC ə AL j AB o AM ʊ AM ʔ AC s AJ a AL
အရေ	ʔ AC ə AL j AB e AL
အရေပြား	ʔ AC ə AL j AB e AL b AH j AB a AL
အရေပြားရောဂါ	ʔ AC ə AL j AB e AL b AH j AB a AL j AB ɔ AM ɡ AC a AL
အရောင်	ʔ AC ə AL j AB a AL ʊ AM ɴ AG
အရောင်တင်မှုန့်	ʔ AC ə AL j AB a AL ʊ AM ɴ AG t AC ɪ AL ɴ AG m̥ AF o̰ AM ʊ AM ɴ AG
အရောင်းအဝယ်	ʔ AC ə AL j AB a AL ʊ AM ɴ AG ʔ AC ə AL w AK ɛ AL
အရေး	ʔ AC a̰ AL j AB e AL
အရေးကြီး	ʔ AC a̰ AL j AB e AL t AC ɕ AJ i AL
အရေးတော်ပုံ	ʔ AC ə AL j AB e AL d AC ɔ AM b AH o AM ʊ AM ɴ AG
အရံဂြိုဟ်	ʔ AC ə AL j AB a AL ɴ AG d AC ʑ AJ o AM
အရွက်	ʔ AC ə AL j AB w AK ɛ AL ʔ AC
အရွတ်	ʔ AC ə AL j AB ʊ AM ʔ AC
အရွယ်ဆယ်ပါး	ʔ AC ə AL j AB w AK ɛ AL sʰ BA ɛ AL b AH a AL
အရှင်	ʔ AC ə AL ʃ AJ ɪ AL ɴ AG
အရှင်ဘုရား	ʔ AC ə AL ʃ AJ ɪ AL ɴ AG pʰ AI ə AL j AB a AL
အရှိန်	ʔ AC ə AL ʃ AJ e AL ɪ AL ɴ AG
အရှေ့	ʔ AC ə AL ʃ AJ ḛ
အလက်	ʔ AC ə AL l AE ɛ AL ʔ AC
အလင်း	ʔ AC ə AL l AE ɪ AL ɴ AG
အလင်းတန်း	ʔ AC ə AL l AE ɪ AL ɴ AG d AC a AL ɴ AG
အလင်္ကာ	ʔ AC ə AL l AE ɪ AL ɴ AG ɡ AC a AL
အလား	ʔ AC ə AL l AE a AL
အလို	ʔ AC ə AL l AE o AM
အလီ	ʔ AC ə AL l AE i AL
အလုပ်	ʔ AC ə AL l AE o AM ʊ AM ʔ AC
အလုပ်ပိတ်ရက်	ʔ AC ə AL l AE o AM ʊ AM ʔ AC p AH e AL ɪ AL ʔ AC j AB ɛ AL ʔ AC
အလုပ်ရုံ	ʔ AC ə AL l AE o AM ʊ AM ʔ AC j AB o AM ʊ AM ɴ AG
အလုပ်ရှင်	ʔ AC ə AL l AE o AM ʊ AM ʔ AC ʃ AJ ɪ AL ɴ AG
အလုပ်လုပ်	ʔ AC ə AL l AE o AM ʊ AM ʔ AC l AE o AM ʊ AM ʔ AC
အလုပ်သမား	ʔ AC ə AL l AE o AM ʊ AM ʔ AC θ AJ ə AL m AF a AL
အလုပ်သမားနေ့	ʔ AC ə AL l AE o AM ʊ AM ʔ AC θ AJ ə AL m AF a AL n AG ḛ
အလုံး	ʔ AC ə AL l AE o AM ʊ AM ɴ AG
အလူမီနီယမ်	ʔ AC ə AL l AE u AM m AF i AL n AG i AL j AB a AL ɴ AG
အလောင်း	ʔ AC ə AL l AE a AL ʊ AM ɴ AG
အလေး	ʔ AC ə AL l AE e AL
အလံ	ʔ AC ə AL l AE a AL ɴ AG
အလ္လာဟ်	ʔ AC a AL l AE l AE a AL h AA
အလျင်	ʔ AC ə AL l AE j AB ɪ AL ɴ AG
အလျား	ʔ AC ə AL l AE j AB a AL
အလွန်	ʔ AC ə AL l AE ʊ AM ɴ AG
အလှဆီ	ʔ AC ə AL l̥ AE a̰ AL z AJ i AL
အလှမ်း	ʔ AC ə AL l̥ AE a AL ɴ AG
အလှူရှင်	ʔ AC ə AL l̥ AE u AM ʃ AJ ɪ AL ɴ AG
အဝင်	ʔ AC ə AL w AK ɪ AL ɴ AG
အဝတာရ	ʔ AC a̰ AL w AK a̰ AL t AC a AL j AB a̰ AL
အဝတ်	ʔ AC ə AL w AK ʊ AM ʔ AC
အဝတ်လျှောက်စက်	ʔ AC ə AL w AK ʊ AM ʔ AC ʃ AJ a AL ʊ AM ʔ AC s AJ ɛ AL ʔ AC
အဝတ်အစား	ʔ AC ə AL w AK ʊ AM ʔ AC ʔ AC ə AL s AJ a AL
အဝါ	ʔ AC ə AL w AK a AL
အသက်	ʔ AC ə AL θ AJ ɛ AL ʔ AC
အသက်ဦးဆံပိုင်	ʔ AC ə AL θ AJ ɛ AL ʔ AC ʔ AC u AM sʰ BA a AL ɴ AG b AH a AL ɪ AL ɴ AG
အသင်	ʔ AC ə AL θ AJ ɪ AL ɴ AG
အသင်း	ʔ AC ə AL θ AJ ɪ AL ɴ AG
အသည်း	ʔ AC ə AL θ AJ ɛ AL
အသည်းနှလုံး	ʔ AC ə AL θ AJ ɛ AL n̥ AG ə AL l AE o AM ʊ AM ɴ AG
အသတ်	ʔ AC a̰ AL θ AJ a AL ʔ AC
အသား	ʔ AC ə AL θ AJ a AL
အသားညှပ်မုန့်	ʔ AC ə AL θ AJ a AL ɲ̊ AG a AL ʔ AC m AF o̰ AM ʊ AM ɴ AG
အသားမာ	ʔ AC ə AL θ AJ ə AL m AF a AL
အသားဝါရောဂါ	ʔ AC a̰ AL θ AJ a AL w AK a AL j AB ɔ AM ɡ AC a AL
အသိ	ʔ AC ə AL θ AJ ḭ
အသိတရား	ʔ AC ə AL θ AJ ḭ t AC ə AL j AB a AL
အသိပညာ	ʔ AC ə AL θ AJ ḭ p AH j AB ɪ AL ɴ AG ɲ AG a AL
အသိပညာရှင်	ʔ AC ə AL θ AJ ḭ p AH j AB ɪ AL ɴ AG ɲ AG a AL ʃ AJ ɪ AL ɴ AG
အသိုက်	ʔ AC ə AL θ AJ a AL ɪ AL ʔ AC
အသီး	ʔ AC ə AL θ AJ i AL
အသုပ်	ʔ AC ə AL θ AJ o AM ʊ AM ʔ AC
အသုပ်စုံ	ʔ AC ə AL θ AJ o AM ʊ AM ʔ AC s AJ o AM ʊ AM ɴ AG
အသုဘ	ʔ AC a̰ AL θ AJ ṵ b AH a̰ AL
အသုံး	ʔ AC ə AL θ AJ o AM ʊ AM ɴ AG
အသုံးပြု	ʔ AC ə AL θ AJ o AM ʊ AM ɴ AG p AH j AB ṵ
အသေ	ʔ AC ə AL θ AJ e AL
အသော	ʔ AC ə AL θ AJ ɔ AM
အသံ	ʔ AC ə AL θ AJ a AL ɴ AG
အသံထွက်	ʔ AC ə AL θ AJ a AL ɴ AG d AC w AK ɛ AL ʔ AC
အသျှင်	ʔ AC ə AL ʃ AJ ɪ AL ɴ AG
အသွားအလာ	ʔ AC ə AL θ AJ w AK a AL ʔ AC ə AL l AE a AL
အာကာသ	ʔ AC a AL k AC a AL θ AJ a̰ AL
အာကာသစိုး	ʔ AC a AL k AC a AL θ AJ a̰ AL z AJ o AM
အာကာသယာဉ်	ʔ AC a AL k AC a AL θ AJ a̰ AL j AB ɪ AL ɴ AG
အာခါ	ʔ AC a AL kʰ AD a AL
အာဂျင်တီးနား	ʔ AC a AL d AC ʑ AJ ɪ AL ɴ AG t AC i AL n AG a AL
အာဃာတ	ʔ AC a AL ɡ AC a AL t AC a̰ AL
အာစရိယ	ʔ AC a AL s AJ a̰ AL ɹ AB ḭ j AB a̰ AL
အာဇာနည်	ʔ AC a AL z AJ a AL n AG i AL
အာဇာနည်နေ့	ʔ AC a AL z AJ a AL n AG i AL n AG ḛ
အာဏာ	ʔ AC a AL n AG a AL
အာဏာရှင်	ʔ AC a AL n AG a AL ʃ AJ ɪ AL ɴ AG
အာဏာသား	ʔ AC a AL n AG a AL ð AJ a AL
အာဏာသိမ်း	ʔ AC a AL n AG a AL θ AJ e AL ɪ AL ɴ AG
အာတိတ်	ʔ AC a AL t AC e AL ɪ AL ʔ AC
အာနီ	ʔ AC a AL n AG i AL
အာနုဘော်	ʔ AC a AL n AG ṵ b AH ɔ AM
အာဖဂန်နစ်စတန်	ʔ AC a AL pʰ AI ə AL ɡ AC a AL ɴ AG n AG ɪ AL ʔ AC s AJ ə AL t AC a AL ɴ AG
အာဖရိက	ʔ AC a AL pʰ AI ə AL ɹ AB ḭ k AC a̰ AL
အာမခံ	ʔ AC a AL m AF a̰ AL ɡ AC a AL ɴ AG
အာမခံသေတ္တာ	ʔ AC a AL m AF a̰ AL ɡ AC a AL ɴ AG θ AJ ɪ AL ʔ AC t AC a AL
အာမေဍိတ်	ʔ AC a AL m AF e AL d AC e AL ɪ AL ʔ AC
အာမေးနီးယား	ʔ AC a AL m AF e AL n AG i AL j AB a AL
အာယုဗ္ဗေဒ	ʔ AC a AL j AB o AM ʊ AM ʔ AC b AH e AL d AC a̰ AL
အာရပ်	ʔ AC a AL ɹ AB a AL ʔ AC
အာရာမ	ʔ AC a AL j AB a AL m AF a̰ AL
အာရာမ်	ʔ AC a AL j AB a AL ɴ AG
အာရိုက်	ʔ AC a AL j AB a AL ɪ AL ʔ AC
အာရုံကြော	ʔ AC a AL j AB o AM ʊ AM ɴ AG d AC ʑ AJ ɔ AM
အာရှ	ʔ AC a AL ʃ AJ a̰ AL
