ँ	ə̃ AN
रोहिंग्या	ɾ BA oː AK ɦ AL ɪ̃ AN ŋ AF ɡ AB j AA äː
रौंदना	ɾ BA ɔ̃ː AM n̪ AF d̪ AB n̪ AF äː
रौज़न	ɾ BA ɔː AK z AB ə̃ AN n̪ AF
रौनक़	ɾ BA ɔː AK n̪ AF ə AJ q AB
रौशन	ɾ BA ɔː AK ʃ AB ə̃ AN n̪ AF
रौशनी	ɾ BA ɔː AK ʃ AB n̪ AF iː AJ
ल	l̪ AD ə AJ
लँगड़ाना	l̪ AD ə̃ AN ŋ AF ɡ AB ɽ BA äː n̪ AF äː
लंकिलाट	l̪ AD ə̃ AN ŋ AF k AB ɪ AJ l̪ AD äː ʈ AB
लंगड़ा	l̪ AD ə̃ AN ŋ AF ɡ AB ɽ BA äː
लंगराई	l̪ AD ə̃ AN ŋ AF ɡ AB ɾ BA äː iː AJ
लंगूर	l̪ AD ə̃ AN ŋ AF ɡ AB uː AK ɾ BA
लंगोटी	l̪ AD ə̃ AN ŋ AF ɡ AB oː AK ʈ AB iː AJ
लंड	l̪ AD ə̃ AN ɳ AF ɖ AB
लंदन	l̪ AD ə̃ AN n̪ AF d̪ AB ə̃ AN n̪ AF
लंबाई	l̪ AD ə̃ AN m AE b AG äː iː AJ
लंबू	l̪ AD ə̃ AN m AE b AG uː AK
लंभा	l̪ AD ə̃ AN m AE bʱ AH äː
लकीर	l̪ AD ə AJ k AB iː AJ ɾ BA
लक्षण	l̪ AD ə AJ k AB ʃ AB ə̃ AN ɳ AF
लक्ष्मी	l̪ AD ə AJ k AB ʃ AB m AE iː AJ
लखन	l̪ AD ə AJ kʰ AC ə̃ AN n̪ AF
लखनऊ	l̪ AD ə AJ kʰ AC n̪ AF ə AJ uː AK
लगता	l̪ AD ə AJ ɡ AB t̪ AB äː
लगन	l̪ AD ə AJ ɡ AB ə̃ AN n̪ AF
लगना	l̪ AD ə AJ ɡ AB n̪ AF äː
लगभग	l̪ AD ə AJ ɡ AB bʱ AH ə AJ ɡ AB
लगान	l̪ AD ə AJ ɡ AB ä̃ː n̪ AF
लगाना	l̪ AD ə AJ ɡ AB äː n̪ AF äː
लगावट	l̪ AD ə AJ ɡ AB äː ʋ AI ə AJ ʈ AB
लगी	l̪ AD ə AJ ɡ AB iː AJ
लगूहा	l̪ AD ə AJ ɡ AB uː AK ɦ AL äː
लगे	l̪ AD ə AJ ɡ AB eː AJ
लग्न	l̪ AD ə AJ ɡ AB n̪ AF
लघु	l̪ AD ə AJ ɡʱ AC uː AK
लघुगणक	l̪ AD ə AJ ɡʱ AC ʊ AK ɡ AB ə AJ ɳ AF ə AJ k AB
लघ्वातु	l̪ AD ə AJ ɡʱ AC ʋ AI äː t̪ AB uː AK
लचकना	l̪ AD ə AJ t AB ʃ AB ə AJ k AB n̪ AF äː
लज़ीज़	l̪ AD ə AJ z AB iː AJ z AB
लजाना	l̪ AD ə AJ d AB ʒ AB äː n̪ AF äː
लज्जा	l̪ AD ə AJ d̚ d AB ʒ AB äː
लज्जित	l̪ AD ə AJ d̚ d AB ʒ AB ɪ AJ t̪ AB
लट	l̪ AD ə AJ ʈ AB
लटकना	l̪ AD ə AJ ʈ AB ə AJ k AB n̪ AF äː
लटकाना	l̪ AD ə AJ ʈ AB k AB äː n̪ AF äː
लट्टू	l̪ AD ə AJ ʈ̚ ʈ AB uː AK
लडका	l̪ AD ə AJ ɽ BA k AB äː
लडकी	l̪ AD ə AJ ɽ BA k AB iː AJ
लड़कपन	l̪ AD ə AJ ɽ BA ə AJ k AB p AG ə̃ AN n̪ AF
लड़का	l̪ AD ə AJ ɽ BA k AB äː
लड़की	l̪ AD ə AJ ɽ BA k AB iː AJ
लड़खड़ाना	l̪ AD ə AJ ɽ BA kʰ AC ə AJ ɽ BA äː n̪ AF äː
लड़ना	l̪ AD ə AJ ɽ BA n̪ AF äː
लड़ाई	l̪ AD ə AJ ɽ BA äː iː AJ
लड़ाका	l̪ AD ə AJ ɽ BA äː k AB äː
लड़ाकू	l̪ AD ə AJ ɽ BA äː k AB uː AK
लड्डू	l̪ AD ə AJ ɖ̚ ɖ AB uː AK
लण्ड	l̪ AD ə̃ AN ɳ AF ɖ AB
लताड़ना	l̪ AD ə AJ t̪ AB äː ɽ BA n̪ AF äː
लतीफ़ा	l̪ AD ə AJ t̪ AB iː AJ pʰ AH äː
लथपथ	l̪ AD ə AJ t̪ʰ AC p AG ə AJ t̪ʰ AC
लद्दाख़	l̪ AD ə AJ d̪̚ AB d̪ AB äː x AB
लपकना	l̪ AD ə AJ p AG ə AJ k AB n̪ AF äː
लपेटना	l̪ AD ə AJ p AG eː AJ ʈ AB n̪ AF äː
लफड़ा	l̪ AD ə AJ pʰ AH ɽ BA äː
लफ़ंगा	l̪ AD ə AJ pʰ AH ə̃ AN ŋ AF ɡ AB äː
लफ़्ज़	l̪ AD ə AJ pʰ AH d AB ʒ AB
लब	l̪ AD ə AJ b AG
लब्धि	l̪ AD ə AJ b AG d̪ʱ AC iː AJ
लमहा	l̪ AD ə̃ AN m AE ɦ AL äː
लय	l̪ AD ə AJ j AA
ललकार	l̪ AD ə AJ l̪ AD k AB äː ɾ BA
ललकारना	l̪ AD ə AJ l̪ AD k AB äː ɾ BA n̪ AF äː
ललचाना	l̪ AD ə AJ l̪ AD t AB ʃ AB äː n̪ AF äː
ललाट	l̪ AD ə AJ l̪ AD äː ʈ AB
लवड़ा	l̪ AD ə AJ ʋ AI ɽ BA äː
लवण	l̪ AD ə AJ ʋ AI ə̃ AN ɳ AF
लश्कर	l̪ AD ə AJ ʃ AB k AB ə AJ ɾ BA
लश्करी	l̪ AD ə AJ ʃ AB k AB ə AJ ɾ BA iː AJ
लसन	l̪ AD ə AJ s̪ AB ə̃ AN n̪ AF
लहंगा	l̪ AD ɛː AJ ɦ AL ɛ̃ː AN ŋ AF ɡ AB äː
लहज़ा	l̪ AD ɛ AJ ɦ AL z AB äː
लहजा	l̪ AD ɛ AJ ɦ AL d AB ʒ AB äː
लहर	l̪ AD ɛ AJ ɦ AL ɛ AJ ɾ BA
लहरा	l̪ AD ɛ AJ ɦ AL ɾ BA äː
लहसुन	l̪ AD ɛ AJ ɦ AL s̪ AB ʊ̃ AM n̪ AF
लाँघना	l̪ AD ä̃ː ŋ AF ɡʱ AC n̪ AF äː
लांछन	l̪ AD ä̃ː n̪ AF t AB ʃʰ AC ə̃ AN n̪ AF
लांछित	l̪ AD ä̃ː n̪ AF t AB ʃʰ AC ɪ AJ t̪ AB
लाइन	l̪ AD äː ɪ̃ AN n̪ AF
लाइम	l̪ AD äː ɪ̃ AN m AE
लाइसेंस	l̪ AD äː ɪ AJ s̪ AB ẽː n̪ AF s̪ AB
लाई	l̪ AD äː iː AJ
लाओस	l̪ AD äː oː AK s̪ AB
लाख	l̪ AD äː kʰ AC
लागत	l̪ AD äː ɡ AB ə AJ t̪ AB
लागू	l̪ AD äː ɡ AB uː AK
लाचार	l̪ AD äː t AB ʃ AB äː ɾ BA
लाजवर्द	l̪ AD äː d AB ʒ AB ʋ AI ə AJ ɾ BA d̪ AB
लाजवाब	l̪ AD äː d AB ʒ AB ə AJ ʋ AI äː b AG
लाज़िम	l̪ AD äː z AB ɪ̃ AN m AE
लाट	l̪ AD äː ʈ AB
लाठ	l̪ AD äː ʈʰ AC
लाड़	l̪ AD äː ɽ BA
लाड़काना	l̪ AD äː ɽ BA k AB äː n̪ AF äː
लात	l̪ AD äː t̪ AB
लातविया	l̪ AD äː t̪ AB w AI i AJ j AA äː
लातीनी	l̪ AD äː t̪ AB iː AJ n̪ AF iː AJ
लादना	l̪ AD äː d̪̚ AB n̪ AF äː
लानत	l̪ AD äː n̪ AF ə AJ t̪ AB
लाना	l̪ AD äː n̪ AF äː
लापता	l̪ AD äː p AG ə AJ t̪ AB äː
लापरवाह	l̪ AD äː p AG ə AJ ɾ BA ʋ AI äː ɦ AL
लापरवाही	l̪ AD äː p AG ə AJ ɾ BA ʋ AI äː ɦ AL iː AJ
लापसी	l̪ AD äː p AG s̪ AB iː AJ
लाफा	l̪ AD äː pʰ AH äː
लाबु	l̪ AD äː b AG uː AK
लाभ	l̪ AD äː bʱ AH
लाभकारक	l̪ AD äː bʱ AH k AB äː ɾ BA ə AJ k AB
लाभदायक	l̪ AD äː bʱ AH d̪ AB äː j AA ə AJ k AB
लायक	l̪ AD äː j AA ə AJ q AB
लायक़	l̪ AD äː j AA ə AJ q AB
लार	l̪ AD äː ɾ BA
लाल	l̪ AD äː l̪ AD
लालच	l̪ AD äː l̪ AD ə AJ t AB ʃ AB
लालची	l̪ AD äː l̪ AD t AB ʃ AB iː AJ
लालटेन	l̪ AD äː l̪ AD ʈ AB ẽː n̪ AF
लालफ़ीता	l̪ AD äː l̪ AD pʰ AH iː AJ t̪ AB äː
लालफ़ीताशाही	l̪ AD äː l̪ AD pʰ AH iː AJ t̪ AB äː ʃ AB äː ɦ AL iː AJ
लालसा	l̪ AD äː l̪ AD s̪ AB äː
लालायित	l̪ AD äː l̪ AD äː j AA ɪ AJ t̪ AB
लालित्य	l̪ AD äː l̪ AD ɪ AJ t̪ AB j AA
लिंग	l̪ AD ɪ̃ AN ŋ AF ɡ AB
लिंगानुपात	l̪ AD ɪ̃ AN ŋ AF ɡ AB äː n̪ AF ʊ AK p AG äː t̪ AB
लिंगायत	l̪ AD ɪ̃ AN ŋ AF ɡ AB äː j AA ə AJ t̪ AB
लिए	l̪ AD ɪ AJ eː AJ
लिख	l̪ AD ɪ AJ kʰ AC
लिखता	l̪ AD ɪ AJ kʰ AC t̪ AB äː
लिखती	l̪ AD ɪ AJ kʰ AC t̪ AB iː AJ
लिखते	l̪ AD ɪ AJ kʰ AC t̪ AB eː AJ
लिखना	l̪ AD ɪ AJ kʰ AC n̪ AF äː
लिखने	l̪ AD ɪ AJ kʰ AC n̪ AF eː AJ
लिखनेवाला	l̪ AD ɪ AJ kʰ AC n̪ AF eː AJ ʋ AI äː l̪ AD äː
लिखनेवाली	l̪ AD ɪ AJ kʰ AC n̪ AF eː AJ ʋ AI äː l̪ AD iː AJ
लिखा	l̪ AD ɪ AJ kʰ AC äː
लिखाई	l̪ AD ɪ AJ kʰ AC äː iː AJ
लिखावट	l̪ AD ɪ AJ kʰ AC äː ʋ AI ə AJ ʈ AB
लिखिए	l̪ AD ɪ AJ kʰ AC ɪ AJ eː AJ
लिखित	l̪ AD ɪ AJ kʰ AC ɪ AJ t̪ AB
लिखी	l̪ AD ɪ AJ kʰ AC iː AJ
लिखे	l̪ AD ɪ AJ kʰ AC eː AJ
लिखो	l̪ AD ɪ AJ kʰ AC oː AK
लिख्टेंश्टाइन	l̪ AD ɪ AJ kʰ AC ʈ AB ẽː n̪ AF ʃ AB ʈ AB äː ɪ̃ AN n̪ AF
लिथुआनिया	l̪ AD ɪ AJ t̪ʰ AC ʊ AK äː n̪ AF i AJ j AA äː
लिपटना	l̪ AD ɪ AJ p AG ə AJ ʈ AB n̪ AF äː
लिपि	l̪ AD ɪ AJ p AG iː AJ
लिप्यंतरण	l̪ AD ɪ AJ p AG j AA ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA ə̃ AN ɳ AF
लिफ़ाफ़ा	l̪ AD ɪ AJ pʰ AH äː pʰ AH äː
लिबास	l̪ AD ɪ AJ b AG äː s̪ AB
लिमिटेड	l̪ AD ɪ AJ m AE ɪ AJ ʈ AB eː AJ ɖ AB
लिवरपूल	l̪ AD ɪ AJ ʋ AI ə AJ ɾ BA p AG uː AK l̪ AD
लिसान	l̪ AD ɪ AJ s̪ AB ä̃ː n̪ AF
लिस्ट	l̪ AD ɪ AJ s̪ AB ʈ AB
लिहाज़ा	l̪ AD ɪ AJ ɦ AL äː z AB äː
लीची	l̪ AD iː AJ t AB ʃ AB iː AJ
लीडरी	l̪ AD iː AJ ɖ AB ə AJ ɾ BA iː AJ
लीड्स	l̪ AD iː AJ ɖ AB s̪ AB
लीद	l̪ AD iː AJ d̪ AB
लीबिया	l̪ AD iː AJ b AG i AJ j AA äː
लीलना	l̪ AD iː AJ l̪ AD n̪ AF äː
लीला	l̪ AD iː AJ l̪ AD äː
लुंगी	l̪ AD ʊ̃ AM ŋ AF ɡ AB iː AJ
लुंबिनी	l̪ AD ʊ̃ AM m AE b AG ɪ AJ n̪ AF iː AJ
लुग़त	l̪ AD ʊ AK ɣ AB ə AJ t̪ AB
लुग़ात	l̪ AD ʊ AK ɣ AB äː t̪ AB
लुगाई	l̪ AD ʊ AK ɡ AB äː iː AJ
लुचपन	l̪ AD ʊ AK t AB ʃ AB p AG ə̃ AN n̪ AF
लुच्चा	l̪ AD ʊ AK t̚ t AB ʃ AB äː
लुटेरा	l̪ AD ʊ AK ʈ AB eː AJ ɾ BA äː
लुत्फ़	l̪ AD ʊ AK t̪ AB pʰ AH
लुधियाना	l̪ AD ʊ AK d̪ʱ AC i AJ j AA äː n̪ AF äː
लुप्त	l̪ AD ʊ AK p AG t̪ AB
लुभाना	l̪ AD ʊ AK bʱ AH äː n̪ AF äː
लूक़ा	l̪ AD uː AK q AB äː
लेकर	l̪ AD eː AJ k AB ə AJ ɾ BA
लेकिन	l̪ AD eː AJ k AB ɪ̃ AN n̪ AF
लेख	l̪ AD eː AJ kʰ AC
लेखक	l̪ AD eː AJ kʰ AC ə AJ k AB
लेखन	l̪ AD eː AJ kʰ AC ə̃ AN n̪ AF
लेखनी	l̪ AD eː AJ kʰ AC ə AJ n̪ AF iː AJ
लेखा	l̪ AD eː AJ kʰ AC äː
लेखाकार	l̪ AD eː AJ kʰ AC äː k AB äː ɾ BA
लेखाचित्र	l̪ AD eː AJ kʰ AC äː t AB ʃ AB ɪ AJ t̪ AB ɾ BA
लेखिका	l̪ AD eː AJ kʰ AC ɪ AJ k AB äː
लेटना	l̪ AD eː AJ ʈ AB n̪ AF äː
लेना	l̪ AD eː AJ n̪ AF äː
लेनिनवाद	l̪ AD eː AJ n̪ AF ɪ̃ AN n̪ AF w AI äː d̪ AB
लेबनान	l̪ AD eː AJ b AG n̪ AF ä̃ː n̪ AF
लेबनॉन	l̪ AD eː AJ b AG n̪ AF ɔ̃ AM n̪ AF
लेस्टर	l̪ AD eː AJ s̪ AB ʈ AB ə AJ ɾ BA
लैंगिक	l̪ AD ɛ̃ː AN ŋ AF ɡ AB ɪ AJ k AB
लैंडर	l̪ AD ɛ̃ː AN ɳ AF ɖ AB ə AJ ɾ BA
लैब	l̪ AD ɛː AJ b AG
लॉकडाउन	l̪ AD ɔ AK k AB ɖ AB äː ʊ̃ AM n̪ AF
लोक	l̪ AD oː AK k AB
लोकगीत	l̪ AD oː AK k AB ɡ AB iː AJ t̪ AB
लोकतांत्रिक	l̪ AD oː AK k AB t̪ AB ä̃ː n̪ AF t̪ AB ɾ BA ɪ AJ k AB
लोकनायक	l̪ AD oː AK k AB n̪ AF äː j AA ə AJ k AB
लोकनृत्य	l̪ AD oː AK k AB n̪ AF ɾ BA ɪ AJ t̪ AB j AA
लोकप्रिय	l̪ AD oː AK k AB ə AJ p AG ɾ BA ɪ AJ j AA
लोकप्रियता	l̪ AD oː AK k AB ə AJ p AG ɾ BA ɪ AJ j AA t̪ AB äː
लोकसभा	l̪ AD oː AK k AB ə AJ s̪ AB bʱ AH äː
लोकसाहित्य	l̪ AD oː AK k AB s̪ AB äː ɦ AL ɪ AJ t̪ AB j AA
लोकाचार	l̪ AD oː AK k AB äː t AB ʃ AB äː ɾ BA
लोकाट	l̪ AD oː AK k AB äː ʈ AB
लोकोक्ति	l̪ AD oː AK k AB oː AK k AB t̪ AB iː AJ
लोग	l̪ AD oː AK ɡ AB
लोगो	l̪ AD oː AK ɡ AB oː AK
लोगों	l̪ AD oː AK ɡ AB õː
लोचा	l̪ AD oː AK t AB ʃ AB äː
लोजबान	l̪ AD oː AK d AB ʒ AB b AG ä̃ː n̪ AF
लोटपोट	l̪ AD oː AK ʈ AB p AG oː AK ʈ AB
लोटा	l̪ AD oː AK ʈ AB äː
लोथ	l̪ AD oː AK t̪ʰ AC
लोन	l̪ AD õː n̪ AF
लोबिया	l̪ AD oː AK b AG i AJ j AA äː
लोभ	l̪ AD oː AK bʱ AH
लोमड़ी	l̪ AD õː m AE ɽ BA iː AJ
लोल	l̪ AD oː AK l̪ AD
लोहड़ी	l̪ AD oː AK ɦ AL ɽ BA iː AJ
लोहिया	l̪ AD oː AK ɦ AL i AJ j AA äː
लोहू	l̪ AD oː AK ɦ AL uː AK
लौ	l̪ AD ɔː AK
लौंग	l̪ AD ɔ̃ː AM ŋ AF ɡ AB
लौंडा	l̪ AD ɔ̃ː AM ɳ AF ɖ AB äː
लौआ	l̪ AD ɔː AK äː
लौकी	l̪ AD ɔː AK k AB iː AJ
लौड़ा	l̪ AD ɔː AK ɽ BA äː
लौहपथगामिनी	l̪ AD ɔː AK ɦ AL p AG ə AJ t̪ʰ AC ɡ AB äː m AE ɪ AJ n̪ AF iː AJ
लौहपथगामिनीसूचकदर्शकहरितताम्रलौहपट्टिका	l̪ AD ɔː AK ɦ AL p AG ə AJ t̪ʰ AC ɡ AB äː m AE ɪ AJ n̪ AF iː AJ s̪ AB uː AK t AB ʃ AB ə AJ k AB d̪ AB ə AJ ɾ BA ʃ AB ə AJ kʰ AC ə AJ ɾ BA ɪ AJ t̪̚ t̪ AB ä̃ː m AE ɾ BA ə AJ l̪ AD ɔː AK ɦ AL p AG ə AJ ʈ̚ ʈ AB ɪ AJ k AB äː
ल्हासा	l̪ AD ɦ AL äː s̪ AB äː
वंगन	ʋ AI ə̃ AN ŋ AF ɡ AB ə̃ AN n̪ AF
वंचित	ʋ AI ə̃ AN n̪ AF t AB ʃ AB ɪ AJ t̪ AB
वंटन	ʋ AI ə̃ AN ɳ AF ʈ AB ə̃ AN n̪ AF
वंदना	ʋ AI ə̃ AN n̪ AF d̪ AB ə AJ n̪ AF äː
वंश	ʋ AI ə̃ AN n̪ AF ʃ AB
वंशज	ʋ AI ə̃ AN n̪ AF ʃ AB ə AJ d AB ʒ AB
वंशवाद	ʋ AI ə̃ AN n̪ AF ʃ AB ʋ AI äː d̪ AB
वंशावली	ʋ AI ə̃ AN n̪ AF ʃ AB äː ʋ AI ə AJ l̪ AD iː AJ
वक़्फ़ा	ʋ AI ə AJ q AB f AG äː
वकालत	ʋ AI ə AJ k AB äː l̪ AD ə AJ t̪ AB
वक्ता	ʋ AI ə AJ k AB t̪ AB äː
वक्ष	ʋ AI ə AJ k AB ʃ AB
वचन	ʋ AI ə AJ t AB ʃ AB ə̃ AN n̪ AF
वज़न	ʋ AI ə AJ z AB ə̃ AN n̪ AF
वड़ा	ʋ AI ə AJ ɽ BA äː
वड़ोदरा	ʋ AI ə AJ ɽ BA oː AK d̪ AB ɾ BA äː
वतन	ʋ AI ə AJ t̪ AB ə̃ AN n̪ AF
वतनपरस्त	ʋ AI ə AJ t̪ AB ə̃ AN n̪ AF p AG ə AJ ɾ BA ə AJ s̪ AB t̪ AB
वन	ʋ AI ə̃ AN n̪ AF
वनों	ʋ AI ə AJ n̪ AF õː
वन्य	ʋ AI ə̃ AN n̪ AF j AA
वफ़ा	ʋ AI ə AJ pʰ AH äː
वफ़ादार	ʋ AI ə AJ pʰ AH äː d̪ AB äː ɾ BA
वयस्क	ʋ AI ə AJ j AA ə AJ s̪ AB k AB
वरण	ʋ AI ə AJ ɾ BA ə̃ AN ɳ AF
वरियाली	ʋ AI ə AJ ɾ BA i AJ j AA äː l̪ AD iː AJ
वरीयता	ʋ AI ə AJ ɾ BA iː AJ j AA t̪ AB äː
वरुण	ʋ AI ə AJ ɾ BA ʊ̃ AM ɳ AF
वर्गहीन	ʋ AI ə AJ ɾ BA ɡ AB ɦ AL ĩː n̪ AF
वर्गीकरण	ʋ AI ə AJ ɾ BA ɡ AB iː AJ k AB ə AJ ɾ BA ə̃ AN ɳ AF
वर्चुअल	ʋ AI ə AJ ɾ BA t AB ʃ AB ʊ AK ə AJ l̪ AD
वर्णमाला	ʋ AI ə AJ ɾ BA ɳ AF m AE äː l̪ AD äː
वर्णविपर्यास	ʋ AI ə AJ ɾ BA ɳ AF ə AJ ʋ AI ɪ AJ p AG ə AJ ɾ BA j AA äː s̪ AB
वर्णहीन	ʋ AI ə AJ ɾ BA ɳ AF ɦ AL ĩː n̪ AF
वर्तमान	ʋ AI ə AJ ɾ BA t̪ AB ə AJ m AE ä̃ː n̪ AF
वर्तुल	ʋ AI ə AJ ɾ BA t̪ AB ʊ AK l̪ AD
वर्दीधारी	ʋ AI ə AJ ɾ BA d̪ AB iː AJ d̪ʱ AC äː ɾ BA iː AJ
वर्मसरट	ʋ AI ə AJ ɾ BA m AE s̪ AB ə AJ ɾ BA ə AJ ʈ AB
वर्मा	ʋ AI ə AJ ɾ BA m AE äː
वर्ष	ʋ AI ə AJ ɾ BA ʃ AB
वर्षा	ʋ AI ə AJ ɾ BA ʃ AB äː
वली	ʋ AI ə AJ l̪ AD iː AJ
वलीअहद	ʋ AI ə AJ l̪ AD iː AJ ɛ AJ ɦ AL ɛ AJ d̪ AB
वसंत	ʋ AI ə AJ s̪ AB ə̃ AN n̪ AF t̪ AB
वसन्त	ʋ AI ə AJ s̪ AB ə̃ AN n̪ AF t̪ AB
वसीयत	ʋ AI ə AJ s̪ AB iː AJ j AA ə AJ t̪ AB
वसूल	ʋ AI ə AJ s̪ AB uː AK l̪ AD
वस्तु	ʋ AI ə AJ s̪ AB t̪ AB uː AK
वस्त्र	ʋ AI ə AJ s̪ AB t̪ AB ɾ BA
वहम	ʋ AI ɛ AJ ɦ AL ɛ̃ AN m AE
वहमी	ʋ AI ɛ AJ ɦ AL m AE iː AJ
वहशत	ʋ AI ɛ AJ ɦ AL ʃ AB ə AJ t̪ AB
वहशी	ʋ AI ɛ AJ ɦ AL ʃ AB iː AJ
वा	ʋ AI äː
वाइटफ़ील्ड	ʋ AI äː ɪ AJ ʈ AB pʰ AH iː AJ l̪ AD ɖ AB
वाइन	ʋ AI äː ɪ̃ AN n̪ AF
वाक़ई	ʋ AI äː q AB ə AJ iː AJ
वाकिफ	ʋ AI äː q AB ɪ AJ f AG
वाक्य	ʋ AI äː k AB j AA
वाचिक	ʋ AI äː t AB ʃ AB ɪ AJ k AB
वाजिब	ʋ AI äː d AB ʒ AB ɪ AJ b AG
वाटर	ʋ AI äː ʈ AB ə AJ ɾ BA
वाटिका	ʋ AI äː ʈ AB ɪ AJ k AB äː
वाणिज्य	ʋ AI äː ɳ AF ɪ AJ d AB ʒ AB j AA
वाणी	ʋ AI äː ɳ AF iː AJ
वाताद	ʋ AI äː t̪ AB äː d̪ AB
वातानुकूलक	ʋ AI äː t̪ AB äː n̪ AF ʊ AK k AB uː AK l̪ AD ə AJ k AB
वातानुकूलन	ʋ AI äː t̪ AB äː n̪ AF ʊ AK k AB uː AK l̪ AD ə̃ AN n̪ AF
वातानुकूलित	ʋ AI äː t̪ AB äː n̪ AF ʊ AK k AB uː AK l̪ AD ɪ AJ t̪ AB
वातावरण	ʋ AI äː t̪ AB äː ʋ AI ə AJ ɾ BA ə̃ AN ɳ AF
वादसभा	ʋ AI äː d̪ AB s̪ AB ə AJ bʱ AH äː
वादा	ʋ AI äː d̪ AB äː
वाद्य	ʋ AI äː d̪ AB j AA
वाद्ययंत्र	ʋ AI äː d̪ AB j AA ə AJ j AA ə̃ AN n̪ AF t̪ AB ɾ BA
वानर	ʋ AI äː n̪ AF ə AJ ɾ BA
वापस	ʋ AI äː p AG ə AJ s̪ AB
वापसी	ʋ AI äː p AG s̪ AB iː AJ
वापिस	ʋ AI äː p AG ɪ AJ s̪ AB
वामन	ʋ AI äː m AE ə̃ AN n̪ AF
वामपंथी	ʋ AI ä̃ː m AE p AG ə̃ AN n̪ AF t̪ʰ AC iː AJ
वायदा	ʋ AI äː j AA d̪ AB äː
वायु	ʋ AI äː j AA uː AK
वायुजनित	ʋ AI äː j AA ʊ AK d AB ʒ AB ə AJ n̪ AF ɪ AJ t̪ AB
वायुमंडलीय	ʋ AI äː j AA ʊ AK m AE ə̃ AN ɳ AF ɖ AB l̪ AD iː AJ j AA
वायुसेना	ʋ AI äː j AA uː AK s̪ AB eː AJ n̪ AF äː
वार	ʋ AI äː ɾ BA
वारक	ʋ AI äː ɾ BA ə AJ k AB
वारदात	ʋ AI äː ɾ BA d̪ AB äː t̪ AB
वारिस	ʋ AI äː ɾ BA ɪ AJ s̪ AB
वार्ता	ʋ AI äː ɾ BA t̪ AB äː
वार्तालाप	ʋ AI äː ɾ BA t̪ AB äː l̪ AD äː p AG
वार्षिक	ʋ AI äː ɾ BA ʃ AB ɪ AJ k AB
वालिदैन	ʋ AI äː l̪ AD ɪ AJ d̪ AB ɛ̃ː AN n̪ AF
वाली	ʋ AI äː l̪ AD iː AJ
वाष्प	ʋ AI äː ʃ AB p AG
वाष्पचालित	ʋ AI äː ʃ AB p AG t AB ʃ AB äː l̪ AD ɪ AJ t̪ AB
वाष्पन	ʋ AI äː ʃ AB p AG ə̃ AN n̪ AF
वाष्पीकरण	ʋ AI äː ʃ AB p AG iː AJ k AB ə AJ ɾ BA ə̃ AN ɳ AF
वाष्पोत्सर्जन	ʋ AI äː ʃ AB p AG oː AK t̪ AB s̪ AB ə AJ ɾ BA d AB ʒ AB ə̃ AN n̪ AF
वासना	ʋ AI äː s̪ AB n̪ AF äː
वासी	ʋ AI äː s̪ AB iː AJ
वासुदेव	ʋ AI äː s̪ AB ʊ AK d̪ AB eː AJ ʋ AI
वास्कट	ʋ AI äː s̪ AB k AB ə AJ ʈ AB
वास्तव	ʋ AI äː s̪ AB t̪ AB ə AJ ʋ AI
वास्तविक	ʋ AI äː s̪ AB t̪ AB ə AJ ʋ AI ɪ AJ k AB
वास्तविकता	ʋ AI äː s̪ AB t̪ AB ə AJ ʋ AI ɪ AJ k AB t̪ AB äː
वास्तु	ʋ AI äː s̪ AB t̪ AB uː AK
वास्तुकला	ʋ AI äː s̪ AB t̪ AB ʊ AK k AB ə AJ l̪ AD äː
वाहक	ʋ AI äː ɦ AL ə AJ k AB
वाहन	ʋ AI äː ɦ AL ə̃ AN n̪ AF
वाहिका	ʋ AI äː ɦ AL ɪ AJ k AB äː
विंडसर	ʋ AI ɪ̃ AN ɳ AF ɖ AB s̪ AB ə AJ ɾ BA
विंदालू	ʋ AI ɪ̃ AN n̪ AF d̪ AB äː l̪ AD uː AK
विकसित	ʋ AI ɪ AJ k AB s̪ AB ɪ AJ t̪ AB
विकार	ʋ AI ɪ AJ k AB äː ɾ BA
विकास	ʋ AI ɪ AJ k AB äː s̪ AB
विकासशील	ʋ AI ɪ AJ k AB äː s̪ AB ʃ AB iː AJ l̪ AD
विकिपीडिया	ʋ AI ɪ AJ k AB ɪ AJ p AG iː AJ ɖ AB i AJ j AA äː
विकिमीडिया	ʋ AI ɪ AJ k AB ɪ AJ m AE iː AJ ɖ AB i AJ j AA äː
विकिरण	ʋ AI ɪ AJ k AB ɪ AJ ɾ BA ə̃ AN ɳ AF
विकिरणशील	ʋ AI ɪ AJ k AB ɪ AJ ɾ BA ə̃ AN ɳ AF ʃ AB iː AJ l̪ AD
विकिरणशीलता	ʋ AI ɪ AJ k AB ɪ AJ ɾ BA ə̃ AN ɳ AF ʃ AB iː AJ l̪ AD t̪ AB äː
विक्रम	ʋ AI ɪ AJ k AB ɾ BA ə̃ AN m AE
विक्रेता	ʋ AI ɪ AJ k AB ɾ BA eː AJ t̪ AB äː
विक्षनरी	ʋ AI ɪ AJ k AB ʃ AB ə̃ AN n̪ AF ɾ BA iː AJ
विखंडन	ʋ AI ɪ AJ kʰ AC ə̃ AN ɳ AF ɖ AB ə̃ AN n̪ AF
विख्यात	ʋ AI ɪ AJ kʰ AC j AA äː t̪ AB
