Ⴁ	b
ტრიკოტაჟი	tʼ r i AB kʼ ɔ AC tʼ ɑ AB ʒ i AB
ტრილოგია	tʼ r i AB l ɔ AC ɡ i AB ɑ AB
ტრინიდადი	tʼ r i AB n i AB d ɑ AB d i AB
ტრიო	tʼ r i AB ɔ AC
ტრიპოლი	tʼ r i AB pʼ ɔ AC l i AB
ტრიუმვირატი	tʼ r i AB u AC m v i AB r ɑ AB tʼ i AB
ტრიუმვირი	tʼ r i AB u AC m v i AB r i AB
ტრიუმო	tʼ r i AB u AC m ɔ AC
ტრიუმფალური	tʼ r i AB u AC m pʰ ɑ AB l u AC r i AB
ტრიუმფი	tʼ r i AB u AC m pʰ i AB
ტრიუფელი	tʼ r i AB u AC pʰ ɛ AB l i AB
ტროგლოდიტი	tʼ r ɔ AC ɡ l ɔ AC d i AB tʼ i AB
ტროლი	tʼ r ɔ AC l i AB
ტრომბონი	tʼ r ɔ AC m b ɔ AC n i AB
ტრომბონისტი	tʼ r ɔ AC m b ɔ AC n i AB s tʼ i AB
ტროპი	tʼ r ɔ AC pʼ i AB
ტროპიკი	tʼ r ɔ AC pʼ i AB kʼ i AB
ტროპიკულად	tʼ r ɔ AC pʼ i AB kʼ u AC l ɑ AB d
ტროპიკული	tʼ r ɔ AC pʼ i AB kʼ u AC l i AB
ტროტუარი	tʼ r ɔ AC tʼ u AC ɑ AB r i AB
ტრუბადური	tʼ r u AC b ɑ AB d u AC r i AB
ტრუიზმი	tʼ r u AC i AB z m i AB
ტრუსი	tʼ r u AC s i AB
ტრუსიკი	tʼ r u AC s i AB kʼ i AB
ტრუხა	tʼ r u AC x ɑ AB
ტუალეტი	tʼ u AC ɑ AB l ɛ AB tʼ i AB
ტუბერკულოზი	tʼ u AC b ɛ AB r kʼ u AC l ɔ AC z i AB
ტუვალუ	tʼ u AC v ɑ AB l u AC
ტუზი	tʼ u AC z i AB
ტუმბო	tʼ u AC m b ɔ AC
ტუნდრა	tʼ u AC n d r ɑ AB
ტუნისი	tʼ u AC n i AB s i AB
ტურა	tʼ u AC r ɑ AB
ტურაშვილი	tʼ u AC r ɑ AB ʃ v i AB l i AB
ტურბინა	tʼ u AC r b i AB n ɑ AB
ტურბულენტობა	tʼ u AC r b u AC l ɛ AB n tʼ ɔ AC b ɑ AB
ტურბულენტურად	tʼ u AC r b u AC l ɛ AB n tʼ u AC r ɑ AB d
ტურბულენტური	tʼ u AC r b u AC l ɛ AB n tʼ u AC r i AB
ტურიზმი	tʼ u AC r i AB z m i AB
ტურინი	tʼ u AC r i AB n i AB
ტურისტი	tʼ u AC r i AB s tʼ i AB
ტურისტული	tʼ u AC r i AB s tʼ u AC l i AB
ტურნე	tʼ u AC r n ɛ AB
ტურნირი	tʼ u AC r n i AB r i AB
ტურფა	tʼ u AC r pʰ ɑ AB
ტუსაღი	tʼ u AC s ɑ AB ɣ i AB
ტუტე	tʼ u AC tʼ ɛ AB
ტუჩად	tʼ u AC t ʃ ɑ AB d
ტუჩებად	tʼ u AC t ʃ ɛ AB b ɑ AB d
ტუჩები	tʼ u AC t ʃ ɛ AB b i AB
ტუჩებით	tʼ u AC t ʃ ɛ AB b i AB tʰ
ტუჩების	tʼ u AC t ʃ ɛ AB b i AB s
ტუჩებმა	tʼ u AC t ʃ ɛ AB b m ɑ AB
ტუჩებო	tʼ u AC t ʃ ɛ AB b ɔ AC
ტუჩებს	tʼ u AC t ʃ ɛ AB b s
ტუჩთა	tʼ u AC t ʃ tʰ ɑ AB
ტუჩი	tʼ u AC t ʃ i AB
ტუჩით	tʼ u AC t ʃ i AB tʰ
ტუჩის	tʼ u AC t ʃ i AB s
ტუჩმა	tʼ u AC t ʃ m ɑ AB
ტუჩნი	tʼ u AC t ʃ n i AB
ტუჩნო	tʼ u AC t ʃ n ɔ AC
ტუჩო	tʼ u AC t ʃ ɔ AC
ტუჩს	tʼ u AC t ʃ s
ტფილისი	tʼ pʰ i AB l i AB s i AB
ტყავი	tʼ qʼ ɑ AB v i AB
ტყაპანი	tʼ qʼ ɑ AB pʼ ɑ AB n i AB
ტყაპანით	tʼ qʼ ɑ AB pʼ ɑ AB n i AB tʰ
ტყაპუჭი	tʼ qʼ ɑ AB pʼ u AC t ʃʼ i AB
ტყე	tʼ qʼ ɛ AB
ტყევით	tʼ qʼ ɛ AB v i AB tʰ
ტყემალი	tʼ qʼ ɛ AB m ɑ AB l i AB
ტყვარჩელი	tʼ qʼ v ɑ AB r t ʃ ɛ AB l i AB
ტყვე	tʼ qʼ v ɛ AB
ტყვეობა	tʼ qʼ v ɛ AB ɔ AC b ɑ AB
ტყვია	tʼ qʼ v i AB ɑ AB
ტყვიამფრქვევი	tʼ qʼ v i AB ɑ AB m pʰ r kʰ v ɛ AB v i AB
ტყვნა	tʼ qʼ v n ɑ AB
ტყიანი	tʼ qʼ i AB ɑ AB n i AB
ტყისმჭრელი	tʼ qʼ i AB s m t ʃʼ r ɛ AB l i AB
ტყისქათამი	tʼ qʼ i AB s kʰ ɑ AB tʰ ɑ AB m i AB
ტყნავს	tʼ qʼ n ɑ AB v s
ტყნაური	tʼ qʼ n ɑ AB u AC r i AB
ტყუილად	tʼ qʼ u AC i AB l ɑ AB d
ტყუილი	tʼ qʼ u AC i AB l i AB
ტყუპი	tʼ qʼ u AC pʼ i AB
უ	u AC
უადგილო	u AC ɑ AB d ɡ i AB l ɔ AC
უადგილობა	u AC ɑ AB d ɡ i AB l ɔ AC b ɑ AB
უადგილოდ	u AC ɑ AB d ɡ i AB l ɔ AC d
უაზრო	u AC ɑ AB z r ɔ AC
უაზრობა	u AC ɑ AB z r ɔ AC b ɑ AB
უაზროდ	u AC ɑ AB z r ɔ AC d
უამრავი	u AC ɑ AB m r ɑ AB v i AB
უანგარო	u AC ɑ AB n ɡ ɑ AB r ɔ AC
უანგაროდ	u AC ɑ AB n ɡ ɑ AB r ɔ AC d
უაპელაციოდ	u AC ɑ AB pʼ ɛ AB l ɑ AB t s i AB ɔ AC d
უარესი	u AC ɑ AB r ɛ AB s i AB
უარი	u AC ɑ AB r i AB
უარსაყოფი	u AC ɑ AB r s ɑ AB qʼ ɔ AC pʰ i AB
უარყოფა	u AC ɑ AB r qʼ ɔ AC pʰ ɑ AB
უარყოფითად	u AC ɑ AB r qʼ ɔ AC pʰ i AB tʰ ɑ AB d
უარყოფითი	u AC ɑ AB r qʼ ɔ AC pʰ i AB tʰ i AB
უაღრესად	u AC ɑ AB ɣ r ɛ AB s ɑ AB d
უახლოესად	u AC ɑ AB x l ɔ AC ɛ AB s ɑ AB d
უახლოესი	u AC ɑ AB x l ɔ AC ɛ AB s i AB
უბადლო	u AC b ɑ AB d l ɔ AC
უბადრუკად	u AC b ɑ AB d r u AC kʼ ɑ AB d
უბადრუკი	u AC b ɑ AB d r u AC kʼ i AB
უბანი	u AC b ɑ AB n i AB
უბარი	u AC b ɑ AB r i AB
უბე	u AC b ɛ AB
უბედურად	u AC b ɛ AB d u AC r ɑ AB d
უბედურება	u AC b ɛ AB d u AC r ɛ AB b ɑ AB
უბედურები	u AC b ɛ AB d u AC r ɛ AB b i AB
უბედური	u AC b ɛ AB d u AC r i AB
უბერავს	u AC b ɛ AB r ɑ AB v s
უბეჭდო	u AC b ɛ AB t ʃʼ d ɔ AC
უბიწო	u AC b i AB t sʼ ɔ AC
უბნებლიედ	u AC b n ɛ AB b l i AB ɛ AB d
უბნობა	u AC b n ɔ AC b ɑ AB
უბნობს	u AC b n ɔ AC b s
უბრალო	u AC b r ɑ AB l ɔ AC
უბრალოდ	u AC b r ɑ AB l ɔ AC d
უბრალოება	u AC b r ɑ AB l ɔ AC ɛ AB b ɑ AB
უბრობა	u AC b r ɔ AC b ɑ AB
უგანდა	u AC ɡ ɑ AB n d ɑ AB
უგემოვნო	u AC ɡ ɛ AB m ɔ AC v n ɔ AC
უგემოვნოდ	u AC ɡ ɛ AB m ɔ AC v n ɔ AC d
უგემრიელესი	u AC ɡ ɛ AB m r i AB ɛ AB l ɛ AB s i AB
უგემურად	u AC ɡ ɛ AB m u AC r ɑ AB d
უგემური	u AC ɡ ɛ AB m u AC r i AB
უგვიანესი	u AC ɡ v i AB ɑ AB n ɛ AB s i AB
უგზო	u AC ɡ z ɔ AC
უგრძესი	u AC ɡ r d z ɛ AB s i AB
უგრძნობად	u AC ɡ r d z n ɔ AC b ɑ AB d
უგრძნობლად	u AC ɡ r d z n ɔ AC b l ɑ AB d
უგრძნობლობა	u AC ɡ r d z n ɔ AC b l ɔ AC b ɑ AB
უგულებელყოფა	u AC ɡ u AC l ɛ AB b ɛ AB l qʼ ɔ AC pʰ ɑ AB
უგულო	u AC ɡ u AC l ɔ AC
უგულობა	u AC ɡ u AC l ɔ AC b ɑ AB
უგულოდ	u AC ɡ u AC l ɔ AC d
უგუნებობა	u AC ɡ u AC n ɛ AB b ɔ AC b ɑ AB
უგუნურად	u AC ɡ u AC n u AC r ɑ AB d
უგუნურება	u AC ɡ u AC n u AC r ɛ AB b ɑ AB
უგუნური	u AC ɡ u AC n u AC r i AB
უდაბლესად	u AC d ɑ AB b l ɛ AB s ɑ AB d
უდაბლესი	u AC d ɑ AB b l ɛ AB s i AB
უდაბნო	u AC d ɑ AB b n ɔ AC
უდაბური	u AC d ɑ AB b u AC r i AB
უდავო	u AC d ɑ AB v ɔ AC
უდავოდ	u AC d ɑ AB v ɔ AC d
უდანაშაულო	u AC d ɑ AB n ɑ AB ʃ ɑ AB u AC l ɔ AC
უდარდელად	u AC d ɑ AB r d ɛ AB l ɑ AB d
უდარდელი	u AC d ɑ AB r d ɛ AB l i AB
უდარდელობა	u AC d ɑ AB r d ɛ AB l ɔ AC b ɑ AB
უდედო	u AC d ɛ AB d ɔ AC
უდეტრები	u AC d ɛ AB tʼ r ɛ AB b i AB
უდიდებულესობა	u AC d i AB d ɛ AB b u AC l ɛ AB s ɔ AC b ɑ AB
უდიდესი	u AC d i AB d ɛ AB s i AB
უდიერად	u AC d i AB ɛ AB r ɑ AB d
უდიერი	u AC d i AB ɛ AB r i AB
უდიერობა	u AC d i AB ɛ AB r ɔ AC b ɑ AB
უდრის	u AC d r i AB s
უდროო	u AC d r ɔ AC ɔ AC
უდროოდ	u AC d r ɔ AC ɔ AC d
უდრტვინველად	u AC d r tʼ v i AB n v ɛ AB l ɑ AB d
უელსი	u AC ɛ AB l s i AB
უემოციოდ	u AC ɛ AB m ɔ AC t s i AB ɔ AC d
უერთდებიან	u AC ɛ AB r tʰ d ɛ AB b i AB ɑ AB n
უეცარი	u AC ɛ AB t s ɑ AB r i AB
უეცრად	u AC ɛ AB t s r ɑ AB d
უეცრობა	u AC ɛ AB t s r ɔ AC b ɑ AB
უეჭველი	u AC ɛ AB t ʃʼ v ɛ AB l i AB
უეჭველობა	u AC ɛ AB t ʃʼ v ɛ AB l ɔ AC b ɑ AB
უვარგისად	u AC v ɑ AB r ɡ i AB s ɑ AB d
უვარგისი	u AC v ɑ AB r ɡ i AB s i AB
უვარგისობა	u AC v ɑ AB r ɡ i AB s ɔ AC b ɑ AB
უვიცად	u AC v i AB t s ɑ AB d
უვიცი	u AC v i AB t s i AB
უვიცობა	u AC v i AB t s ɔ AC b ɑ AB
უვნებელი	u AC v n ɛ AB b ɛ AB l i AB
უვნებლად	u AC v n ɛ AB b l ɑ AB d
უზადო	u AC z ɑ AB d ɔ AC
უზანგი	u AC z ɑ AB n ɡ i AB
უზარმაზარი	u AC z ɑ AB r m ɑ AB z ɑ AB r i AB
უზარმაცესი	u AC z ɑ AB r m ɑ AB t s ɛ AB s i AB
უზბეკეთი	u AC z b ɛ AB kʼ ɛ AB tʰ i AB
უზენაესად	u AC z ɛ AB n ɑ AB ɛ AB s ɑ AB d
უზენაესი	u AC z ɛ AB n ɑ AB ɛ AB s i AB
უზენაესობა	u AC z ɛ AB n ɑ AB ɛ AB s ɔ AC b ɑ AB
უზნეო	u AC z n ɛ AB ɔ AC
უზნეობა	u AC z n ɛ AB ɔ AC b ɑ AB
უზნეოდ	u AC z n ɛ AB ɔ AC d
უზომო	u AC z ɔ AC m ɔ AC
უზომოდ	u AC z ɔ AC m ɔ AC d
უზრდელად	u AC z r d ɛ AB l ɑ AB d
უზრდელი	u AC z r d ɛ AB l i AB
უზრდელობა	u AC z r d ɛ AB l ɔ AC b ɑ AB
უზრდელურად	u AC z r d ɛ AB l u AC r ɑ AB d
უზრუნველად	u AC z r u AC n v ɛ AB l ɑ AB d
უზრუნველი	u AC z r u AC n v ɛ AB l i AB
უზრუნველობა	u AC z r u AC n v ɛ AB l ɔ AC b ɑ AB
უზურპატორი	u AC z u AC r pʼ ɑ AB tʼ ɔ AC r i AB
უზურპაცია	u AC z u AC r pʼ ɑ AB t s i AB ɑ AB
უზუსტო	u AC z u AC s tʼ ɔ AC
უზუსტობა	u AC z u AC s tʼ ɔ AC b ɑ AB
უთავო	u AC tʰ ɑ AB v ɔ AC
უთანაბრო	u AC tʰ ɑ AB n ɑ AB b r ɔ AC
უთანაბრობა	u AC tʰ ɑ AB n ɑ AB b r ɔ AC b ɑ AB
უთანაბროდ	u AC tʰ ɑ AB n ɑ AB b r ɔ AC d
უთანასწორობა	u AC tʰ ɑ AB n ɑ AB s t sʼ ɔ AC r ɔ AC b ɑ AB
უთანხმოება	u AC tʰ ɑ AB n x m ɔ AC ɛ AB b ɑ AB
უთენია	u AC tʰ ɛ AB n i AB ɑ AB
უთესავს	u AC tʰ ɛ AB s ɑ AB v s
უთესლო	u AC tʰ ɛ AB s l ɔ AC
უთვალო	u AC tʰ v ɑ AB l ɔ AC
უთვლადი	u AC tʰ v l ɑ AB d i AB
უთმო	u AC tʰ m ɔ AC
უთო	u AC tʰ ɔ AC
უთუო	u AC tʰ u AC ɔ AC
უთქვამს	u AC tʰ kʰ v ɑ AB m s
უთხელესი	u AC tʰ x ɛ AB l ɛ AB s i AB
უთხრა	u AC tʰ x r ɑ AB
უიარაღო	u AC i AB ɑ AB r ɑ AB ɣ ɔ AC
უიმედო	u AC i AB m ɛ AB d ɔ AC
უიმედობა	u AC i AB m ɛ AB d ɔ AC b ɑ AB
უიმედოდ	u AC i AB m ɛ AB d ɔ AC d
უინიციატივო	u AC i AB n i AB t s i AB ɑ AB tʼ i AB v ɔ AC
უინტერესო	u AC i AB n tʼ ɛ AB r ɛ AB s ɔ AC
უინტერესოდ	u AC i AB n tʼ ɛ AB r ɛ AB s ɔ AC d
უიღბლო	u AC i AB ɣ b l ɔ AC
უიშვიათესი	u AC i AB ʃ v i AB ɑ AB tʰ ɛ AB s i AB
უკავშიროდ	u AC kʼ ɑ AB v ʃ i AB r ɔ AC d
უკამათოდ	u AC kʼ ɑ AB m ɑ AB tʰ ɔ AC d
უკან	u AC kʼ ɑ AB n
უკანა	u AC kʼ ɑ AB n ɑ AB
უკანალი	u AC kʼ ɑ AB n ɑ AB l i AB
უკანასკნელი	u AC kʼ ɑ AB n ɑ AB s kʼ n ɛ AB l i AB
უკანონო	u AC kʼ ɑ AB n ɔ AC n ɔ AC
უკანონობა	u AC kʼ ɑ AB n ɔ AC n ɔ AC b ɑ AB
უკანონოდ	u AC kʼ ɑ AB n ɔ AC n ɔ AC d
უკაპიკო	u AC kʼ ɑ AB pʼ i AB kʼ ɔ AC
უკარება	u AC kʼ ɑ AB r ɛ AB b ɑ AB
უკარებად	u AC kʼ ɑ AB r ɛ AB b ɑ AB d
უკაცრავად	u AC kʼ ɑ AB t s r ɑ AB v ɑ AB d
უკაცრიელი	u AC kʼ ɑ AB t s r i AB ɛ AB l i AB
უკბილო	u AC kʼ b i AB l ɔ AC
უკეთ	u AC kʼ ɛ AB tʰ
უკეთესი	u AC kʼ ɛ AB tʰ ɛ AB s i AB
უკვალო	u AC kʼ v ɑ AB l ɔ AC
უკვამლო	u AC kʼ v ɑ AB m l ɔ AC
უკვდავები	u AC kʼ v d ɑ AB v ɛ AB b i AB
უკვდავყოფა	u AC kʼ v d ɑ AB v qʼ ɔ AC pʰ ɑ AB
უკვე	u AC kʼ v ɛ AB
უკიდურესად	u AC kʼ i AB d u AC r ɛ AB s ɑ AB d
უკიდურესი	u AC kʼ i AB d u AC r ɛ AB s i AB
უკიდურესობა	u AC kʼ i AB d u AC r ɛ AB s ɔ AC b ɑ AB
უკლასო	u AC kʼ l ɑ AB s ɔ AC
უკმარისობა	u AC kʼ m ɑ AB r i AB s ɔ AC b ɑ AB
უკმარობა	u AC kʼ m ɑ AB r ɔ AC b ɑ AB
უკმაყოფილება	u AC kʼ m ɑ AB qʼ ɔ AC pʰ i AB l ɛ AB b ɑ AB
უკმაყოფილო	u AC kʼ m ɑ AB qʼ ɔ AC pʰ i AB l ɔ AC
უკმაყოფილოდ	u AC kʼ m ɑ AB qʼ ɔ AC pʰ i AB l ɔ AC d
უკმეხად	u AC kʼ m ɛ AB x ɑ AB d
უკმეხი	u AC kʼ m ɛ AB x i AB
უკმეხობა	u AC kʼ m ɛ AB x ɔ AC b ɑ AB
უკნიდან	u AC kʼ n i AB d ɑ AB n
უკომპრომისო	u AC kʼ ɔ AC m pʼ r ɔ AC m i AB s ɔ AC
უკრავს	u AC kʼ r ɑ AB v s
უკრაინა	u AC kʼ r ɑ AB i AB n ɑ AB
უკრაინელი	u AC kʼ r ɑ AB i AB n ɛ AB l i AB
უკრაინული	u AC kʼ r ɑ AB i AB n u AC l i AB
უკრიტიკო	u AC kʼ r i AB tʼ i AB kʼ ɔ AC
უკრიტიკოდ	u AC kʼ r i AB tʼ i AB kʼ ɔ AC d
უკუდებული	u AC kʼ u AC d ɛ AB b u AC l i AB
უკუდო	u AC kʼ u AC d ɔ AC
უკუკავშირი	u AC kʼ u AC kʼ ɑ AB v ʃ i AB r i AB
უკულტურო	u AC kʼ u AC l tʼ u AC r ɔ AC
უკუმოძრაობა	u AC kʼ u AC m ɔ AC d z r ɑ AB ɔ AC b ɑ AB
უკურნებლად	u AC kʼ u AC r n ɛ AB b l ɑ AB d
უკუქმედება	u AC kʼ u AC kʰ m ɛ AB d ɛ AB b ɑ AB
უკუქცევა	u AC kʼ u AC kʰ t s ɛ AB v ɑ AB
უკუქცევითი	u AC kʼ u AC kʰ t s ɛ AB v i AB tʰ i AB
უკუღმა	u AC kʼ u AC ɣ m ɑ AB
უკუცემა	u AC kʼ u AC t s ɛ AB m ɑ AB
ულაზათო	u AC l ɑ AB z ɑ AB tʰ ɔ AC
ულაზათობა	u AC l ɑ AB z ɑ AB tʰ ɔ AC b ɑ AB
ულაზათოდ	u AC l ɑ AB z ɑ AB tʰ ɔ AC d
ულამაზესი	u AC l ɑ AB m ɑ AB z ɛ AB s i AB
ულამაზო	u AC l ɑ AB m ɑ AB z ɔ AC
ულაყი	u AC l ɑ AB qʼ i AB
ულვაშებიანი	u AC l v ɑ AB ʃ ɛ AB b i AB ɑ AB n i AB
ულვაში	u AC l v ɑ AB ʃ i AB
ულმობელი	u AC l m ɔ AC b ɛ AB l i AB
ულმობლად	u AC l m ɔ AC b l ɑ AB d
ულმობლობა	u AC l m ɔ AC b l ɔ AC b ɑ AB
ულოგიკობა	u AC l ɔ AC ɡ i AB kʼ ɔ AC b ɑ AB
ულტიმატუმი	u AC l tʼ i AB m ɑ AB tʼ u AC m i AB
ულტრაბგერითი	u AC l tʼ r ɑ AB b ɡ ɛ AB r i AB tʰ i AB
ულტრათანამედროვე	u AC l tʼ r ɑ AB tʰ ɑ AB n ɑ AB m ɛ AB d r ɔ AC v ɛ AB
ულტრამარინი	u AC l tʼ r ɑ AB m ɑ AB r i AB n i AB
ულუფა	u AC l u AC pʰ ɑ AB
უმაგალითო	u AC m ɑ AB ɡ ɑ AB l i AB tʰ ɔ AC
უმაგრესი	u AC m ɑ AB ɡ r ɛ AB s i AB
უმადურად	u AC m ɑ AB d u AC r ɑ AB d
უმადური	u AC m ɑ AB d u AC r i AB
უმადურობა	u AC m ɑ AB d u AC r ɔ AC b ɑ AB
უმავთულო	u AC m ɑ AB v tʰ u AC l ɔ AC
უმალესად	u AC m ɑ AB l ɛ AB s ɑ AB d
უმამო	u AC m ɑ AB m ɔ AC
უმანკო	u AC m ɑ AB n kʼ ɔ AC
უმანკოდ	u AC m ɑ AB n kʼ ɔ AC d
უმანკოება	u AC m ɑ AB n kʼ ɔ AC ɛ AB b ɑ AB
უმარილო	u AC m ɑ AB r i AB l ɔ AC
უმარტივესი	u AC m ɑ AB r tʼ i AB v ɛ AB s i AB
უმაღლესად	u AC m ɑ AB ɣ l ɛ AB s ɑ AB d
უმაღლესი	u AC m ɑ AB ɣ l ɛ AB s i AB
უმახვილო	u AC m ɑ AB x v i AB l ɔ AC
უმდაბლესი	u AC m d ɑ AB b l ɛ AB s i AB
უმდიდრესი	u AC m d i AB d r ɛ AB s i AB
უმეგობრო	u AC m ɛ AB ɡ ɔ AC b r ɔ AC
უმეგობრობა	u AC m ɛ AB ɡ ɔ AC b r ɔ AC b ɑ AB
უმზეო	u AC m z ɛ AB ɔ AC
უმზერს	u AC m z ɛ AB r s
უმთავრესად	u AC m tʰ ɑ AB v r ɛ AB s ɑ AB d
უმთვარო	u AC m tʰ v ɑ AB r ɔ AC
უმი	u AC m i AB
უმიზეზო	u AC m i AB z ɛ AB z ɔ AC
უმიზნო	u AC m i AB z n ɔ AC
უმიზნოდ	u AC m i AB z n ɔ AC d
უმიწო	u AC m i AB t sʼ ɔ AC
უმლაუტი	u AC m l ɑ AB u AC tʼ i AB
უმნიშვნელო	u AC m n i AB ʃ v n ɛ AB l ɔ AC
უმნიშვნელოდ	u AC m n i AB ʃ v n ɛ AB l ɔ AC d
უმოქმედო	u AC m ɔ AC kʰ m ɛ AB d ɔ AC
უმოქმედობა	u AC m ɔ AC kʰ m ɛ AB d ɔ AC b ɑ AB
უმოძრაო	u AC m ɔ AC d z r ɑ AB ɔ AC
უმოძრაოდ	u AC m ɔ AC d z r ɑ AB ɔ AC d
უმრავლესობა	u AC m r ɑ AB v l ɛ AB s ɔ AC b ɑ AB
უმტკივნეულო	u AC m tʼ kʼ i AB v n ɛ AB u AC l ɔ AC
უმტკივნეულოდ	u AC m tʼ kʼ i AB v n ɛ AB u AC l ɔ AC d
უმუშევრობა	u AC m u AC ʃ ɛ AB v r ɔ AC b ɑ AB
უმღერის	u AC m ɣ ɛ AB r i AB s
უმცირესი	u AC m t s i AB r ɛ AB s i AB
უმცირესობა	u AC m t s i AB r ɛ AB s ɔ AC b ɑ AB
უმცროსი	u AC m t s r ɔ AC s i AB
უმძიმესი	u AC m d z i AB m ɛ AB s i AB
უმწეო	u AC m t sʼ ɛ AB ɔ AC
უმწეობა	u AC m t sʼ ɛ AB ɔ AC b ɑ AB
უმწეოდ	u AC m t sʼ ɛ AB ɔ AC d
უმწიკვლო	u AC m t sʼ i AB kʼ v l ɔ AC
უმწიკვლოდ	u AC m t sʼ i AB kʼ v l ɔ AC d
უმჭიდროესი	u AC m t ʃʼ i AB d r ɔ AC ɛ AB s i AB
უმხედრო	u AC m x ɛ AB d r ɔ AC
უნაბი	u AC n ɑ AB b i AB
უნაგირა	u AC n ɑ AB ɡ i AB r ɑ AB
უნაზესი	u AC n ɑ AB z ɛ AB s i AB
უნაკლო	u AC n ɑ AB kʼ l ɔ AC
უნაკლოდ	u AC n ɑ AB kʼ l ɔ AC d
უნამუსო	u AC n ɑ AB m u AC s ɔ AC
უნამუსობა	u AC n ɑ AB m u AC s ɔ AC b ɑ AB
უნამუსოდ	u AC n ɑ AB m u AC s ɔ AC d
უნარი	u AC n ɑ AB r i AB
უნარიანად	u AC n ɑ AB r i AB ɑ AB n ɑ AB d
უნარიანი	u AC n ɑ AB r i AB ɑ AB n i AB
უნარიანობა	u AC n ɑ AB r i AB ɑ AB n ɔ AC b ɑ AB
უნაყოფო	u AC n ɑ AB qʼ ɔ AC pʰ ɔ AC
უნაყოფობა	u AC n ɑ AB qʼ ɔ AC pʰ ɔ AC b ɑ AB
უნაყოფოდ	u AC n ɑ AB qʼ ɔ AC pʰ ɔ AC d
უნგრეთი	u AC n ɡ r ɛ AB tʰ i AB
უნგრული	u AC n ɡ r u AC l i AB
უნდა	u AC n d ɑ AB
უნდობელი	u AC n d ɔ AC b ɛ AB l i AB
უნდობლად	u AC n d ɔ AC b l ɑ AB d
უნდობლობა	u AC n d ɔ AC b l ɔ AC b ɑ AB
უნებართვო	u AC n ɛ AB b ɑ AB r tʰ v ɔ AC
უნებლიე	u AC n ɛ AB b l i AB ɛ AB
უნებლიეთ	u AC n ɛ AB b l i AB ɛ AB tʰ
უნელესად	u AC n ɛ AB l ɛ AB s ɑ AB d
უნივერსალურად	u AC n i AB v ɛ AB r s ɑ AB l u AC r ɑ AB d
უნივერსალური	u AC n i AB v ɛ AB r s ɑ AB l u AC r i AB
უნივერსიტეტად	u AC n i AB v ɛ AB r s i AB tʼ ɛ AB tʼ ɑ AB d
უნივერსიტეტი	u AC n i AB v ɛ AB r s i AB tʼ ɛ AB tʼ i AB
უნივერსიტეტით	u AC n i AB v ɛ AB r s i AB tʼ ɛ AB tʼ i AB tʰ
უნივერსიტეტის	u AC n i AB v ɛ AB r s i AB tʼ ɛ AB tʼ i AB s
უნივერსიტეტმა	u AC n i AB v ɛ AB r s i AB tʼ ɛ AB tʼ m ɑ AB
უნივერსიტეტს	u AC n i AB v ɛ AB r s i AB tʼ ɛ AB tʼ s
უნიკალურად	u AC n i AB kʼ ɑ AB l u AC r ɑ AB d
უნიკალური	u AC n i AB kʼ ɑ AB l u AC r i AB
უნიკალურობა	u AC n i AB kʼ ɑ AB l u AC r ɔ AC b ɑ AB
უნისონი	u AC n i AB s ɔ AC n i AB
უნიტაზი	u AC n i AB tʼ ɑ AB z i AB
უნიტარული	u AC n i AB tʼ ɑ AB r u AC l i AB
უნიფიკაცია	u AC n i AB pʰ i AB kʼ ɑ AB t s i AB ɑ AB
უნუგეშო	u AC n u AC ɡ ɛ AB ʃ ɔ AC
უნუგეშოდ	u AC n u AC ɡ ɛ AB ʃ ɔ AC d
უნუნოქტიუმი	u AC n u AC n ɔ AC kʰ tʼ i AB u AC m i AB
უნუნპენტიუმი	u AC n u AC n pʼ ɛ AB n tʼ i AB u AC m i AB
უნუნსეპტიუმი	u AC n u AC n s ɛ AB pʼ tʼ i AB u AC m i AB
უნუნტრიუმი	u AC n u AC n tʼ r i AB u AC m i AB
უპასუხა	u AC pʼ ɑ AB s u AC x ɑ AB
