ँ	ə̃
लाबु	l̪ äː b uː
लाभ	l̪ äː bʱ
लाभकारक	l̪ äː bʱ k äː ɾ ə k
लाभदायक	l̪ äː bʱ d̪ äː j ə k
लायक	l̪ äː j ə q
लायक़	l̪ äː j ə q
लार	l̪ äː ɾ
लाल	l̪ äː l̪
लालच	l̪ äː l̪ ə t ʃ
लालची	l̪ äː l̪ t ʃ iː
लालटेन	l̪ äː l̪ ʈ ẽː n̪
लालफ़ीता	l̪ äː l̪ pʰ iː t̪ äː
लालफ़ीताशाही	l̪ äː l̪ pʰ iː t̪ äː ʃ äː ɦ iː
लालसा	l̪ äː l̪ s̪ äː
लालायित	l̪ äː l̪ äː j ɪ t̪
लालित्य	l̪ äː l̪ ɪ t̪ j
लिंग	l̪ ɪ̃ ŋ ɡ
लिंगानुपात	l̪ ɪ̃ ŋ ɡ äː n̪ ʊ p äː t̪
लिंगायत	l̪ ɪ̃ ŋ ɡ äː j ə t̪
लिए	l̪ ɪ eː
लिख	l̪ ɪ kʰ
लिखता	l̪ ɪ kʰ t̪ äː
लिखती	l̪ ɪ kʰ t̪ iː
लिखते	l̪ ɪ kʰ t̪ eː
लिखना	l̪ ɪ kʰ n̪ äː
लिखने	l̪ ɪ kʰ n̪ eː
लिखनेवाला	l̪ ɪ kʰ n̪ eː ʋ äː l̪ äː
लिखनेवाली	l̪ ɪ kʰ n̪ eː ʋ äː l̪ iː
लिखा	l̪ ɪ kʰ äː
लिखाई	l̪ ɪ kʰ äː iː
लिखावट	l̪ ɪ kʰ äː ʋ ə ʈ
लिखिए	l̪ ɪ kʰ ɪ eː
लिखित	l̪ ɪ kʰ ɪ t̪
लिखी	l̪ ɪ kʰ iː
लिखे	l̪ ɪ kʰ eː
लिखो	l̪ ɪ kʰ oː
लिख्टेंश्टाइन	l̪ ɪ kʰ ʈ ẽː n̪ ʃ ʈ äː ɪ̃ n̪
लिथुआनिया	l̪ ɪ t̪ʰ ʊ äː n̪ i j äː
लिपटना	l̪ ɪ p ə ʈ n̪ äː
लिपि	l̪ ɪ p iː
लिप्यंतरण	l̪ ɪ p j ə̃ n̪ t̪ ə ɾ ə̃ ɳ
लिफ़ाफ़ा	l̪ ɪ pʰ äː pʰ äː
लिबास	l̪ ɪ b äː s̪
लिमिटेड	l̪ ɪ m ɪ ʈ eː ɖ
लिवरपूल	l̪ ɪ ʋ ə ɾ p uː l̪
लिसान	l̪ ɪ s̪ ä̃ː n̪
लिस्ट	l̪ ɪ s̪ ʈ
लिहाज़ा	l̪ ɪ ɦ äː z äː
लीची	l̪ iː t ʃ iː
लीडरी	l̪ iː ɖ ə ɾ iː
लीड्स	l̪ iː ɖ s̪
लीद	l̪ iː d̪
लीबिया	l̪ iː b i j äː
लीलना	l̪ iː l̪ n̪ äː
लीला	l̪ iː l̪ äː
लुंगी	l̪ ʊ̃ ŋ ɡ iː
लुंबिनी	l̪ ʊ̃ m b ɪ n̪ iː
लुग़त	l̪ ʊ ɣ ə t̪
लुग़ात	l̪ ʊ ɣ äː t̪
लुगाई	l̪ ʊ ɡ äː iː
लुचपन	l̪ ʊ t ʃ p ə̃ n̪
लुच्चा	l̪ ʊ t̚ t ʃ äː
लुटेरा	l̪ ʊ ʈ eː ɾ äː
लुत्फ़	l̪ ʊ t̪ pʰ
लुधियाना	l̪ ʊ d̪ʱ i j äː n̪ äː
लुप्त	l̪ ʊ p t̪
लुभाना	l̪ ʊ bʱ äː n̪ äː
लूक़ा	l̪ uː q äː
लेकर	l̪ eː k ə ɾ
लेकिन	l̪ eː k ɪ̃ n̪
लेख	l̪ eː kʰ
लेखक	l̪ eː kʰ ə k
लेखन	l̪ eː kʰ ə̃ n̪
लेखनी	l̪ eː kʰ ə n̪ iː
लेखा	l̪ eː kʰ äː
लेखाकार	l̪ eː kʰ äː k äː ɾ
लेखाचित्र	l̪ eː kʰ äː t ʃ ɪ t̪ ɾ
लेखिका	l̪ eː kʰ ɪ k äː
लेटना	l̪ eː ʈ n̪ äː
लेना	l̪ eː n̪ äː
लेनिनवाद	l̪ eː n̪ ɪ̃ n̪ w äː d̪
लेबनान	l̪ eː b n̪ ä̃ː n̪
लेबनॉन	l̪ eː b n̪ ɔ̃ n̪
लेस्टर	l̪ eː s̪ ʈ ə ɾ
लैंगिक	l̪ ɛ̃ː ŋ ɡ ɪ k
लैंडर	l̪ ɛ̃ː ɳ ɖ ə ɾ
लैब	l̪ ɛː b
लॉकडाउन	l̪ ɔ k ɖ äː ʊ̃ n̪
लोक	l̪ oː k
लोकगीत	l̪ oː k ɡ iː t̪
लोकतांत्रिक	l̪ oː k t̪ ä̃ː n̪ t̪ ɾ ɪ k
लोकनायक	l̪ oː k n̪ äː j ə k
लोकनृत्य	l̪ oː k n̪ ɾ ɪ t̪ j
लोकप्रिय	l̪ oː k ə p ɾ ɪ j
लोकप्रियता	l̪ oː k ə p ɾ ɪ j t̪ äː
लोकसभा	l̪ oː k ə s̪ bʱ äː
लोकसाहित्य	l̪ oː k s̪ äː ɦ ɪ t̪ j
लोकाचार	l̪ oː k äː t ʃ äː ɾ
लोकाट	l̪ oː k äː ʈ
लोकोक्ति	l̪ oː k oː k t̪ iː
लोग	l̪ oː ɡ
लोगो	l̪ oː ɡ oː
लोगों	l̪ oː ɡ õː
लोचा	l̪ oː t ʃ äː
लोजबान	l̪ oː d ʒ b ä̃ː n̪
लोटपोट	l̪ oː ʈ p oː ʈ
लोटा	l̪ oː ʈ äː
लोथ	l̪ oː t̪ʰ
लोन	l̪ õː n̪
लोबिया	l̪ oː b i j äː
लोभ	l̪ oː bʱ
लोमड़ी	l̪ õː m ɽ iː
लोल	l̪ oː l̪
लोहड़ी	l̪ oː ɦ ɽ iː
लोहिया	l̪ oː ɦ i j äː
लोहू	l̪ oː ɦ uː
लौ	l̪ ɔː
लौंग	l̪ ɔ̃ː ŋ ɡ
लौंडा	l̪ ɔ̃ː ɳ ɖ äː
लौआ	l̪ ɔː äː
लौकी	l̪ ɔː k iː
लौड़ा	l̪ ɔː ɽ äː
लौहपथगामिनी	l̪ ɔː ɦ p ə t̪ʰ ɡ äː m ɪ n̪ iː
लौहपथगामिनीसूचकदर्शकहरितताम्रलौहपट्टिका	l̪ ɔː ɦ p ə t̪ʰ ɡ äː m ɪ n̪ iː s̪ uː t ʃ ə k d̪ ə ɾ ʃ ə kʰ ə ɾ ɪ t̪̚ t̪ ä̃ː m ɾ ə l̪ ɔː ɦ p ə ʈ̚ ʈ ɪ k äː
ल्हासा	l̪ ɦ äː s̪ äː
वंगन	ʋ ə̃ ŋ ɡ ə̃ n̪
वंचित	ʋ ə̃ n̪ t ʃ ɪ t̪
वंटन	ʋ ə̃ ɳ ʈ ə̃ n̪
वंदना	ʋ ə̃ n̪ d̪ ə n̪ äː
वंश	ʋ ə̃ n̪ ʃ
वंशज	ʋ ə̃ n̪ ʃ ə d ʒ
वंशवाद	ʋ ə̃ n̪ ʃ ʋ äː d̪
वंशावली	ʋ ə̃ n̪ ʃ äː ʋ ə l̪ iː
वक़्फ़ा	ʋ ə q f äː
वकालत	ʋ ə k äː l̪ ə t̪
वक्ता	ʋ ə k t̪ äː
वक्ष	ʋ ə k ʃ
वचन	ʋ ə t ʃ ə̃ n̪
वज़न	ʋ ə z ə̃ n̪
वड़ा	ʋ ə ɽ äː
वड़ोदरा	ʋ ə ɽ oː d̪ ɾ äː
वतन	ʋ ə t̪ ə̃ n̪
वतनपरस्त	ʋ ə t̪ ə̃ n̪ p ə ɾ ə s̪ t̪
वन	ʋ ə̃ n̪
वनों	ʋ ə n̪ õː
वन्य	ʋ ə̃ n̪ j
वफ़ा	ʋ ə pʰ äː
वफ़ादार	ʋ ə pʰ äː d̪ äː ɾ
वयस्क	ʋ ə j ə s̪ k
वरण	ʋ ə ɾ ə̃ ɳ
वरियाली	ʋ ə ɾ i j äː l̪ iː
वरीयता	ʋ ə ɾ iː j t̪ äː
वरुण	ʋ ə ɾ ʊ̃ ɳ
वर्गहीन	ʋ ə ɾ ɡ ɦ ĩː n̪
वर्गीकरण	ʋ ə ɾ ɡ iː k ə ɾ ə̃ ɳ
वर्चुअल	ʋ ə ɾ t ʃ ʊ ə l̪
वर्णमाला	ʋ ə ɾ ɳ m äː l̪ äː
वर्णविपर्यास	ʋ ə ɾ ɳ ə ʋ ɪ p ə ɾ j äː s̪
वर्णहीन	ʋ ə ɾ ɳ ɦ ĩː n̪
वर्तमान	ʋ ə ɾ t̪ ə m ä̃ː n̪
वर्तुल	ʋ ə ɾ t̪ ʊ l̪
वर्दीधारी	ʋ ə ɾ d̪ iː d̪ʱ äː ɾ iː
वर्मसरट	ʋ ə ɾ m s̪ ə ɾ ə ʈ
वर्मा	ʋ ə ɾ m äː
वर्ष	ʋ ə ɾ ʃ
वर्षा	ʋ ə ɾ ʃ äː
वली	ʋ ə l̪ iː
वलीअहद	ʋ ə l̪ iː ɛ ɦ ɛ d̪
वसंत	ʋ ə s̪ ə̃ n̪ t̪
वसन्त	ʋ ə s̪ ə̃ n̪ t̪
वसीयत	ʋ ə s̪ iː j ə t̪
वसूल	ʋ ə s̪ uː l̪
वस्तु	ʋ ə s̪ t̪ uː
वस्त्र	ʋ ə s̪ t̪ ɾ
वहम	ʋ ɛ ɦ ɛ̃ m
वहमी	ʋ ɛ ɦ m iː
वहशत	ʋ ɛ ɦ ʃ ə t̪
वहशी	ʋ ɛ ɦ ʃ iː
वा	ʋ äː
वाइटफ़ील्ड	ʋ äː ɪ ʈ pʰ iː l̪ ɖ
वाइन	ʋ äː ɪ̃ n̪
वाक़ई	ʋ äː q ə iː
वाकिफ	ʋ äː q ɪ f
वाक्य	ʋ äː k j
वाचिक	ʋ äː t ʃ ɪ k
वाजिब	ʋ äː d ʒ ɪ b
वाटर	ʋ äː ʈ ə ɾ
वाटिका	ʋ äː ʈ ɪ k äː
वाणिज्य	ʋ äː ɳ ɪ d ʒ j
वाणी	ʋ äː ɳ iː
वाताद	ʋ äː t̪ äː d̪
वातानुकूलक	ʋ äː t̪ äː n̪ ʊ k uː l̪ ə k
वातानुकूलन	ʋ äː t̪ äː n̪ ʊ k uː l̪ ə̃ n̪
वातानुकूलित	ʋ äː t̪ äː n̪ ʊ k uː l̪ ɪ t̪
वातावरण	ʋ äː t̪ äː ʋ ə ɾ ə̃ ɳ
वादसभा	ʋ äː d̪ s̪ ə bʱ äː
वादा	ʋ äː d̪ äː
वाद्य	ʋ äː d̪ j
वाद्ययंत्र	ʋ äː d̪ j ə j ə̃ n̪ t̪ ɾ
वानर	ʋ äː n̪ ə ɾ
वापस	ʋ äː p ə s̪
वापसी	ʋ äː p s̪ iː
वापिस	ʋ äː p ɪ s̪
वामन	ʋ äː m ə̃ n̪
वामपंथी	ʋ ä̃ː m p ə̃ n̪ t̪ʰ iː
वायदा	ʋ äː j d̪ äː
वायु	ʋ äː j uː
वायुजनित	ʋ äː j ʊ d ʒ ə n̪ ɪ t̪
वायुमंडलीय	ʋ äː j ʊ m ə̃ ɳ ɖ l̪ iː j
वायुसेना	ʋ äː j uː s̪ eː n̪ äː
वार	ʋ äː ɾ
वारक	ʋ äː ɾ ə k
वारदात	ʋ äː ɾ d̪ äː t̪
वारिस	ʋ äː ɾ ɪ s̪
वार्ता	ʋ äː ɾ t̪ äː
वार्तालाप	ʋ äː ɾ t̪ äː l̪ äː p
वार्षिक	ʋ äː ɾ ʃ ɪ k
वालिदैन	ʋ äː l̪ ɪ d̪ ɛ̃ː n̪
वाली	ʋ äː l̪ iː
वाष्प	ʋ äː ʃ p
वाष्पचालित	ʋ äː ʃ p t ʃ äː l̪ ɪ t̪
वाष्पन	ʋ äː ʃ p ə̃ n̪
वाष्पीकरण	ʋ äː ʃ p iː k ə ɾ ə̃ ɳ
वाष्पोत्सर्जन	ʋ äː ʃ p oː t̪ s̪ ə ɾ d ʒ ə̃ n̪
वासना	ʋ äː s̪ n̪ äː
वासी	ʋ äː s̪ iː
वासुदेव	ʋ äː s̪ ʊ d̪ eː ʋ
वास्कट	ʋ äː s̪ k ə ʈ
वास्तव	ʋ äː s̪ t̪ ə ʋ
वास्तविक	ʋ äː s̪ t̪ ə ʋ ɪ k
वास्तविकता	ʋ äː s̪ t̪ ə ʋ ɪ k t̪ äː
वास्तु	ʋ äː s̪ t̪ uː
वास्तुकला	ʋ äː s̪ t̪ ʊ k ə l̪ äː
वाहक	ʋ äː ɦ ə k
वाहन	ʋ äː ɦ ə̃ n̪
वाहिका	ʋ äː ɦ ɪ k äː
विंडसर	ʋ ɪ̃ ɳ ɖ s̪ ə ɾ
विंदालू	ʋ ɪ̃ n̪ d̪ äː l̪ uː
विकसित	ʋ ɪ k s̪ ɪ t̪
विकार	ʋ ɪ k äː ɾ
विकास	ʋ ɪ k äː s̪
विकासशील	ʋ ɪ k äː s̪ ʃ iː l̪
विकिपीडिया	ʋ ɪ k ɪ p iː ɖ i j äː
विकिमीडिया	ʋ ɪ k ɪ m iː ɖ i j äː
विकिरण	ʋ ɪ k ɪ ɾ ə̃ ɳ
विकिरणशील	ʋ ɪ k ɪ ɾ ə̃ ɳ ʃ iː l̪
विकिरणशीलता	ʋ ɪ k ɪ ɾ ə̃ ɳ ʃ iː l̪ t̪ äː
विक्रम	ʋ ɪ k ɾ ə̃ m
विक्रेता	ʋ ɪ k ɾ eː t̪ äː
विक्षनरी	ʋ ɪ k ʃ ə̃ n̪ ɾ iː
विखंडन	ʋ ɪ kʰ ə̃ ɳ ɖ ə̃ n̪
विख्यात	ʋ ɪ kʰ j äː t̪
विघ्न	ʋ ɪ ɡʱ n̪
विचार	ʋ ɪ t ʃ äː ɾ
विचारधारा	ʋ ɪ t ʃ äː ɾ d̪ʱ äː ɾ äː
विचारपूर्वक	ʋ ɪ t ʃ äː ɾ p uː ɾ ʋ ə k
विजयनगरम	ʋ ɪ d ʒ j ə n̪ ə ɡ ɾ ə̃ m
विजयादशमी	ʋ ɪ d ʒ j äː d̪ ə ʃ m iː
विज़ारत	ʋ ɪ z äː ɾ ə t̪
विजेता	ʋ ɪ d ʒ eː t̪ äː
विज्ञान	ʋ ɪ ɡ j ä̃ː n̪
विज्ञापन	ʋ ɪ ɡ j äː p ə̃ n̪
विज्ञापित	ʋ ɪ ɡ j äː p ɪ t̪
वितरण	ʋ ɪ t̪ ɾ ə̃ ɳ
वित्तीय	ʋ ɪ t̪̚ t̪ iː j
विदा	ʋ ɪ d̪ äː
विद्या	ʋ ɪ d̪ j äː
विद्यार्थिनी	ʋ ɪ d̪ j äː ɾ t̪ʰ ɪ n̪ iː
विद्यार्थी	ʋ ɪ d̪ j äː ɾ t̪ʰ iː
विद्यालय	ʋ ɪ d̪ j äː l̪ ə j
विद्यालयी	ʋ ɪ d̪ j äː l̪ ə j iː
विद्युतदर्शी	ʋ ɪ d̪ j ʊ t̪̚ d̪ ə ɾ ʃ iː
विद्युन्मय	ʋ ɪ d̪ j ʊ̃ n̪ m ə j
विद्वान	ʋ ɪ d̪ w ä̃ː n̪
विद्वान्	ʋ ɪ d̪ w ä̃ː n̪
विधवा	ʋ ɪ d̪ʱ ʋ äː
विधा	ʋ ɪ d̪ʱ äː
विधानसभा	ʋ ɪ d̪ʱ ä̃ː n̪ s̪ ə bʱ äː
विधायक	ʋ ɪ d̪ʱ äː j ə k
विध्वंस	ʋ ɪ d̪ʱ ʋ ə̃ n̪ s̪
विनती	ʋ ɪ̃ n̪ t̪ iː
विनम्रता	ʋ ɪ n̪ ə̃ m ɾ ə t̪ äː
विनय	ʋ ɪ n̪ ə j
विना	ʋ ɪ n̪ äː
विनाशक	ʋ ɪ n̪ äː ʃ ə k
विनाशकारी	ʋ ɪ n̪ äː ʃ k äː ɾ iː
विनिधान	ʋ ɪ n̪ ɪ d̪ʱ ä̃ː n̪
विनिपेग	ʋ ɪ n̪ ɪ p eː ɡ
विनिमय	ʋ ɪ n̪ ɪ m ə j
विनियम	ʋ ɪ n̪ i j ə̃ m
विनिर्माण	ʋ ɪ n̪ ɪ ɾ m ä̃ː ɳ
विनिवेश	ʋ ɪ n̪ ɪ ʋ eː ʃ
विनीत	ʋ ɪ n̪ iː t̪
विनोद	ʋ ɪ n̪ oː d̪
विपक्षी	ʋ ɪ p ə k ʃ iː
विपन्नता	ʋ ɪ p ə̃ n̪ n̪ t̪ äː
विपुल	ʋ ɪ p ʊ l̪
विफलता	ʋ ɪ pʰ ə l̪ t̪ äː
विभाजन	ʋ ɪ bʱ äː d ʒ ə̃ n̪
विभाजित	ʋ ɪ bʱ äː d ʒ ɪ t̪
विभिन्न	ʋ ɪ bʱ ɪ̃ n̪ n̪
विभीषिका	ʋ ɪ bʱ iː ʃ ɪ k äː
विमा	ʋ ɪ m äː
विमान	ʋ ɪ m ä̃ː n̪
विमानतल	ʋ ɪ m ä̃ː n̪ t̪ ə l̪
विमाननगर	ʋ ɪ m ä̃ː n̪ n̪ ə ɡ ə ɾ
वियतनाम	ʋ i j ə t̪̚ n̪ ä̃ː m
विराजमान	ʋ ɪ ɾ äː d ʒ m ä̃ː n̪
विराटनगर	ʋ ɪ ɾ äː ʈ n̪ ə ɡ ə ɾ
विरोधाभास	ʋ ɪ ɾ oː d̪ʱ äː bʱ äː s̪
विलंब	ʋ ɪ l̪ ə̃ m b
विलक्षण	ʋ ɪ l̪ ə k ʃ ə̃ ɳ
विलायती	ʋ ɪ l̪ äː j ə t̪ iː
विलास	ʋ ɪ l̪ äː s̪
विलासिता	ʋ ɪ l̪ äː s̪ ɪ t̪ äː
विलीन	ʋ ɪ l̪ ĩː n̪
विवाद	ʋ ɪ ʋ äː d̪
विवादित	ʋ ɪ ʋ äː d̪ ɪ t̪
विवाह	ʋ ɪ ʋ äː ɦ
विविधता	ʋ ɪ ʋ ɪ d̪ʱ t̪ äː
विवेचन	ʋ ɪ ʋ eː t ʃ ə̃ n̪
विशाखपट्नम	ʋ ɪ ʃ äː kʰ p ə ʈ n̪ ə̃ m
विशेषकर	ʋ ɪ ʃ eː ʃ k ə ɾ
विशेषज्ञ	ʋ ɪ ʃ eː ʃ ə ɡ j
विशेषण	ʋ ɪ ʃ eː ʃ ə̃ ɳ
विशेषता	ʋ ɪ ʃ eː ʃ t̪ äː
विश्रामालय	ʋ ɪ ʃ ɾ äː m äː l̪ ə j
विश्लेषक	ʋ ɪ ʃ l̪ eː ʃ ə k
विश्लेषण	ʋ ɪ ʃ l̪ eː ʃ ə̃ ɳ
विश्वकर्मा	ʋ ɪ ʃ ʋ ə k ə ɾ m äː
विश्वप्रसिद्ध	ʋ ɪ ʃ ʋ ə p ɾ ə s̪ ɪ d̪ d̪ʱ
विश्वभाषा	ʋ ɪ ʃ ʋ ə bʱ äː ʃ äː
विश्वमारी	ʋ ɪ ʃ ʋ ə m äː ɾ iː
विश्वविख्यात	ʋ ɪ ʃ ʋ ə ʋ ɪ kʰ j äː t̪
विश्वविद्यालय	ʋ ɪ ʃ ʋ ə ʋ ɪ d̪ j äː l̪ ə j
विश्वास	ʋ ɪ ʃ ʋ äː s̪
विश्वासघात	ʋ ɪ ʃ ʋ äː s̪ ɡʱ äː t̪
विश्वासनीय	ʋ ɪ ʃ ʋ äː s̪ n̪ iː j
विश्वासपात्र	ʋ ɪ ʃ ʋ äː s̪ p äː t̪ ɾ
विष	ʋ ɪ ʃ
विषकन्या	ʋ ɪ ʃ k ə̃ n̪ j äː
विषम	ʋ ɪ ʃ ə̃ m
विषय	ʋ ɪ ʃ ə j
विषयवस्तु	ʋ ɪ ʃ ə j ʋ ə s̪ t̪ uː
विषयासक्त	ʋ ɪ ʃ ə j äː s̪ ə k t̪
विषाणु	ʋ ɪ ʃ äː ɳ uː
विषुव	ʋ ɪ ʃ ʊ ʋ
विष्णु	ʋ ɪ ʃ ɳ uː
विसर्जन	ʋ ɪ s̪ ə ɾ d ʒ ə̃ n̪
विसर्जित	ʋ ɪ s̪ ə ɾ d ʒ ɪ t̪
विस्तार	ʋ ɪ s̪ t̪ äː ɾ
विस्थापन	ʋ ɪ s̪ t̪ʰ äː p ə̃ n̪
विस्फोट	ʋ ɪ s̪ pʰ oː ʈ
विस्फोटक	ʋ ɪ s̪ pʰ oː ʈ ə k
विस्मय	ʋ ɪ s̪ m ə j
विहीन	ʋ ɪ ɦ ĩː n̪
वीज़ा	ʋ iː z äː
वीडियो	ʋ iː ɖ i j oː
वीरता	ʋ iː ɾ t̪ äː
वीरान	ʋ iː ɾ ä̃ː n̪
वृक्ष	ʋ ɾ ɪ k ʃ
वृत्तांत	ʋ ɾ ɪ t̪̚ t̪ ä̃ː n̪ t̪
वृत्तान्त	ʋ ɾ ɪ t̪̚ t̪ ä̃ː n̪ t̪
वृद्धावस्था	ʋ ɾ ɪ d̪̚ d̪ʱ äː ʋ ə s̪ t̪ʰ äː
वृद्धाश्रम	ʋ ɾ ɪ d̪̚ d̪ʱ äː ʃ ɾ ə̃ m
वृद्धि	ʋ ɾ ɪ d̪̚ d̪ʱ iː
वेंटिलेटर	ʋ ẽː ɳ ʈ ɪ l̪ eː ʈ ə ɾ
वेटिकन	ʋ eː ʈ ɪ k ə̃ n̪
वेदना	ʋ eː d̪̚ n̪ äː
वेदांत	ʋ eː d̪ ä̃ː n̪ t̪
वेनेज़ुएला	ʋ eː n̪ eː z ʊ eː l̪ äː
वेबकॅम	ʋ eː b k æ̃ m
वेबसाइट	ʋ eː b s̪ äː ɪ ʈ
वेलिंग्टन	ʋ eː l̪ ɪ̃ ŋ ɡ ʈ ə̃ n̪
वेल्ला	ʋ eː l̪ l̪ äː
वेश्या	ʋ eː ʃ j äː
वेश्यावृत्ति	ʋ eː ʃ j äː ʋ ɾ ɪ t̪̚ t̪ iː
वैंकूवर	ʋ ɛ̃ː ŋ k uː ʋ ə ɾ
वैकुंठ	ʋ ɛː k ʊ̃ ɳ ʈʰ
वैकुण्ठ	ʋ ɛː k ʊ̃ ɳ ʈʰ
वैगन	ʋ ɛː ɡ ə̃ n̪
वैचारिक	ʋ ɛː t ʃ äː ɾ ɪ k
वैज्ञानिक	ʋ ɛː ɡ j äː n̪ ɪ k
वैतनिक	ʋ ɛː t̪ ə n̪ ɪ k
वैराग्य	ʋ ɛː ɾ äː ɡ j
वैवाहिक	ʋ ɛː ʋ äː ɦ ɪ k
वैशाख	ʋ ɛː ʃ äː kʰ
वॉशिंगटन	ʋ ɔ ʃ ɪ̃ ŋ ɡ ʈ ə̃ n̪
वोल्गा	ʋ oː l̪ ɡ äː
व्यंग	ʋ j ə̃ ŋ ɡ
व्यंग्य	ʋ j ə̃ ŋ ɡ j
व्यंजक	ʋ j ə̃ n̪ d ʒ ə k
व्यंजन	ʋ j ə̃ n̪ d ʒ ə̃ n̪
व्यंजनाक्षर	ʋ j ə̃ n̪ d ʒ ə n̪ äː k ʃ ə ɾ
व्यक्तित्व	ʋ j ə k t̪ ɪ t̪ w
व्यजन	ʋ j ə d ʒ ə̃ n̪
व्यतिक्रम	ʋ j ə t̪ ɪ k ɾ ə̃ m
व्यथा	ʋ j ə t̪ʰ äː
व्यभिचार	ʋ j ə bʱ ɪ t ʃ äː ɾ
व्यवकलन	ʋ j ə ʋ k ə l̪ ə̃ n̪
व्यवसाय	ʋ j ə ʋ s̪ äː j
व्यवस्था	ʋ j ə ʋ ə s̪ t̪ʰ äː
व्यवहार	ʋ j ə ʋ ɦ äː ɾ
व्यष्टि	ʋ j ə ʃ ʈ iː
व्यसन	ʋ j ə s̪ ə̃ n̪
व्यस्त	ʋ j ə s̪ t̪
व्याकरण	ʋ j äː k ə ɾ ə̃ ɳ
व्याकुल	ʋ j äː k ʊ l̪
व्याख्या	ʋ j äː kʰ j äː
व्याख्याता	ʋ j äː kʰ j äː t̪ äː
व्याख्यान	ʋ j äː kʰ j ä̃ː n̪
व्याख्यानदाता	ʋ j äː kʰ j ä̃ː n̪ d̪ äː t̪ äː
व्याख्यायित	ʋ j äː kʰ j äː j ɪ t̪
व्याधि	ʋ j äː d̪ʱ iː
व्यापक	ʋ j äː p ə k
व्यापार	ʋ j äː p äː ɾ
व्यायाम	ʋ j äː j ä̃ː m
व्यावहारिक	ʋ j äː ʋ ɦ äː ɾ ɪ k
व्यास	ʋ j äː s̪
व्युत्क्रम	ʋ j ʊ t̪ k ɾ ə̃ m
व्युत्पत्ति	ʋ j ʊ t̪ p ə t̪̚ t̪ iː
व्युत्पन्न	ʋ j ʊ t̪ p ə̃ n̪ n̪
व्यूहरचना	ʋ j uː ɦ ɾ ə t ʃ n̪ äː
व्लादिमीर	ʋ l̪ äː d̪ ɪ m iː ɾ
व्लादिवोस्तोक	ʋ l̪ äː d̪ ɪ ʋ oː s̪ t̪ oː k
व्हेल	ʋ ɦ eː l̪
शंघाई	ʃ ə̃ ŋ ɡʱ äː iː
शंतनु	ʃ ə̃ n̪ t̪ ə n̪ uː
शकरकंद	ʃ ə k ə ɾ k ə̃ n̪ d̪
शक्की	ʃ ə k̚ k iː
शक्तिशाली	ʃ ə k t̪ ɪ ʃ äː l̪ iː
शक्तिहीन	ʃ ə k t̪ ɪ ɦ ĩː n̪
शक्ल	ʃ ə k l̪
शख़्स	ʃ ə x s̪
शख़्सियत	ʃ ə x s̪ i j ə t̪
शख्स	ʃ ə x s̪
शख्सियत	ʃ ə x s̪ i j ə t̪
शगुन	ʃ ə ɡ ʊ̃ n̪
शगूफ़ा	ʃ ə ɡ uː pʰ äː
शजरा	ʃ ə d ʒ ɾ äː
शतकवीर	ʃ ə t̪ ə k w iː ɾ
शतपाद	ʃ ə t̪ p äː d̪
शतरंज	ʃ ə t̪ ɾ ə̃ n̪ d ʒ
शताब्दी	ʃ ə t̪ äː b d̪ iː
शतावर	ʃ ə t̪ äː ʋ ə ɾ
शनि	ʃ ə n̪ iː
शनिवार	ʃ ə n̪ ɪ ʋ äː ɾ
शफ़ा	ʃ ə pʰ äː
शब्दसूची	ʃ ə b d̪ s̪ uː t ʃ iː
शब्दांश	ʃ ə b d̪ ä̃ː n̪ ʃ
शब्दाडंबर	ʃ ə b d̪ äː ɖ ə̃ m b ə ɾ
शब्दार्थ	ʃ ə b d̪ äː ɾ t̪ʰ
शब्दालंकार	ʃ ə b d̪ äː l̪ ə̃ ŋ k äː ɾ
शब्दावली	ʃ ə b d̪ äː ʋ l̪ iː
शमशीर	ʃ ə̃ m ʃ iː ɾ
शमशेर	ʃ ə̃ m ʃ eː ɾ
शमा	ʃ ə m äː
शयन	ʃ ə j ə̃ n̪
शयनकक्ष	ʃ ə j ə̃ n̪ k ə k ʃ
शयनागार	ʃ ə j n̪ äː ɡ äː ɾ
शरण	ʃ ə ɾ ə̃ ɳ
शरणागत	ʃ ə ɾ ɳ äː ɡ ə t̪
शरणार्थी	ʃ ə ɾ ɳ äː ɾ t̪ʰ iː
शरमाना	ʃ ə ɾ m äː n̪ äː
शरमिंदा	ʃ ə ɾ m ɪ̃ n̪ d̪ äː
शराफत	ʃ ə ɾ äː pʰ ə t̪
शराब	ʃ ə ɾ äː b
शरारत	ʃ ə ɾ äː ɾ ə t̪
शरियत	ʃ ə ɾ i j ə t̪
शरीफ़ा	ʃ ə ɾ iː pʰ äː
शर्करा	ʃ ə ɾ k ə ɾ äː
शर्म	ʃ ə ɾ ə̃ m
शर्मनाक	ʃ ə ɾ m n̪ äː k
शर्मा	ʃ ə ɾ m äː
शर्माना	ʃ ə ɾ m äː n̪ äː
शर्मिंदगी	ʃ ə ɾ m ɪ̃ n̪ d̪ ɡ iː
शर्मीला	ʃ ə ɾ m iː l̪ äː
शलगम	ʃ ə l̪ ɡ ə̃ m
शलभ	ʃ ə l̪ ə bʱ
शल्यक्रियागार	ʃ ə l̪ j ə k ɾ i j äː ɡ äː ɾ
शवयात्रा	ʃ ə ʋ j äː t̪ ɾ äː
